iteration,convergenceIndicator,phase,A1_pop,tau1_pop,I0_pop,omega_A1,omega_tau1,omega_I0,corr_tau1_A1,a
63,-7765.82,1,0.26053,3.68415,0.393379,0.209955,0.208523,0.203907,-0.998984,0.203907
64,-8009.27,1,0.252695,3.80027,0.397631,0.204639,0.203243,0.198744,-0.998984,0.198744
65,-8332.89,1,0.259367,3.70388,0.394246,0.209186,0.206554,0.193711,-0.998984,0.193711
66,-8558.68,1,0.257539,3.72674,0.391297,0.218122,0.214806,0.188807,-0.998984,0.188807
67,-8823.52,1,0.259031,3.70397,0.386655,0.212599,0.209409,0.184026,-0.998984,0.184026
68,-9093.17,1,0.254991,3.75713,0.39762,0.207215,0.204107,0.179366,-0.998984,0.179366
69,-9377.75,1,0.256177,3.73595,0.395731,0.201969,0.198939,0.174825,-0.998984,0.174825
70,-9651.35,1,0.257215,3.72539,0.396538,0.196855,0.193902,0.170398,-0.998984,0.170398
71,-9943.98,1,0.258892,3.70775,0.395789,0.19187,0.188992,0.166083,-0.998984,0.166083
72,-10179.9,1,0.263979,3.64277,0.387656,0.187012,0.184207,0.161878,-0.998984,0.161878
73,-10454.7,1,0.255098,3.76213,0.397822,0.182277,0.179542,0.157779,-0.998984,0.157779
74,-10725.3,1,0.252038,3.80467,0.405816,0.177661,0.174996,0.153784,-0.998984,0.153784
75,-10959.1,1,0.248247,3.86408,0.40576,0.173163,0.170565,0.14989,-0.998984,0.14989
76,-11204.8,1,0.245287,3.91307,0.407328,0.168778,0.166499,0.146095,-0.998984,0.146095
77,-11463.3,1,0.241648,3.96386,0.414136,0.164505,0.162283,0.142396,-0.998984,0.142396
78,-11700.2,1,0.24053,3.98337,0.414686,0.161302,0.159547,0.146365,-0.999,0.13879
79,-11916.7,1,0.238511,4.02283,0.411782,0.163388,0.161649,0.146114,-0.999,0.135276
80,-12155.9,1,0.236529,4.05989,0.414522,0.159251,0.157556,0.142414,-0.999,0.131851
81,-12385.3,1,0.23006,4.17457,0.424994,0.155219,0.153566,0.138808,-0.998883,0.128512
82,-12582.4,1,0.229838,4.17196,0.42576,0.151289,0.149678,0.150074,-0.998479,0.125258
83,-12826.2,1,0.233128,4.10549,0.423385,0.151187,0.150232,0.146274,-0.998854,0.122087
84,-13051.7,1,0.230638,4.151,0.423134,0.149182,0.146605,0.142571,-0.999,0.118995
85,-13286,1,0.232785,4.12203,0.423284,0.147126,0.145255,0.138961,-0.999,0.115982
86,-13469.4,1,0.230624,4.15785,0.423513,0.143401,0.141577,0.135442,-0.998619,0.113045
87,-13708.9,1,0.233376,4.1049,0.424715,0.13977,0.137993,0.132013,-0.998729,0.110183
88,-13875.5,1,0.232423,4.11657,0.425757,0.143009,0.14161,0.131197,-0.998933,0.107393
89,-14078.6,1,0.233943,4.09165,0.423753,0.140877,0.140705,0.127875,-0.999,0.104674
90,-14235.7,1,0.236343,4.05036,0.419973,0.13731,0.137142,0.131674,-0.99887,0.102024
91,-14415.3,1,0.234545,4.08373,0.423812,0.148494,0.148867,0.12834,-0.999,0.0994403
92,-14546,1,0.236206,4.05154,0.421609,0.145661,0.145097,0.12509,-0.9989,0.0969224
93,-14707,1,0.235703,4.06742,0.419592,0.148682,0.147436,0.127799,-0.999,0.0944682
94,-14878.2,1,0.236975,4.04579,0.417421,0.144917,0.143703,0.130921,-0.999,0.0920763
95,-15004,1,0.23649,4.052,0.419779,0.142589,0.140639,0.131799,-0.998885,0.0897448
96,-15156.9,1,0.234015,4.09273,0.422637,0.140516,0.137747,0.132885,-0.998967,0.0874724
97,-15287.9,1,0.229705,4.16657,0.427104,0.139566,0.136542,0.133647,-0.999,0.0852576
98,-15442.6,1,0.22694,4.21545,0.430342,0.136032,0.133085,0.130878,-0.999,0.0830988
99,-15522.9,1,0.229443,4.16983,0.428727,0.132588,0.129715,0.127564,-0.998753,0.0809947
100,-15600.2,1,0.230456,4.14633,0.426699,0.131442,0.128373,0.128354,-0.998268,0.0789439
101,-15651.4,1,0.22919,4.17579,0.427694,0.13179,0.128842,0.135181,-0.997999,0.076945
102,-15745.1,1,0.229044,4.17804,0.42797,0.130797,0.127769,0.134216,-0.998103,0.0749967
103,-15789.3,1,0.226785,4.21454,0.430544,0.139249,0.135406,0.138564,-0.998465,0.0730977
104,-15840.9,1,0.22599,4.22609,0.429549,0.139811,0.13674,0.138304,-0.998733,0.0712469
105,-15881.9,1,0.225534,4.23114,0.430031,0.137285,0.133514,0.13713,-0.998623,0.0694428
106,-15880,1,0.223773,4.26492,0.432083,0.137308,0.133336,0.135111,-0.998561,0.0676845
107,-15898,1,0.222576,4.28861,0.433774,0.135613,0.13177,0.13169,-0.998414,0.0668565
108,-15968.6,1,0.22061,4.32566,0.435926,0.132179,0.128434,0.134164,-0.998938,0.0666532
109,-15937.8,1,0.220941,4.3275,0.43435,0.139648,0.135798,0.136954,-0.999,0.0667456
110,-15925.7,1,0.218829,4.37198,0.435159,0.138242,0.13527,0.133486,-0.998954,0.0668096
111,-15934.8,1,0.218688,4.37279,0.436935,0.139595,0.136256,0.131554,-0.999,0.066774
112,-15925.6,1,0.219275,4.35804,0.436933,0.141796,0.139063,0.132478,-0.999,0.0668348
113,-15923.6,1,0.220256,4.33804,0.436069,0.138206,0.135542,0.133552,-0.998916,0.0668233
114,-15950.2,1,0.218514,4.37093,0.438698,0.134706,0.13211,0.134735,-0.998933,0.0667663
115,-15954.2,1,0.215911,4.42107,0.440132,0.131295,0.128764,0.134993,-0.998934,0.0667139
116,-15955.8,1,0.215681,4.42458,0.440657,0.128512,0.126458,0.131575,-0.998969,0.0667632
117,-15966.1,1,0.213141,4.47999,0.441057,0.129857,0.127923,0.132227,-0.999,0.0667503
118,-15959,1,0.213143,4.4817,0.44138,0.128974,0.126046,0.135187,-0.998995,0.0667314
119,-15930.1,1,0.213226,4.47631,0.442287,0.134569,0.131172,0.136888,-0.999,0.0668879
120,-15967.6,1,0.210423,4.53632,0.445498,0.131162,0.127851,0.135186,-0.999,0.0667244
121,-15969.2,1,0.210968,4.52685,0.444975,0.127841,0.124613,0.134128,-0.999,0.0667257
122,-15986.2,1,0.212525,4.49601,0.443194,0.124842,0.121458,0.135766,-0.999,0.0666959
123,-15971.7,1,0.213242,4.48512,0.443635,0.1263,0.122635,0.135644,-0.999,0.0666974
124,-15956.7,1,0.214135,4.47021,0.44111,0.126335,0.122847,0.136089,-0.998841,0.0667205
125,-15970.3,1,0.2125,4.50623,0.4428,0.126694,0.123013,0.135113,-0.999,0.0667413
126,-15986.9,1,0.211055,4.53509,0.4463,0.123486,0.119982,0.134426,-0.998971,0.0666389
127,-15979.7,1,0.208516,4.59107,0.449218,0.125171,0.120799,0.138447,-0.998876,0.0666097
128,-15971.3,1,0.207408,4.61513,0.449616,0.127094,0.123207,0.141915,-0.999,0.0666721
129,-15956.8,1,0.206958,4.62683,0.450113,0.129141,0.124675,0.13845,-0.999,0.0668401
130,-15975.4,1,0.205493,4.65588,0.452135,0.132603,0.12712,0.14283,-0.999,0.0666277
131,-15969.6,1,0.208331,4.58846,0.447211,0.132937,0.127043,0.14386,-0.998881,0.0665579
132,-15958.5,1,0.209513,4.56271,0.447494,0.129571,0.123826,0.14024,-0.998883,0.0666887
133,-15987.1,1,0.210336,4.54168,0.44571,0.12629,0.120691,0.13989,-0.999,0.0666871
134,-15970.7,1,0.21153,4.52367,0.444482,0.130658,0.124829,0.140942,-0.999,0.0666785
135,-15970.6,1,0.212697,4.50011,0.442222,0.134008,0.127694,0.138025,-0.999,0.0666673
136,-15979.9,1,0.209168,4.57171,0.445579,0.130614,0.124461,0.135996,-0.999,0.0666891
137,-15992.3,1,0.210475,4.54234,0.445757,0.127307,0.121309,0.135425,-0.999,0.0666928
138,-15978.4,1,0.21159,4.5224,0.444362,0.124084,0.118238,0.138001,-0.999,0.0667432
139,-15974,1,0.210857,4.53702,0.446081,0.120942,0.115244,0.135354,-0.998626,0.0666615
140,-15961,1,0.211518,4.52557,0.444799,0.118817,0.113518,0.137558,-0.99863,0.066731
