iteration,convergenceIndicator,phase,A1_pop,tau1_pop,I0_pop,omega_A1,omega_tau1,omega_I0,corr_tau1_A1,a
270,-15863.1,2,0.188161,5.05454,0.466863,0.201552,0.197674,0.10699,-0.998077,0.0665845
271,-15886.3,2,0.188723,5.03617,0.466119,0.199763,0.197308,0.108859,-0.998132,0.0665175
272,-15856.6,2,0.189519,5.00976,0.465132,0.202873,0.200897,0.110644,-0.998205,0.0665221
273,-15867.5,2,0.190049,4.99684,0.464649,0.200901,0.198913,0.111308,-0.997994,0.0664828
274,-15856.6,2,0.189765,5.0041,0.46428,0.203407,0.201076,0.111178,-0.99789,0.0664651
275,-15879.2,2,0.189786,5.00593,0.464352,0.208473,0.205369,0.110885,-0.998066,0.0664327
276,-15856.5,2,0.190052,5.00287,0.46435,0.211066,0.207865,0.110181,-0.99809,0.0664439
277,-15859.3,2,0.190093,5.00091,0.464413,0.212096,0.207768,0.108515,-0.998055,0.066455
278,-15850.7,2,0.19033,4.99219,0.464217,0.215595,0.21146,0.108238,-0.998002,0.0664411
279,-15875.9,2,0.189511,5.01705,0.464912,0.217153,0.213854,0.10731,-0.998159,0.0664398
280,-15900.5,2,0.189709,5.0129,0.464604,0.218513,0.215536,0.105691,-0.998253,0.066407
281,-15878.2,2,0.190222,4.99997,0.463908,0.2193,0.216983,0.105843,-0.99826,0.0663931
282,-15835,2,0.190878,4.98496,0.463417,0.22007,0.217639,0.106035,-0.998105,0.0664053
283,-15854,2,0.191913,4.96049,0.462493,0.217742,0.215639,0.106734,-0.998053,0.0664182
284,-15858.8,2,0.192387,4.94848,0.461836,0.215315,0.213376,0.107962,-0.997971,0.0664147
285,-15846.8,2,0.192295,4.94918,0.461956,0.214973,0.212962,0.108648,-0.997945,0.0664236
286,-15830.1,2,0.192279,4.94854,0.462274,0.213377,0.211173,0.109048,-0.997826,0.0664404
287,-15853.5,2,0.192192,4.94805,0.462293,0.211584,0.209372,0.110152,-0.997772,0.0664369
288,-15848.9,2,0.192592,4.93811,0.461757,0.211702,0.209269,0.110819,-0.997812,0.0664434
289,-15844,2,0.192829,4.92938,0.461587,0.210129,0.207999,0.110782,-0.997761,0.0664525
290,-15855,2,0.192705,4.93229,0.461773,0.208988,0.206705,0.110553,-0.997751,0.0664586
291,-15855.4,2,0.192617,4.93319,0.461981,0.207231,0.204865,0.109931,-0.997698,0.0664647
292,-15849.8,2,0.192223,4.94324,0.462323,0.207789,0.205242,0.109222,-0.997725,0.0664724
293,-15843.9,2,0.191829,4.95383,0.462744,0.206941,0.204725,0.10905,-0.997729,0.0664844
294,-15866.4,2,0.191242,4.96806,0.463337,0.206066,0.203838,0.108245,-0.997714,0.066485
295,-15844,2,0.19137,4.96422,0.463227,0.205787,0.203721,0.107599,-0.997724,0.0664973
296,-15829,2,0.191563,4.95892,0.462979,0.206577,0.204475,0.107298,-0.997729,0.0665062
297,-15808.9,2,0.191706,4.95665,0.462911,0.206165,0.204106,0.107013,-0.997679,0.0665226
298,-15821,2,0.19173,4.9561,0.462978,0.206059,0.204217,0.106751,-0.997647,0.0665307
299,-15870.8,2,0.191935,4.95125,0.462872,0.205264,0.20333,0.106392,-0.997637,0.0665267
300,-15845.9,2,0.192125,4.94677,0.462688,0.204642,0.202837,0.106671,-0.997642,0.0665297
301,-15835,2,0.192088,4.94763,0.462737,0.204475,0.202675,0.106592,-0.997636,0.0665317
302,-15836.4,2,0.192054,4.94839,0.462797,0.204321,0.202552,0.106518,-0.997635,0.0665343
303,-15843.1,2,0.19198,4.95021,0.462897,0.204241,0.20245,0.106469,-0.997641,0.0665365
304,-15831,2,0.191953,4.95058,0.462926,0.204151,0.202399,0.10644,-0.99763,0.066537
305,-15840.5,2,0.191956,4.95063,0.462956,0.204018,0.202294,0.106439,-0.997619,0.0665368
306,-15877.5,2,0.191964,4.95033,0.462932,0.203656,0.20197,0.106436,-0.997622,0.0665364
307,-15846,2,0.19192,4.95147,0.462983,0.203374,0.201673,0.106485,-0.997607,0.0665358
308,-15860.2,2,0.191868,4.95258,0.463047,0.202985,0.201281,0.106473,-0.997594,0.0665354
309,-15834.6,2,0.19183,4.95322,0.463136,0.202476,0.200805,0.10636,-0.997559,0.0665357
310,-15832,2,0.191809,4.95367,0.463179,0.202028,0.20038,0.106384,-0.99754,0.0665372
311,-15867,2,0.191787,4.95389,0.46322,0.201635,0.199996,0.106348,-0.997534,0.0665373
312,-15837.2,2,0.191777,4.95404,0.463225,0.201284,0.199624,0.106381,-0.99752,0.0665385
313,-15869.9,2,0.19184,4.95254,0.463176,0.200937,0.199295,0.106412,-0.997522,0.066539
314,-15838.8,2,0.191891,4.95118,0.463131,0.200584,0.199007,0.106401,-0.99751,0.0665402
315,-15842.9,2,0.191921,4.95045,0.463078,0.200471,0.198872,0.106406,-0.997497,0.0665396
316,-15863,2,0.191909,4.95056,0.463076,0.200409,0.198844,0.106415,-0.9975,0.0665388
317,-15842.2,2,0.191978,4.94904,0.463003,0.200319,0.198764,0.106425,-0.997498,0.0665394
318,-15825.9,2,0.192073,4.94684,0.462889,0.200218,0.198693,0.10652,-0.997487,0.0665396
319,-15847.6,2,0.192158,4.94466,0.462796,0.200131,0.198617,0.106605,-0.997476,0.0665377
320,-15871.1,2,0.192219,4.94314,0.462742,0.200054,0.198543,0.106729,-0.997483,0.0665365
321,-15829.1,2,0.192279,4.94163,0.462678,0.200028,0.198452,0.106848,-0.997479,0.066537
322,-15837.6,2,0.192311,4.94093,0.462651,0.199887,0.198305,0.106898,-0.997474,0.0665375
323,-15856.5,2,0.192332,4.94031,0.462645,0.199668,0.198138,0.10692,-0.99747,0.0665375
324,-15867.7,2,0.192343,4.9401,0.462638,0.199441,0.197926,0.106979,-0.997472,0.0665373
325,-15845.2,2,0.192311,4.941,0.462669,0.199203,0.197682,0.107062,-0.997465,0.0665377
326,-15837.5,2,0.1923,4.94137,0.462666,0.199184,0.197611,0.107142,-0.997463,0.0665378
327,-15814.1,2,0.192283,4.9419,0.462686,0.199145,0.19757,0.107224,-0.997451,0.0665383
328,-15800.1,2,0.19226,4.94267,0.462714,0.199132,0.197565,0.107331,-0.997437,0.0665388
329,-15835.3,2,0.192261,4.94275,0.462719,0.198868,0.197288,0.10738,-0.997424,0.0665394
330,-15858.6,2,0.192264,4.94268,0.462743,0.198616,0.197051,0.107416,-0.997416,0.0665388
331,-15862.7,2,0.19226,4.94281,0.46275,0.198418,0.196857,0.107423,-0.997417,0.0665392
332,-15860.4,2,0.192229,4.94351,0.462806,0.198302,0.196767,0.107417,-0.997421,0.0665396
333,-15831.1,2,0.192255,4.9428,0.462769,0.198203,0.196673,0.107377,-0.997412,0.0665404
334,-15836.4,2,0.192251,4.94278,0.462802,0.198151,0.196614,0.107294,-0.997405,0.0665409
335,-15859.6,2,0.192247,4.94276,0.46281,0.198034,0.196459,0.107289,-0.997399,0.0665402
336,-15853,2,0.192261,4.9424,0.462794,0.198027,0.196421,0.107321,-0.997399,0.0665396
337,-15864.4,2,0.192255,4.94273,0.462781,0.197964,0.196355,0.107393,-0.997395,0.0665379
338,-15868.9,2,0.192246,4.94299,0.462791,0.198041,0.1964,0.107453,-0.997401,0.0665363
339,-15853.5,2,0.192262,4.94256,0.462771,0.198097,0.196469,0.10747,-0.997398,0.0665349
340,-15876.9,2,0.192303,4.94152,0.462728,0.198182,0.196547,0.107477,-0.997409,0.0665339
341,-15823,2,0.192379,4.93947,0.462654,0.198287,0.196664,0.107494,-0.997403,0.0665335
342,-15832.8,2,0.192417,4.93852,0.462617,0.198419,0.196784,0.107504,-0.997407,0.0665339
343,-15843.8,2,0.192474,4.93709,0.462556,0.198408,0.196785,0.107482,-0.997402,0.0665335
344,-15870.8,2,0.192534,4.93551,0.462503,0.198361,0.196744,0.107429,-0.997409,0.0665337
345,-15870.1,2,0.192597,4.9339,0.46245,0.198393,0.196764,0.107422,-0.997414,0.0665329
346,-15879,2,0.192668,4.93209,0.462394,0.19841,0.196783,0.107383,-0.997417,0.0665317
347,-15845.8,2,0.19273,4.93059,0.462331,0.198423,0.19679,0.107337,-0.997419,0.0665322
348,-15863.2,2,0.192757,4.92999,0.462308,0.198485,0.19683,0.107399,-0.997425,0.0665314
349,-15837.6,2,0.192782,4.92934,0.462276,0.198655,0.19702,0.107472,-0.997431,0.0665309
350,-15835.8,2,0.192816,4.92854,0.462226,0.198841,0.197225,0.107565,-0.997432,0.0665296
351,-15836,2,0.192834,4.92817,0.462215,0.198995,0.197365,0.107641,-0.997435,0.0665291
352,-15836.5,2,0.192845,4.92799,0.462191,0.199199,0.197581,0.107759,-0.997438,0.0665276
353,-15859.4,2,0.192844,4.92794,0.462205,0.199216,0.197601,0.107816,-0.997442,0.066527
354,-15854.1,2,0.19285,4.92762,0.462193,0.1992,0.197619,0.1079,-0.997442,0.0665261
355,-15862.4,2,0.192834,4.92799,0.462195,0.199227,0.19764,0.108016,-0.997447,0.066525
356,-15835.8,2,0.192796,4.9291,0.462237,0.199278,0.197685,0.108094,-0.99744,0.0665236
357,-15855.8,2,0.192766,4.92985,0.462248,0.199332,0.197749,0.108188,-0.997445,0.0665228
358,-15839,2,0.192739,4.93053,0.462279,0.199361,0.197789,0.108193,-0.997444,0.0665228
359,-15877.1,2,0.192708,4.93118,0.462296,0.199522,0.197974,0.1082,-0.997453,0.0665213
360,-15850.2,2,0.192701,4.93153,0.462285,0.199751,0.198214,0.108231,-0.997456,0.0665195
361,-15878.2,2,0.192684,4.93192,0.462309,0.199867,0.198347,0.10826,-0.997458,0.0665172
362,-15840.7,2,0.19268,4.93194,0.462306,0.200055,0.198543,0.108287,-0.997459,0.066516
363,-15840.6,2,0.192697,4.93147,0.462281,0.200185,0.198689,0.108322,-0.997458,0.0665151
364,-15838.4,2,0.192711,4.93123,0.462259,0.200252,0.198777,0.108362,-0.997461,0.066515
365,-15853.6,2,0.192705,4.93125,0.46226,0.200331,0.198833,0.108406,-0.997461,0.0665139
366,-15836,2,0.1927,4.93133,0.462259,0.20028,0.198778,0.108488,-0.997452,0.066513
367,-15871.8,2,0.192695,4.93137,0.462261,0.200212,0.198692,0.108521,-0.997449,0.0665118
368,-15853.4,2,0.192675,4.93189,0.462276,0.200126,0.198601,0.108568,-0.997444,0.0665112
369,-15836.3,2,0.192682,4.93166,0.462265,0.200187,0.198662,0.108591,-0.997446,0.0665113
370,-15816.7,2,0.19269,4.93151,0.462253,0.200237,0.198706,0.108603,-0.997448,0.0665126
371,-15802,2,0.192678,4.93177,0.462256,0.20041,0.198844,0.108673,-0.99745,0.0665135
372,-15837.2,2,0.19268,4.93175,0.46224,0.20051,0.198947,0.108717,-0.997455,0.0665135
373,-15826.7,2,0.19266,4.93226,0.462247,0.2006,0.199038,0.108766,-0.997451,0.0665129
374,-15856.2,2,0.192641,4.93278,0.462265,0.200758,0.199205,0.108795,-0.99746,0.0665123
375,-15870.6,2,0.192615,4.93351,0.462285,0.200906,0.199331,0.108804,-0.997468,0.0665113
376,-15822.5,2,0.192574,4.93465,0.462315,0.201057,0.199476,0.108844,-0.997467,0.0665109
377,-15847.7,2,0.192544,4.93533,0.462331,0.201252,0.19966,0.108832,-0.997473,0.0665105
378,-15817.2,2,0.192519,4.9359,0.462355,0.201429,0.199859,0.108821,-0.997474,0.0665106
379,-15840.1,2,0.192499,4.93643,0.462375,0.201595,0.200003,0.108814,-0.997477,0.0665103
380,-15854.5,2,0.192484,4.93679,0.46239,0.20171,0.200126,0.108783,-0.997481,0.0665098
381,-15821.6,2,0.192436,4.93803,0.462435,0.20193,0.200317,0.10881,-0.997489,0.0665104
382,-15837.7,2,0.192394,4.93907,0.462465,0.202188,0.200568,0.108844,-0.9975,0.0665103
383,-15822.3,2,0.192385,4.93932,0.462465,0.202429,0.200788,0.108852,-0.997504,0.0665102
384,-15805.1,2,0.192377,4.93964,0.462477,0.202622,0.200966,0.108856,-0.997504,0.0665104
385,-15812.8,2,0.19235,4.94026,0.462487,0.202835,0.201172,0.108844,-0.997512,0.0665115
386,-15821.6,2,0.192337,4.94061,0.462485,0.203008,0.201354,0.108837,-0.997516,0.066512
387,-15859.4,2,0.192317,4.94108,0.462495,0.203113,0.201483,0.10885,-0.997522,0.0665113
388,-15853.2,2,0.192305,4.9413,0.462504,0.20321,0.201581,0.108852,-0.997529,0.0665113
389,-15814.3,2,0.192287,4.94173,0.462518,0.20329,0.201675,0.108884,-0.997529,0.0665117
390,-15806.1,2,0.192274,4.94195,0.462529,0.203389,0.201755,0.108887,-0.997528,0.0665124
391,-15833.1,2,0.192246,4.9426,0.46255,0.203539,0.201892,0.108855,-0.99753,0.0665124
392,-15841.4,2,0.192213,4.94336,0.46258,0.203679,0.202019,0.108818,-0.997536,0.0665127
393,-15827.3,2,0.192165,4.94449,0.462619,0.203781,0.202138,0.108811,-0.997539,0.066513
394,-15826.6,2,0.192103,4.946,0.462667,0.203928,0.202272,0.10883,-0.997542,0.0665131
395,-15855.8,2,0.192083,4.94647,0.462683,0.203992,0.202305,0.108826,-0.997543,0.0665125
396,-15861.9,2,0.192063,4.94692,0.462699,0.20407,0.202378,0.108798,-0.997548,0.0665122
397,-15834,2,0.192052,4.94715,0.462699,0.204201,0.202508,0.10876,-0.99755,0.0665122
398,-15833.6,2,0.192019,4.94807,0.462726,0.204278,0.202572,0.108684,-0.997551,0.0665129
399,-15850.4,2,0.19199,4.94878,0.462744,0.204379,0.202674,0.108643,-0.997555,0.0665128
400,-15879.4,2,0.191975,4.94913,0.462761,0.204473,0.202782,0.108583,-0.997563,0.0665124
401,-15816.5,2,0.191935,4.9501,0.462794,0.20462,0.20292,0.108537,-0.997564,0.0665128
402,-15840.4,2,0.1919,4.95104,0.462837,0.204706,0.203017,0.10847,-0.997565,0.0665129
403,-15865,2,0.191869,4.95189,0.46287,0.204755,0.203056,0.108469,-0.997568,0.0665124
404,-15845.5,2,0.191838,4.95285,0.462904,0.204797,0.203089,0.108453,-0.997568,0.0665121
405,-15864.8,2,0.191814,4.95338,0.462923,0.204789,0.203081,0.108421,-0.997569,0.0665118
406,-15829.8,2,0.191802,4.95375,0.462936,0.204819,0.20311,0.108393,-0.99757,0.0665125
407,-15809.2,2,0.191783,4.95417,0.46295,0.204963,0.203259,0.108401,-0.99757,0.0665126
408,-15794.1,2,0.191762,4.95469,0.462976,0.205067,0.203373,0.108399,-0.99757,0.0665137
409,-15815.6,2,0.191747,4.95512,0.46299,0.205109,0.203403,0.108373,-0.997569,0.0665145
410,-15804.2,2,0.191721,4.95576,0.463016,0.205226,0.203526,0.108328,-0.997573,0.066516
411,-15842.7,2,0.191716,4.95583,0.463022,0.20532,0.203636,0.108258,-0.997574,0.0665159
412,-15880.4,2,0.191698,4.95624,0.463044,0.20543,0.203744,0.108175,-0.99758,0.0665153
413,-15856.5,2,0.191693,4.95624,0.463049,0.205542,0.203847,0.108133,-0.997586,0.0665153
414,-15854.2,2,0.191689,4.95634,0.463054,0.2057,0.203995,0.108072,-0.99759,0.0665149
415,-15814.8,2,0.19168,4.9566,0.463063,0.205957,0.204239,0.108053,-0.997594,0.0665149
416,-15821.2,2,0.19165,4.95731,0.463082,0.206198,0.204452,0.108014,-0.997597,0.0665147
417,-15821.3,2,0.191633,4.95769,0.463098,0.206335,0.204592,0.107975,-0.997596,0.0665147
418,-15808.1,2,0.191601,4.95843,0.463116,0.206479,0.204734,0.107961,-0.997597,0.0665151
419,-15802.5,2,0.191584,4.95886,0.463136,0.20653,0.204783,0.107948,-0.997593,0.0665155
420,-15850,2,0.191568,4.95922,0.463162,0.206505,0.204752,0.107938,-0.997593,0.0665155
421,-15846.3,2,0.191575,4.95896,0.463158,0.206504,0.204753,0.107882,-0.997596,0.0665162
422,-15808,2,0.191579,4.9588,0.463152,0.206526,0.204779,0.10786,-0.997593,0.0665171
423,-15834.3,2,0.191592,4.95846,0.463141,0.206578,0.204827,0.107807,-0.997594,0.0665175
424,-15832.4,2,0.191614,4.9579,0.463119,0.206631,0.20489,0.107767,-0.997593,0.0665174
425,-15829.6,2,0.191619,4.95771,0.46311,0.206646,0.204899,0.107749,-0.997591,0.0665177
426,-15854.2,2,0.191614,4.95787,0.463121,0.206626,0.204865,0.107707,-0.997591,0.0665177
427,-15866.8,2,0.191605,4.95811,0.463131,0.206652,0.204888,0.10768,-0.997593,0.0665173
428,-15840,2,0.191594,4.95829,0.463138,0.206678,0.204925,0.107657,-0.997592,0.0665172
429,-15846.1,2,0.191581,4.95865,0.463146,0.206803,0.205043,0.107657,-0.997596,0.0665169
430,-15828.5,2,0.191558,4.9593,0.463166,0.206927,0.205159,0.107664,-0.997596,0.0665164
431,-15823.8,2,0.191519,4.96037,0.463197,0.207105,0.205338,0.107681,-0.997601,0.0665163
432,-15809.5,2,0.191468,4.96176,0.463237,0.20727,0.205513,0.107692,-0.997602,0.0665163
433,-15846.5,2,0.191421,4.96296,0.463286,0.207385,0.205613,0.107653,-0.997606,0.0665163
434,-15844.5,2,0.191373,4.96423,0.463329,0.207535,0.205745,0.107611,-0.997607,0.0665157
435,-15838.2,2,0.191332,4.96532,0.46336,0.207693,0.205907,0.107641,-0.997608,0.0665146
436,-15831.5,2,0.191291,4.96636,0.463391,0.207847,0.20607,0.107675,-0.997608,0.0665136
437,-15834.4,2,0.191259,4.96722,0.463423,0.207985,0.206221,0.107702,-0.99761,0.0665129
438,-15832.8,2,0.191218,4.96828,0.463459,0.208083,0.20631,0.107711,-0.997609,0.0665124
439,-15830.7,2,0.191178,4.96938,0.463498,0.208192,0.206422,0.10773,-0.99761,0.0665119
440,-15842.4,2,0.191141,4.97025,0.463525,0.208325,0.206555,0.10772,-0.997612,0.0665114
441,-15804,2,0.191109,4.97107,0.463551,0.208419,0.206656,0.107724,-0.997611,0.0665117
442,-15836.1,2,0.191087,4.97171,0.463569,0.208508,0.206749,0.107723,-0.997614,0.0665117
443,-15856.9,2,0.191065,4.97228,0.46358,0.208561,0.206798,0.107718,-0.997619,0.0665116
444,-15861.6,2,0.191037,4.97301,0.463608,0.208654,0.206872,0.107707,-0.997624,0.0665114
445,-15841.4,2,0.190998,4.97404,0.463644,0.208716,0.206918,0.107713,-0.997627,0.0665115
446,-15846,2,0.190963,4.9749,0.463677,0.208757,0.206962,0.10774,-0.997629,0.0665112
447,-15837.1,2,0.190932,4.97566,0.463702,0.208827,0.207036,0.107763,-0.99763,0.0665108
448,-15818.2,2,0.190909,4.97628,0.463722,0.208875,0.207091,0.107772,-0.997629,0.0665109
449,-15824.9,2,0.190894,4.97661,0.463735,0.208894,0.207096,0.107782,-0.997625,0.0665106
450,-15838.4,2,0.190879,4.97697,0.463747,0.208923,0.207124,0.1078,-0.997625,0.0665105
451,-15867.9,2,0.190882,4.97692,0.463749,0.208906,0.2071,0.107766,-0.997627,0.0665104
