rep,id,A1,tau1,A2,tau2,eta_A1,eta_tau1,eta_A2,eta_tau2
1,1,-1.44524001073383,0.271965215971606,-1.00202207776788,3.10134452924863,0.205119598663295,-0.877804766002198,0.149022177063627,-0.699819523666198
2,1,-1.49327921354281,0.19400153570899,-0.993077591535384,3.24872425259727,0.157080395854321,-0.955768446264815,0.15796666329612,-0.552439800317561
3,1,-1.41688773789608,0.49604341485503,-1.03571467781849,3.02953524557979,0.233471871501048,-0.653726567118775,0.115329577013018,-0.771628807335034
1,2,-1.72449240011757,-0.434234880549174,-0.965452714501124,4.33486862945987,-0.0741327907204463,-1.58400486252298,0.185591540330381,0.533704576545047
2,2,-1.66202401271647,-0.428536133231029,-0.928033381502065,3.89460247450315,-0.011664403319344,-1.57830611520483,0.223010873329439,0.0934384215883184
3,2,-1.73088954445662,-1.08387531631468,-0.870126184419673,4.3535095394336,-0.0805299350594895,-2.23364529828848,0.280918070411831,0.552345486518773
1,3,-2.198112766553,3.22671449538959,-1.49865454436769,5.59310722347846,-0.547753157155874,2.07694451341578,-0.347610289536191,1.79194317056363
2,3,-2.27120984252816,2.82049520240198,-1.45687364905367,5.9217948761441,-0.620850233131035,1.67072522042817,-0.305829394222161,2.12063082322927
3,3,-2.12026886694212,3.16649989781389,-1.47848711074677,5.30265242174341,-0.46990925754499,2.01672991584008,-0.327442855915269,1.50148836882859
1,4,-1.54054918749129,2.43651885293869,-1.30028633681041,3.21968161049338,0.109810421905838,1.28674887096489,-0.149242081978908,-0.581482442421446
2,4,-1.82162469330664,-0.19332365920632,-1.00872931670728,4.65364494884981,-0.171265083909516,-1.34309364118012,0.142314938124226,0.852480895934981
3,4,-1.43425803133739,2.39633112219291,-1.29116074967142,2.9078186289564,0.216101578059737,1.24656114021911,-0.140116494839913,-0.893345423958429
1,5,-1.40380038392913,1.48843015350171,-1.16155211512889,2.84849088344237,0.246559225468,0.338660171527908,-0.0105078602973852,-0.952673169472461
2,5,-1.49833787679458,0.460890079131324,-1.04050676679089,3.31940522468213,0.152021732602552,-0.688879902842481,0.110537488040609,-0.481758828232698
3,5,-1.66540978897489,0.0708501437235437,-1.01390012821485,3.98825439636369,-0.0150501795777616,-1.07891983825026,0.137144126616656,0.187090343448857
1,6,-2.03570508969006,1.79382928898365,-1.2825147194274,5.10949881793218,-0.385345480292937,0.644059307009845,-0.131470464595894,1.30833476501736
2,6,-1.9381750240145,1.50649273935588,-1.25103906747273,4.92300713522992,-0.28781541461737,0.356722757382072,-0.0999948126412216,1.12184308231509
3,6,-2.17106833727427,1.19605942152274,-1.24067136809594,5.80573735674174,-0.520708727877138,0.0462894395489382,-0.0896271132644402,2.00457330382691
1,7,-1.55948217900094,0.520151913449561,-1.06240208582809,3.57890281148755,0.0908774303961857,-0.629618068524244,0.0886421690034107,-0.222261241427283
2,7,-1.43378660038954,0.912945113001772,-1.08689016945065,3.00431106730494,0.216573009007584,-0.236824868972032,0.0641540853808524,-0.796852985609887
3,7,-1.46748854231945,0.641393230280669,-1.07181300802649,3.27196574901348,0.182871067077682,-0.508376751693135,0.0792312468050118,-0.529198303901343
1,8,-1.66122477273871,0.105298769695014,-1.02068558614585,3.99233531924962,-0.0108651633415779,-1.04447121227879,0.130358668685659,0.191171266334794
2,8,-1.64259803324016,0.683972308767688,-1.07743977081886,3.74264458182534,0.0077615761569696,-0.465797673206117,0.07360448401264,-0.0585194710894861
3,8,-1.6423048421584,0.814436756310078,-1.10466634780431,3.79902994947321,0.008054767238727,-0.335333225663726,0.0463779070271977,-0.00213410344161868
1,9,-1.25744170361468,0.447016072293568,-1.00161707287765,2.40277924880838,0.392917905782452,-0.702753909680237,0.149427181953853,-1.39838480410645
2,9,-1.2494038483401,0.607925590278682,-1.014550290432,2.30586552874593,0.400955761057031,-0.541844391695122,0.136493964399506,-1.49529852416889
3,9,-1.31009012696716,0.483818042515509,-1.01977130365865,2.63760284426987,0.34026948242997,-0.665951939458296,0.13127295117285,-1.16356120864496
1,10,-1.76014769266949,0.612104531980144,-1.09468160434032,4.26106901245763,-0.109788083272358,-0.537665449993661,0.0563626504911889,0.459904959542802
2,10,-1.63497561395997,0.853477032344979,-1.12209078623296,3.86343744651712,0.0153839954371573,-0.296292949628826,0.0289534685985393,0.0622733936022959
3,10,-1.6014737252138,1.09763697282055,-1.15339369924656,3.73853483696911,0.0488858841833295,-0.0521330091532524,-0.00234944441505913,-0.0626292159457158
1,11,-1.71159204335436,1.98118631904323,-1.26191836755481,3.89231044410384,-0.0612324339572317,0.83141633706943,-0.110874112723309,0.0911463911890125
2,11,-1.66159962879027,2.32816571277112,-1.31317300344795,3.75453980236613,-0.0112400193931401,1.17839573079732,-0.162128748616443,-0.0466242505486969
3,11,-1.88667421963397,1.15679421962093,-1.1938297933922,4.73794634454548,-0.236314610236845,0.00702423764712767,-0.042785538560699,0.936782291630651
1,12,-1.12975027513664,1.46791732377556,-1.12363232050126,1.86018824108352,0.520609334260491,0.31814734180176,0.0274119343302461,-1.94097581183131
2,12,-1.15050127029105,1.77280131932827,-1.16720278861791,1.90744629726423,0.499858339106079,0.623031337354465,-0.0161585337864019,-1.8937177556506
3,12,-1.24359730856851,0.819055131310186,-1.04245999120619,2.268668252566,0.406762300828614,-0.330714850663618,0.108584263625311,-1.53249580034882
1,13,-1.4230634693177,1.01208164530223,-1.11107403171115,3.04035030037261,0.227296140079433,-0.137688336671579,0.0399702231203551,-0.760813752542219
2,13,-1.5267773175088,0.366577931237961,-1.03015820389143,3.42528363815865,0.12358229188833,-0.783192050735844,0.12088605094007,-0.375880414756178
3,13,-1.43188828803004,1.30075781574942,-1.13619965991461,2.94532130981485,0.218471321367084,0.150987833775615,0.0148445949168916,-0.855842743099974
1,14,-1.67748983405916,0.349922690843615,-1.04913454491415,3.98552701169494,-0.0271302246620342,-0.799847291130189,0.101909709917355,0.184362958780115
2,14,-1.48097784296462,1.61561505855666,-1.18502056791362,3.09914988793227,0.169381766432508,0.465845076582851,-0.033976313082114,-0.702014164982558
3,14,-1.61564632211729,0.551484582677542,-1.05959014315704,3.6789499153221,0.0347132872798379,-0.598285399296262,0.0914541116744654,-0.122214137592727
1,15,-1.51144180055947,2.04002059587101,-1.25161384510832,3.20795816067518,0.138917808837654,0.890250613897205,-0.100569590276821,-0.59320589223965
2,15,-1.61070702931003,1.7119640262064,-1.21780454385679,3.58448159723502,0.0396525800870962,0.562194044232598,-0.0667602890252856,-0.216682455679813
3,15,-1.79104871364958,0.897464042393022,-1.12099610598894,4.23539820815489,-0.140689104252449,-0.252305939580783,0.0300481488425621,0.434234155240058
1,16,-1.40050252118067,1.02693372039854,-1.10987260410885,2.9610301345354,0.249857088216453,-0.122836261575261,0.0411716507226578,-0.840133918379427
2,16,-1.39931287826193,0.977268269899607,-1.08608113398774,2.83765700667781,0.251046731135197,-0.172501712074198,0.0649631208437671,-0.963507046237022
3,16,-1.31225331944759,1.48158612800525,-1.16183382310515,2.61355905113117,0.338106289949538,0.331816146031442,-0.0107895682736414,-1.18760500178366
1,17,-1.59056840875819,2.64923150739184,-1.33906459176191,3.41003682935878,0.0597912006389403,1.49946152541804,-0.188020336930407,-0.391127223556043
2,17,-1.70831624060013,1.58214055076697,-1.21568780992402,3.97225536494565,-0.0579566312030011,0.432370568793168,-0.064643555092518,0.171091312030819
3,17,-1.82719616969105,1.20585841752774,-1.18268207004055,4.44747688575987,-0.176836560293918,0.0560884355539311,-0.0316378152090475,0.646312832845044
1,18,-1.47451139117573,1.56823303468013,-1.20652555467409,3.27960415115453,0.175848218221403,0.418463052706322,-0.05548129984259,-0.521559901760302
2,18,-1.61618873269871,0.499490053269193,-1.05700824111459,3.71739083920168,0.0341708766984168,-0.650279928704611,0.0940360137169185,-0.0837732137131453
3,18,-1.52868026847619,1.56344698667625,-1.21712921008636,3.50812357793453,0.121679340920936,0.413677004702449,-0.066084955254853,-0.2930404749803
1,19,-2.19650081465452,3.16517903860939,-1.49357529426484,5.61702017813206,-0.546141205257391,2.01540905663559,-0.342531039433334,1.81585612521724
2,19,-2.18802071138351,3.33638119810194,-1.49864342226183,5.45156838380248,-0.537661101986385,2.18661121612813,-0.347599167430329,1.65040433088765
3,19,-2.22840524613607,2.40791313836073,-1.3887890596947,5.75337446202156,-0.578045636738941,1.25814315638692,-0.237744804863199,1.95221040910674
1,20,-1.56069745418086,-0.342799363427976,-0.941090110576496,3.62311462311021,0.089662155216272,-1.49256934540178,0.209954144255008,-0.178049429804615
2,20,-1.39080011565624,1.16119196814758,-1.11561698339715,2.8308845655947,0.25955949374089,0.0114219861737772,0.0354272714343573,-0.97027948732013
3,20,-1.42515482540312,0.892305112922955,-1.08774933829299,3.00902666836458,0.225204783994009,-0.25746486905085,0.063294916538517,-0.792137384550251
1,21,-2.09496439527,2.01265202761815,-1.32259655902458,5.32809366606093,-0.444604785872876,0.862882045644349,-0.171552304193076,1.52692961314611
2,21,-2.14966173482566,1.96015774679567,-1.32409132676058,5.54469263083283,-0.499302125428532,0.810387764821867,-0.173047071929081,1.74352857791801
