rep,id,eta_A1,eta_tau1,eta_A2,eta_tau2
1,21,0.334121865650872,0.197068547891926,0.0228057331444225,-1.27284911871912
2,21,0.268470281380793,-0.72164267104269,0.121694737860045,-0.843070089218914
3,21,0.205062298048974,-0.924988624335538,0.154277704510099,-0.689971290789626
4,21,0.0152120429559563,-1.43584454794766,0.189144468141994,0.112470109669486
5,21,0.264428484095565,-0.735997742556087,0.125737664108241,-0.842452945683694
6,21,0.085659716381608,-1.24554881645876,0.176652311297951,-0.186367939245627
7,21,-0.0547439663960014,-2.02691425239979,0.265301858137974,0.380550358156571
8,21,-0.0647862924449694,-2.22017841469625,0.299241213066863,0.362994119179684
9,21,0.178898804054291,-0.731328628463102,0.134684737851268,-0.680567683549574
10,21,0.15341465826137,-1.20637469494534,0.170410035103813,-0.372575638692428
1,30,-0.0139143458416471,-0.720110300861809,0.105232783456286,0.0420794908392484
2,30,-0.0551810381949819,-1.54614040979913,0.187008951630616,0.42732462573284
3,30,-0.0541213248702316,-1.81787853546116,0.223562830314581,0.456103253775377
4,30,0.025665963153379,-0.517065906712453,0.0770958036347786,-0.0802755137368863
5,30,-0.104176057421977,-1.42337800068946,0.179009549544785,0.495208604804808
6,30,-0.0561813995553682,-1.83587043802506,0.224912591800864,0.469539268826327
7,30,0.0235498433039604,-1.29138102140222,0.179085186072516,0.0129627525625375
8,30,0.0814586498395064,-0.151312253804193,0.0275144730821597,-0.258253853004852
9,30,-0.0636865283587774,-1.80831736817358,0.223452074379973,0.469809864177184
10,30,0.0266355364529734,-1.28961810556143,0.174667617901115,0.0324852137514477
1,31,-0.506630990545794,2.17249309695953,-0.351962334596642,1.60737836901901
2,31,-0.548369023190392,1.62009309258054,-0.2809497844128,1.7956092436137
3,31,-0.712649848286803,1.56481650346353,-0.305181217984714,2.4727726348303
4,31,-0.647167668427539,1.4322653210548,-0.277516741943114,2.2363734464421
5,31,-0.599406432215184,2.14489326998183,-0.368249563755158,2.00772810229058
6,31,-0.554313093558572,1.95375753274942,-0.342857303650435,1.90475759907312
7,31,-0.644673251848995,1.42958149243536,-0.279986730912387,2.25140118317138
8,31,-0.589969453288483,2.11025442404806,-0.363602356282468,1.99036420815941
9,31,-0.557874605097425,1.95358872730655,-0.336576690231238,1.87144534027774
10,31,-0.641145516917774,1.41434201092101,-0.277563799616299,2.24144029606838
1,32,-0.07722110759363,-0.454515027342124,0.0423718247272127,0.383261297442217
2,32,-0.130626849375332,-0.286874432309716,0.0183896402214347,0.525760403212678
3,32,0.0349889347857244,0.327133711252934,-0.0368834139483112,-0.173449777308513
4,32,-0.0793039407958069,-0.475791617257362,0.0489244654510675,0.362962807213513
5,32,0.0546799605841611,0.371620189796776,-0.0375212105521689,-0.26866566370965
6,32,0.0185230235595508,-0.0893332448491363,0.00809060052834358,-0.0144944609026183
7,32,0.0842628835149795,0.629794915539142,-0.0739517599698616,-0.361362959886876
8,32,0.108476705421369,0.29753200142215,-0.0209782147461528,-0.455890966359931
9,32,0.0218084193565427,0.0248488493381762,-0.0062420280036749,-0.0420926307659728
10,32,-0.0547460728183713,-0.764229466904917,0.0746393339371079,0.412977242926815
1,33,-0.140859855127367,-1.74424285219853,0.213670237286949,0.682925255922514
2,33,0.216858525471433,0.118805677186313,0.0147538295185976,-0.814728484386427
3,33,0.00889625590853231,-0.985170981479126,0.141794164937864,-0.00594733489452324
4,33,0.292079207236303,0.264691217584527,0.0216293152283304,-1.22443856306027
5,33,0.122270629092044,-0.859268646321304,0.11631578872725,-0.262953391302444
6,33,0.224478329047815,0.324353541971727,0.00271838346268351,-0.969282577221454
7,33,0.278055323263502,0.178799444725883,0.00269475792568559,-0.963847348436278
8,33,0.0609200187043798,-0.724219280017609,0.102033214532691,-0.135947882825771
9,33,0.0854431540174688,-0.459437707711307,0.0850775389508389,-0.358176588902179
10,33,0.176822636413574,0.0515959100078824,0.00309690908064928,-0.553827583668642
1,34,-0.408824667122759,0.475197561964354,-0.118638892924049,1.45815610642252
2,34,-0.210728408940252,1.05579004295598,-0.173304217708112,0.704911529023615
3,34,-0.514742550667123,-0.320352084138812,-0.0318093519294937,1.95841095013569
4,34,-0.169313776102976,1.49609159421116,-0.211148247231837,0.401366977896857
5,34,-0.255975799806313,1.12089194907307,-0.184468051718768,0.837980283254323
6,34,-0.509978151599557,-0.309236340932401,-0.0361683906176211,1.96379262748851
7,34,-0.0869850348247617,2.06419605189811,-0.275305096072026,0.0387728283651885
8,34,-0.489616352242591,-0.224769603641856,-0.0341442283296106,1.80863631790766
9,34,-0.23626715523917,1.10623337737732,-0.19061159264565,0.842315592245852
10,34,-0.271133235507374,0.911221768222058,-0.15192957145023,0.862244750331201
1,35,0.0222169718676124,-1.43347596248274,0.201736742551486,0.000516651413967038
2,35,0.104263822206142,-0.626328008567686,0.105513603867178,-0.378140861337965
3,35,0.225797178334631,-0.45063104258026,0.0926006989411835,-0.800580874719907
4,35,0.199937229513301,-0.480938054486848,0.0899653369931144,-0.679483309263714
5,35,0.15919032420988,-0.277360942070119,0.0492138796815063,-0.495017533671701
6,35,0.0974125322678325,-0.640332965738395,0.102806606101754,-0.329413504484654
7,35,0.18590569680043,-0.41326839043317,0.100213405442724,-0.785859862131861
8,35,0.174968987757813,-0.191920465256351,0.0384877795974971,-0.548928055327404
9,35,0.247463647270282,-0.152622429000797,0.0405993359123164,-0.802039331329676
10,35,0.156991203531987,-0.43947129887851,0.0825332811579233,-0.556026672125175
1,36,0.0423341572864669,-0.483883022232002,0.0687639929430223,-0.0982157958051327
2,36,-0.193199561696893,-1.42635213266385,0.164929331942494,0.839342507433723
