id,eta_A1_SAEM,eta_tau1_SAEM,eta_A2_SAEM,eta_tau2_SAEM,eta_A1_mean,eta_tau1_mean,eta_A2_mean,eta_tau2_mean,eta_A1_mode,eta_tau1_mode,eta_A2_mode,eta_tau2_mode,eta_A1_sd,eta_tau1_sd,eta_A2_sd,eta_tau2_sd
21,0.17605,-0.94745,0.148416,-0.544898,0.16231,-0.972144,0.151397,-0.503059,0.130715,-1.17782,0.172748,-0.354551,0.0986451,0.606971,0.0705884,0.401802
30,-0.0162552,-1.44833,0.189053,0.211236,-0.024557,-1.41794,0.180168,0.264836,-0.00647764,-1.35432,0.17766,0.167242,0.0818458,0.517111,0.0566194,0.361656
31,-0.632873,1.66551,-0.305442,2.15283,-0.579452,1.85275,-0.32361,1.94185,-0.622134,1.63389,-0.297476,2.10026,0.0836264,0.456606,0.0532104,0.339448
32,0.0155102,0.0840019,-0.00803953,-0.072539,0.0174614,0.136543,-0.016333,-0.0738808,0.014107,0.0445378,-0.00406555,-0.0558704,0.108624,0.590051,0.0646447,0.459317
33,0.143071,-0.362172,0.0679166,-0.493598,0.133516,-0.430768,0.0744097,-0.442336,0.142826,-0.388243,0.0700332,-0.480826,0.106707,0.601513,0.0673413,0.443918
34,-0.352425,0.554986,-0.120344,1.23386,-0.314579,0.768591,-0.144359,1.07884,-0.323239,0.674636,-0.131504,1.10911,0.116416,0.557056,0.059053,0.486493
35,0.150004,-0.525871,0.0896208,-0.495925,0.161453,-0.42646,0.0780057,-0.548244,0.159174,-0.465969,0.0823341,-0.531604,0.0795524,0.494596,0.0572954,0.333784
36,0.0308558,-0.446291,0.063403,-0.0689851,0.0446924,-0.428338,0.0606215,-0.105757,0.0428336,-0.427136,0.0619751,-0.111389,0.0913315,0.514525,0.0572763,0.385309
37,0.437516,-0.198697,0.0811993,-1.55825,0.425257,-0.373351,0.104344,-1.50738,0.415423,-0.422705,0.110084,-1.47,0.0452956,0.39936,0.0505161,0.186804
38,-0.0272063,-0.323929,0.0405683,0.123336,-0.0140619,-0.251959,0.0300493,0.0873931,-0.0271581,-0.324137,0.0392048,0.133152,0.101749,0.556664,0.0610729,0.435912
39,-0.171946,0.173446,-0.0441937,0.600284,-0.142727,0.349052,-0.0625824,0.468549,-0.135494,0.336396,-0.0621712,0.459102,0.112488,0.553894,0.0616864,0.450835
22,0.442832,-0.191654,0.080357,-1.57438,0.45156,-0.10104,0.0727787,-1.6385,0.45241,-0.129606,0.0761027,-1.63461,0.0493979,0.471712,0.0560996,0.224955
40,0.26891,0.0722282,0.0251672,-0.984531,0.274064,0.00156399,0.0320996,-0.974366,0.289959,0.165617,0.0159906,-1.07398,0.0810649,0.527648,0.0636906,0.32065
41,0.0634794,-0.382724,0.0590386,-0.192914,0.0764211,-0.271131,0.047011,-0.25875,0.0650755,-0.367817,0.0571237,-0.199184,0.0878904,0.538105,0.0623084,0.364531
42,-0.0576708,-0.131388,0.00979748,0.224096,-0.0550567,-0.0424557,4.67423e-5,0.193528,-0.0548336,-0.13176,0.0102615,0.213419,0.116381,0.638477,0.0719944,0.479002
23,0.263101,-0.156267,0.0544157,-0.938421,0.240728,-0.223469,0.0617511,-0.859663,0.256397,-0.220862,0.062716,-0.911866,0.0679806,0.46104,0.0527009,0.303426
24,-0.166207,0.140324,-0.0394191,0.585219,-0.175809,0.102499,-0.0382076,0.642372,-0.161353,0.138303,-0.0394703,0.57458,0.102711,0.55233,0.0596347,0.43618
25,0.139757,0.0660761,0.0089079,-0.511911,0.129873,0.0232009,0.0133438,-0.471867,0.138741,0.0225961,0.0151851,-0.508351,0.088628,0.495423,0.0578234,0.357717
26,-0.56007,1.78972,-0.306846,1.83564,-0.582798,1.47177,-0.268101,1.95384,-0.575228,1.4879,-0.272023,1.94419,0.0858424,0.492892,0.0605153,0.30983
27,0.204146,-0.346889,0.0711924,-0.698747,0.198326,-0.432268,0.0815387,-0.667492,0.199921,-0.404563,0.0795698,-0.686677,0.0584616,0.361618,0.0425952,0.238471
28,-0.453284,0.869867,-0.177088,1.58265,-0.436219,0.989238,-0.186353,1.47791,-0.430608,0.956115,-0.182786,1.47169,0.136591,0.559205,0.0610378,0.535149
29,0.123392,-0.153231,0.0370063,-0.438444,0.117218,-0.17588,0.037024,-0.398115,0.114685,-0.225705,0.0449019,-0.395272,0.0901554,0.54293,0.0619556,0.378144
