rep,id,A1,tau1,A2,tau2
1,21,0.268142226392413,3.84524965206622,0.323602773946918,12.5323704652531
2,21,0.251103687380922,1.53438141205968,0.357239263084299,19.261224152999
3,21,0.235675996990262,1.25204893532668,0.369070886032696,22.4478033286604
4,21,0.194923604994075,0.751206599406797,0.382166161695958,50.0806227883594
5,21,0.250090825449112,1.51251259690093,0.358686478599448,19.2731147616942
6,21,0.209150771363022,0.908664959200748,0.377421777557138,37.143772046173
7,21,0.181753559931289,0.415969112437415,0.412407889347591,65.4780132732032
8,21,0.179937465590131,0.342868450122097,0.426644979312562,64.3384976967881
9,21,0.229589854015098,1.51959120333363,0.361910072335478,22.6598892781943
10,21,0.22381287602495,0.944967528956314,0.375073144614098,30.8330884674464
1,30,0.189328068745229,1.53673445478743,0.351406547294462,46.6766268540309
2,30,0.181674137933701,0.672757441698782,0.381350910348748,68.6134567923163
3,30,0.181866762483806,0.512677363105467,0.395548676095499,70.6167456363224
4,30,0.196972009076825,1.88269465033969,0.341656835309129,41.3010754334141
5,30,0.172987547504274,0.760630169624159,0.378312500016461,73.4329435927851
6,30,0.181492489018357,0.5035358055469,0.396082932942989,71.5719560341597
7,30,0.196555633404426,0.867958792585617,0.378341115342528,45.3371509419623
8,30,0.208273958120153,2.71409273016245,0.325130128387922,34.5673709123832
9,30,0.180135463207927,0.517602665437583,0.395504869158179,71.5913256932659
10,30,0.197163080491496,0.869490280435675,0.376673453889557,46.2309398037882
1,31,0.115672703208476,27.723019000223,0.222460306859335,223.3058646245
2,31,0.110944119474771,15.9564490163143,0.238832206314384,269.555227873441
3,31,0.0941364966757032,15.0983653868904,0.233114513286748,530.561928715512
4,31,0.100507062750823,13.2240256877756,0.239653536445733,418.860320070553
5,31,0.105423886479325,26.9683310079071,0.218866391769451,333.249732115958
6,31,0.110286615881397,22.2763931524999,0.224495064044129,300.642440101187
7,31,0.100758082177763,13.1885822524983,0.239062325297346,425.202376712394
8,31,0.106423478621047,26.0501729158497,0.219885876344192,327.51316772936
9,31,0.109894527454532,22.2726330934563,0.225909467768022,290.792336803627
10,31,0.101114157684589,12.9891188170269,0.23964225917328,420.988008112441
1,32,0.177713830366008,2.00421999397807,0.32999676417358,65.6557610145406
2,32,0.168471874712845,2.3700132590425,0.322176864817963,75.7110753934079
3,32,0.19881696038091,4.37936480957444,0.304852364989288,37.6267139532521
4,32,0.177344067310695,1.96202747520313,0.332166214460908,64.3364831634645
5,32,0.202770668815399,4.57858579367508,0.304657993177649,34.2093291558555
6,32,0.195570062883588,2.88763184994683,0.318875780676152,44.10925357228
7,32,0.208858826637964,5.92727688453708,0.293758871008652,31.1807554817921
8,32,0.213977822185963,4.2516280637081,0.309739867901014,28.3683216161665
9,32,0.196213644577607,3.23690890034475,0.314338049054459,42.9085635322144
10,32,0.181753177081928,1.47040888484474,0.340818595622897,67.6360615599791
1,33,0.166756691755391,0.551853387562881,0.391654965223044,88.5962302588502
2,33,0.238472546587823,3.55578430494602,0.321007617593472,19.8149275146037
3,33,0.193696388512779,1.1789202774651,0.364492213502871,44.4878766854426
4,33,0.25710250996372,4.11426909866016,0.323222305684669,13.1539946723075
5,33,0.216949866886614,1.3370976547474,0.355322850024758,34.4053013532677
6,33,0.2402966011945,4.36720634318845,0.317167304028067,16.9773733090633
7,33,0.253522098511826,3.77563819503509,0.317159810868706,17.0699004424548
8,33,0.204039925573294,1.53043300008371,0.350283994626161,39.0645798441348
9,33,0.209105482081668,1.99437810367297,0.34439476190453,31.2802673930786
10,33,0.229113681467616,3.32465494233633,0.317287382702816,25.7217379559465
1,34,0.127557979506471,5.07825421437252,0.280920618006635,192.350679023444
2,34,0.155503347799498,9.07533255746146,0.265976193443166,90.5657025148466
3,34,0.114738212335371,2.29198418292247,0.306403135822328,317.213485502188
4,34,0.162078679536646,14.0955842726776,0.256098664112465,66.8553299800501
5,34,0.148624036135482,9.68581003098262,0.263023392327073,103.455786324902
6,34,0.115286175287786,2.31760341514464,0.305070419490409,318.925228024753
7,34,0.175987089064669,24.8775560581444,0.240184151750392,46.5225379040721
8,34,0.117657671285278,2.52186921446166,0.305688556922914,273.089715887466
9,34,0.151582270073311,9.54486543719377,0.261412450860821,103.905272752853
10,34,0.146388263955813,7.85375491221463,0.271722534718503,105.996789216829
1,35,0.196293824532551,0.752988005312534,0.387008929614214,44.7763771381827
2,35,0.213078254827047,1.68782711922183,0.351505243282739,30.6619720573826
3,35,0.240613725269073,2.01201949065238,0.346995469300879,20.0972537865321
4,35,0.234471231244046,1.95195596239306,0.346082214551894,22.6844744067796
5,35,0.225109284639559,2.39266794876878,0.332262362002807,27.279800482117
6,35,0.211623383487352,1.66435392689792,0.350555006099868,32.1930486377708
7,35,0.231204214718981,2.08861588694896,0.349647124295639,20.3952940575041
8,35,0.228689378575683,2.60608609848882,0.328717527763037,25.8480715748971
9,35,0.245883861530599,2.71053912161933,0.329412366672149,20.0679641779124
10,35,0.224614786087207,2.03459886818852,0.343519646579278,25.6652357283942
1,36,0.200282691663068,1.94621597123675,0.338822041119105,40.5667293740325
2,36,0.158253172448,0.758371315845669,0.373023103011045,103.596812331242
3,36,0.201034483221141,1.18581014181989,0.360258169983084,43.5250821966302
