rep,id,eta_A1,eta_tau1,eta_I0
1,63,0.0316271564478026,-0.268675523449682,0.137979037216134
2,63,0.716887631896515,-1.69244034917757,0.0599606352131497
3,63,-0.484024885626185,1.50075244239118,0.12385901783509
4,63,0.784084851004672,-1.99227554840339,0.0339967456946071
5,63,0.0811464455449164,0.0244120760096027,0.0904839661058193
6,63,0.675962524600907,-2.17025677585632,0.140042994634702
7,63,0.08431677174059,0.251223433135179,0.052330119210686
8,63,0.260259874407873,-0.701974532774092,0.070839029023164
9,63,-0.135000218066096,0.51244027974008,0.1267408244694
10,63,0.0317849860059398,-0.126421309513231,0.10485011936696
1,64,-0.376522062053129,1.01069496596499,-0.0449818568104869
2,64,-0.330282320490187,0.534397666131074,0.00100752418701264
3,64,-0.378139889616416,0.703441901763235,-0.0514375924624625
4,64,-0.0136553062662864,0.434129773046866,-0.103498102025068
5,64,-0.789192533729571,2.19268311824352,-0.0329743256874598
6,64,0.275929586623837,-0.759202502122531,-0.151308448667644
7,64,-0.378387012121235,0.985615612727095,-0.0447209101639851
8,64,0.536841280593907,-0.665067315875153,-0.167404314526671
9,64,-0.464915732288397,1.00202037235471,-0.0239719457986928
10,64,-0.141642704633386,0.255630591501277,-0.0137768532429269
1,65,0.050566094043305,-0.342479914634956,0.180429777022403
2,65,1.14895185671936,-3.19501301308995,0.129133063564899
3,65,1.28149175841803,-2.64532000723536,0.0655723339949408
4,65,0.713397967513704,-1.97242390039267,0.149394094267706
5,65,1.33838263634573,-3.08993393618869,0.0630997101244662
6,65,1.09539403654153,-3.23901502797084,0.126416267648203
7,65,0.525800816482893,-1.27642332239513,0.203174484778826
8,65,0.659780355667624,-2.03247292318676,0.20788418745229
9,65,1.37674062568946,-2.9558425204812,0.0989142528713495
10,65,0.333200793865838,-1.38290569741123,0.189814460648097
1,66,-0.092629980228741,0.58450497801166,-0.00877370807190019
2,66,-0.421091655459084,1.3924873626395,-0.0049585003384753
3,66,-0.849724336446995,2.45458102136126,-0.0269174169208478
4,66,0.52791994434032,-1.18063189789548,-0.0683194129889839
5,66,-1.30336706057015,3.33304635307038,0.0270879014657601
6,66,0.0972917553346893,0.129613156498848,0.0112772738048847
7,66,-0.69687257267646,2.09503602158461,0.0134362936248969
8,66,-0.260252933018003,1.3586694329652,-0.0172766061586571
9,66,-0.849718241754538,1.72159035983201,-0.00189208929335328
10,66,-1.00777181167446,2.29421169320926,-0.00375140169751371
1,67,0.596715422316603,-1.65846782938472,-0.032688640829868
2,67,0.14080908492265,-0.856847511492385,-0.0891774136015143
3,67,-0.431776981617232,1.25569643971867,-0.0135296624688575
4,67,0.241651511892247,-0.296780806798761,-0.083713020846621
5,67,-0.0591489066679066,0.040050577910221,-0.0545347421199068
6,67,-0.333899439620396,0.757645050019211,-0.0217550124781298
7,67,-0.0676268289455074,0.217442012884913,-0.0670731974727163
8,67,-1.07701632826677,2.43177557923614,-0.0197926952230934
9,67,-0.868996911076327,1.46957213993509,0.00691382798621818
10,67,-0.0484401805808946,-0.459732937262607,-0.0170941355571329
1,68,-1.01111116214114,2.48037942235983,0.131568570419928
2,68,1.03965993353704,-2.16194242542648,0.0760868157320586
3,68,0.768857846844215,-1.60375257693038,0.120360453456763
4,68,0.702546934218107,-1.09095940357852,0.0849785682979921
5,68,0.801383855940174,-1.55116485850414,0.0525355061792544
6,68,-0.469727002043912,1.39787296898529,0.172818143726821
7,68,0.563869371996995,-2.09748544736525,0.160760750959952
8,68,0.155513007371931,-0.314649303888696,0.126426188187281
9,68,0.620438449825373,-1.50523512584405,0.0747784772215372
10,68,1.11217055664641,-1.98731702667935,0.0149644739150661
1,69,0.259213633746682,-0.270800771684685,-0.103342027319906
2,69,-0.369069743128954,0.804445175042972,-0.0587556982327408
3,69,0.364438704082915,-0.218842560261686,-0.110022969625801
4,69,0.491137552132756,-1.71783259239188,-0.168357936988056
5,69,0.277406666417691,-0.801820454189999,-0.0593912984040752
6,69,0.58216184736601,-1.63664115144263,-0.136763055272524
7,69,-0.2449056514726,0.1002791159951,-0.111478181560943
8,69,-0.773313501404628,1.41256569941429,-0.0446587725133771
9,69,-1.00353901604584,2.73775010862339,-0.0494194456769444
10,69,-0.0475150528130782,-0.272883021760577,-0.0491668769223624
1,70,0.277084609702817,-1.04083556561753,-0.146684235006374
