id,A1_SAEM,tau1_SAEM,I0_SAEM,A1_mean,tau1_mean,I0_mean,A1_mode,tau1_mode,I0_mode,A1_sd,tau1_sd,I0_sd
63,0.0277119,18237.9,0.412345,0.0285751,5306.55,0.41157,0.0266831,1816.4,0.412702,0.0145511,11303.9,0.0177786
64,0.0249731,10257.7,0.344422,0.025951,6692.85,0.344295,0.0241136,2328.46,0.344637,0.0127915,16760.3,0.0151867
65,0.0558083,1085.01,0.437214,0.054396,1610.12,0.437375,0.0539395,323.208,0.437324,0.0307218,3739.53,0.0308536
66,0.0238179,10354.8,0.362956,0.023996,7248.89,0.361966,0.0227916,2673.81,0.362473,0.0119226,13874.4,0.0147019
67,0.0246455,7591.33,0.354059,0.0252794,7425.74,0.353353,0.023925,2373.76,0.353705,0.0132505,14342,0.0157573
68,0.0425515,3186.52,0.416644,0.039999,3220.32,0.418639,0.0359865,872.159,0.421456,0.0221,6996.39,0.0235676
69,0.0261936,12038.8,0.341822,0.0276868,6486.3,0.340649,0.0242315,2300.77,0.34278,0.0140147,15856.4,0.0158177
70,0.0191476,35898.5,0.333272,0.0214854,8894.46,0.331088,0.019362,3988.84,0.332175,0.0100839,15457.6,0.0134489
71,0.0224888,9361.42,0.35353,0.0242672,9539.59,0.351368,0.0228298,2662.85,0.35225,0.01223,34810.3,0.0151722
72,0.0337938,4630.47,0.378658,0.034944,4074.25,0.377854,0.0319005,1172.13,0.379951,0.0198908,9609.04,0.0215351
