rep,id,A1,tau1,eta_A1,eta_tau1
1,1,-0.492965609137758,1.66461636827304,0.184435950403764,0.210332186195244
2,1,-0.484595506011355,1.72722020902671,0.192806053530167,0.272936026948909
3,1,-0.515020852099052,1.6959379092988,0.16238070744247,0.241653727220998
1,2,-0.637545022621542,1.50153626787946,0.0398565369199798,0.047252085801663
2,2,-0.627027102393986,1.51096740130303,0.0503744571475362,0.056683219225226
3,2,-0.607769220402932,1.56616911032514,0.0696323391385902,0.111884928247342
1,3,-0.552768770106244,1.63071751831665,0.124632789435279,0.176433336238854
2,3,-0.547993852216667,1.63159408654746,0.129407707324856,0.177309904469664
3,3,-0.541036160714357,1.64051042904435,0.136365398827165,0.186226246966553
1,4,-0.724817914844335,1.39259239760142,-0.0474163553028131,-0.0616917844763771
2,4,-0.720480265129671,1.38686430105594,-0.0430787055881486,-0.0674198810218556
3,4,-0.696815644582749,1.42988915156974,-0.0194140850412272,-0.0243950305080611
1,5,-0.879090553786788,1.18225116091414,-0.201688994245266,-0.272033021163655
2,5,-0.853348429423054,1.21249970360619,-0.175946869881532,-0.241784478471613
3,5,-0.844287898177942,1.22366561050593,-0.16688633863642,-0.230618571571874
1,6,-0.831312441256717,1.24240893000061,-0.153910881715194,-0.211875252077193
2,6,-0.836931234542936,1.22889417528025,-0.159529675001414,-0.225390006797552
3,6,-0.850976924766669,1.19124697532136,-0.173575365225147,-0.263037206756436
1,7,-0.769316696570508,1.32533227475402,-0.0919151370289863,-0.128951907323783
2,7,-0.764796687140772,1.35463208887612,-0.0873951275992495,-0.0996520932016776
3,7,-0.749269404270425,1.36124698557713,-0.0718678447289025,-0.0930371965006691
1,8,-1.05605988450092,0.926219083258277,-0.378658324959403,-0.528065098819523
2,8,-1.01366435359319,0.965160891165148,-0.336262794051663,-0.489123290912652
3,8,-1.07754798501486,0.894437690016409,-0.40014642547334,-0.559846492061391
1,9,-0.89077282364164,1.14571380420179,-0.213371264100118,-0.308570377876009
2,9,-0.872343099916396,1.18366147820018,-0.194941540374874,-0.27062270387762
3,9,-0.886882085997186,1.18129362941591,-0.209480526455664,-0.27299055266189
1,10,-0.852429052276991,1.22252694832538,-0.175027492735469,-0.231757233752415
2,10,-0.838638479635857,1.22475561188917,-0.161236920094334,-0.229528570188632
3,10,-0.834379157306309,1.24595048545216,-0.156977597764786,-0.208333696625643
1,11,-0.73493227760039,1.37299317727773,-0.0575307180588676,-0.0812910048000706
2,11,-0.695096473491912,1.40439048878788,-0.0176949139503896,-0.0498936932899179
3,11,-0.7152828191509,1.39145438046587,-0.0378812596093783,-0.0628298016119284
1,12,-0.691237567209072,1.43834220591716,-0.0138360076675498,-0.0159419761606376
2,12,-0.720175844235627,1.40095899875545,-0.0427742846941045,-0.0533251833223496
3,12,-0.713232127600159,1.40620206542356,-0.0358305680586369,-0.0480821166542438
1,13,-0.756373975124589,1.3545784037986,-0.0789724155830666,-0.0997057782792017
2,13,-0.807832600531785,1.25741496809712,-0.130431040990263,-0.196869213980681
3,13,-0.76848384144321,1.32739500469349,-0.0910822819016874,-0.126889177384309
1,14,-0.402065912913466,1.83926439847573,0.275335646628056,0.384980216397929
2,14,-0.398416656682378,1.85158111555215,0.278984902859144,0.39729693347435
3,14,-0.40842030518348,1.83161512401381,0.268981254358042,0.377330941936015
1,15,-0.579223845896676,1.58150115782631,0.0981777136448462,0.127216975748514
2,15,-0.58810012854162,1.58603320467029,0.0893014309999026,0.131749022592487
3,15,-0.590185589512243,1.59308489463631,0.0872159700292791,0.13880071255851
1,16,-0.41175237307544,1.8147311936124,0.265649186466082,0.360447011534602
2,16,-0.409945853851753,1.85922718174862,0.267455705689769,0.404942999670816
3,16,-0.412805306773729,1.84442866045425,0.264596252767793,0.390144478376451
1,17,-0.460222838510259,1.76687366196703,0.217178721031263,0.312589479889226
2,17,-0.436478668823407,1.77020088102066,0.240922890718115,0.315916698942862
3,17,-0.45834253023923,1.74508435252015,0.219059029302292,0.29080017044235
1,18,-0.503155291693396,1.70181071082284,0.174246267848126,0.247526528745045
2,18,-0.478655946088922,1.72530343774145,0.1987456134526,0.271019255663649
3,18,-0.477465710059518,1.72302839357031,0.199935849482004,0.268744211492511
1,19,-0.605930072780313,1.55269231362641,0.0714714867612088,0.0984081315486103
2,19,-0.589221157915624,1.57218015773247,0.088180401625898,0.117895975654666
3,19,-0.599755453328104,1.57884787306756,0.0776461062134184,0.124563690989757
1,20,-0.716548677841919,1.4040533905109,-0.0391471183003966,-0.0502307915668978
2,20,-0.706046362872358,1.40507782944459,-0.0286448033308355,-0.0492063526332103
3,20,-0.746398337828769,1.36683279636057,-0.0689967782872468,-0.087451385717225
