parameter,value,se_sa,rse_sa
A1_pop,0.148652463824401,0.0157120210184891,10.5696337714586
tau1_pop,1.18216021012082,0.220609850041911,18.6615864882953
I0_pop,0.357815849562708,0.0244841284055699,6.84266178691981
omega_A1,0.0642064510031503,0.0463823088185933,72.2393281265734
omega_tau1,0.592317345436076,0.138941862823741,23.4573348044449
omega_I0,0.249568373649171,0.0405864889591501,16.2626731767721
corr_tau1_A1,-0.917324571381532,0.3216350188512,-35.0622918959647
a,0.0470034639407492,0.000793938774621744,1.68910694671898
