A1_abscissa,A1_pdf,A1_cdf,tau1_abscissa,tau1_pdf,tau1_cdf,I0_abscissa,I0_pdf,I0_cdf,split
0.349476,0.0827278,0.998104,9.08146,0.00312816,0.998158,0.688921,0.00632902,0.99988,All
0.353411,0.0699472,0.998404,9.18351,0.0026409,0.998452,0.695373,0.00454657,0.999915,All
0.357347,0.0590839,0.998657,9.28556,0.00222732,0.9987,0.701825,0.00325201,0.99994,All
0.361282,0.0498621,0.998871,9.38761,0.00187675,0.998908,0.708278,0.00231636,0.999957,All
0.365217,0.0420432,0.999051,9.48967,0.00157995,0.999084,0.71473,0.00164326,0.99997,All
0.369153,0.0354214,0.999204,9.59172,0.00132897,0.999233,0.721183,0.00116122,0.999979,All
0.373088,0.0298195,0.999332,9.69377,0.00111697,0.999357,0.727635,0.000817492,0.999985,All
0.377024,0.0250852,0.999439,9.79582,0.000938085,0.999462,0.734088,0.000573417,0.99999,All
0.380959,0.021088,0.99953,9.89788,0.000787291,0.999549,0.74054,0.000400801,0.999993,All
0.384895,0.0177163,0.999606,9.99993,0.000660295,0.999623,0.746993,0.000279197,0.999995,All
0.38883,0.0148745,0.99967,10.102,0.000553436,0.999685,0.753445,0.000193849,0.999997,All
0.392765,0.0124814,0.999724,10.204,0.000463596,0.999737,0.759898,0.000134164,0.999998,All
0.396701,0.0104677,0.999769,10.3061,0.000388122,0.99978,0.76635,9.25713e-05,0.999998,All
0.400636,0.0087744,0.999807,10.4081,0.000324766,0.999816,0.772803,6.36835e-05,0.999999,All
0.404572,0.00735152,0.999838,10.5102,0.000271618,0.999847,0.779255,4.3685e-05,0.999999,All
0.408507,0.00615665,0.999865,10.6122,0.000227063,0.999872,0.785708,2.98837e-05,1,All
0.412443,0.00515383,0.999887,10.7143,0.000189735,0.999893,0.79216,2.03879e-05,1,All
0.416378,0.00431269,0.999906,10.8163,0.00015848,0.999911,0.798613,1.38736e-05,1,All
0.420313,0.00360752,0.999921,10.9184,0.000132323,0.999926,0.805065,9.41708e-06,1,All
0.424249,0.00301664,0.999934,11.0205,0.000110446,0.999938,0.811518,6.37669e-06,1,All
0.428184,0.00252176,0.999945,11.1225,9.21549e-05,0.999948,0.81797,4.30785e-06,1,All
0.43212,0.00210746,0.999954,11.2246,7.68703e-05,0.999957,0.824423,2.90366e-06,1,All
0.436055,0.00176075,0.999962,11.3266,6.4103e-05,0.999964,0.830875,1.95293e-06,1,All
0.439991,0.00147073,0.999968,11.4287,5.34425e-05,0.99997,0.837328,1.31072e-06,1,All
0.443926,0.00122821,0.999973,11.5307,4.45445e-05,0.999975,0.84378,8.77917e-07,1,All
0.447861,0.00102547,0.999978,11.6328,3.712e-05,0.999979,0.850233,5.86872e-07,1,All
0.451797,0.000856035,0.999981,11.7348,3.09271e-05,0.999983,0.856685,3.91571e-07,1,All
0.455732,0.000714481,0.999984,11.8369,2.57628e-05,0.999986,0.863138,2.60785e-07,1,All
0.459668,0.000596246,0.999987,11.9389,2.14575e-05,0.999988,0.86959,1.73375e-07,1,All
0.463603,0.000497512,0.999989,12.041,1.78691e-05,0.99999,0.876043,1.15067e-07,1,All
0.467538,0.000415081,0.999991,12.143,1.4879e-05,0.999992,0.882495,7.62428e-08,1,All
