A1_abscissa,A1_cdf,tau1_abscissa,tau1_cdf,I0_abscissa,I0_cdf,split
0.223186,0.806818,5.89184,0.806818,0.504002,0.806818,All
0.223406,0.808712,5.91077,0.808712,0.504785,0.808712,All
0.223838,0.810606,5.9266,0.810606,0.504961,0.810606,All
0.223979,0.8125,5.92794,0.8125,0.505039,0.8125,All
0.224096,0.814394,5.95273,0.814394,0.505131,0.814394,All
0.224316,0.816288,5.95339,0.816288,0.505278,0.816288,All
0.224507,0.818182,5.95788,0.818182,0.505319,0.818182,All
0.224848,0.820076,6.09641,0.820076,0.505455,0.820076,All
0.224886,0.82197,6.1014,0.82197,0.505699,0.82197,All
0.225383,0.823864,6.1082,0.823864,0.506037,0.823864,All
0.225578,0.825758,6.12057,0.825758,0.506521,0.825758,All
0.225675,0.827652,6.13551,0.827652,0.50658,0.827652,All
0.225804,0.829545,6.13782,0.829545,0.506708,0.829545,All
0.226058,0.831439,6.14955,0.831439,0.507794,0.831439,All
0.226118,0.833333,6.15295,0.833333,0.508295,0.833333,All
0.226363,0.835227,6.17868,0.835227,0.508451,0.835227,All
0.226489,0.837121,6.18614,0.837121,0.508793,0.837121,All
0.227453,0.839015,6.18623,0.839015,0.508994,0.839015,All
0.227524,0.840909,6.18781,0.840909,0.509036,0.840909,All
0.227851,0.842803,6.19041,0.842803,0.509161,0.842803,All
0.229085,0.844697,6.20312,0.844697,0.509982,0.844697,All
0.230856,0.846591,6.21387,0.846591,0.510069,0.846591,All
0.232102,0.848485,6.23582,0.848485,0.510073,0.848485,All
0.232703,0.850379,6.26375,0.850379,0.510401,0.850379,All
0.232746,0.852273,6.30868,0.852273,0.510985,0.852273,All
0.23321,0.854167,6.32644,0.854167,0.511474,0.854167,All
0.233765,0.856061,6.33269,0.856061,0.511485,0.856061,All
0.23419,0.857955,6.34065,0.857955,0.51156,0.857955,All
0.234303,0.859848,6.35893,0.859848,0.511688,0.859848,All
0.234463,0.861742,6.37773,0.861742,0.51173,0.861742,All
0.235463,0.863636,6.38883,0.863636,0.51186,0.863636,All
0.235517,0.86553,6.40013,0.86553,0.512755,0.86553,All
0.235937,0.867424,6.40503,0.867424,0.513176,0.867424,All
0.235986,0.869318,6.42507,0.869318,0.5133,0.869318,All
0.236597,0.871212,6.44007,0.871212,0.513981,0.871212,All
0.237682,0.873106,6.45517,0.873106,0.514183,0.873106,All
0.238008,0.875,6.47055,0.875,0.514892,0.875,All
0.238196,0.876894,6.48238,0.876894,0.515235,0.876894,All
0.238956,0.878788,6.51478,0.878788,0.516228,0.878788,All
0.238958,0.880682,6.52949,0.880682,0.516501,0.880682,All
0.23902,0.882576,6.5305,0.882576,0.516803,0.882576,All
0.240185,0.88447,6.54379,0.88447,0.516984,0.88447,All
0.240718,0.886364,6.56365,0.886364,0.517034,0.886364,All
0.240972,0.888258,6.57713,0.888258,0.517282,0.888258,All
0.241501,0.890152,6.5831,0.890152,0.517385,0.890152,All
0.242227,0.892045,6.6358,0.892045,0.517391,0.892045,All
0.243009,0.893939,6.63846,0.893939,0.518036,0.893939,All
0.243225,0.895833,6.64725,0.895833,0.518685,0.895833,All
0.243607,0.897727,6.66767,0.897727,0.519928,0.897727,All
0.24387,0.899621,6.67324,0.899621,0.520184,0.899621,All
0.244702,0.901515,6.7075,0.901515,0.520294,0.901515,All
0.244868,0.903409,6.70862,0.903409,0.521037,0.903409,All
0.245549,0.905303,6.73451,0.905303,0.522446,0.905303,All
0.245984,0.907197,6.77302,0.907197,0.52262,0.907197,All
0.24714,0.909091,6.81237,0.909091,0.523437,0.909091,All
0.248715,0.910985,6.8249,0.910985,0.523566,0.910985,All
0.24897,0.912879,6.84081,0.912879,0.523643,0.912879,All
0.250258,0.914773,6.84343,0.914773,0.524646,0.914773,All
0.250483,0.916667,6.84983,0.916667,0.525072,0.916667,All
0.251155,0.918561,6.85978,0.918561,0.526145,0.918561,All
0.251358,0.920455,6.87696,0.920455,0.526957,0.920455,All
0.251375,0.922348,6.92037,0.922348,0.527787,0.922348,All
0.252119,0.924242,6.93774,0.924242,0.529409,0.924242,All
0.252398,0.926136,6.98236,0.926136,0.530901,0.926136,All
0.255054,0.92803,6.99441,0.92803,0.531459,0.92803,All
0.255674,0.929924,7.05254,0.929924,0.533822,0.929924,All
0.255931,0.931818,7.05943,0.931818,0.533921,0.931818,All
0.257528,0.933712,7.09817,0.933712,0.534354,0.933712,All
0.259425,0.935606,7.10345,0.935606,0.534844,0.935606,All
0.262768,0.9375,7.11084,0.9375,0.535018,0.9375,All
0.262942,0.939394,7.11413,0.939394,0.535349,0.939394,All
0.263627,0.941288,7.14745,0.941288,0.535386,0.941288,All
0.263651,0.943182,7.16481,0.943182,0.535769,0.943182,All
0.26394,0.945076,7.17429,0.945076,0.536277,0.945076,All
0.264876,0.94697,7.20244,0.94697,0.537691,0.94697,All
0.268468,0.948864,7.21583,0.948864,0.538376,0.948864,All
0.269288,0.950758,7.23881,0.950758,0.542264,0.950758,All
0.269627,0.952652,7.29419,0.952652,0.542375,0.952652,All
0.269985,0.954545,7.30336,0.954545,0.545079,0.954545,All
0.271759,0.956439,7.30974,0.956439,0.545475,0.956439,All
0.271951,0.958333,7.38816,0.958333,0.54577,0.958333,All
0.27215,0.960227,7.41964,0.960227,0.547072,0.960227,All
0.272164,0.962121,7.49653,0.962121,0.549072,0.962121,All
0.27229,0.964015,7.52544,0.964015,0.549398,0.964015,All
0.274818,0.965909,7.61584,0.965909,0.551036,0.965909,All
0.276869,0.967803,7.67778,0.967803,0.554135,0.967803,All
0.276956,0.969697,7.68266,0.969697,0.555344,0.969697,All
0.280583,0.971591,7.68758,0.971591,0.555753,0.971591,All
0.280725,0.973485,7.72493,0.973485,0.556741,0.973485,All
0.28198,0.975379,7.74457,0.975379,0.558854,0.975379,All
0.289545,0.977273,7.74487,0.977273,0.559563,0.977273,All
0.291314,0.979167,7.77521,0.979167,0.561022,0.979167,All
0.295069,0.981061,7.78054,0.981061,0.561444,0.981061,All
0.305287,0.982955,7.81111,0.982955,0.56149,0.982955,All
0.312884,0.984848,7.83583,0.984848,0.565277,0.984848,All
0.364902,0.986742,7.92448,0.986742,0.568779,0.986742,All
0.366798,0.988636,8.14863,0.988636,0.57891,0.988636,All
0.371762,0.99053,8.15664,0.99053,0.581426,0.99053,All
0.376432,0.992424,8.19434,0.992424,0.582151,0.992424,All
0.37782,0.994318,8.58575,0.994318,0.582762,0.994318,All
0.391531,0.996212,8.90167,0.996212,0.585004,0.996212,All
0.391634,0.998106,9.03777,0.998106,0.587786,0.998106,All
0.405957,1,9.24747,1,0.587914,1,All
0.467538,1,12.143,1,0.882495,1,All
