A1_abscissa,A1_cdf,tau1_abscissa,tau1_cdf,I0_abscissa,I0_cdf,split
0.15489,0.17803,4.21551,0.17803,0.425626,0.17803,All
0.155392,0.179924,4.21716,0.179924,0.426383,0.179924,All
0.156088,0.181818,4.24756,0.181818,0.426439,0.181818,All
0.156811,0.183712,4.25936,0.183712,0.427314,0.183712,All
0.157638,0.185606,4.26558,0.185606,0.427856,0.185606,All
0.159335,0.1875,4.27246,0.1875,0.4281,0.1875,All
0.159345,0.189394,4.27304,0.189394,0.428233,0.189394,All
0.159958,0.191288,4.27612,0.191288,0.428299,0.191288,All
0.160636,0.193182,4.27638,0.193182,0.428824,0.193182,All
0.160725,0.195076,4.28182,0.195076,0.428864,0.195076,All
0.160987,0.19697,4.28582,0.19697,0.42908,0.19697,All
0.1612,0.198864,4.29102,0.198864,0.429299,0.198864,All
0.161211,0.200758,4.29148,0.200758,0.429311,0.200758,All
0.161355,0.202652,4.30607,0.202652,0.429632,0.202652,All
0.161549,0.204545,4.30707,0.204545,0.429884,0.204545,All
0.161717,0.206439,4.31571,0.206439,0.43034,0.206439,All
0.161776,0.208333,4.31837,0.208333,0.430941,0.208333,All
0.162452,0.210227,4.32074,0.210227,0.431853,0.210227,All
0.162486,0.212121,4.33454,0.212121,0.432089,0.212121,All
0.162581,0.214015,4.34019,0.214015,0.432743,0.214015,All
0.162589,0.215909,4.34747,0.215909,0.432984,0.215909,All
0.162968,0.217803,4.35329,0.217803,0.433089,0.217803,All
0.163449,0.219697,4.35351,0.219697,0.433208,0.219697,All
0.16392,0.221591,4.36066,0.221591,0.434678,0.221591,All
0.163987,0.223485,4.36336,0.223485,0.43533,0.223485,All
0.163987,0.225379,4.36681,0.225379,0.435473,0.225379,All
0.164342,0.227273,4.37122,0.227273,0.435602,0.227273,All
0.164489,0.229167,4.37205,0.229167,0.435905,0.229167,All
0.165112,0.231061,4.37435,0.231061,0.436064,0.231061,All
0.165374,0.232955,4.377,0.232955,0.436415,0.232955,All
0.165467,0.234848,4.37971,0.234848,0.436802,0.234848,All
0.16549,0.236742,4.38362,0.236742,0.437266,0.236742,All
0.165525,0.238636,4.38447,0.238636,0.438182,0.238636,All
0.165733,0.24053,4.38627,0.24053,0.438242,0.24053,All
0.165871,0.242424,4.3864,0.242424,0.438673,0.242424,All
0.166239,0.244318,4.39022,0.244318,0.439046,0.244318,All
0.167113,0.246212,4.39507,0.246212,0.439104,0.246212,All
0.167201,0.248106,4.39748,0.248106,0.439292,0.248106,All
0.167387,0.25,4.39777,0.25,0.440393,0.25,All
0.167731,0.251894,4.40064,0.251894,0.440777,0.251894,All
0.167847,0.253788,4.40759,0.253788,0.44093,0.253788,All
0.168076,0.255682,4.41012,0.255682,0.441202,0.255682,All
0.168097,0.257576,4.41993,0.257576,0.441581,0.257576,All
0.168265,0.25947,4.42065,0.25947,0.441963,0.25947,All
0.168377,0.261364,4.42435,0.261364,0.44211,0.261364,All
0.169606,0.263258,4.43056,0.263258,0.442684,0.263258,All
0.16964,0.265152,4.43394,0.265152,0.442716,0.265152,All
0.169876,0.267045,4.43751,0.267045,0.442929,0.267045,All
0.169987,0.268939,4.43898,0.268939,0.442948,0.268939,All
0.170257,0.270833,4.44589,0.270833,0.443991,0.270833,All
0.170312,0.272727,4.44647,0.272727,0.444034,0.272727,All
0.170461,0.274621,4.45058,0.274621,0.444334,0.274621,All
0.170528,0.276515,4.45771,0.276515,0.44434,0.276515,All
0.170532,0.278409,4.45897,0.278409,0.444693,0.278409,All
0.170557,0.280303,4.46689,0.280303,0.444733,0.280303,All
0.170709,0.282197,4.47476,0.282197,0.445088,0.282197,All
0.170744,0.284091,4.48081,0.284091,0.44563,0.284091,All
0.170942,0.285985,4.48194,0.285985,0.446068,0.285985,All
0.171189,0.287879,4.48313,0.287879,0.446156,0.287879,All
0.171241,0.289773,4.48482,0.289773,0.446555,0.289773,All
0.171316,0.291667,4.48492,0.291667,0.446756,0.291667,All
0.171382,0.293561,4.49194,0.293561,0.447219,0.293561,All
0.171628,0.295455,4.49955,0.295455,0.447291,0.295455,All
0.171705,0.297348,4.50195,0.297348,0.447409,0.297348,All
0.171732,0.299242,4.50367,0.299242,0.447533,0.299242,All
0.172543,0.301136,4.51053,0.301136,0.447843,0.301136,All
0.17255,0.30303,4.51064,0.30303,0.448033,0.30303,All
0.17259,0.304924,4.51199,0.304924,0.448226,0.304924,All
0.17268,0.306818,4.53607,0.306818,0.448307,0.306818,All
0.173106,0.308712,4.53774,0.308712,0.448639,0.308712,All
0.173479,0.310606,4.55634,0.310606,0.448889,0.310606,All
0.173656,0.3125,4.55672,0.3125,0.449018,0.3125,All
0.173944,0.314394,4.56213,0.314394,0.449092,0.314394,All
0.17403,0.316288,4.56579,0.316288,0.449314,0.316288,All
0.174085,0.318182,4.57404,0.318182,0.449442,0.318182,All
0.174233,0.320076,4.57657,0.320076,0.449702,0.320076,All
0.174325,0.32197,4.57845,0.32197,0.450209,0.32197,All
0.174608,0.323864,4.57997,0.323864,0.451131,0.323864,All
0.174691,0.325758,4.58463,0.325758,0.451316,0.325758,All
0.174692,0.327652,4.58973,0.327652,0.451373,0.327652,All
0.174756,0.329545,4.59445,0.329545,0.451521,0.329545,All
0.17478,0.331439,4.59877,0.331439,0.45231,0.331439,All
0.175327,0.333333,4.60123,0.333333,0.452338,0.333333,All
0.175331,0.335227,4.60265,0.335227,0.452432,0.335227,All
0.175466,0.337121,4.60375,0.337121,0.452868,0.337121,All
0.175663,0.339015,4.60826,0.339015,0.453259,0.339015,All
0.175721,0.340909,4.61004,0.340909,0.45372,0.340909,All
0.176044,0.342803,4.61045,0.342803,0.45402,0.342803,All
0.176126,0.344697,4.61291,0.344697,0.454076,0.344697,All
0.176344,0.346591,4.61392,0.346591,0.454184,0.346591,All
0.176553,0.348485,4.614,0.348485,0.454425,0.348485,All
0.176567,0.350379,4.61892,0.350379,0.454786,0.350379,All
0.176662,0.352273,4.62535,0.352273,0.454911,0.352273,All
0.176804,0.354167,4.637,0.354167,0.454988,0.354167,All
0.176826,0.356061,4.639,0.356061,0.455044,0.356061,All
0.177244,0.357955,4.64275,0.357955,0.455288,0.357955,All
0.177245,0.359848,4.64864,0.359848,0.455372,0.359848,All
0.177286,0.361742,4.65012,0.361742,0.455418,0.361742,All
0.177331,0.363636,4.65127,0.363636,0.455724,0.363636,All
0.177348,0.36553,4.65323,0.36553,0.455945,0.36553,All
0.177707,0.367424,4.65462,0.367424,0.456062,0.367424,All
0.178417,0.369318,4.65563,0.369318,0.456378,0.369318,All
0.178517,0.371212,4.66738,0.371212,0.456574,0.371212,All
0.178527,0.373106,4.66917,0.373106,0.456667,0.373106,All
0.178586,0.375,4.6692,0.375,0.45667,0.375,All
0.178658,0.376894,4.67029,0.376894,0.456798,0.376894,All
0.178763,0.378788,4.67465,0.378788,0.456912,0.378788,All
0.178781,0.380682,4.67772,0.380682,0.457044,0.380682,All
0.179123,0.382576,4.6792,0.382576,0.457077,0.382576,All
0.17917,0.38447,4.68395,0.38447,0.457091,0.38447,All
0.179191,0.386364,4.69207,0.386364,0.457174,0.386364,All
0.179193,0.388258,4.6928,0.388258,0.457268,0.388258,All
0.179318,0.390152,4.70074,0.390152,0.457331,0.390152,All
0.179371,0.392045,4.70424,0.392045,0.457506,0.392045,All
0.179511,0.393939,4.70803,0.393939,0.457521,0.393939,All
0.179673,0.395833,4.71871,0.395833,0.457617,0.395833,All
0.179846,0.397727,4.72233,0.397727,0.457653,0.397727,All
0.180067,0.399621,4.74075,0.399621,0.45766,0.399621,All
0.180431,0.401515,4.74527,0.401515,0.45827,0.401515,All
0.180502,0.403409,4.74544,0.403409,0.45836,0.403409,All
0.180586,0.405303,4.74631,0.405303,0.458505,0.405303,All
0.180654,0.407197,4.75201,0.407197,0.458614,0.407197,All
0.18079,0.409091,4.7583,0.409091,0.458774,0.409091,All
0.180986,0.410985,4.76094,0.410985,0.458974,0.410985,All
0.181744,0.412879,4.76349,0.412879,0.459329,0.412879,All
0.181794,0.414773,4.76718,0.414773,0.459411,0.414773,All
0.181798,0.416667,4.76997,0.416667,0.459612,0.416667,All
0.182008,0.418561,4.78294,0.418561,0.459988,0.418561,All
0.182043,0.420455,4.7902,0.420455,0.459992,0.420455,All
0.182211,0.422348,4.79362,0.422348,0.460097,0.422348,All
0.182413,0.424242,4.79446,0.424242,0.460332,0.424242,All
0.182444,0.426136,4.79618,0.426136,0.460493,0.426136,All
0.182446,0.42803,4.79806,0.42803,0.460676,0.42803,All
0.182493,0.429924,4.80438,0.429924,0.460693,0.429924,All
0.182707,0.431818,4.80623,0.431818,0.460778,0.431818,All
0.18277,0.433712,4.8092,0.433712,0.461372,0.433712,All
0.18277,0.435606,4.81481,0.435606,0.461432,0.435606,All
0.182976,0.4375,4.81982,0.4375,0.46161,0.4375,All
0.183476,0.439394,4.82168,0.439394,0.461655,0.439394,All
0.183553,0.441288,4.82431,0.441288,0.461726,0.441288,All
0.183666,0.443182,4.82447,0.443182,0.46173,0.443182,All
0.183793,0.445076,4.82721,0.445076,0.461792,0.445076,All
0.183818,0.44697,4.83013,0.44697,0.462225,0.44697,All
0.183861,0.448864,4.8379,0.448864,0.462558,0.448864,All
0.184131,0.450758,4.83837,0.450758,0.462827,0.450758,All
0.18451,0.452652,4.84097,0.452652,0.463506,0.452652,All
0.184634,0.454545,4.8423,0.454545,0.463532,0.454545,All
0.185209,0.456439,4.84515,0.456439,0.46361,0.456439,All
0.185437,0.458333,4.84515,0.458333,0.463613,0.458333,All
0.185659,0.460227,4.85055,0.460227,0.463935,0.460227,All
0.185851,0.462121,4.85459,0.462121,0.464275,0.462121,All
0.186131,0.464015,4.87972,0.464015,0.464332,0.464015,All
0.186141,0.465909,4.88743,0.465909,0.464362,0.465909,All
0.186225,0.467803,4.89085,0.467803,0.4646,0.467803,All
0.186304,0.469697,4.90559,0.469697,0.465154,0.469697,All
0.18633,0.471591,4.91074,0.471591,0.465456,0.471591,All
0.18633,0.473485,4.91813,0.473485,0.466367,0.473485,All
0.186472,0.475379,4.92694,0.475379,0.466437,0.475379,All
0.186523,0.477273,4.92709,0.477273,0.466441,0.477273,All
0.187502,0.479167,4.93292,0.479167,0.46648,0.479167,All
0.187521,0.481061,4.94018,0.481061,0.466533,0.481061,All
0.187546,0.482955,4.94374,0.482955,0.466671,0.482955,All
0.187562,0.484848,4.95449,0.484848,0.466742,0.484848,All
0.187566,0.486742,4.95723,0.486742,0.467281,0.486742,All
0.187701,0.488636,4.96689,0.488636,0.467342,0.488636,All
0.187819,0.49053,4.971,0.49053,0.467403,0.49053,All
0.187896,0.492424,4.97541,0.492424,0.467856,0.492424,All
0.188186,0.494318,4.98691,0.494318,0.467869,0.494318,All
0.189111,0.496212,4.99303,0.496212,0.468027,0.496212,All
0.189696,0.498106,4.99463,0.498106,0.468249,0.498106,All
0.189885,0.5,4.99601,0.5,0.468463,0.5,All
0.191653,0.501894,4.99616,0.501894,0.46854,0.501894,All
0.191711,0.503788,5.00706,0.503788,0.468567,0.503788,All
0.191898,0.505682,5.01261,0.505682,0.469048,0.505682,All
0.192121,0.507576,5.01782,0.507576,0.469049,0.507576,All
0.19215,0.50947,5.0245,0.50947,0.469151,0.50947,All
0.192401,0.511364,5.02975,0.511364,0.469396,0.511364,All
0.192582,0.513258,5.03783,0.513258,0.469551,0.513258,All
0.192713,0.515152,5.04888,0.515152,0.469763,0.515152,All
0.192761,0.517045,5.06268,0.517045,0.469966,0.517045,All
0.192796,0.518939,5.06944,0.518939,0.469997,0.518939,All
0.192939,0.520833,5.07535,0.520833,0.470042,0.520833,All
0.193093,0.522727,5.07581,0.522727,0.47023,0.522727,All
0.193095,0.524621,5.07651,0.524621,0.470418,0.524621,All
0.193205,0.526515,5.07898,0.526515,0.470891,0.526515,All
0.193586,0.528409,5.08037,0.528409,0.470909,0.528409,All
0.193742,0.530303,5.08977,0.530303,0.47093,0.530303,All
0.193919,0.532197,5.09178,0.532197,0.471248,0.532197,All
0.19414,0.534091,5.10397,0.534091,0.471276,0.534091,All
0.194176,0.535985,5.10844,0.535985,0.471361,0.535985,All
0.194415,0.537879,5.10918,0.537879,0.471578,0.537879,All
0.194582,0.539773,5.11212,0.539773,0.471972,0.539773,All
0.194684,0.541667,5.12329,0.541667,0.472203,0.541667,All
0.194965,0.543561,5.12491,0.543561,0.472261,0.543561,All
0.195226,0.545455,5.12954,0.545455,0.472682,0.545455,All
0.195742,0.547348,5.13673,0.547348,0.472814,0.547348,All
0.196083,0.549242,5.1443,0.549242,0.472869,0.549242,All
0.19615,0.551136,5.14708,0.551136,0.472946,0.551136,All
0.196521,0.55303,5.1489,0.55303,0.473263,0.55303,All
0.196704,0.554924,5.15422,0.554924,0.473273,0.554924,All
