time,REF_raw,BG,ROI_raw,id,exp_tag,ROI,REF,intensity
0,6384.442,532.405,12143.124,1,glucose_005,11626.26834,5867.58634,0.48390736057868544
0.35389999999999944,7232.721,531.751,11857.107,1,glucose_005,11340.25134,6715.865339999999,0.540240397726398
0.7077999999999998,7517.884,525.223,11943.603,1,glucose_005,11426.74734,7001.02834,0.5674751614997562
1.0617,7963.256,504.029,12015.938,1,glucose_005,11499.08234,7446.40034,0.6073960481729788
1.4155999999999995,8347.07,525.54,12124.449,1,glucose_005,11607.593340000001,7830.2143399999995,0.6447305238834491
1.7694999999999999,8120.116,531.635,12135.149,1,glucose_005,11618.29334,7603.26034,0.6266204951038153
2.1234,7459.698,502.848,12202.235,1,glucose_005,11685.379340000001,6942.84234,0.575496273016517
2.4772999999999996,7618.512,509.954,12109.753,1,glucose_005,11592.897340000001,7101.6563399999995,0.5840016028757363
2.8312,7238.465,504.199,11863.14,1,glucose_005,11346.28434,6721.60934,0.5409901119876455
3.1851000000000003,7936.558,486.52,11916.616,1,glucose_005,11399.76034,7419.70234,0.599990813250363
3.5389999999999997,8742.07,501.623,12004.096,1,glucose_005,11487.24034,8225.21434,0.6702322610647136
3.8929,8313.14,499.138,11953.979,1,glucose_005,11437.12334,7796.284339999999,0.6325092358143988
4.2467999999999995,8655.93,505.832,11912.64,1,glucose_005,11395.78434,8139.07434,0.6579329453578667
4.6007,8865.256,524.797,12214.614,1,glucose_005,11697.75834,8348.40034,0.6927368796466808
4.954599999999999,9790.953,512.861,12032.858,1,glucose_005,11516.002340000001,9274.09734,0.7575927172288984
5.3085,6942.884,527.936,11943.171,1,glucose_005,11426.315340000001,6426.02834,0.5208482852857288
5.6624,8804.302,509.981,12161.166,1,glucose_005,11644.31034,8287.44634,0.6845369536189521
6.0161999999999995,9017.349,510.046,12025.692,1,glucose_005,11508.83634,8500.49334,0.693965599286762
6.370099999999999,7198.023,534.269,12366.279,1,glucose_005,11849.423340000001,6681.16734,0.5615804258731059
6.724,8255.651,503.357,12115.366,1,glucose_005,11598.51034,7738.79534,0.6367045775993087
7.0779,8906.023,514.89,11583.429,1,glucose_005,11066.57334,8389.16734,0.6585585927256989
7.431799999999999,8067.674,504.865,11763.823,1,glucose_005,11246.967340000001,7550.81834,0.6024095564549007
7.7857,8645.884,526.777,11832.28,1,glucose_005,11315.424340000001,8129.02834,0.6524870242943318
8.1396,6883.744,505.178,12006.065,1,glucose_005,11489.209340000001,6366.8883399999995,0.5188953428017146
8.4935,8374.233,528.274,12149.167,1,glucose_005,11632.31134,7857.37734,0.6483447887564355
8.8474,8691.163,523.501,12171.154,1,glucose_005,11654.298340000001,8174.30734,0.6757709067970303
9.2013,8211.14,508.848,12122.805,1,glucose_005,11605.949340000001,7694.284339999999,0.6334484806400276
9.5552,9871.047,504.763,12041.017,1,glucose_005,11524.16134,9354.191340000001,0.764676908657821
9.9091,8222.512,527.049,12327.833,1,glucose_005,11810.977340000001,7705.6563400000005,0.6455915975178638
10.263,7853.953,534.323,11909.663,1,glucose_005,11392.807340000001,7337.09734,0.5929491226900684
10.6169,8479.512,518.55,11754.946,1,glucose_005,11238.09034,7962.6563400000005,0.6347648768847877
10.9708,9207.884,504.474,11662.981,1,glucose_005,11146.12534,8691.02834,0.6871593897442249
11.3247,9067.326,521.946,11898.104,1,glucose_005,11381.24834,8550.47034,0.690307038264131
11.6786,11778.395,537.82,11773.668,1,glucose_005,11256.81234,11261.539340000001,0.8992399259550885
12.0325,10532.488,525.234,11777.36,1,glucose_005,11260.504340000001,10015.63234,0.8000158896539182
12.3863,8058.209,514.991,12039.204,1,glucose_005,11522.34834,7541.35334,0.6163858876765462
12.7402,7846.651,518.837,12015.196,1,glucose_005,11498.34034,7329.79534,0.5978461055992077
13.0941,8986.14,519.065,11929.991,1,glucose_005,11413.13534,8469.28434,0.685668309880116
13.447999999999999,8171.744,517.258,11850.621,1,glucose_005,11333.76534,7654.8883399999995,0.6154254805693216
13.801900000000002,8613.442,525.588,11991.698,1,glucose_005,11474.842340000001,8096.586339999999,0.6590389389978303
14.155800000000001,9746.047,504.262,11795.193,1,glucose_005,11278.33734,9229.191340000001,0.738365042481981
14.5097,8065.767,524.811,11682.615,1,glucose_005,11165.75934,7548.91134,0.5979088539675685
14.8636,8486.86,514.868,11668.223,1,glucose_005,11151.36734,7970.00434,0.6304477177800761
15.2175,8113.395,518.772,11806.996,1,glucose_005,11290.14034,7596.53934,0.6083836420249403
15.571399999999999,8985.279,524.268,11850.459,1,glucose_005,11333.603340000001,8468.423340000001,0.6808210360004263
15.925299999999998,9155.349,502.8,11972.007,1,glucose_005,11455.15134,8638.49334,0.7019420032688719
16.279200000000003,7976.93,527.252,11827.674,1,glucose_005,11310.818340000002,7460.07434,0.5985488206000951
16.6331,7669.419,525.405,12019.531,1,glucose_005,11502.675340000002,7152.56334,0.583610331257943
16.987000000000002,8747.372,517.557,11846.117,1,glucose_005,11329.261340000001,8230.51634,0.6614409417926042
17.340899999999998,9287.023,528.829,11747.793,1,glucose_005,11230.93734,8770.16734,0.6986928211541493
17.6948,9384.395,530.996,11822.679,1,glucose_005,11305.82334,8867.539340000001,0.7111606459023597
18.048699999999997,8597.047,525.774,12019.672,1,glucose_005,11502.816340000001,8080.19134,0.6593078208928201
18.4026,7686.07,514.205,11987.076,1,glucose_005,11470.22034,7169.2143399999995,0.5833184622693866
18.7564,10078.186,513.306,11808.293,1,glucose_005,11291.43734,9561.33034,0.7658257215102539
