time,BG,ROI_raw,REF_raw,id,exp_tag,ROI,REF,intensity
8.8474,961.468,7932.848,2471.894,1,glucose_2,6959.30617,1498.35217,0.645464534
9.2013,961.338,8091.043,2487.47,1,glucose_2,7117.50117,1513.92817,0.666999267
9.5552,982.025,7556.478,2499.993,1,glucose_2,6582.93617,1526.45117,0.622006753
9.9091,970.079,8087.913,2457.044,1,glucose_2,7114.37117,1483.50217,0.6533069
10.263,973.883,7587.283,2447.793,1,glucose_2,6613.74117,1474.25117,0.603547166
10.6169,985.787,7497.457,2463.154,1,glucose_2,6523.91517,1489.61217,0.601553221
10.9708,978.292,9202.5,2484.063,1,glucose_2,8228.95817,1510.52117,0.76942131
11.3247,982.277,8348.761,2459.631,1,glucose_2,7375.21917,1486.08917,0.678441397
11.6786,983.947,7679.587,2447.819,1,glucose_2,6706.04517,1474.27717,0.611981303
12.0325,976.01,7937.478,2446.584,1,glucose_2,6963.93617,1473.04217,0.634983589
12.3863,979.432,7725.326,2497.398,1,glucose_2,6751.78417,1523.85617,0.636876271
12.7402,981.733,8202.804,2477.688,1,glucose_2,7229.26217,1504.14617,0.673095298
13.0941,966.133,8355.717,2498.208,1,glucose_2,7382.17517,1524.66617,0.696709368
13.448,980.358,8748.37,2463.44,1,glucose_2,7774.82817,1489.89817,0.717034291
13.8019,973.674,7816.652,2474.753,1,glucose_2,6843.11017,1501.21117,0.635898585
14.1558,985.626,8314.913,2445.839,1,glucose_2,7341.37117,1472.29717,0.669060204
14.5097,973.413,8755.739,2468.243,1,glucose_2,7782.19717,1494.70117,0.7200276
14.8636,975.404,8558.109,2457.22,1,glucose_2,7584.56717,1483.67817,0.696567244
15.2175,988.411,8659.913,2473.316,1,glucose_2,7686.37117,1499.77417,0.713575222
15.5714,982.22,8627.022,2436.37,1,glucose_2,7653.48017,1462.82817,0.69301848
15.9253,979.364,8080.804,2442.57,1,glucose_2,7107.26217,1469.02817,0.646286373
16.2792,974.606,8123.935,2471.938,1,glucose_2,7150.39317,1498.39617,0.663207023
16.6331,976.091,8729.522,2474.434,1,glucose_2,7755.98017,1500.89217,0.720574222
16.987,987.694,8312.652,2473.784,1,glucose_2,7339.11017,1500.24217,0.681549362
17.3409,967.701,7463.13,2471.833,1,glucose_2,6489.58817,1498.29117,0.601874435
17.6948,965.884,8187.87,2464.332,1,glucose_2,7214.32817,1490.79017,0.665740463
18.0487,977.201,7933.739,2453.717,1,glucose_2,6960.19717,1480.17517,0.637715829
18.4026,975.006,8416.674,2452.486,1,glucose_2,7443.13217,1478.94417,0.681396738
18.7564,969.161,7794.413,2456.952,1,glucose_2,6820.87117,1483.41017,0.62631619
19.1103,974.164,7717.696,2453.613,1,glucose_2,6744.15417,1480.07117,0.617877852
19.4642,972.425,8277.978,2459.503,1,glucose_2,7304.43617,1485.96117,0.671872242
19.8181,975.45,7654.978,2420.582,1,glucose_2,6681.43617,1447.04017,0.598470779
20.172,963.36,7415.022,2450.03,1,glucose_2,6441.48017,1476.48817,0.58871918
20.5259,974.047,6285.522,2425.227,1,glucose_2,5311.98017,1451.68517,0.477332961
20.8798,971.967,8197.761,2448.561,1,glucose_2,7224.21917,1475.01917,0.659600714
21.2337,962.188,7765.761,2442,1,glucose_2,6792.21917,1468.45817,0.617398842
21.5876,970.33,7654.826,2445.132,1,glucose_2,6681.28417,1471.59017,0.608610389
21.9415,961.473,8257.022,2434.926,1,glucose_2,7283.48017,1461.38417,0.658864154
22.2954,975.361,8515.717,2430.674,1,glucose_2,7542.17517,1457.13217,0.680280623
22.6493,966.96,8592.435,2435.124,1,glucose_2,7618.89317,1461.58217,0.689299018
23.0032,967.68,8107.5,2435.868,1,glucose_2,7133.95817,1462.32617,0.645754365
23.3571,993.89,8137.304,2422.306,1,glucose_2,7163.76217,1448.76417,0.642438257
23.711,976.683,8648.043,2445.003,1,glucose_2,7674.50117,1471.46117,0.699023059
24.0649,976.736,7946.217,2437.622,1,glucose_2,6972.67517,1464.08017,0.631912333
24.4188,976.014,8459.891,2439.215,1,glucose_2,7486.34917,1465.67317,0.679203252
24.7727,981.744,8591.804,2441.901,1,glucose_2,7618.26217,1468.35917,0.692437777
25.1265,968.424,8068.609,2418.522,1,glucose_2,7095.06717,1444.98017,0.634615884
25.4804,974.212,8297.217,2442.952,1,glucose_2,7323.67517,1469.41017,0.666138684
25.8343,975.586,8460.196,2445.737,1,glucose_2,7486.65417,1472.19517,0.682253387
26.1882,976.169,7957.609,2443.721,1,glucose_2,6984.06717,1470.17917,0.635581448
26.5421,968.363,8588.435,2444.691,1,glucose_2,7614.89317,1471.14917,0.693446668
26.896,971.856,8887.065,2432.738,1,glucose_2,7913.52317,1459.19617,0.714786101
27.2499,983.689,7676,2438.061,1,glucose_2,6702.45817,1464.51917,0.607605523
27.6038,989.338,7914.478,2448.491,1,glucose_2,6940.93617,1474.94917,0.633705744
27.9577,979.416,8008.13,2426.628,1,glucose_2,7034.58817,1453.08617,0.63273606
28.3116,981.322,8404.739,2448.74,1,glucose_2,7431.19717,1475.19817,0.67858099
28.6655,972.794,7487.326,2453.843,1,glucose_2,6513.78417,1480.30117,0.596864826
29.0194,967.166,8026.63,2433.93,1,glucose_2,7053.08817,1460.38817,0.637588035
29.3733,978.502,8559.652,2411.9,1,glucose_2,7586.11017,1438.35817,0.675427485
29.7272,994.926,6982.196,2406.083,1,glucose_2,6008.65417,1432.54117,0.532815512
30.0811,976.87,7998.761,2375.95,1,glucose_2,7025.21917,1402.40817,0.609855367
30.435,974.146,8637.174,2395.374,1,glucose_2,7663.63217,1421.83217,0.674490019
30.7889,976.187,8053.217,2385.813,1,glucose_2,7079.67517,1412.27117,0.618904962
31.1428,979.758,7810.391,2379.509,1,glucose_2,6836.84917,1405.96717,0.595009251
31.4966,987.737,8144.13,2406.512,1,glucose_2,7170.58817,1432.97017,0.63604006
0,989.718,5525.2,1501.864,2,glucose_2,4533.90046,510.56446,0.478540886
0.3539,994.073,6985.167,1515.627,2,glucose_2,5993.86746,524.32746,0.649690066
0.7078,988.297,9005.033,1512.377,2,glucose_2,8013.73346,521.07746,0.863244199
1.0617,995.767,6732.8,1519.985,2,glucose_2,5741.50046,528.68546,0.627507987
1.4156,996.044,7038.2,1540.07,2,glucose_2,6046.90046,548.77046,0.685993551
1.7695,987.331,7249.733,1528.449,2,glucose_2,6258.43346,537.14946,0.694955938
2.1233,990.489,7339.667,1524.613,2,glucose_2,6348.36746,533.31346,0.699908212
2.4772,989.509,6996.2,1528.536,2,glucose_2,6004.90046,537.23646,0.666910844
2.8311,982.012,7721.2,1543.871,2,glucose_2,6729.90046,552.57146,0.768764957
3.185,990.884,7323.9,1532.805,2,glucose_2,6332.60046,541.50546,0.708894188
3.5389,984.758,6680.833,1507.741,2,glucose_2,5689.53346,516.44146,0.607427212
3.8928,985.187,7404.967,1508.409,2,glucose_2,6413.66746,517.10946,0.685623049
4.2467,989.491,7448.1,1514.965,2,glucose_2,6456.80046,523.66546,0.698984882
4.6006,990.809,7701.233,1520.742,2,glucose_2,6709.93346,529.44246,0.734401354
4.9545,981.388,7424.467,1522.164,2,glucose_2,6433.16746,530.86446,0.706000479
5.3084,980.308,7972.6,1506.512,2,glucose_2,6981.30046,515.21246,0.743565403
5.6623,992.76,7987.967,1518.453,2,glucose_2,6996.66746,527.15346,0.762473549
6.0162,986.881,7538,1523.838,2,glucose_2,6546.70046,532.53846,0.72072558
6.3701,991.509,7654.333,1519.708,2,glucose_2,6663.03346,528.40846,0.727843896
6.724,983.917,8114.167,1515.638,2,glucose_2,7122.86746,524.33846,0.772081356
7.0779,989.176,7299.433,1504.925,2,glucose_2,6308.13346,513.62546,0.669798089
7.4318,990.574,7309.1,1528.421,2,glucose_2,6317.80046,537.12146,0.701511665
7.7857,994.466,7145.833,1522.002,2,glucose_2,6154.53346,530.70246,0.675216001
8.1396,991.114,8241.2,1518.656,2,glucose_2,7249.90046,527.35646,0.790374285
8.4934,989.016,7290,1517.024,2,glucose_2,6298.70046,525.72446,0.684550713
8.8473,984.732,7587.2,1505.653,2,glucose_2,6595.90046,514.35346,0.701345874
9.2012,980.381,7614.2,1511.402,2,glucose_2,6622.90046,520.10246,0.712087928
9.5551,994.028,7010.4,1514.654,2,glucose_2,6019.10046,523.35446,0.651214421
9.909,983.624,7510.033,1512.433,2,glucose_2,6518.73346,521.13346,0.702277363
10.2629,989.548,7476.233,1516.319,2,glucose_2,6484.93346,525.01946,0.703845621
10.6168,991.14,8385.467,1515.089,2,glucose_2,7394.16746,523.78946,0.800649662
10.9707,990.408,9264.667,1515.217,2,glucose_2,8273.36746,523.91746,0.896069455
11.3246,986.426,7985.2,1499.449,2,glucose_2,6993.90046,508.14946,0.734695539
11.6785,980.859,7106.333,1525.391,2,glucose_2,6115.03346,534.09146,0.675166614
12.0324,988.808,8053.267,1513.848,2,glucose_2,7061.96746,522.54846,0.7628669
12.3863,978.567,7986.667,1518.897,2,glucose_2,6995.36746,527.59746,0.762973961
12.7402,989.537,7375.5,1518.605,2,glucose_2,6384.20046,527.30546,0.69592954
13.0941,989.272,7962.267,1515.867,2,glucose_2,6970.96746,524.56746,0.755946203
13.448,989.921,8614,1530.309,2,glucose_2,7622.70046,539.00946,0.849379411
13.8019,989.72,6611.1,1504.414,2,glucose_2,5619.80046,513.11446,0.596117178
14.1558,981.576,8656.233,1513.592,2,glucose_2,7664.93346,522.29246,0.827596477
14.5096,999.02,8053.867,1510.617,2,glucose_2,7062.56746,519.31746,0.758214388
14.8635,988.94,7263.533,1522.177,2,glucose_2,6272.23346,530.87746,0.688355821
15.2174,988.408,6896.367,1502.132,2,glucose_2,5905.06746,510.83246,0.623590998
15.5713,982.812,8134.967,1519.19,2,glucose_2,7143.66746,527.89046,0.779581512
15.9252,985.045,7694.967,1519.884,2,glucose_2,6703.66746,528.58446,0.732526502
16.2791,988.559,8072.4,1522.147,2,glucose_2,7081.10046,530.84746,0.777082247
16.633,989.117,7176.033,1518.419,2,glucose_2,6184.73346,527.11946,0.673948212
16.9869,981.07,8609.8,1499.246,2,glucose_2,7618.50046,507.94646,0.799988831
17.3408,984.316,7819.333,1506.167,2,glucose_2,6828.03346,514.86746,0.726754239
17.6947,995.58,7715.733,1489.496,2,glucose_2,6724.43346,498.19646,0.692552698
18.0486,997.277,8677.3,1519.116,2,glucose_2,7686.00046,527.81646,0.838648208
18.4025,1006.204,7766.133,1517.475,2,glucose_2,6774.83346,526.17546,0.736929091
18.7564,988.066,7551.033,1532.48,2,glucose_2,6559.73346,541.18046,0.733879554
19.1103,1009.031,8280.233,1507.999,2,glucose_2,7288.93346,516.69946,0.778571462
19.4642,995.948,7008.6,1496.732,2,glucose_2,6017.30046,505.43246,0.628725848
19.8181,996.983,7442.667,1511.114,2,glucose_2,6451.36746,519.81446,0.69326076700000006
20.172,997.566,7443.667,1516.427,2,glucose_2,6452.36746,525.12746,0.700455112
20.5259,999.717,7973.967,1510.392,2,glucose_2,6982.66746,519.09246,0.749311794
20.8797,995.826,7607.667,1515.653,2,glucose_2,6616.36746,524.35346,0.717199937
21.2336,995.474,7211.667,1505.29,2,glucose_2,6220.36746,513.99046,0.660948448
21.5875,990.463,8249.7,1515.728,2,glucose_2,7258.40046,524.42846,0.786907465
21.9414,981.184,7286.033,1531.498,2,glucose_2,6294.73346,540.19846,0.702954434
22.2953,998.052,6984.5,1519.533,2,glucose_2,5993.20046,528.23346,0.654457124
22.6492,988.132,7710.2,1511.461,2,glucose_2,6718.90046,520.16146,0.722491706
23.0031,997.452,7627.833,1535.701,2,glucose_2,6636.53346,544.40146,0.74689071
23.357,988.986,7697.167,1510.974,2,glucose_2,6705.86746,519.67446,0.720415132
23.7109,999.853,8759.633,1506.964,2,glucose_2,7768.33346,515.66446,0.82811671
24.0648,992.376,7517.767,1509.741,2,glucose_2,6526.46746,518.44146,0.699478532
24.4187,1000.152,8523.333,1509.041,2,glucose_2,7532.03346,517.74146,0.806160792
24.7726,992.722,7135.333,1513.759,2,glucose_2,6144.03346,522.45946,0.663594316
25.1265,997.015,8378.967,1539.125,2,glucose_2,7387.66746,547.82546,0.836654282
25.4804,993.053,9056.233,1509.497,2,glucose_2,8064.93346,518.19746,0.863957852
25.8343,995.069,8894.6,1522.418,2,glucose_2,7903.30046,531.11846,0.867753506
26.1882,1003.706,8518.867,1527.518,2,glucose_2,7527.56746,536.21846,0.834435755
26.5421,996.976,7881.7,1527.185,2,glucose_2,6890.40046,535.88546,0.763331043
26.896,998.872,7465.2,1520.554,2,glucose_2,6473.90046,529.25446,0.708315967
27.2498,993.859,7927.833,1499.459,2,glucose_2,6936.53346,508.15946,0.728683588
27.6037,1001.813,7730.767,1514.888,2,glucose_2,6739.46746,523.58846,0.729477892
27.9576,1000.93,7834.533,1525.57,2,glucose_2,6843.23346,534.27046,0.755821091
28.3115,996.003,8650.533,1519.528,2,glucose_2,7659.23346,528.22846,0.836379908
28.6654,999.799,8318.967,1526.568,2,glucose_2,7327.66746,535.26846,0.810837627
29.0193,1002.405,7547.2,1525.672,2,glucose_2,6555.90046,534.37246,0.724223989
29.3732,989.551,7850.333,1512.945,2,glucose_2,6859.03346,521.64546,0.739664612
29.7271,998.822,7181.133,1512.113,2,glucose_2,6189.83346,520.81346,0.666434776
30.081,992.231,8421.567,1502.613,2,glucose_2,7430.26746,511.31346,0.78539505
30.4349,997.334,8578.633,1504.516,2,glucose_2,7587.33346,513.21646,0.804982124
30.7888,996.079,7892.833,1509.875,2,glucose_2,6901.53346,518.57546,0.739867664
31.1427,991.623,8229.9,1515.124,2,glucose_2,7238.60046,523.82446,0.783857048
31.4966,1004.826,6672.5,1497.312,2,glucose_2,5681.20046,506.01246,0.594289165
0,1047.964,4304.571,1542.408,3,glucose_2,3264.05244,501.88944,0.382444384
0.3539,1046.843,6053.167,1535.609,3,glucose_2,5012.64844,495.09044,0.579368513
0.7078,1047.622,7117.214,1517.545,3,glucose_2,6076.69544,477.02644,0.676726251
1.0617,1037.225,6793.31,1537.329,3,glucose_2,5752.79144,496.81044,0.667225207
1.4156,1055.85,6449.214,1540.805,3,glucose_2,5408.69544,500.28644,0.631705068
1.7695,1043.806,6030.738,1547.224,3,glucose_2,4990.21944,506.70544,0.590307516
2.1234,1048.853,7376.833,1556.213,3,glucose_2,6336.31444,515.69444,0.762837918
2.4773,1049.27,6096.952,1545.389,3,glucose_2,5056.43344,504.87044,0.595974037
2.8312,1060.436,5492.048,1539.63,3,glucose_2,4451.52944,499.11144,0.51869239
3.1851,1047.476,6219.167,1549.11,3,glucose_2,5178.64844,508.59144,0.614877466
3.539,1046.703,6905.643,1547.252,3,glucose_2,5865.12444,506.73344,0.693840902
3.8929,1049.528,7575.071,1544.451,3,glucose_2,6534.55244,503.93244,0.768760864
4.2468,1047.321,8195.69,1556.117,3,glucose_2,7155.17144,515.59844,0.861260919
4.6007,1026.119,7076,1534.277,3,glucose_2,6035.48144,493.75844,0.695712094
4.9546,1041.159,6451.405,1536.956,3,glucose_2,5410.88644,496.43744,0.627098914
5.3085,1042.574,6111.952,1549.097,3,glucose_2,5071.43344,508.57844,0.602132096
5.6624,1038.763,6462.357,1530.631,3,glucose_2,5421.83844,490.11244,0.620362304
6.0162,1047.726,6946.619,1545.844,3,glucose_2,5906.10044,505.32544,0.696746977
6.3701,1045.89,7378.595,1535.849,3,glucose_2,6338.07644,495.33044,0.732918346
6.724,1052.966,7064.19,1543.32,3,glucose_2,6023.67144,502.80144,0.707067524
7.0779,1043.352,7309.19,1547.983,3,glucose_2,6268.67144,507.46444,0.742650067
7.4318,1050.763,7165.31,1549.014,3,glucose_2,6124.79144,508.49544,0.727078779
7.7857,1056.884,5895.381,1527.777,3,glucose_2,4854.86244,487.25844,0.552254675
8.1396,1045.271,6825.405,1545.109,3,glucose_2,5784.88644,504.59044,0.681454648
8.4935,1044.739,7101.262,1541.25,3,glucose_2,6060.74344,500.73144,0.708490225
8.8474,1033.827,7084.833,1543.894,3,glucose_2,6044.31444,503.37544,0.710300587
9.2013,1026.999,7536.595,1532.544,3,glucose_2,6496.07644,492.02544,0.746176878
9.5552,1051.318,6142.524,1527.315,3,glucose_2,5102.00544,486.79644,0.579817625
9.9091,1028.092,6994.905,1531.058,3,glucose_2,5954.38644,490.53944,0.681889574
10.263,1032.159,6795.714,1527.265,3,glucose_2,5755.19544,486.74644,0.653982252
10.6169,1042.935,6298.833,1548.846,3,glucose_2,5258.31444,508.32744,0.624012384
10.9708,1038.29,7165.524,1539.069,3,glucose_2,6125.00544,498.55044,0.7128837
11.3247,1042.869,6117.214,1523.675,3,glucose_2,5076.69544,483.15644,0.572627215
11.6786,1040.366,6592.262,1527.051,3,glucose_2,5551.74344,486.53244,0.630585954
12.0325,1009.307,6787.071,1527.12,3,glucose_2,5746.55244,486.60144,0.652805592
12.3863,1017.588,7220.738,1522.538,3,glucose_2,6180.21944,482.01944,0.695459032
12.7402,1048.001,6753.952,1524.457,3,glucose_2,5713.43344,483.93844,0.645491302
13.0941,1026.052,6693.881,1514.539,3,glucose_2,5653.36244,474.02044,0.62561478
13.448,1041.582,7238.31,1534.463,3,glucose_2,6197.79144,493.94444,0.71469075
13.8019,1027.68,6084.429,1540.252,3,glucose_2,5043.91044,499.73344,0.588449069
14.1558,1034.589,5396.095,1538.35,3,glucose_2,4355.57644,497.83144,0.506210399
14.5097,1028.311,6262.5,1526.99,3,glucose_2,5221.98144,486.47144,0.593056096
14.8636,1027.9,7514.881,1530.007,3,glucose_2,6474.36244,489.48844,0.739848078
15.2175,1029.078,5354.643,1528.149,3,glucose_2,4314.12444,487.63044,0.491118822
15.5714,1040.608,6975.81,1546.567,3,glucose_2,5935.29144,506.04844,0.701192466
15.9253,1025.786,6627.857,1522.369,3,glucose_2,5587.33844,481.85044,0.628521793
16.2792,1041.943,6043.881,1523.075,3,glucose_2,5003.36244,482.55644,0.563654764
16.6331,1030.98,7113.881,1535.716,3,glucose_2,6073.36244,495.19744,0.702118946
16.987,1046.37,7587.119,1530.568,3,glucose_2,6546.60044,490.04944,0.748960364
17.3409,1039.313,6789.81,1541.082,3,glucose_2,5749.29144,500.56344,0.671856546
17.6948,1036.848,6969.333,1530.066,3,glucose_2,5928.81444,489.54744,0.677588059
18.0487,1040.003,6944.476,1533.67,3,glucose_2,5903.95744,493.15144,0.679714643
18.4026,1041.803,7464.214,1544.223,3,glucose_2,6423.69544,503.70444,0.755377115
18.7564,1036.188,6392.452,1529.905,3,glucose_2,5351.93344,489.38644,0.611456741
19.1103,1037.881,6058.262,1532.987,3,glucose_2,5017.74344,492.46844,0.576885944
19.4642,1036.008,6125.167,1537.95,3,glucose_2,5084.64844,497.43144,0.59046922
19.8181,1041.212,7249.381,1537.517,3,glucose_2,6208.86244,496.99844,0.72039413
20.172,1025.935,5529.857,1542.313,3,glucose_2,4489.33844,501.79444,0.525909837
20.5259,1050.899,7595.5,1545.684,3,glucose_2,6554.98144,505.16544,0.773051095
20.8798,1046.06,6879,1551.139,3,glucose_2,5838.48144,510.62044,0.695987118
21.2337,1048.018,6156.214,1532.528,3,glucose_2,5115.69544,492.00944,0.587599231
21.5876,1046.761,6633.5,1542.468,3,glucose_2,5592.98144,501.94944,0.655400026
21.9415,1040.835,6674.833,1547.99,3,glucose_2,5634.31444,507.47144,0.667506944
22.2954,1038.701,6532.714,1519.255,3,glucose_2,5492.19544,478.73644,0.613826412
22.6493,1031.732,7364.5,1515.493,3,glucose_2,6323.98144,474.97444,0.701235555
23.0032,1046.237,6421.071,1540.87,3,glucose_2,5380.55244,500.35144,0.628499772
23.3571,1044.25,6011.905,1545.743,3,glucose_2,4971.38644,505.22444,0.586360865
23.711,1044.616,7301,1551.268,3,glucose_2,6260.48144,510.74944,0.746480958
24.0649,1048.191,7192.5,1548.904,3,glucose_2,6151.98144,508.38544,0.730148542
24.4188,1048.506,7431.214,1543.37,3,glucose_2,6390.69544,502.85144,0.750223944
24.7727,1016.531,7052.5,1549.434,3,glucose_2,6011.98144,508.91544,0.714276497
25.1265,1038.898,7016.5,1537.067,3,glucose_2,5975.98144,496.54844,0.6927459
25.4804,1032.866,7088.976,1533.702,3,glucose_2,6048.45744,493.18344,0.696395918
25.8343,1032.789,6213.548,1503.527,3,glucose_2,5173.02944,463.00844,0.559161112
26.1882,1040.679,6616.405,1520.162,3,glucose_2,5575.88644,479.64344,0.62436066
26.5421,1041.425,7725.119,1518.194,3,glucose_2,6684.60044,477.67544,0.745437896
26.896,1043.904,7033.952,1543.897,3,glucose_2,5993.43344,503.37844,0.704325479
27.2499,1022.469,6823.643,1536.453,3,glucose_2,5783.12444,495.93444,0.669560628
27.6038,1025.836,6015.881,1536.83,3,glucose_2,4975.36244,496.31144,0.576477168
27.9577,1027.763,6429.548,1538.191,3,glucose_2,5389.02944,497.67244,0.626119528
28.3116,1023.666,6178.786,1517.529,3,glucose_2,5138.26744,477.01044,0.572199786
28.6655,1020.219,6663.476,1515.125,3,glucose_2,5622.95744,474.60644,0.623019336
29.0194,1039.95,6568.5,1528.286,3,glucose_2,5527.98144,487.76744,0.629480795
29.3733,1018.18,6863.119,1537.89,3,glucose_2,5822.60044,497.37144,0.67608443
29.7272,1028.65,6066.571,1560.68,3,glucose_2,5026.05244,520.16144,0.610334995
30.0811,1036.123,6729.143,1537.07,3,glucose_2,5688.62444,496.55144,0.659438973
30.435,1052.276,6551.262,1535.545,3,glucose_2,5510.74344,495.02644,0.636856653
30.7889,1026.379,6148.881,1541.332,3,glucose_2,5108.36244,500.81344,0.597256356
31.1428,1039.709,5573.095,1538.742,3,glucose_2,4532.57644,498.22344,0.52719635
31.4966,1033.172,5402.357,1540.745,3,glucose_2,4361.83844,500.22644,0.509376987
0,995.483,6607.775,2082.561,4,glucose_2,5612.18576,1086.97176,0.41254946
0.3539,984.667,8493.4,2118.786,4,glucose_2,7497.81076,1123.19676,0.569529261
0.7078,989.11,8982.325,2113.235,4,glucose_2,7986.73576,1117.64576,0.603669475
1.0617,997.249,8717.025,2123.873,4,glucose_2,7721.43576,1128.28376,0.589172035
1.4156,1006.813,9276.225,2101.102,4,glucose_2,8280.63576,1105.51276,0.619089112
1.7695,1006.181,10011.35,2113.983,4,glucose_2,9015.76076,1118.39376,0.681903374
2.1234,995.5,9291.65,2132.488,4,glucose_2,8296.06076,1136.89876,0.637851295
2.4773,1003.732,8013.475,2123.062,4,glucose_2,7017.88576,1127.47276,0.535103852
2.8312,997.036,8691.325,2118.292,4,glucose_2,7695.73576,1122.70276,0.584306426
3.1851,994.267,9465.125,2131.935,4,glucose_2,8469.53576,1136.34576,0.650872356
3.539,1004.729,8442.275,2094.793,4,glucose_2,7446.68576,1099.20376,0.553562877
3.8929,1008.636,10362.85,2112.729,4,glucose_2,9367.26076,1117.13976,0.707694538
4.2468,1004.504,9262.425,2098.798,4,glucose_2,8266.83576,1103.20876,0.616769282
4.6007,991.414,10219.575,2123.62,4,glucose_2,9223.98576,1128.03076,0.703663933
4.9546,1006.983,10023.925,2107.361,4,glucose_2,9028.33576,1111.77176,0.678811303
5.3085,996.717,9758.825,2111.876,4,glucose_2,8763.23576,1116.28676,0.661555058
5.6624,996.176,8496.025,2113.555,4,glucose_2,7500.43576,1117.96576,0.56707529
6.0162,1006.229,8794.675,2102.594,4,glucose_2,7799.08576,1107.00476,0.583873694
6.3701,999.207,9031.525,2115.868,4,glucose_2,8035.93576,1120.27876,0.60881912
6.724,996.408,9394.2,2104.183,4,glucose_2,8398.61076,1108.59376,0.62965928
7.0779,999.62,9954.025,2124.832,4,glucose_2,8958.43576,1129.24276,0.684140378
7.4318,997.981,9428.275,2106.745,4,glucose_2,8432.68576,1111.15576,0.633675015
7.7857,1003.482,8293.7,2105.215,4,glucose_2,7298.11076,1109.62576,0.547662123
8.1396,1006.161,8347.675,2096.646,4,glucose_2,7352.08576,1101.05676,0.547451937
8.4935,1001.533,9661.5,2127.707,4,glucose_2,8665.91076,1132.11776,0.66348566
8.8474,1003.183,8433.825,2103.949,4,glucose_2,7438.23576,1108.35976,0.557540492
9.2013,1001.789,8486.3,2110.729,4,glucose_2,7490.71076,1115.13976,0.564908427
9.5552,1009.665,10105.425,2138.385,4,glucose_2,9109.83576,1142.79576,0.704052253
9.9091,994.18,8362.725,2124.007,4,glucose_2,7367.13576,1128.41776,0.562204491
10.263,989.166,10033.725,2114.634,4,glucose_2,9038.13576,1119.04476,0.683993608
10.6169,1005.76,10398.2,2107.489,4,glucose_2,9402.61076,1111.89976,0.70703322
10.9708,994.442,8347.825,2065.445,4,glucose_2,7352.23576,1069.85576,0.531949468
11.3247,994.992,8654.4,2104.392,4,glucose_2,7658.81076,1108.80276,0.574303366
11.6786,991.19,11697.5,2087.464,4,glucose_2,10701.91076,1091.87476,0.79024158
12.0325,987.516,8874.125,2108.356,4,glucose_2,7878.53576,1112.76676,0.592891712
12.3863,996.966,10726.425,2111.635,4,glucose_2,9730.83576,1116.04576,0.734442617
12.7402,989.65,8952.175,2081.221,4,glucose_2,7956.58576,1085.63176,0.584164301
13.0941,999.668,9069.675,2086.206,4,glucose_2,8074.08576,1090.61676,0.595513005
13.448,1000.023,9329.825,2087.645,4,glucose_2,8334.23576,1092.05576,0.615511711
13.8019,993.056,8991.65,2090.6,4,glucose_2,7996.06076,1095.01076,0.592134271
14.1558,996.596,8854.125,2103.28,4,glucose_2,7858.53576,1107.69076,0.58868896
14.5097,990.857,9166.325,2118.381,4,glucose_2,8170.73576,1122.79176,0.620420454
