time,BG,ROI_raw,REF_raw,id,exp_tag,ROI,REF,intensity
0,963.128,6723.652,2498.937,1,glucose_2,5750.11017,1525.39517,0.542939042
0.3539,956.707,7838.174,2518.966,1,glucose_2,6864.63217,1545.42417,0.656685627
0.7078,977.847,7440.565,2491.341,1,glucose_2,6467.02317,1517.79917,0.607590909
1.0617,965.085,7361.413,2506.948,1,glucose_2,6387.87117,1533.40617,0.606325585
1.4156,962.623,7468.087,2513.901,1,glucose_2,6494.54517,1540.35917,0.619246099
1.7695,959.138,7027.478,2517.973,1,glucose_2,6053.93617,1544.43117,0.578760569
2.1234,965.383,7622.87,2505.128,1,glucose_2,6649.32817,1531.58617,0.630393524
2.4773,950.195,8178.674,2502.235,1,glucose_2,7205.13217,1528.69317,0.681796577
2.8312,958.548,8191.5,2491.332,1,glucose_2,7217.95817,1517.79017,0.678138867
3.1851,971.597,8026.217,2494.558,1,glucose_2,7052.67517,1521.01617,0.664018612
3.539,976.264,7381.174,2483.446,1,glucose_2,6407.63217,1509.90417,0.598879569
3.8929,977.721,8702.826,2504.138,1,glucose_2,7729.28417,1530.59617,0.732305737
4.2468,977.556,8682.413,2474.911,1,glucose_2,7708.87117,1501.36917,0.716425146
4.6007,960.633,7434.457,2475.084,1,glucose_2,6460.91517,1501.54217,0.600515349
4.9546,962.591,7057.435,2487.333,1,glucose_2,6083.89317,1513.79117,0.57008562
5.3085,973.45,8172.891,2471.57,1,glucose_2,7199.34917,1498.02817,0.667583751
5.6624,970.903,7944.739,2470.93,1,glucose_2,6971.19717,1497.38817,0.646151421
6.0162,968.385,7602.087,2467.207,1,glucose_2,6628.54517,1493.66517,0.612863862
6.3701,968.795,7481,2476.016,1,glucose_2,6507.45817,1502.47417,0.60521675
6.724,972.38,7495.783,2479.093,1,glucose_2,6522.24117,1505.55117,0.607833894
7.0779,971.413,8897.543,2463.169,1,glucose_2,7924.00117,1489.62717,0.730658861
7.4318,981.19,7077.652,2463.943,1,glucose_2,6104.11017,1490.40117,0.563142216
7.7857,976.275,8329.674,2465.162,1,glucose_2,7356.13217,1491.62017,0.679204118
8.1396,971.633,8548.609,2466.504,1,glucose_2,7575.06717,1492.96217,0.700048019
8.4935,979.025,8118.478,2450.088,1,glucose_2,7144.93617,1476.54617,0.653037204
