A1_pop,0.0112,0.00534,-0.00412,-0.0036,-0.0275,-0.00146,0.000837,5.56e-6
tau1_pop,0.00534,0.0348,-0.00294,-0.000452,-0.0281,0.000773,0.000859,2.3e-6
I0_pop,-0.00412,-0.00294,0.00468,0.00126,0.0107,0.000629,-0.000324,-1.99e-6
omega_A1,-0.0036,-0.000452,0.00126,0.00215,0.00499,0.00116,-0.000148,-2.89e-6
corr_tau1_A1,-0.0275,-0.0281,0.0107,0.00499,0.103,0.00145,-0.00274,-9.72e-6
omega_tau1,-0.00146,0.000773,0.000629,0.00116,0.00145,0.0193,-0.000117,-2.67e-6
omega_I0,0.000837,0.000859,-0.000324,-0.000148,-0.00274,-0.000117,0.00165,2.3e-7
a,5.56e-6,2.3e-6,-1.99e-6,-2.89e-6,-9.72e-6,-2.67e-6,2.3e-7,6.3e-7
