A1_pop,1,0.271,-0.569,-0.733,-0.809,-0.0991,0.195,0.0663
tau1_pop,0.271,1,-0.23,-0.0522,-0.468,0.0298,0.113,0.0155
I0_pop,-0.569,-0.23,1,0.397,0.484,0.0661,-0.117,-0.0367
omega_A1,-0.733,-0.0522,0.397,1,0.334,0.181,-0.0785,-0.0785
corr_tau1_A1,-0.809,-0.468,0.484,0.334,1,0.0325,-0.21,-0.0381
omega_tau1,-0.0991,0.0298,0.0661,0.181,0.0325,1,-0.0208,-0.0242
omega_I0,0.195,0.113,-0.117,-0.0785,-0.21,-0.0208,1,0.00713
a,0.0663,0.0155,-0.0367,-0.0785,-0.0381,-0.0242,0.00713,1
