rep,id,A1,tau1,I0
1,21,0.217154197231735,4.10885398615476,0.356727843409811
2,21,0.306939258344851,2.74074746549128,0.285007031357413
3,21,0.266947075542134,3.21592553333411,0.335193998088938
4,21,0.285228725027447,3.04270440250073,0.306456718836595
5,21,0.252968627441001,3.41663461427618,0.335360967636416
6,21,0.248531797205381,3.50243882102184,0.336962065208768
7,21,0.245153603856758,3.54217155626751,0.347875492628792
8,21,0.189630209752075,4.72302392629612,0.393214745016021
1,22,0.297398338010201,2.91450014639333,0.267538275946855
2,22,0.324519179666959,2.5299061818498,0.232574471013443
3,22,0.320230391188541,2.65616458115711,0.244373256204179
4,22,0.30050959611517,2.82294887856653,0.263065130892765
5,22,0.338021966805874,2.47704463575801,0.224094241757569
6,22,0.314939964919341,2.5489266606939,0.239042560128448
7,22,0.309508886041229,2.66169397032768,0.238726694834938
8,22,0.334940392391778,2.44172890103005,0.223760236921223
1,23,0.080623846024736,12.3701656913202,0.250933022288035
2,23,0.106409223864311,9.45207701474204,0.241699121660518
3,23,0.0774837747698856,12.8887150108259,0.251537760478695
4,23,0.0759873497819099,13.3600868520572,0.259504221151575
5,23,0.099498068045135,10.1158193379412,0.243553469497739
6,23,0.0921103834773072,10.7608326858466,0.23724010994373
7,23,0.0824275378653737,12.374289485317,0.245547408105198
8,23,0.097665784390111,10.2968780961878,0.245752270203515
1,24,0.197794582663245,4.514678074163,0.315758888187127
2,24,0.112078134148919,8.5361057082213,0.404493126174901
3,24,0.181049946797667,4.95206349081239,0.334262890199521
4,24,0.126726149731235,7.33694674885922,0.381302310031243
5,24,0.161950348379174,5.58344855493423,0.355263625314203
6,24,0.127291494209161,7.64978638915916,0.395046086387566
7,24,0.156401328024227,5.828060684913,0.36037178744119
8,24,0.152440562829102,6.15072407415553,0.3639611674802
1,25,0.198822822244885,4.38329124888464,0.35089497915981
2,25,0.21423639922472,4.25526134325481,0.33869295391246
3,25,0.165127905608931,5.55587056222733,0.396090508648351
4,25,0.269035981482215,3.19419589112238,0.288112080074073
5,25,0.185795864134365,4.8726755530924,0.374494264222059
6,25,0.159213958722703,5.79845019398508,0.390025499147178
7,25,0.191811920290748,4.63939246698362,0.359617658531315
8,25,0.174269179465848,5.21865511438947,0.394094551870772
1,26,0.148564725302178,6.20050676673178,0.252560047221017
2,26,0.212607236030462,4.13995814322917,0.205252090360081
3,26,0.15941534081487,5.75872628064989,0.241854322532573
4,26,0.10664813095797,8.94193062821697,0.322107722786731
5,26,0.14648825251732,6.40639940346396,0.268946462387352
6,26,0.110079033024158,8.76395309434324,0.294272234919977
7,26,0.172046183681765,5.28260696394639,0.249018031964291
8,26,0.146220687127409,6.25568932320913,0.255918771276918
1,27,0.255120033334018,3.40696229364793,0.313164079952534
2,27,0.256565164949039,3.26609258305806,0.31498765112069
3,27,0.341679855488348,2.48155915985359,0.237942716467903
4,27,0.238874146355877,3.65542018849436,0.31774012111983
5,27,0.267339436490114,3.22700556432372,0.297924319272255
6,27,0.28844359214893,2.95233287956362,0.280004276112813
7,27,0.234691248938353,3.71639447433793,0.331842669186965
8,27,0.287458454795013,2.92613013640492,0.279984060983999
1,28,0.149048347428192,6.31726733964924,0.402735051324365
2,28,0.249948750002503,3.33152689809519,0.281794587373208
3,28,0.220344409139989,4.00438169803385,0.325707274405012
4,28,0.217984489687897,4.06318824231584,0.321497224724567
5,28,0.209392100763051,4.19565161485596,0.325566624069901
6,28,0.219797740730537,4.03597920661541,0.309859677100608
7,28,0.196905473625632,4.55603153854115,0.344458278305973
8,28,0.23413843070227,3.52142684203455,0.298748414615711
1,29,0.212545657911404,4.1340725642989,0.422834844875498
2,29,0.230177743913721,3.70201736971181,0.407930232837402
3,29,0.217973687103662,4.00470692063435,0.418652253822473
4,29,0.218401588510209,4.0684581269442,0.430272950257786
5,29,0.210540229386546,4.25683998000905,0.438188936700848
6,29,0.239236267793216,3.55326494317475,0.383099796674376
7,29,0.208688663342159,4.18708992005987,0.433097417481967
8,29,0.250249930817871,3.47365728525211,0.389701069190119
1,30,0.221295183461375,3.9866831912962,0.288900139033396
2,30,0.203196227862206,4.34662550073462,0.3132543406779
3,30,0.150167423176367,6.2055907064284,0.357993399754456
4,30,0.22422364566187,3.8388396745822,0.294670193250119
5,30,0.177228147200623,5.13761991111574,0.346151359392455
6,30,0.163918280348712,5.56436832307185,0.353916494981842
7,30,0.214283433592554,4.02568628471723,0.303297780492286
8,30,0.125370556302735,7.35510547168697,0.376421123236158
1,31,0.146821295487871,6.38198507457119,0.309779262910118
2,31,0.113904065512349,8.62174542490201,0.346994647049297
3,31,0.140998627745725,6.55444038138644,0.329607052842713
4,31,0.0775497185078284,13.2705790152413,0.378250385190655
5,31,0.133168392213971,7.20870493271037,0.339308219197757
6,31,0.0939935962798261,10.6280721255043,0.367183746362826
7,31,0.1536993032161,5.95552010295203,0.311502790247485
8,31,0.148337456214008,6.15959954413431,0.31577328205956
1,32,0.234935253772579,3.79906776493248,0.405680494106674
2,32,0.210709123560077,4.32565643696879,0.422528536495501
3,32,0.242979176733826,3.60572423203376,0.403223846464984
4,32,0.228476335578825,3.73211477352038,0.412933606502523
5,32,0.179441664337594,5.02984734866511,0.454406246583633
6,32,0.187868190552151,4.8124817009046,0.451074917184192
7,32,0.196802646080887,4.40118884937166,0.446329325849239
8,32,0.179669083291336,5.05511023935581,0.477817462529933
1,33,0.170988992228233,5.41211908470831,0.402807845054252
2,33,0.139648860880335,6.74665224955116,0.446011120410098
3,33,0.132427461844975,7.17816439873383,0.454983080739496
4,33,0.134355266526173,7.08675062779568,0.448152315420372
5,33,0.139710240722382,6.85669713539712,0.439609127016878
6,33,0.151207924039321,6.09676036940395,0.414642076102344
7,33,0.145816703845405,6.38322890297526,0.440962667873412
8,33,0.13740504846814,6.83674376333809,0.444145835047
1,34,0.228566054311563,3.95366067969256,0.312133894536609
2,34,0.168042203521987,5.56744748571345,0.3631731623297
3,34,0.208411522870787,4.20303151809416,0.327333146517272
4,34,0.215502833322714,3.93345189366006,0.329129732901247
5,34,0.173133340695412,5.17767273521625,0.361172894000946
6,34,0.157593885300291,5.87818921710471,0.367005501955836
7,34,0.16048339035016,5.81702085487938,0.380266422090651
8,34,0.220535893717375,3.84424394775867,0.309807929539979
1,35,0.150354762154354,6.29498230087577,0.341531813243102
2,35,0.173705567409757,5.32107355793773,0.321060309480234
3,35,0.169958998754762,5.46021715209613,0.325889896668842
4,35,0.183321057932314,4.99667782923942,0.313369667379579
5,35,0.148355826669376,6.31012172584424,0.345745220418816
6,35,0.142043274245477,6.83086966926691,0.357080567030303
7,35,0.12064895959367,7.82114934976777,0.376314580006472
8,35,0.174315398882886,5.33151670481137,0.321700559803613
1,36,0.208492932919907,4.22590260024583,0.373134880827065
2,36,0.226613983228894,3.8499839602856,0.3621650279256
3,36,0.217485083532314,4.16133028786406,0.362558681640876
4,36,0.213144920500371,4.05276354708874,0.365543091248141
5,36,0.171937568171936,5.07910254212385,0.411604274926185
6,36,0.264717940315085,3.24462885295166,0.320057150496514
7,36,0.2245644881116,3.96782118262377,0.346114659202477
8,36,0.189332584768884,4.71182172546695,0.393911205001025
1,37,0.221121400780061,3.95408216635388,0.247369915176006
2,37,0.183560840940513,4.88856788941188,0.288694275912174
3,37,0.154704205633831,6.10638059531665,0.305596191259388
4,37,0.214643987525921,4.0894719218072,0.241139866989096
5,37,0.184649405449471,4.9183475486395,0.283598148267888
6,37,0.180296980128219,4.98646617929524,0.277193815198487
7,37,0.220652971461282,3.90281271033696,0.248819375192063
8,37,0.176030809320296,5.19892545315484,0.284306448560374
1,38,0.213488640332403,4.11413622094732,0.337284848966548
2,38,0.212349760773466,4.17110382813156,0.331761467981449
