rep,id,eta_A1,eta_tau1,eta_I0
1,64,-0.142747168648278,0.152270148467252,-0.0344766500422864
2,64,0.081183588413788,-0.0676712804981267,-0.110873939784233
3,64,-0.0168063683731004,0.0198121841502652,-0.0629088598116497
4,64,-0.0385387129699912,0.0622459410495932,-0.0358685088263276
5,64,-0.0886314035267943,0.0744908341385797,-0.0331250668037533
6,64,-0.0631948070138054,0.0758377421971133,-0.0348989950513147
7,64,0.00792520408114772,-0.0311422162144496,-0.0747662861748249
8,64,-0.0912657223705331,0.092462633935377,-0.0203096563163632
1,73,0.229751235977832,-0.226988961590714,0.0427880889035874
2,73,0.160419317661285,-0.118523490674217,0.0503540979175236
3,73,0.00530965514688138,0.0202999275736742,0.141715412365728
4,73,0.279349880691333,-0.272303643256285,0.029371187623309
5,73,0.0995969208838856,-0.0799628049860402,0.0969971142968568
6,73,0.030044233886633,-0.0311107414383857,0.111954301261655
7,73,0.0157832060582371,-0.00451635839305304,0.11917917031269
8,73,0.0732611062833404,-0.0695047256025272,0.0987092246171634
1,74,-0.0231032106049181,0.0336195424983032,0.0310315666132508
2,74,-0.03747887046011,0.0579343890470986,0.027443571941562
3,74,0.135530054047921,-0.13521649984377,-0.00704588181593256
4,74,0.221436426852632,-0.23477313105181,-0.0940717161793377
5,74,0.242330823943787,-0.256691860163369,-0.106011936326564
6,74,0.306810906578089,-0.31090122716019,-0.150699839320162
7,74,-0.0251503302335614,0.0195842614746436,0.0581616759399934
8,74,0.0191965339784235,-0.0174443384770438,0.020329969174009
1,75,0.0291141506030521,-0.0305426137282136,-0.0116883921345012
2,75,-0.0532351667588869,0.0537547118242301,0.020967377587691
3,75,0.0484491609795559,-0.0283306212510671,-0.0313350864671532
4,75,0.0876254442771408,-0.0831187299568332,-0.0321160108415919
5,75,0.224892260119259,-0.214002943296331,-0.10289927203191
6,75,0.212115015152467,-0.217747880767357,-0.086678012409125
7,75,-0.073641445923499,0.0519682457386471,0.0310789852095715
8,75,-0.0741266562154676,0.0730420582395492,0.0238591112841288
1,76,0.108559050979925,-0.132186526130914,-0.0691976878454975
2,76,0.190137772811723,-0.193956133520265,-0.114328124435127
3,76,0.224631456498511,-0.217973939653915,-0.147435514968981
4,76,0.148522278177227,-0.150431805655518,-0.0951796082011954
5,76,-0.0595570888523288,0.055645552472708,-0.015387271320275
6,76,-0.10632798063393,0.0745930125475595,-0.00664800205169253
7,76,-0.0633211735738555,0.0483746175918626,-0.00452483907899435
8,76,-0.0062329759503163,-0.0144346205434718,-0.0145627774585154
1,77,0.116437125073606,-0.133879353514924,-0.0355929411455155
2,77,0.128059978595554,-0.123778243382796,-0.0144918446565715
3,77,0.0751061462663243,-0.0781792180071696,0.0434359916021691
4,77,-0.320779707258342,0.313928687324799,0.145307691382099
5,77,-0.244348858186839,0.249740836153067,0.142957506111579
6,77,0.137458416651809,-0.129768724633892,-0.0228786318149418
7,77,0.107192343503948,-0.109893597162064,-0.0144599057313788
8,77,0.0788105910231855,-0.0765752186285444,0.0297442039786238
1,78,-0.214628234638639,0.220241733129106,-0.0477844127912146
2,78,-0.112735820018441,0.13237206214094,-0.107840445462294
3,78,-0.221038254261944,0.206844936995189,-0.0733710250367071
4,78,0.116482571923793,-0.100299754583537,-0.222341008409661
5,78,-0.365956375965611,0.364370301443028,-0.0135201336951067
6,78,-0.599612000207045,0.619539588532946,0.0209589268319421
7,78,-0.610982050582685,0.596601199386036,0.0369568686202085
8,78,0.0335102416763263,-0.0276956517830504,-0.155050489067123
1,79,0.128509669214447,-0.129578385798464,-0.0142779895101255
2,79,0.0660260207409686,-0.0882903972556221,-0.016713269265723
3,79,0.014872637126601,0.0038589005816443,0.0113621566397374
