ID,time,observation,popPred,indivPredMean,indivPredMode,censored,split,color,filter
64,0,0.456322,0.463749,0.441588,0.441618,0,All,#4682B4,0
64,0.3539,0.542919,0.621834,0.593984,0.595265,0,All,#4682B4,0
64,0.7078,0.564334,0.648996,0.617634,0.619689,0,All,#4682B4,0
64,1.0617,0.512804,0.653663,0.621304,0.623571,0,All,#4682B4,0
64,1.4156,0.685256,0.654465,0.621874,0.624189,0,All,#4682B4,0
64,1.7695,0.579454,0.654602,0.621962,0.624287,0,All,#4682B4,0
64,2.1234,0.65844,0.654626,0.621976,0.624302,0,All,#4682B4,0
64,2.4773,0.61947,0.65463,0.621978,0.624305,0,All,#4682B4,0
64,2.8312,0.694681,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,3.185,0.512761,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,3.6882,0.614926,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,4.0421,0.646861,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,4.396,0.576457,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,4.7499,0.61749,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,5.1038,0.514017,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,5.4577,0.608404,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,5.8116,0.655792,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,6.1655,0.589048,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,6.5194,0.729878,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,6.8733,0.597206,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,7.2272,0.73842,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,7.5811,0.683489,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,7.935,0.707587,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,8.2889,0.697563,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,8.6428,0.63069,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,8.9967,0.635013,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,9.3506,0.6631,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,9.7044,0.673488,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,10.0583,0.635835,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,10.4122,0.630219,0.654631,0.621978,0.624305,0,All,#4682B4,0
64,10.7661,0.658018,0.654631,0.621978,0.624305,0,All,#4682B4,0
