rep,ID,time,observation,indivPredSimulated,censored,split,color,filter
3,64,4.0421,0.646861,0.623174,0,All,#4682B4,0
4,64,4.0421,0.646861,0.631075,0,All,#4682B4,0
5,64,4.0421,0.646861,0.623331,0,All,#4682B4,0
6,64,4.0421,0.646861,0.627036,0,All,#4682B4,0
7,64,4.0421,0.646861,0.622741,0,All,#4682B4,0
8,64,4.0421,0.646861,0.628658,0,All,#4682B4,0
1,64,4.396,0.576457,0.613522,0,All,#4682B4,0
2,64,4.396,0.576457,0.622104,0,All,#4682B4,0
3,64,4.396,0.576457,0.623174,0,All,#4682B4,0
4,64,4.396,0.576457,0.631075,0,All,#4682B4,0
5,64,4.396,0.576457,0.623331,0,All,#4682B4,0
6,64,4.396,0.576457,0.627036,0,All,#4682B4,0
7,64,4.396,0.576457,0.622741,0,All,#4682B4,0
8,64,4.396,0.576457,0.628658,0,All,#4682B4,0
1,64,4.7499,0.61749,0.613522,0,All,#4682B4,0
2,64,4.7499,0.61749,0.622104,0,All,#4682B4,0
3,64,4.7499,0.61749,0.623174,0,All,#4682B4,0
4,64,4.7499,0.61749,0.631075,0,All,#4682B4,0
5,64,4.7499,0.61749,0.623331,0,All,#4682B4,0
6,64,4.7499,0.61749,0.627036,0,All,#4682B4,0
7,64,4.7499,0.61749,0.622741,0,All,#4682B4,0
8,64,4.7499,0.61749,0.628658,0,All,#4682B4,0
1,64,5.1038,0.514017,0.613522,0,All,#4682B4,0
2,64,5.1038,0.514017,0.622104,0,All,#4682B4,0
3,64,5.1038,0.514017,0.623174,0,All,#4682B4,0
4,64,5.1038,0.514017,0.631075,0,All,#4682B4,0
5,64,5.1038,0.514017,0.623331,0,All,#4682B4,0
6,64,5.1038,0.514017,0.627036,0,All,#4682B4,0
7,64,5.1038,0.514017,0.622741,0,All,#4682B4,0
8,64,5.1038,0.514017,0.628658,0,All,#4682B4,0
1,64,5.4577,0.608404,0.613522,0,All,#4682B4,0
2,64,5.4577,0.608404,0.622104,0,All,#4682B4,0
3,64,5.4577,0.608404,0.623174,0,All,#4682B4,0
4,64,5.4577,0.608404,0.631075,0,All,#4682B4,0
5,64,5.4577,0.608404,0.623331,0,All,#4682B4,0
6,64,5.4577,0.608404,0.627036,0,All,#4682B4,0
7,64,5.4577,0.608404,0.622741,0,All,#4682B4,0
8,64,5.4577,0.608404,0.628658,0,All,#4682B4,0
1,64,5.8116,0.655792,0.613522,0,All,#4682B4,0
2,64,5.8116,0.655792,0.622104,0,All,#4682B4,0
3,64,5.8116,0.655792,0.623174,0,All,#4682B4,0
4,64,5.8116,0.655792,0.631075,0,All,#4682B4,0
5,64,5.8116,0.655792,0.623331,0,All,#4682B4,0
6,64,5.8116,0.655792,0.627036,0,All,#4682B4,0
7,64,5.8116,0.655792,0.622741,0,All,#4682B4,0
8,64,5.8116,0.655792,0.628658,0,All,#4682B4,0
1,64,6.1655,0.589048,0.613522,0,All,#4682B4,0
2,64,6.1655,0.589048,0.622104,0,All,#4682B4,0
3,64,6.1655,0.589048,0.623174,0,All,#4682B4,0
4,64,6.1655,0.589048,0.631075,0,All,#4682B4,0
5,64,6.1655,0.589048,0.623331,0,All,#4682B4,0
6,64,6.1655,0.589048,0.627036,0,All,#4682B4,0
7,64,6.1655,0.589048,0.622741,0,All,#4682B4,0
8,64,6.1655,0.589048,0.628658,0,All,#4682B4,0
1,64,6.5194,0.729878,0.613522,0,All,#4682B4,0
2,64,6.5194,0.729878,0.622104,0,All,#4682B4,0
3,64,6.5194,0.729878,0.623174,0,All,#4682B4,0
4,64,6.5194,0.729878,0.631075,0,All,#4682B4,0
5,64,6.5194,0.729878,0.623331,0,All,#4682B4,0
6,64,6.5194,0.729878,0.627036,0,All,#4682B4,0
7,64,6.5194,0.729878,0.622741,0,All,#4682B4,0
8,64,6.5194,0.729878,0.628658,0,All,#4682B4,0
1,64,6.8733,0.597206,0.613522,0,All,#4682B4,0
2,64,6.8733,0.597206,0.622104,0,All,#4682B4,0
3,64,6.8733,0.597206,0.623174,0,All,#4682B4,0
4,64,6.8733,0.597206,0.631075,0,All,#4682B4,0
5,64,6.8733,0.597206,0.623331,0,All,#4682B4,0
6,64,6.8733,0.597206,0.627036,0,All,#4682B4,0
7,64,6.8733,0.597206,0.622741,0,All,#4682B4,0
8,64,6.8733,0.597206,0.628658,0,All,#4682B4,0
1,64,7.2272,0.73842,0.613522,0,All,#4682B4,0
2,64,7.2272,0.73842,0.622104,0,All,#4682B4,0
3,64,7.2272,0.73842,0.623174,0,All,#4682B4,0
4,64,7.2272,0.73842,0.631075,0,All,#4682B4,0
5,64,7.2272,0.73842,0.623331,0,All,#4682B4,0
6,64,7.2272,0.73842,0.627036,0,All,#4682B4,0
7,64,7.2272,0.73842,0.622741,0,All,#4682B4,0
8,64,7.2272,0.73842,0.628658,0,All,#4682B4,0
1,64,7.5811,0.683489,0.613522,0,All,#4682B4,0
2,64,7.5811,0.683489,0.622104,0,All,#4682B4,0
3,64,7.5811,0.683489,0.623174,0,All,#4682B4,0
4,64,7.5811,0.683489,0.631075,0,All,#4682B4,0
5,64,7.5811,0.683489,0.623331,0,All,#4682B4,0
6,64,7.5811,0.683489,0.627036,0,All,#4682B4,0
7,64,7.5811,0.683489,0.622741,0,All,#4682B4,0
8,64,7.5811,0.683489,0.628658,0,All,#4682B4,0
1,64,7.935,0.707587,0.613522,0,All,#4682B4,0
2,64,7.935,0.707587,0.622104,0,All,#4682B4,0
3,64,7.935,0.707587,0.623174,0,All,#4682B4,0
4,64,7.935,0.707587,0.631075,0,All,#4682B4,0
5,64,7.935,0.707587,0.623331,0,All,#4682B4,0
6,64,7.935,0.707587,0.627036,0,All,#4682B4,0
7,64,7.935,0.707587,0.622741,0,All,#4682B4,0
8,64,7.935,0.707587,0.628658,0,All,#4682B4,0
1,64,8.2889,0.697563,0.613522,0,All,#4682B4,0
2,64,8.2889,0.697563,0.622104,0,All,#4682B4,0
3,64,8.2889,0.697563,0.623174,0,All,#4682B4,0
4,64,8.2889,0.697563,0.631075,0,All,#4682B4,0
5,64,8.2889,0.697563,0.623331,0,All,#4682B4,0
6,64,8.2889,0.697563,0.627036,0,All,#4682B4,0
7,64,8.2889,0.697563,0.622741,0,All,#4682B4,0
8,64,8.2889,0.697563,0.628658,0,All,#4682B4,0
1,64,8.6428,0.63069,0.613522,0,All,#4682B4,0
2,64,8.6428,0.63069,0.622104,0,All,#4682B4,0
3,64,8.6428,0.63069,0.623174,0,All,#4682B4,0
4,64,8.6428,0.63069,0.631075,0,All,#4682B4,0
5,64,8.6428,0.63069,0.623331,0,All,#4682B4,0
6,64,8.6428,0.63069,0.627036,0,All,#4682B4,0
7,64,8.6428,0.63069,0.622741,0,All,#4682B4,0
8,64,8.6428,0.63069,0.628658,0,All,#4682B4,0
1,64,8.9967,0.635013,0.613522,0,All,#4682B4,0
2,64,8.9967,0.635013,0.622104,0,All,#4682B4,0
3,64,8.9967,0.635013,0.623174,0,All,#4682B4,0
4,64,8.9967,0.635013,0.631075,0,All,#4682B4,0
5,64,8.9967,0.635013,0.623331,0,All,#4682B4,0
6,64,8.9967,0.635013,0.627036,0,All,#4682B4,0
7,64,8.9967,0.635013,0.622741,0,All,#4682B4,0
8,64,8.9967,0.635013,0.628658,0,All,#4682B4,0
1,64,9.3506,0.6631,0.613522,0,All,#4682B4,0
2,64,9.3506,0.6631,0.622104,0,All,#4682B4,0
3,64,9.3506,0.6631,0.623174,0,All,#4682B4,0
4,64,9.3506,0.6631,0.631075,0,All,#4682B4,0
5,64,9.3506,0.6631,0.623331,0,All,#4682B4,0
6,64,9.3506,0.6631,0.627036,0,All,#4682B4,0
7,64,9.3506,0.6631,0.622741,0,All,#4682B4,0
8,64,9.3506,0.6631,0.628658,0,All,#4682B4,0
1,64,9.7044,0.673488,0.613522,0,All,#4682B4,0
2,64,9.7044,0.673488,0.622104,0,All,#4682B4,0
3,64,9.7044,0.673488,0.623174,0,All,#4682B4,0
4,64,9.7044,0.673488,0.631075,0,All,#4682B4,0
5,64,9.7044,0.673488,0.623331,0,All,#4682B4,0
6,64,9.7044,0.673488,0.627036,0,All,#4682B4,0
7,64,9.7044,0.673488,0.622741,0,All,#4682B4,0
8,64,9.7044,0.673488,0.628658,0,All,#4682B4,0
1,64,10.0583,0.635835,0.613522,0,All,#4682B4,0
2,64,10.0583,0.635835,0.622104,0,All,#4682B4,0
3,64,10.0583,0.635835,0.623174,0,All,#4682B4,0
4,64,10.0583,0.635835,0.631075,0,All,#4682B4,0
5,64,10.0583,0.635835,0.623331,0,All,#4682B4,0
6,64,10.0583,0.635835,0.627036,0,All,#4682B4,0
7,64,10.0583,0.635835,0.622741,0,All,#4682B4,0
8,64,10.0583,0.635835,0.628658,0,All,#4682B4,0
1,64,10.4122,0.630219,0.613522,0,All,#4682B4,0
2,64,10.4122,0.630219,0.622104,0,All,#4682B4,0
3,64,10.4122,0.630219,0.623174,0,All,#4682B4,0
4,64,10.4122,0.630219,0.631075,0,All,#4682B4,0
5,64,10.4122,0.630219,0.623331,0,All,#4682B4,0
6,64,10.4122,0.630219,0.627036,0,All,#4682B4,0
7,64,10.4122,0.630219,0.622741,0,All,#4682B4,0
8,64,10.4122,0.630219,0.628658,0,All,#4682B4,0
1,64,10.7661,0.658018,0.613522,0,All,#4682B4,0
2,64,10.7661,0.658018,0.622104,0,All,#4682B4,0
3,64,10.7661,0.658018,0.623174,0,All,#4682B4,0
4,64,10.7661,0.658018,0.631075,0,All,#4682B4,0
5,64,10.7661,0.658018,0.623331,0,All,#4682B4,0
6,64,10.7661,0.658018,0.627036,0,All,#4682B4,0
7,64,10.7661,0.658018,0.622741,0,All,#4682B4,0
8,64,10.7661,0.658018,0.628658,0,All,#4682B4,0
1,64,11.12,0.662643,0.613522,0,All,#4682B4,0
2,64,11.12,0.662643,0.622104,0,All,#4682B4,0
3,64,11.12,0.662643,0.623174,0,All,#4682B4,0
4,64,11.12,0.662643,0.631075,0,All,#4682B4,0
5,64,11.12,0.662643,0.623331,0,All,#4682B4,0
6,64,11.12,0.662643,0.627036,0,All,#4682B4,0
7,64,11.12,0.662643,0.622741,0,All,#4682B4,0
8,64,11.12,0.662643,0.628658,0,All,#4682B4,0
1,64,11.4739,0.572188,0.613522,0,All,#4682B4,0
2,64,11.4739,0.572188,0.622104,0,All,#4682B4,0
3,64,11.4739,0.572188,0.623174,0,All,#4682B4,0
4,64,11.4739,0.572188,0.631075,0,All,#4682B4,0
5,64,11.4739,0.572188,0.623331,0,All,#4682B4,0
6,64,11.4739,0.572188,0.627036,0,All,#4682B4,0
7,64,11.4739,0.572188,0.622741,0,All,#4682B4,0
8,64,11.4739,0.572188,0.628658,0,All,#4682B4,0
1,64,11.8278,0.714433,0.613522,0,All,#4682B4,0
2,64,11.8278,0.714433,0.622104,0,All,#4682B4,0
3,64,11.8278,0.714433,0.623174,0,All,#4682B4,0
