rep,id,A1,tau1,A2,tau2
1,1,0.382913174322485,5441.29748928464,0.276176170202548,5.80391091891124
2,1,0.381131037089499,6186.73085007695,0.273324107880218,5.84925720554696
3,1,0.376777722256379,14900.7325111813,0.264954559561737,5.80076575404414
4,1,0.376491081480654,3318.10043034921,0.267877510524991,6.30929288861443
5,1,0.378405547361531,2848.0325335834,0.271372599813133,6.2486446103265
6,1,0.379155437639843,5275.62975460997,0.27004605049357,6.01931913994306
7,1,0.375011272050299,6812.734597339,0.2642948713242,6.14471143643321
8,1,0.382456613545697,7054.25470494552,0.274913615412018,5.74437291021062
9,1,0.381564219213237,26606.0173535362,0.270915361586961,5.38739719541377
10,1,0.381277374824696,3514.93830550043,0.273455897913561,6.04964600821306
1,10,0.416110873060055,62307.372323287,0.316258485274403,3.89456762951245
2,10,0.422157391669623,212363.288590187,0.324399534193095,3.45744486998549
3,10,0.414845951632197,26631.5793569098,0.317715987299977,4.10694384459802
4,10,0.408326470120258,32458.7925415829,0.307783407688161,4.27634410437535
5,10,0.413666685701361,77202.4489836691,0.313591035862091,3.9096632269044
6,10,0.415087380946729,27772.5223543913,0.317500656365556,4.09025794380012
7,10,0.410681727995489,4701.02948214914,0.316903797984744,4.64803381893135
8,10,0.413844125571604,75516.5523149617,0.313514465034723,3.91210313721394
9,10,0.414294243593027,69270.6705830807,0.314016682984375,3.92023966076324
10,10,0.412474151076144,34945.4807750921,0.313122112056699,4.12558858260739
1,11,0.381164054548157,5063.02239923095,0.272367693051054,5.94055191921802
2,11,0.378097223033766,12836.0106679623,0.267330985936468,5.78017904024559
3,11,0.374489007679265,5932.80871407145,0.264293306910565,6.21626660863931
4,11,0.375393085596071,1429.29197028782,0.269406709080833,6.64096854225852
5,11,0.381293010358333,2845.3221414173,0.276596992419172,6.07351700875516
6,11,0.381015913603389,9929.88054173764,0.27157856621795,5.71998769257589
7,11,0.381417120514111,6041.55662474507,0.273476599068113,5.85315901831665
8,11,0.386398875144895,11036.0176417367,0.277918710998785,5.44650632935028
9,11,0.382356849624674,3716.16869260008,0.276946161904266,5.94119996255467
10,11,0.385935129151197,9150.37499808839,0.277769696634053,5.523892286739
1,12,0.357025096264604,3676.06338265185,0.241054479508859,7.47036675741118
2,12,0.356363138113571,876.163226674365,0.243970371542403,8.09453357125605
3,12,0.357253126399713,1123.64778172491,0.242560508061774,7.97973384750983
4,12,0.355714770019579,1181.53422134647,0.243045619406502,8.00399969893916
5,12,0.358554544926324,1455.73184539445,0.245424318821297,7.73180846788463
6,12,0.358511829653914,2447.11116003226,0.244843114236748,7.50840885191695
7,12,0.351659489149475,555.178017781822,0.237698162232179,8.69450648572575
8,12,0.349676007766625,2171.17378273993,0.232666809330601,8.22506442764865
9,12,0.352713963975444,793.967259166535,0.238583626354382,8.44360608514811
10,12,0.352247351741449,1065.65118860192,0.237690795746382,8.33570389734679
1,13,0.309011143321174,72.1224834957285,0.188398783567189,14.8030702873723
2,13,0.306591011849131,101.827774788677,0.183902002769278,14.973268652338
3,13,0.305334874969799,11.4008204480886,0.186543202320087,17.0223807676052
4,13,0.309523563787607,70.2653012839628,0.188380041199015,14.7821789116616
5,13,0.306443081396739,103.361295110607,0.183689899284747,14.9927657137123
6,13,0.30503064603522,12.2746944978811,0.186466747784274,16.984561977029
7,13,0.310971645160541,60.4222387406365,0.190737140324387,14.6543817939185
8,13,0.306561976616739,98.1254225182436,0.183935111783103,15.0079178385957
9,13,0.304715236892044,11.6064142583618,0.186043568190222,17.1054261962984
10,13,0.310974815663291,64.7246601148642,0.190473549394092,14.6053430501925
1,14,0.369049453374742,5013.53124888154,0.258448840467955,6.55689838265213
2,14,0.366601528059285,2603.39788736634,0.25456920124838,6.98034911686893
3,14,0.365223410725025,4373.70166366825,0.251803784671171,6.86703897331798
4,14,0.362433042672543,3773.96648430062,0.248944266848048,7.08721073525286
5,14,0.376286271298632,3390.07336816367,0.265836331466798,6.34182974579032
6,14,0.371506880872193,7266.67432757876,0.258296102007282,6.33437031006303
7,14,0.369458112102771,3413.6701427923,0.259016493601293,6.68164995843808
8,14,0.366040736533346,1856.09316446499,0.255425842354714,7.1232150156979
9,14,0.3638115060164,1474.00412244116,0.252105145556203,7.37381160488637
10,14,0.37460085820656,6012.53586616433,0.264401910499543,6.20575201492699
1,15,0.370748607051623,2296.19934767556,0.261922005460517,6.74119300159777
2,15,0.371328535246533,707.338364498321,0.265336467539251,7.14405184206714
3,15,0.378162183193849,4331.78276629863,0.269599591255827,6.12695037494267
4,15,0.374340090651311,14546.7269467372,0.261828210212983,5.93398247462843
5,15,0.37460840533592,9081.06550015065,0.262283962205912,6.08889263184834
6,15,0.377579697620672,14376.1716440025,0.265284183184339,5.79006733528535
7,15,0.374716407308504,3221.8573056582,0.264227032186341,6.43852238748436
8,15,0.370146857594404,3841.5713985603,0.259789952203835,6.60101984276704
9,15,0.376380646617697,7403.41087560019,0.266631248588935,6.03750519070339
10,15,0.365125662322151,6112.99784913902,0.250857410793822,6.75366157915998
1,16,0.395526292677896,21112.269336178,0.290074640147148,4.86100195796938
2,16,0.395943811835796,8597.16397838529,0.294486138032047,5.06257600206579
3,16,0.397229809264115,72475.1760555937,0.287535289370895,4.50816945892188
4,16,0.396142048647968,8302.70706138188,0.29384889976568,5.07694850229923
5,16,0.395991386631333,26362.9275192343,0.28931151225254,4.79637877178141
6,16,0.398465055795355,13525.497775192,0.29603402612693,4.85031099367051
7,16,0.398981425071947,12455.0378450944,0.296919280134099,4.85197154884179
8,16,0.39692097411159,10255.2948297266,0.295030512938481,4.98349037786314
9,16,0.401519327347048,14127.3057365235,0.299499367250894,4.72875611940901
10,16,0.399392920840309,46925.1993178971,0.293028818046469,4.51960820303947
1,17,0.413042210580183,31847.6830750022,0.315268681023015,4.11582950499004
2,17,0.411524573790295,11675.6002404761,0.315015285177755,4.40645591505861
3,17,0.401371672161513,7539.7478619155,0.301468920103068,4.89148952078004
4,17,0.412720418425851,32276.6241918831,0.31524680566681,4.12039177384268
5,17,0.406071042521939,44865.2927448836,0.302528091451028,4.29279495346093
6,17,0.403631320588402,38342.8531436861,0.299995260445278,4.4052424018239
7,17,0.406336445962356,19265.4061160366,0.305635078522891,4.47356236008456
8,17,0.413107372881957,34636.0513758774,0.314720350721743,4.10258495576327
9,17,0.404174705221679,17448.6464545452,0.305056057712043,4.55187943205613
10,17,0.408054628235482,70020.296055616,0.304465554959218,4.12324628529154
1,18,0.372352068090231,1632.32950372545,0.263867646556565,6.78894934539319
2,18,0.369728450434776,855.382720274293,0.261751479169218,7.19365026602572
3,18,0.371048705224044,6050.70930480125,0.259284317606999,6.40131965661228
4,18,0.384010996125217,13504.9418102994,0.27518354390442,5.48315049858944
5,18,0.372961866609384,4046.48841563077,0.263127487231876,6.42361277826912
6,18,0.375162791637567,4364.64142844064,0.265790384759566,6.28129401023791
7,18,0.367359130841342,1037.7511226733,0.258452241632823,7.26374730004576
8,18,0.377759558106619,1977.70367112634,0.271207451854906,6.40883655555437
9,18,0.374619648698327,9160.82346599541,0.262778434454851,6.07509112383052
10,18,0.373300228699094,3655.34248857362,0.264265934159785,6.4302921084502
1,19,0.380330290617582,6637.63768490691,0.27131024718539,5.88264508783067
2,19,0.381153834804315,4173.22622832958,0.274854502666206,5.96926165449557
3,19,0.3800583825642,6076.29095945999,0.271919618261559,5.91098180950954
4,19,0.383612494295814,14989.3785624166,0.275759007861497,5.44980805208051
5,19,0.386272709387954,29361.5816918957,0.275658025364029,5.17141600584963
6,19,0.385947611706306,13234.9598396774,0.279246779879811,5.37931757424475
7,19,0.392327252441016,45772.0485688685,0.282412133794664,4.8047170843192
8,19,0.379319135281609,4150.8725019117,0.273155756893258,6.05067400040724
9,19,0.38208258533336,8073.34008240027,0.273408015648818,5.73246836749156
10,19,0.380807551272045,2071.0939535099,0.274916310601755,6.23130284714588
1,2,0.383969434689864,21955.3062118807,0.274038244086275,5.34216391730752
2,2,0.377787781990269,4489.21554590591,0.268650759439737,6.13952418782745
3,2,0.372423270743804,2570.77486111364,0.261200508720306,6.65937893735231
4,2,0.377757397866314,5390.09950110958,0.268378933856779,6.07920366311145
5,2,0.37850501557167,10772.4469569071,0.267698573593512,5.82698312484874
6,2,0.383353725447857,7514.33676178366,0.275070878543947,5.69817325134469
7,2,0.372402738329026,1805.33545944286,0.263904387628623,6.74725148487877
8,2,0.377641418449758,8350.06497895889,0.267333938956145,5.94268145961875
9,2,0.37818366498506,7333.83735420094,0.267957937510343,5.96526743433423
10,2,0.385152351756175,22659.617941342,0.275323175056113,5.28223353497753
1,20,0.402318488646024,32785.0478591181,0.299537146475021,4.48082340155527
2,20,0.401192125428466,34040.6845781413,0.298288074314156,4.50880208079396
3,20,0.399613213473169,13527.9080487819,0.298870884229091,4.79307286976799
4,20,0.405182850549125,112902.450613771,0.300323254772443,4.09861751269429
5,20,0.399336897022474,20703.0142476382,0.295891596376651,4.71292967069395
6,20,0.3948396340749,6992.70883098014,0.291784545257594,5.18798423470085
