id,A1_SAEM,tau1_SAEM,A2_SAEM,tau2_SAEM,A1_mean,tau1_mean,A2_mean,tau2_mean,A1_mode,tau1_mode,A2_mode,tau2_mode,A1_sd,tau1_sd,A2_sd,tau2_sd
1,0.379072,8525.54,0.27004,5.96196,0.378961,8256.49,0.270005,5.96988,0.3788,6251.08,0.269755,5.9734,0.00411227,6783.95,0.00514887,0.368413
10,0.415583,88096.3,0.316934,3.89028,0.414535,63205.5,0.316309,3.99124,0.415664,60065.5,0.317359,3.89916,0.0035937,57279.8,0.00469121,0.236644
11,0.380984,7965.18,0.272902,5.88812,0.381391,9629.78,0.273027,5.81784,0.381308,7515.63,0.272827,5.78788,0.00380824,9334.99,0.0043615,0.381135
12,0.354415,2039.77,0.239745,8.06029,0.353342,1484.7,0.2391,8.27344,0.354547,1245.56,0.240265,8.09522,0.00400982,1675.82,0.0050602,0.538598
13,0.304665,47.6465,0.18394,16.1473,0.30651,55.0816,0.186052,15.755,0.308082,39.2839,0.187966,15.4601,0.00238408,35.6549,0.002382,1.03115
14,0.366228,4015.38,0.25425,6.9844,0.367175,4100.3,0.255412,6.86763,0.366642,2855.52,0.254761,6.93477,0.00405348,3085.34,0.00474975,0.435407
15,0.373623,6837.04,0.263319,6.37858,0.373301,6570.8,0.26268,6.37923,0.373551,4550.35,0.263191,6.36124,0.00353758,6024.85,0.00423723,0.416871
16,0.397204,26291,0.2933,4.84078,0.397168,27787.2,0.293001,4.8217,0.397004,20224.4,0.292762,4.80723,0.00341983,25397.9,0.00460866,0.296989
17,0.406886,50315.1,0.306181,4.33927,0.407373,45650.5,0.306726,4.30009,0.407705,36031,0.306919,4.27025,0.00374396,37032.8,0.00508607,0.258507
18,0.371535,5204.93,0.261004,6.55023,0.371511,4883.82,0.260967,6.57816,0.372017,4047.57,0.261345,6.48837,0.00365774,3448.32,0.00437612,0.458422
19,0.38246,11194.3,0.274582,5.75653,0.382822,12453.4,0.274436,5.67264,0.38237,8312.03,0.274072,5.70449,0.00431137,11145.5,0.00511386,0.423311
2,0.378371,9420.84,0.269125,5.98692,0.378989,8854.78,0.270037,5.97894,0.378826,6670.99,0.269624,5.95157,0.00390089,8760.4,0.00445619,0.41321
20,0.40155,36101.3,0.298387,4.54989,0.402194,47859.2,0.299063,4.5189,0.401206,25968.9,0.298225,4.58185,0.00416424,53538.7,0.00556141,0.314509
3,0.348989,1324.51,0.233695,8.6404,0.348597,993.133,0.233367,8.79983,0.349861,903.194,0.23473,8.60408,0.0035026,729.086,0.00425984,0.550725
4,0.406333,47082.9,0.305339,4.3574,0.407091,50908.7,0.30555,4.28197,0.406903,38192.5,0.305551,4.28497,0.00379939,36087.2,0.00443276,0.266771
5,0.433211,318552,0.340101,3.16608,0.432204,188440,0.339647,3.26608,0.433135,170103,0.340944,3.2209,0.00338213,126473,0.00464584,0.163157
6,0.382075,13166.3,0.273555,5.71013,0.382651,10161.2,0.274873,5.75241,0.382489,7678.42,0.27445,5.72251,0.00419427,8225.29,0.0048614,0.444956
7,0.386765,14713.9,0.279884,5.446,0.387465,20210,0.279923,5.33281,0.386632,10294.5,0.279591,5.4374,0.00402514,21662.2,0.0047322,0.389563
8,0.406489,62123.3,0.305009,4.27602,0.405964,43608.3,0.304758,4.36075,0.405603,35457.1,0.303834,4.34758,0.0032397,45199.9,0.00451276,0.249464
9,0.378829,7911.01,0.270125,6.02404,0.378971,8693.92,0.270007,5.98135,0.378373,6034.53,0.269244,6.00687,0.00404259,7846.88,0.00467133,0.427861
