parameter,value,se_sa,rse_sa
A1_pop,0.158666771142133,0.00638149973912026,4.02195096880349
tau1_pop,1.26652245932043,0.242927815993371,19.1806954709448
A2_pop,0.351299728470655,0.0131665370729303,3.74794968679576
tau2_pop,2113.13570216006,1285.84880180788,60.8502710210932
omega_A1,0.178322448406682,0.0015457264418422,0.866815398539738
omega_tau1,0.584182546708659,nan,nan
omega_A2,0.166043187271689,0.00146386531794642,0.881617211762604
omega_tau2,2.31872115638388,nan,nan
corr_A2_A1,0.993561952338157,2.06871772967675e-6,0.000208212253378707
corr_tau1_A1,0.533860081567152,nan,nan
corr_tau2_A1,-0.989503849315664,nan,nan
corr_tau1_A2,0.434801981464103,nan,nan
corr_tau2_A2,-0.997732705786441,nan,nan
corr_tau2_tau1,-0.422759530468959,nan,nan
a,0.0611064226721458,0.00103306793102566,1.69060449924942
