rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,64,0,0.448033,0.124636,0.124636,0,All,#4682B4,0
2,64,0,0.415079,0.620102,0.620102,0,All,#4682B4,0
3,64,0,0.435473,0.313466,0.313466,0,All,#4682B4,0
4,64,0,0.447409,0.134005,0.134005,0,All,#4682B4,0
5,64,0,0.448639,0.115525,0.115525,0,All,#4682B4,0
6,64,0,0.447843,0.12748,0.12748,0,All,#4682B4,0
7,64,0,0.43034,0.390643,0.390643,0,All,#4682B4,0
8,64,0,0.454425,0.0285237,0.0285237,0,All,#4682B4,0
1,64,0.3539,0.59224,-0.741556,-0.741556,0,All,#4682B4,0
2,64,0.3539,0.582189,-0.590436,-0.590436,0,All,#4682B4,0
3,64,0.3539,0.592041,-0.738568,-0.738568,0,All,#4682B4,0
4,64,0.3539,0.602894,-0.901738,-0.901738,0,All,#4682B4,0
5,64,0.3539,0.597138,-0.8152,-0.8152,0,All,#4682B4,0
6,64,0.3539,0.600237,-0.861798,-0.861798,0,All,#4682B4,0
7,64,0.3539,0.587849,-0.675543,-0.675543,0,All,#4682B4,0
8,64,0.3539,0.603417,-0.909613,-0.909613,0,All,#4682B4,0
1,64,0.7078,0.610785,-0.698406,-0.698406,0,All,#4682B4,0
2,64,0.7078,0.614408,-0.752877,-0.752877,0,All,#4682B4,0
3,64,0.7078,0.618011,-0.807037,-0.807037,0,All,#4682B4,0
4,64,0.7078,0.626751,-0.938454,-0.938454,0,All,#4682B4,0
5,64,0.7078,0.619403,-0.82798,-0.82798,0,All,#4682B4,0
6,64,0.7078,0.623028,-0.88248,-0.88248,0,All,#4682B4,0
7,64,0.7078,0.616414,-0.783028,-0.783028,0,All,#4682B4,0
8,64,0.7078,0.625001,-0.912144,-0.912144,0,All,#4682B4,0
1,64,1.0617,0.61317,-1.50904,-1.50904,0,All,#4682B4,0
2,64,1.0617,0.62062,-1.62105,-1.62105,0,All,#4682B4,0
3,64,1.0617,0.622318,-1.64657,-1.64657,0,All,#4682B4,0
4,64,1.0617,0.630412,-1.76826,-1.76826,0,All,#4682B4,0
5,64,1.0617,0.622742,-1.65295,-1.65295,0,All,#4682B4,0
6,64,1.0617,0.626437,-1.7085,-1.7085,0,All,#4682B4,0
7,64,1.0617,0.621594,-1.63568,-1.63568,0,All,#4682B4,0
8,64,1.0617,0.628128,-1.73393,-1.73393,0,All,#4682B4,0
1,64,1.4156,0.613477,1.07921,1.07921,0,All,#4682B4,0
2,64,1.4156,0.621818,0.953801,0.953801,0,All,#4682B4,0
3,64,1.4156,0.623032,0.935542,0.935542,0,All,#4682B4,0
4,64,1.4156,0.630973,0.816146,0.816146,0,All,#4682B4,0
5,64,1.4156,0.623242,0.932384,0.932384,0,All,#4682B4,0
6,64,1.4156,0.626947,0.876693,0.876693,0,All,#4682B4,0
7,64,1.4156,0.622533,0.943047,0.943047,0,All,#4682B4,0
8,64,1.4156,0.628581,0.852119,0.852119,0,All,#4682B4,0
1,64,1.7695,0.613517,-0.512133,-0.512133,0,All,#4682B4,0
2,64,1.7695,0.622049,-0.640419,-0.640419,0,All,#4682B4,0
3,64,1.7695,0.623151,-0.656987,-0.656987,0,All,#4682B4,0
4,64,1.7695,0.63106,-0.775897,-0.775897,0,All,#4682B4,0
5,64,1.7695,0.623317,-0.659492,-0.659492,0,All,#4682B4,0
6,64,1.7695,0.627023,-0.715201,-0.715201,0,All,#4682B4,0
7,64,1.7695,0.622704,-0.650262,-0.650262,0,All,#4682B4,0
8,64,1.7695,0.628647,-0.739615,-0.739615,0,All,#4682B4,0
1,64,2.1234,0.613522,0.675353,0.675353,0,All,#4682B4,0
2,64,2.1234,0.622093,0.546473,0.546473,0,All,#4682B4,0
3,64,2.1234,0.623171,0.530279,0.530279,0,All,#4682B4,0
4,64,2.1234,0.631073,0.411466,0.411466,0,All,#4682B4,0
