time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
2.22045e-16,0.362072,2.22045e-16,0.481353,2.22045e-16,0.359291,0.463749,0.313653,0.346057,0.137161,0.463749,0.315104,All
4.89235e-16,0.362072,4.89235e-16,0.481353,4.89235e-16,0.359291,0.466957,0.307088,0.352352,0.137428,0.466957,0.308422,All
1.07794e-15,0.362072,1.07794e-15,0.481353,1.07794e-15,0.359291,0.467566,0.305842,0.356181,0.13759,0.467566,0.307153,All
2.37505e-15,0.362072,2.37505e-15,0.481353,2.37505e-15,0.359291,0.470188,0.300478,0.35876,0.137699,0.470188,0.301693,All
5.233e-15,0.362072,5.233e-15,0.481353,5.233e-15,0.359291,0.471384,0.29803,0.365285,0.137975,0.471384,0.299201,All
1.153e-14,0.362072,1.153e-14,0.481353,1.153e-14,0.359291,0.473441,0.293822,0.366304,0.138018,0.473441,0.294917,All
2.54042e-14,0.362072,2.54042e-14,0.481353,2.54042e-14,0.359291,0.475202,0.290219,0.371929,0.138256,0.475202,0.291249,All
5.59736e-14,0.362072,5.59736e-14,0.481353,5.59736e-14,0.359291,0.476716,0.28712,0.376427,0.138446,0.476716,0.288095,All
1.23328e-13,0.362072,1.23328e-13,0.481353,1.23328e-13,0.359291,0.479019,0.282408,0.378694,0.138542,0.479019,0.283298,All
2.7173e-13,0.362072,2.7173e-13,0.481353,2.7173e-13,0.359291,0.480014,0.280372,0.385582,0.138833,0.480014,0.281226,All
5.98709e-13,0.362072,5.98709e-13,0.481353,5.98709e-13,0.359291,0.482837,0.274597,0.38655,0.138874,0.482837,0.275346,All
1.31915e-12,0.362072,1.31915e-12,0.481353,1.31915e-12,0.359291,0.483335,0.273577,0.392595,0.13913,0.483335,0.274309,All
2.9065e-12,0.362072,2.9065e-12,0.481353,2.9065e-12,0.359291,0.486655,0.266785,0.396673,0.131532,0.486655,0.267395,All
6.40396e-12,0.362072,6.40396e-12,0.481353,6.40396e-12,0.359291,0.486679,0.266735,0.399735,0.123955,0.486679,0.267344,All
1.411e-11,0.362072,1.411e-11,0.481353,1.411e-11,0.359291,0.490046,0.259846,0.406797,0.105771,0.490046,0.260331,All
3.10888e-11,0.362072,3.10888e-11,0.481353,3.10888e-11,0.359291,0.490472,0.258974,0.407006,0.105201,0.490472,0.259443,All
6.84985e-11,0.362072,6.84985e-11,0.481353,6.84985e-11,0.359291,0.493436,0.252909,0.414408,0.0849911,0.493436,0.253269,All
1.50924e-10,0.362072,1.50924e-10,0.481353,1.50924e-10,0.359291,0.49429,0.251163,0.41692,0.0780493,0.49429,0.251491,All
3.32534e-10,0.362072,3.32534e-10,0.481353,3.32534e-10,0.359291,0.49685,0.245924,0.421946,0.0641656,0.49685,0.246159,All
7.32679e-10,0.362072,7.32679e-10,0.481353,7.32679e-10,0.359291,0.498107,0.243351,0.427043,0.050623,0.498107,0.24354,All
1.61433e-09,0.362072,1.61433e-09,0.481353,1.61433e-09,0.359291,0.500288,0.238891,0.42962,0.0441313,0.500288,0.238999,All
3.55688e-09,0.362072,3.55688e-09,0.481353,3.55688e-09,0.359291,0.501925,0.23554,0.437166,0.0265748,0.501925,0.235588,All
7.83693e-09,0.362072,7.83693e-09,0.481353,7.83693e-09,0.359291,0.503749,0.231809,0.437434,0.0259896,0.503749,0.23179,All
1.72673e-08,0.362072,1.72673e-08,0.481353,1.72673e-08,0.359291,0.505743,0.227729,0.44539,0.0110348,0.505743,0.227637,All
3.80453e-08,0.362072,3.80453e-08,0.481353,3.80453e-08,0.359291,0.507234,0.224678,0.447289,0.00831937,0.507234,0.224531,All
8.3826e-08,0.362072,8.3826e-08,0.481353,8.3826e-08,0.359291,0.50956,0.219918,0.453491,0.00108965,0.50956,0.219685,All
1.84696e-07,0.362072,1.84696e-07,0.481353,1.84696e-07,0.359291,0.510743,0.217498,0.457413,-0.00141826,0.510743,0.217222,All
4.06943e-07,0.362072,4.06943e-07,0.481353,4.06943e-07,0.359291,0.513378,0.212106,0.461739,-0.00226485,0.513378,0.211734,All
8.96626e-07,0.362072,8.96626e-07,0.481353,8.96626e-07,0.359291,0.514277,0.210268,0.467536,-0.0003166,0.514277,0.209862,All
1.97555e-06,0.362072,1.97555e-06,0.481352,1.97555e-06,0.359291,0.517196,0.204295,0.470138,0.00213792,0.517196,0.203782,All
4.35278e-06,0.362071,4.35278e-06,0.481351,4.35278e-06,0.35929,0.517835,0.202988,0.477659,0.0133612,0.517835,0.202451,All
9.59056e-06,0.362069,9.59056e-06,0.481348,9.59056e-06,0.359288,0.521013,0.196484,0.478688,0.0152019,0.521013,0.19583,All
2.11311e-05,0.362064,2.11311e-05,0.481342,2.11311e-05,0.359283,0.521417,0.195657,0.487395,0.0315001,0.521417,0.194989,All
4.65585e-05,0.362054,4.65585e-05,0.481329,4.65585e-05,0.359273,0.524831,0.188672,0.487782,0.03217,0.524831,0.187879,All
0.000102583,0.362031,0.000102583,0.4813,0.000102583,0.35925,0.525025,0.188276,0.49626,0.0456625,0.525025,0.187475,All
0.000226024,0.361981,0.000226024,0.481236,0.000226024,0.3592,0.528649,0.180861,0.497905,0.0475538,0.528649,0.179927,All
0.000498003,0.361871,0.000498003,0.481095,0.000498003,0.359089,0.528657,0.180844,0.505286,0.0504618,0.528657,0.17991,All
0.00109726,0.361628,0.00109726,0.480784,0.00109726,0.358846,0.532314,0.173361,0.508029,0.0492435,0.532314,0.172292,All
0.00241761,0.361094,0.00241761,0.480099,0.00241761,0.358309,0.532466,0.17305,0.514476,0.038777,0.532466,0.171976,All
0.00532678,0.359916,0.00532678,0.478591,0.00532678,0.357127,0.535997,0.165825,0.518152,0.0267799,0.535997,0.164621,All
0.0117366,0.35732,0.0117366,0.475267,0.0117366,0.354523,0.536284,0.165239,0.523833,0.00197666,0.536284,0.164024,All
0.0258595,0.351602,0.0258595,0.467943,0.0258595,0.348784,0.539705,0.158238,0.528275,-0.022911,0.539705,0.156898,All
0.0569767,0.339003,0.0569767,0.451805,0.0569767,0.33614,0.540102,0.157427,0.533361,-0.0504749,0.540102,0.156072,All
0.125538,0.311244,0.125538,0.41625,0.125538,0.308282,0.543439,0.150598,0.538398,-0.0641606,0.543439,0.14912,All
0.2766,0.250081,0.2766,0.337909,0.2766,0.2469,0.543919,0.149616,0.543062,-0.0693198,0.543919,0.148121,All
0.609438,0.202056,0.609438,0.274318,0.609438,0.200428,0.547199,0.142905,0.548521,-0.0425765,0.547199,0.141289,All
0.632918,0.200519,0.632918,0.272158,0.632918,0.199044,0.547737,0.141805,0.552939,0.00163143,0.547737,0.140169,All
1.26584,0.288927,1.26584,0.396098,1.26584,0.287797,0.550985,0.135159,0.558645,-0.0153512,0.550985,0.133404,All
1.34279,0.295355,1.34279,0.405106,1.34279,0.294193,0.551554,0.133993,0.562996,-0.0266009,0.551554,0.132218,All
1.89875,0.295408,1.89875,0.405401,1.89875,0.293653,0.554797,0.12736,0.568768,-0.0271727,0.554797,0.125465,All
2.53167,0.286576,2.53167,0.39362,2.53167,0.28289,0.555372,0.126182,0.573236,-0.00555708,0.555372,0.124266,All
2.95859,0.270574,2.95859,0.370579,2.95859,0.265975,0.558635,0.119506,0.578891,0.0207628,0.558635,0.11747,All
3.16459,0.268796,3.16459,0.367211,3.16459,0.264206,0.55919,0.118371,0.583662,0.024244,0.55919,0.116315,All
3.79751,0.286026,3.79751,0.389391,3.79751,0.281543,0.5625,0.111598,0.589014,-0.00768127,0.5625,0.10942,All
4.43043,0.280914,4.43043,0.384063,4.43043,0.276262,0.563007,0.11056,0.594278,-0.021941,0.563007,0.108363,All
5.06334,0.256328,5.06334,0.350752,5.06334,0.25392,0.566391,0.103636,0.599137,0.000140269,0.566391,0.101315,All
5.69626,0.258875,5.69626,0.352579,5.69626,0.254199,0.566825,0.102748,0.605087,0.0822277,0.566825,0.100411,All
6.32918,0.247795,6.32918,0.340101,6.32918,0.237946,0.57031,0.0956179,0.609261,0.0999618,0.57031,0.0931528,All
6.51872,0.244249,6.51872,0.336451,6.51872,0.23464,0.570643,0.094937,0.616092,-0.0894214,0.570643,0.0924598,All
6.9621,0.228931,6.9621,0.315273,6.9621,0.221597,0.574256,0.0875447,0.619384,-0.223127,0.574256,0.0849346,All
7.59502,0.206854,7.59502,0.282732,7.59502,0.201305,0.57446,0.0871258,0.627298,0.0240887,0.57446,0.0845082,All
8.22793,0.195874,8.22793,0.266934,8.22793,0.18882,0.578229,0.0794157,0.629507,-0.0271282,0.578229,0.0766596,All
8.86085,0.19171,8.86085,0.260867,8.86085,0.185861,0.578278,0.0793145,0.638707,0.00511554,0.578278,0.0765566,All
9.49377,0.177618,9.49377,0.241775,9.49377,0.171648,0.582096,0.0715032,0.63963,0.00528641,0.582096,0.068605,All
10.1267,0.153556,10.1267,0.208092,10.1267,0.146599,0.582229,0.0712304,0.649753,-0.00361932,0.582229,0.0683274,All
10.7596,0.158112,10.7596,0.214695,10.7596,0.151088,0.585913,0.0636919,0.650324,-0.00809421,0.585913,0.0606534,All
11.3925,0.13882,11.3925,0.187777,11.3925,0.134632,0.586257,0.0629886,0.659877,-0.0067402,0.586257,0.0599374,All
12.0254,0.106222,12.0254,0.142886,12.0254,0.0993258,0.589731,0.0558806,0.662152,-0.00403028,0.589731,0.0527018,All
12.6584,0.0863721,12.6584,0.113786,12.6584,0.0768258,0.590313,0.0546897,0.67,-0.000173881,0.590313,0.0514895,All
13.2913,0.0815269,13.2913,0.10875,13.2913,0.0734642,0.593549,0.0480693,0.674195,0.00423149,0.593549,0.0447503,All
13.9242,0.058563,13.9242,0.0745703,13.9242,0.0508489,0.594397,0.0463333,0.680123,0.00249646,0.594397,0.0429831,All
14.3628,0.0377271,14.3628,0.045012,14.3628,0.0339086,0.597366,0.040258,0.686458,0.0105628,0.597366,0.0367987,All
14.5571,0.0381381,14.5571,0.0444664,14.5571,0.0322549,0.598509,0.0379192,0.690246,-0.00184346,0.598509,0.0344178,All
15.19,0.0463831,15.19,0.057513,15.19,0.0395265,0.601184,0.0324468,0.698943,0.0162553,0.601184,0.0288471,All
15.8229,0.0210288,15.8229,0.0250707,15.8229,0.0161268,0.60265,0.0294469,0.700369,0.00319455,0.60265,0.0257933,All
16.4559,-0.026497,16.4559,-0.0436126,16.4559,-0.0348561,0.605002,0.0246355,0.710493,-0.0124467,0.605002,0.0208955,All
17.0888,-0.016899,17.0888,-0.0266058,17.0888,-0.022772,0.606819,0.0209159,0.711656,-0.010469,0.606819,0.0171091,All
17.7217,-0.0254087,17.7217,-0.040317,17.7217,-0.0309232,0.608819,0.0168242,0.720616,0.0145469,0.608819,0.0129439,All
18.3546,-0.0250145,18.3546,-0.0409648,18.3546,-0.0346713,0.611018,0.0123259,0.724599,0.00610102,0.611018,0.00836486,All
18.9875,-0.0357453,18.9875,-0.0555409,18.9875,-0.0436624,0.612637,0.00901291,0.730739,0.0107725,0.612637,0.00499233,All
19.6205,-0.0726589,19.6205,-0.107654,19.6205,-0.0778952,0.615245,0.00367652,0.737779,0.0116023,0.615245,-0.000439901,All
20.2534,-0.0968633,20.2534,-0.139731,20.2534,-0.101857,0.616454,0.00120163,0.740862,0.00216943,0.616454,-0.00295925,All
20.8863,-0.108401,20.8863,-0.154902,20.8863,-0.115116,0.619501,-0.00503272,0.750985,0.0148554,0.619501,-0.00930558,All
21.5192,-0.131675,21.5192,-0.187452,21.5192,-0.140202,0.620272,-0.00660966,0.751197,0.0152597,0.620272,-0.0109108,All
22.1521,-0.143896,22.1521,-0.205996,22.1521,-0.149588,0.623787,-0.0138489,0.761109,0.034164,0.623787,-0.0180825,All
22.785,-0.166055,22.785,-0.238115,22.785,-0.17324,0.62409,-0.0144748,0.76486,0.0413199,0.62409,-0.0186891,All
23.418,-0.1803,23.418,-0.256384,23.418,-0.18937,0.627907,-0.0223772,0.771232,0.0534727,0.627907,-0.0263473,All
24.0509,-0.183837,24.0509,-0.26177,24.0509,-0.193202,0.628103,-0.0227821,0.778772,0.0678541,0.628103,-0.0267396,All
24.6838,-0.214737,24.6838,-0.305743,24.6838,-0.223383,0.631725,-0.0302797,0.781355,0.0727814,0.631725,-0.0340055,All
25.3167,-0.242369,25.3167,-0.341812,25.3167,-0.249383,0.632448,-0.0317771,0.791478,0.0495229,0.632448,-0.0354567,All
25.9496,-0.240348,25.9496,-0.341987,25.9496,-0.250129,0.635543,-0.0381821,0.792936,0.0408158,0.635543,-0.0416637,All
26.5826,-0.261471,26.5826,-0.370712,26.5826,-0.267875,0.636824,-0.0408343,0.801601,-0.0577955,0.636824,-0.044234,All
27.2155,-0.271949,27.2155,-0.384879,27.2155,-0.281227,0.63936,-0.0460846,0.807358,-0.141828,0.63936,-0.049322,All
27.8484,-0.270935,27.8484,-0.384553,27.8484,-0.280294,0.64123,-0.0499543,0.811725,-0.205565,0.64123,-0.0530721,All
28.4813,-0.302518,28.4813,-0.426649,28.4813,-0.315118,0.643178,-0.053987,0.821848,-0.299608,0.643178,-0.0569802,All
29.1142,-0.336714,29.1142,-0.475439,29.1142,-0.34352,0.645666,-0.0591373,0.822043,-0.299874,0.645666,-0.0619713,All
29.7471,-0.312121,29.7471,-0.440246,29.7471,-0.324221,0.646996,-0.0618894,0.831971,-0.313456,0.646996,-0.0646384,All
30.3801,-0.333593,30.3801,-0.471077,30.3801,-0.340893,0.650133,-0.0416791,0.836994,-0.320327,0.650133,-0.044602,All
31.013,-0.352759,31.013,-0.494058,31.013,-0.361172,0.650813,-0.0271119,0.842094,-0.290289,0.650813,-0.0302154,All
31.6459,-0.409233,31.6459,-0.570519,31.6459,-0.420601,0.654631,0.000398663,0.852217,0.021905,0.654631,-0.00656648,All
