parameter,value
A1_pop,0.163087309680804
tau1_pop,8.20659901005574
A2_pop,0.346177324651375
tau2_pop,19.81056563777
omega_A1,0.261547884178555
omega_tau1,1.87506561006514
omega_A2,0.17737909771228
omega_tau2,1.26815826998965
corr_A2_A1,0.448219257250354
corr_tau1_A1,-0.0440604156840456
corr_tau2_A1,-0.98654613817296
corr_tau1_A2,-0.91277501563519
corr_tau2_A2,-0.314403973723187
corr_tau2_tau1,-0.0999364825451202
a,0.0710353008908985
