rep,id,eta_A1,eta_tau1,eta_A2,eta_p
1,21,0.0125343654253556,-0.0780470682389854,-0.0115578020784632,4.64552211839081
2,21,0.0336879456437347,-0.0483842799686088,-0.0316153738498506,1.6801546882561
3,21,0.035475010428578,-0.208305720688345,-0.0264367726314161,-1.57499183802301
4,21,0.00889907000471844,-0.144412907313161,-0.00943847264303151,-3.06543482231992
5,21,0.0439531978377474,-0.0781276420016687,-0.0313995501134923,2.76206282133245
6,21,0.0139101053229743,0.0721697971612205,-0.0104585789904316,-1.60387118429039
7,21,0.0403755071723587,0.234876042160357,-0.0231142708766109,-5.16730739266817
8,21,0.0183405876631257,-0.117174170944225,-0.00867626238494493,2.15403144042744
9,21,0.0537029612671195,0.0529947554437481,-0.027434074415959,3.522959075847
10,21,-0.00114830107453783,0.167562368743808,0.00637685855582515,-2.35230010374719
1,30,-0.0447857311943648,0.197100070731057,0.0562306404352016,-1.66689899230402
2,30,-0.0254298217919678,-0.22497245104668,0.0201784012542816,5.30519112830664
3,30,-0.0183242309757653,0.0915412930774071,0.0136866102981379,4.50780639279337
4,30,-0.0444029077185665,0.256932257776347,0.0426956234730956,2.34608274546409
5,30,-0.0248058168779303,-0.626496579398305,0.0153596170459852,-3.59754375571721
6,30,-0.0364930186336124,0.183792367161481,0.0279773669619635,7.34677818634942
7,30,-0.0262482082466189,-0.519603308761981,0.0207807279357601,1.1401174468103
8,30,-0.04890150609289,-0.0220278761122273,0.0408196542012372,-5.62149127839623
9,30,-0.0240071750088492,-0.000723843299542996,0.00934160090991387,-3.10035046532281
10,30,-0.0307483923006079,0.0277781973588967,0.0249058112349262,-2.13649517302049
1,31,-0.500710327637551,0.548347844004715,0.381945538659643,1.59868603317835
2,31,-0.544539608877348,-0.341903848648994,0.390240384490761,3.53352847303222
3,31,-0.534615431970911,0.368736536770368,0.394035711466939,3.77379272606756
4,31,-0.522539987117416,0.25028851471829,0.376270203564896,-0.0527320488818377
5,31,-0.532832945831809,0.182985973848642,0.40078932338983,1.15745067796411
6,31,-0.508853881064232,0.0616305457343318,0.38250975036773,0.846149490440627
7,31,-0.512941832384014,0.260428642309909,0.374949527471833,2.9731726106445
8,31,-0.539378576378594,0.347996383805806,0.399494462326794,3.99418280947446
9,31,-0.54589361513767,0.552664720520351,0.414539116804435,-0.726568628269316
10,31,-0.445053475810054,0.489491910095101,0.322660109726953,-0.266707799674078
1,32,-0.142393990643996,0.18086784774419,0.105985189093798,6.21997898168684
2,32,-0.122825461731594,0.199177998563159,0.0893991044312079,2.48787399338949
3,32,-0.103231328854254,-0.266391151313242,0.0711241051287638,-2.41881578470058
4,32,-0.103601715152733,-0.116195120121261,0.077814918906334,-3.09485043079132
5,32,-0.107484712930321,-0.249800208065069,0.0723764309330505,3.48914172550705
6,32,-0.139938339256477,-0.0460114728569923,0.0839481876914141,-2.7165167449736
7,32,-0.0851287134051893,-0.158957366327681,0.0641144799275296,-1.48745377731709
8,32,-0.155309062175836,-0.00371196487850617,0.10562155249985,-0.995185277537032
9,32,-0.121879303925767,-0.187720326232781,0.0921018232377456,4.03729404972363
10,32,-0.14079394192063,-0.299117610132534,0.100240464191146,1.84862251673856
1,33,0.00910689591633774,-0.160267125308207,-0.00603783736719496,2.42915359668917
2,33,-0.0102214267361508,-0.123975997459854,-0.00562192211501983,0.966583351325831
3,33,-0.0670149585090509,0.207817291604621,0.050952051122496,-3.8983907499394
4,33,0.239958368933983,-0.268555395950352,-0.181152562777405,-11.4576949979878
5,33,-0.0246616721290481,0.0709068460899848,0.00687354957774189,-3.6230721584614
6,33,-0.031291348681975,0.201679599990296,0.0309168548677167,-0.52919415778419
7,33,0.305354628620635,0.0831297329587191,-0.217034574979503,-9.62337674019213
8,33,-0.085993778471287,0.00444201924412105,0.0597652351066099,2.62030553240365
9,33,-0.0292652006124509,-0.114026806899858,0.0116607371844588,0.75841180455972
10,33,-0.0288058619862079,-0.0908170423264077,0.0141328567968414,2.14923882450977
1,34,-0.36070332995664,0.412025445121132,0.270090564744632,-1.57688703620245
2,34,-0.325534850627567,0.314239307521634,0.242706816636376,-1.84864034779768
3,34,-0.284901103806841,0.425416361442042,0.207762523967351,1.60888760047302
4,34,-0.308267228273431,0.235660196084315,0.221945618172667,7.27877421999715
5,34,-0.328073998765532,0.390991909351791,0.237792264024218,2.10834847075472
6,34,-0.318804867743831,0.080056613166964,0.231053397695678,0.701138028475556
7,34,-0.368490852215266,0.852179371884627,0.280365149206143,12.7930485387992
8,34,-0.259806076306421,0.327861216822792,0.183794978430044,4.70332313803854
9,34,-0.320512488296874,0.186422129246562,0.243438687788507,1.42467496040352
10,34,-0.310947407597491,0.274302297549237,0.219792458088404,2.19865525156629
1,35,-0.048681544649787,-0.140257781997567,0.0311295088280668,2.14417195678275
2,35,-0.0227933066328761,0.0661852115703414,0.0147808767009544,-0.300844465233545
3,35,-0.0247809169944944,-0.0301191150822912,0.00742799382893193,1.25310704716966
4,35,-0.0317889763190987,-0.243845704324406,0.0266912636098928,-4.14039011250335
5,35,-0.0334079546798109,-0.225713997910613,0.0215526588949699,-0.429884675658503
6,35,-0.000357006778377919,0.0101968354839903,0.00440112956093643,-6.04850390433986
7,35,0.0115238337892053,0.490438650906731,-0.00476248561986748,5.91181774603809
8,35,-0.0144004239911075,-0.214983158630317,0.0143602638030535,2.21886599101406
9,35,-0.0033035014041928,-0.450987156978884,-0.00957144432231796,-1.73966478946968
10,35,-0.0314581601056086,-0.0817296369292813,0.0326096574197076,-0.864848519901743
1,36,-0.0649094004345296,0.298506459899016,0.0492113587041423,3.72310916045691
2,36,-0.0708706632083219,0.0877694010569735,0.0503412707294581,-4.82685275461154
3,36,-0.0784099680716058,-0.0666956336294864,0.061259249871009,-1.85658933877418
4,36,-0.0409974132567618,0.035275815257657,0.0207992627049455,-3.61722834047138
5,36,-0.0906264035973009,-0.290394956424968,0.0667537227724245,3.95843738633557
6,36,-0.125711488007723,0.109973706044056,0.0890543127446682,-2.90042258760901
7,36,-0.0944996627158651,0.136899344938134,0.0718161105255977,1.95644036631866
8,36,-0.055029014174275,-0.190284437246281,0.0475422903404479,0.819773358186095
9,36,-0.0961790986674908,-0.251077529468724,0.0601634879972543,3.96739209339944
10,36,-0.0907362234074265,0.118510560607759,0.0618419619295849,-5.1068915758806
1,37,0.106668355972957,0.0152807128179955,-0.0766955806970492,-7.3703153641289
2,37,0.134022855331499,-0.155611803803074,-0.0959936873867307,2.1483451487159
3,37,0.129198752287625,-0.00330441570020601,-0.0983135858125287,-2.10477795891736
4,37,-0.294383701138212,0.254896673964789,0.218851492587554,-7.96708852772234
5,37,0.117228204141049,-0.352727722468889,-0.078126873372559,-2.43086361883661
6,37,-0.274844960040697,0.343906405149543,0.195342954855447,-8.19169434256132
7,37,0.108778307310677,-0.216609965236811,-0.0811032672746048,0.836023834698178
8,37,-0.341781905870651,0.0309245036904912,0.251413644118656,-8.10540566591133
9,37,0.111462632807365,-0.300630197509668,-0.0885661749355862,1.71610641863623
10,37,-0.295004511892355,-0.290231519655393,0.208255148513618,-8.10319455685586
1,38,-0.127295727959796,0.285032579682286,0.0904321284900534,-2.29076420312642
2,38,-0.0876204870867234,-0.344783407954644,0.0526386979580716,3.20345808198806
3,38,-0.0971658520570616,-0.318194941835804,0.0663297700504747,-1.86189370506099
4,38,-0.139750053726642,-0.220911381359255,0.086682885700089,2.92959881243242
5,38,-0.0934806288406418,0.0591834225000417,0.063979287359438,0.722628372625328
