rep,id,A1,tau1,A2,p
1,21,0.58330130419226,5.83473625060528,0.666073725385654,1
2,21,0.595771646303771,6.01040330360026,0.652846995307587,1
3,21,0.596837280727964,5.12213021940306,0.656236598679845,0.999999999929302
4,21,0.58118468123814,5.46007881358648,0.667486851949464,0.999999575900331
5,21,0.601918890026079,5.83426614289074,0.652987910391247,1
6,21,0.584104327317592,6.78046666242439,0.66680629155599,0.999999999914581
7,21,0.599769258083896,7.97851396223248,0.658420572049126,0.997614224274134
8,21,0.586697932442905,5.6108485273513,0.667995811217505,1
9,21,0.607816158579056,6.65168953047816,0.655582458990457,1
10,21,0.575374540278848,7.45912787415957,0.678127296878672,0.999999991351721
1,30,0.550806613037472,7.68273960091483,0.712791396233779,0.999999999871295
2,30,0.561571825074212,5.03746853269519,0.687551383595922,1
3,30,0.565576335032922,6.91309490095265,0.683102400301345,1
4,30,0.551017515106123,8.15644481388453,0.703208749530128,1
5,30,0.561922358008406,3.37157350994556,0.684246191745137,0.999994379934533
6,30,0.555393285649669,7.58117725931546,0.692934537489839,1
7,30,0.561112430306126,3.75193918726128,0.687965638885132,1
8,30,0.548544275834517,6.17092197583448,0.701890788138365,0.991054856675908
9,30,0.562371311983542,6.30379787073478,0.680140752811428,0.999999493308794
10,30,0.55859299430951,6.48605397128364,0.690809415828336,0.999999997584295
1,31,0.349135177950248,10.915938574173,0.987230653803924,1
2,31,0.334163333313214,4.48156485326105,0.995453636917471,1
3,31,0.337496139674858,9.12130301615429,0.99923888754739,1
4,31,0.341596261271939,8.10243510225972,0.981643658060443,0.999999999999999
5,31,0.338098258340493,7.57506631291441,1.00601019887929,1
6,31,0.346303522493226,6.70938087297291,0.987787818061902,1
7,31,0.344890740211459,8.18501279460069,0.98034808045683,1
8,31,0.335892419232618,8.93407408607819,1.00470839845098,1
9,31,0.333711180246059,10.9631631911324,1.01993816518584,0.99999999999981
10,31,0.369117871653632,10.2920118086791,0.93040341810231,0.999999999999994
1,32,0.499583880827034,7.55903834783209,0.74915308940665,1
2,32,0.509456281590734,7.698720377058,0.73683005082365,1
3,32,0.519537075349055,4.83308500119493,0.723486777671175,0.999999987303656
4,32,0.519344681567004,5.61634452321016,0.728343723311288,0.999999507274982
5,32,0.517331977514266,4.91393931013835,0.724393386398177,1
6,32,0.500812192212198,6.02468176462042,0.732824578231743,0.999999932841372
7,32,0.529027698611886,5.38123964738367,0.718433139269662,0.999999999960349
8,32,0.493173205542575,6.28498947117492,0.748880719453716,0.999999999998666
9,32,0.509938535736574,5.22866404884881,0.738824188842517,1
10,32,0.500383879225296,4.67747540759365,0.74486174908469,1
1,33,0.581305479026358,5.37419613408846,0.669760595178887,1
2,33,0.570177706187711,5.57281400780289,0.670039216763195,1
3,33,0.53869769222606,7.76552001377937,0.709038776170935,0.999978522437399
4,33,0.732254311093414,4.8226363337151,0.562170734889547,0.000261859022861775
5,33,0.562003362003602,6.77190867008993,0.67846420028027,0.99999368156052
6,33,0.558289785000826,7.71800361637365,0.694974406799046,0.999999999999957
7,33,0.781741507505274,6.85518886904627,0.542356530369215,0.0511289622535536
8,33,0.528570253119403,6.33644668106538,0.715315282734971,1
9,33,0.559422109512127,5.6285357296964,0.681719922349966,1
10,33,0.559679132721224,5.76070054300655,0.683407300380972,1
1,34,0.401603857741343,9.52482527306867,0.882755910212519,0.999999999928417
2,34,0.41597894815748,8.63751943540261,0.858910720112591,0.99999999958929
3,34,0.433229842132852,9.6532292157563,0.829415046633982,1
4,34,0.423224290430412,7.98477279888826,0.841262536807391,1
5,34,0.41492405581656,9.32657676242766,0.85469991377932,1
6,34,0.418787920925752,6.83415438974815,0.848959568741806,1
7,34,0.398488504943987,14.7915415954555,0.891872615347497,1
8,34,0.444239320747736,8.75598396647201,0.809772337786615,1
9,34,0.41807340030329,7.60114018920564,0.859539562178512,1
10,34,0.422091492167111,8.29936021447224,0.839453112581817,1
1,35,0.548664947696127,5.48281332495241,0.695122211574072,1
2,35,0.563054371222845,6.74000955958279,0.683850305436779,0.999999999999993
3,35,0.561936349983819,6.12119302717095,0.678840475157836,1
4,35,0.558012033688382,4.94328666790587,0.692043924891093,0.999940695191682
5,35,0.557109355186471,5.03373439839151,0.688496905885001,0.99999999999998
6,35,0.575830011052674,6.37301689382843,0.676788823781452,0.97386288063904
7,35,0.582712157496788,10.3017602902067,0.670615320446069,1
