id,A1_SAEM,tau1_SAEM,A2_SAEM,p_SAEM,A1_mean,tau1_mean,A2_mean,p_mean,A1_mode,tau1_mode,A2_mode,p_mode,A1_sd,tau1_sd,A2_sd,p_sd
22,0.645931,5.96344,0.619648,0.936816,0.638332,6.06085,0.625982,0.927501,0.642711,5.73891,0.621686,1,0.0306139,1.31013,0.0251013,0.206103
40,0.574923,7.0192,0.675481,0.984883,0.582603,7.09937,0.670052,0.984184,0.578907,6.71566,0.671752,1,0.0323369,1.52365,0.0214621,0.107554
41,0.54016,6.7035,0.706756,0.998613,0.538132,6.53892,0.708285,0.998595,0.538219,6.34952,0.707986,1,0.0125019,1.63983,0.0132182,0.013934
42,0.499162,7.34606,0.74846,0.997278,0.498686,7.0363,0.749703,0.998786,0.500788,6.83231,0.746589,1,0.01249,1.78608,0.0147234,0.00606156
23,0.586843,6.79078,0.665913,0.954029,0.578045,6.60456,0.672796,0.961028,0.584162,6.16818,0.666851,1,0.0251548,1.59518,0.022155,0.134937
24,0.46848,6.912,0.783944,0.999683,0.467738,6.94757,0.784787,0.998457,0.467988,6.64124,0.784115,1,0.0122647,1.68168,0.0155239,0.00991663
25,0.535661,6.87528,0.71208,0.979096,0.540471,6.9911,0.706337,0.997215,0.542128,6.58702,0.704495,1,0.0113923,1.61896,0.0120762,0.0155063
26,0.346864,8.32061,0.976727,0.997473,0.346808,8.72678,0.978133,0.998673,0.351212,8.24438,0.968085,1,0.013312,2.19185,0.0290857,0.00588495
27,0.57024,6.08847,0.680016,0.987405,0.575873,6.09526,0.673863,0.990602,0.575304,5.87023,0.674014,1,0.0267112,1.53568,0.0182874,0.0764288
28,0.387227,7.73942,0.900187,0.999507,0.386109,8.25694,0.903412,0.999727,0.390204,7.49779,0.895949,1,0.0112422,2.00053,0.0195763,0.00215713
29,0.548591,6.79436,0.70081,0.956925,0.546464,7.02479,0.700128,0.99797,0.545365,6.58862,0.701451,1,0.0103995,1.98484,0.0103245,0.0139239
72,0.626408,6.09866,0.634099,0.914784,0.626684,5.92928,0.633174,0.898802,0.624042,5.88247,0.635302,1,0.0207186,1.29084,0.015746,0.253594
73,0.721506,5.70306,0.571467,0.99563,0.709984,5.78154,0.580586,0.967991,0.720888,5.49265,0.57165,1,0.0472415,1.39254,0.0392665,0.149658
74,0.669981,4.86278,0.604274,0.92228,0.67553,5.11883,0.599543,0.950491,0.667732,4.7915,0.603691,1,0.0347752,1.34322,0.0211755,0.158149
75,0.654408,5.54609,0.613506,0.961424,0.647043,5.60095,0.619399,0.933821,0.654505,5.18069,0.612963,1,0.0300617,1.31642,0.0242259,0.211052
76,0.634425,6.17604,0.627722,0.951644,0.635783,5.9443,0.626777,0.920306,0.636532,5.59249,0.625929,1,0.0135652,1.29796,0.0109251,0.220368
77,0.673411,6.05618,0.601483,0.991993,0.660498,6.32712,0.611568,0.904872,0.67396,5.80056,0.600633,1,0.0354657,1.48115,0.0278519,0.275677
78,0.583397,6.97433,0.668807,0.980545,0.586787,6.76455,0.665999,0.973912,0.587903,6.44728,0.664019,1,0.0168013,1.36958,0.01384,0.131308
