rep,id,A1,tau1
1,43,0.614783800153383,4.84862774224277
2,43,0.594019711456062,4.82818595951727
3,43,0.600144380293193,4.76924027134314
4,43,0.607619932213714,4.85533707655533
5,43,0.597144435879364,4.71433950082645
6,43,0.603198044770771,4.82378818014132
7,43,0.601717105149045,4.79054965284423
8,43,0.602962047807948,4.80861187706525
9,43,0.603293449135723,4.88299021699314
10,43,0.607829332111639,4.86946246387476
1,52,0.539331304681789,4.44757643999524
2,52,0.544597239937238,4.36720936205289
3,52,0.537129479180365,4.26773638854746
4,52,0.53322010172173,4.26294024099417
5,52,0.547335548476197,4.42455835703679
6,52,0.540025510598884,4.36986115094878
7,52,0.533571430566626,4.31608384134178
8,52,0.530277151097963,4.26756481454118
9,52,0.552140969160147,4.39620862325064
10,52,0.549636759493628,4.38350758717397
1,53,0.57255302200284,4.74211147746674
2,53,0.578518945715644,4.58830730527563
3,53,0.565735787160791,4.55573475659481
4,53,0.568265735196785,4.51030900392414
5,53,0.571005646711003,4.65293416840317
6,53,0.575894357688156,4.70422316584371
7,53,0.572750936165479,4.64382303961731
8,53,0.574061081922748,4.58991354368344
9,53,0.575896032716605,4.56998040940133
10,53,0.578533372331996,4.64500039501176
1,54,0.474486977012005,3.77495470273832
2,54,0.48083389277673,3.85366273457239
3,54,0.48152971674617,3.91045871609582
4,54,0.488694594486246,3.87522377948374
5,54,0.482625123502297,3.91703871661226
6,54,0.499432876502322,4.04142046086067
7,54,0.485921992590349,3.84242692842776
8,54,0.495331663550239,4.01360229905435
9,54,0.502724524861874,4.05865832286696
10,54,0.487405073578084,3.93782410989854
1,55,0.416119560696712,3.37328171235188
2,55,0.426082602416447,3.47747885444371
3,55,0.419027631292145,3.40661618677614
4,55,0.418799426741193,3.41362736007742
5,55,0.42254809694303,3.4312081264529
6,55,0.413212260255731,3.32210003607787
7,55,0.41765343251763,3.33715120806502
8,55,0.413700259489772,3.3408395481867
9,55,0.416771107226787,3.33157809443068
10,55,0.41983183945461,3.39631178535606
1,56,0.428043097688071,3.43262859642831
2,56,0.442511547345841,3.57250215020175
3,56,0.42811329558851,3.4155930209082
4,56,0.435615830153226,3.4720548971784
5,56,0.43793891570967,3.52486734537408
6,56,0.442117932690616,3.60793364117579
7,56,0.432010310091647,3.46985428221767
8,56,0.43882542821569,3.59245422273933
9,56,0.433236014105165,3.46920073061822
10,56,0.443834503835487,3.52801964128479
1,57,0.473065240118727,3.808870575909
2,57,0.460396252908647,3.74758344723922
3,57,0.471566522828326,3.82990385272595
4,57,0.462146220300931,3.75275818830094
5,57,0.460864319424113,3.71396591138127
6,57,0.459992750529973,3.71849014719994
7,57,0.467912961911437,3.77965253377995
8,57,0.469468863383455,3.81292476128427
9,57,0.455236861311947,3.68089457862096
10,57,0.47059734470238,3.72942220371333
1,58,0.361812813015839,2.92318468124289
2,58,0.352163941268854,2.86297799898862
3,58,0.342507219665406,2.81141677995352
4,58,0.350784659047093,2.80252615522933
5,58,0.352000296133167,2.82536390643862
6,58,0.33750517844143,2.77130298571463
7,58,0.339798522234651,2.79399395819105
8,58,0.365703637528521,2.98561439736068
9,58,0.346222017008489,2.7737203594215
10,58,0.363710296828348,2.94458640222483
1,59,0.408431948162673,3.43526238519107
2,59,0.401575181099744,3.20293570240858
3,59,0.415532333092165,3.31533879155204
4,59,0.423082605748222,3.50035781897909
5,59,0.412743908615108,3.27261259746426
6,59,0.407536527453199,3.31213296773787
7,59,0.415227952439813,3.3518385026506
8,59,0.409012961990508,3.40556074395218
9,59,0.413289871824937,3.36334665892403
10,59,0.408321673137875,3.3205375390953
1,60,0.438363612473932,3.49838884790696
2,60,0.433977955663528,3.4871753719679
3,60,0.432308340139453,3.47433343906135
4,60,0.432425090254192,3.48470133967768
5,60,0.436887378216985,3.54691153039913
6,60,0.434297871008005,3.56327663369437
7,60,0.434631114058361,3.42918743974309
8,60,0.438744080651199,3.5467375074735
9,60,0.440799699434944,3.61504702388925
10,60,0.427468354461164,3.48829992446357
1,61,0.482188368188166,3.94258876684024
2,61,0.490456460292256,3.93413051098286
3,61,0.485727306663007,3.97219638863562
4,61,0.49577154485405,3.98183858160176
5,61,0.485791038564725,3.93162390558645
6,61,0.487904780966525,3.98803007234903
7,61,0.480554711451736,3.86476067846951
8,61,0.499818544294586,4.05496465709142
9,61,0.48884550798475,3.89862419938252
10,61,0.480397846935709,3.89946027761935
1,44,0.479305917618261,3.93080299048966
2,44,0.478767271453859,3.87509286725543
3,44,0.473781014791157,3.81713394623341
4,44,0.481940085676868,3.92529902726895
5,44,0.503144475605787,4.08906602788037
6,44,0.479170495664492,3.83748027105193
7,44,0.486956456870563,3.8918923470238
8,44,0.478835452538898,3.82907044013732
9,44,0.472397139645598,3.81227254890928
10,44,0.485121476799714,3.9047456284709
1,62,0.452960174617206,3.63935957560987
2,62,0.458786456805705,3.74827215265914
3,62,0.452367872102697,3.69801171323015
4,62,0.451404444628727,3.58643149326768
5,62,0.461542219917093,3.677377017683
6,62,0.458741329075967,3.60875605027399
7,62,0.459033592210661,3.61399877304094
8,62,0.453449176633475,3.61867480596895
9,62,0.451393394376852,3.6810874672698
10,62,0.459973006961246,3.76692121280945
1,45,0.669717187136779,5.37873665627674
2,45,0.664131501314019,5.28345577407411
3,45,0.667452313303896,5.41795944674292
4,45,0.65768179149919,5.2688206089448
5,45,0.659403786306202,5.27018809466175
6,45,0.66693264631464,5.33095383178596
7,45,0.673892994888333,5.34038579523743
8,45,0.670015597479492,5.41461478950985
9,45,0.661501877227898,5.3272635077718
10,45,0.662811309819368,5.24912759974618
1,46,0.559068867608737,4.41076583978273
2,46,0.548738630408592,4.37022604034835
3,46,0.553291163483584,4.43384760244742
4,46,0.546017144174662,4.36947439598997
5,46,0.555894883258907,4.47355401075916
6,46,0.544594201617441,4.47023079716499
7,46,0.551543491087432,4.47036751406731
8,46,0.554485785032135,4.51256738973822
9,46,0.554390567733639,4.48602901883787
10,46,0.560304093438844,4.50209784456075
1,47,0.645426839039517,5.15256794966089
2,47,0.649825163101734,5.18970397727773
3,47,0.651972522600555,5.28553729615548
4,47,0.654805399223488,5.29240399023954
5,47,0.644174242479866,5.18547497638616
6,47,0.64731483582148,5.14545188072537
7,47,0.646591043805152,5.24141422533566
8,47,0.656485774072507,5.23587405859832
9,47,0.659908101075684,5.3782270307535
10,47,0.640597314763206,5.19975758381362
1,48,0.635485693393157,5.12900414097572
2,48,0.634411235640177,5.06779359812747
3,48,0.63923438605061,5.21378446865451
4,48,0.643107790795466,5.2797045240146
5,48,0.637474738630862,5.03817846791012
6,48,0.634454877382895,5.03558517111573
7,48,0.630113455492219,5.00171903593986
8,48,0.633198246050481,5.05567039759825
9,48,0.621829325766611,5.03985160105528
10,48,0.634810955619982,5.05981811941609
1,49,0.620982469930857,5.04233588293159
2,49,0.616608194154229,4.97482748109922
3,49,0.618708232733882,4.93470532416269
4,49,0.629972485249999,4.95881412056103
5,49,0.619405416884796,5.03427740474978
6,49,0.615087815802224,4.95487962851287
7,49,0.6051595666913,4.76591093134997
8,49,0.615392319044791,4.89009184975385
9,49,0.605673358847096,4.85197516876051
10,49,0.614216071343683,4.89584737322919
1,50,0.543029405963382,4.30528543530319
2,50,0.539109926160734,4.25490980832332
3,50,0.552155620869855,4.26248705922612
4,50,0.556839035942712,4.49480406089592
5,50,0.547799184782682,4.43820320512233
6,50,0.538161075439907,4.33956842125567
7,50,0.5524749727941,4.39651050632397
8,50,0.552547697904745,4.37383724802504
9,50,0.545770248758276,4.37514067415424
10,50,0.5567752010904,4.40112956535686
1,51,0.479650260971595,3.87029208457132
2,51,0.476766670208075,3.84587842429
3,51,0.479543376317331,3.85118631727301
4,51,0.489466979467549,3.985198197787
5,51,0.492196853456038,4.05125307836959
6,51,0.493705360615842,3.99290025615428
7,51,0.485787144129748,3.86123772426357
8,51,0.494080890931991,4.01067964910294
9,51,0.481735379165378,3.86488025477293
10,51,0.487501087223255,3.86677266083402
