rep,id,eta_A1,eta_tau1
1,43,0.189951534019935,0.169946175651887
2,43,0.155593375567227,0.165721269859058
3,43,0.165851132576164,0.153437470441226
4,43,0.178230447497618,0.17132897855914
5,43,0.160839892762813,0.141859272093552
6,43,0.170926447746429,0.164809999352807
7,43,0.16846828234358,0.157895605392657
8,43,0.170535128273522,0.161658901901788
9,43,0.171084599487461,0.1770082320759
10,43,0.178575011283443,0.174234004455992
1,52,0.0590109200231257,0.0836097780741511
2,52,0.0687273846575034,0.0653746656841175
3,52,0.0549200537229405,0.0423340173805065
4,52,0.0476151602329049,0.0412095701023094
5,52,0.0737429209768261,0.0784209176407967
6,52,0.0602972527779466,0.0659816858457086
7,52,0.0482738247366336,0.0535989233932345
8,52,0.0420806689533329,0.0422938139940719
9,52,0.0824842650724644,0.0719929434149021
10,52,0.0779384952431336,0.0690996733746622
1,53,0.11878621847773,0.147732946381834
2,53,0.129152168307709,0.11476162773103
3,53,0.106808034564104,0.107637275889165
4,53,0.111270025458443,0.0976161169312902
5,53,0.116079971253941,0.128748475038901
6,53,0.124605109569115,0.139711101670734
7,53,0.119131828327757,0.126788408426648
8,53,0.121416677643209,0.115111638577499
9,53,0.124608018133839,0.110759368595102
10,53,0.129177105151321,0.12704190778726
1,54,-0.0690849555480044,-0.0803611661643665
2,54,-0.0557972543136964,-0.0597254938456163
3,54,-0.0543511811583749,-0.0450948637081867
4,54,-0.0395813843056111,-0.0541461388366838
5,54,-0.0520789170329152,-0.04341361063262
6,54,-0.0178459198324075,-0.0121533201192717
7,54,-0.045271025570119,-0.0626453699435731
8,54,-0.0260915619395109,-0.0190603825149905
9,54,-0.0112767717279317,-0.00789709286785769
10,54,-0.0422235769024334,-0.0381212351295488
1,55,-0.200346503025148,-0.19286347710711
2,55,-0.176685897655539,-0.162441985399353
3,55,-0.193382263961847,-0.183030071492864
4,55,-0.193927017331668,-0.180974081637703
5,55,-0.185015848277813,-0.175837126901359
6,55,-0.207357719228532,-0.208152425572766
7,55,-0.196667147699847,-0.203632038200418
8,55,-0.206177426805716,-0.202527412383658
9,55,-0.198781959951074,-0.205303455551156
10,55,-0.191464878662186,-0.186059475697296
1,56,-0.172095241469079,-0.175423227196854
2,56,-0.138852567709983,-0.135483316821114
3,56,-0.171931257642882,-0.180398419768441
4,56,-0.154558396084529,-0.164002941446333
5,56,-0.149239688713627,-0.148906746480626
6,56,-0.139742464983552,-0.125614339622819
7,56,-0.162869673602088,-0.164636950038948
8,56,-0.147217451348994,-0.129913953081406
9,56,-0.160036480789515,-0.16482531908925
10,56,-0.135867373675825,-0.148012844132105
1,57,-0.0720858201642061,-0.071416841095491
2,57,-0.0992315894732632,-0.0876383313299577
3,57,-0.0752589477398465,-0.0659098503681997
4,57,-0.0954377923484107,-0.086258463016154
5,57,-0.0982154457897097,-0.0966492650414278
6,57,-0.100108397872792,-0.0954318380316196
7,57,-0.0830368277145723,-0.079117466392797
8,57,-0.0797171497372468,-0.0703530009952869
9,57,-0.110501269703177,-0.105593734863418
10,57,-0.077316293603337,-0.0924962330327558
1,58,-0.340192140542709,-0.336075883297653
2,58,-0.36722231809939,-0.356887208032846
3,58,-0.395026390719129,-0.375061001080969
4,58,-0.371146599309191,-0.378228340777661
5,58,-0.367687110629146,-0.370112376778018
6,58,-0.409738273789262,-0.389431947964371
7,58,-0.402966267212787,-0.381277451108988
8,58,-0.329495855652835,-0.314943995592377
9,58,-0.384238890582648,-0.388560040414285
10,58,-0.334961464598635,-0.328781182948595
1,59,-0.218993816656882,-0.174656240970975
2,59,-0.235924361096918,-0.244681753270991
3,59,-0.201758698936741,-0.210189731539729
4,59,-0.183751682076952,-0.155884352254891
5,59,-0.208491802872366,-0.223160924138608
6,59,-0.221188560928659,-0.211157166537762
7,59,-0.202491475096779,-0.199240547459753
