ID,time,observation,censored,split,color,filter
1,0,0.542939,0,All,#4682B4,0
1,0.3539,0.656686,0,All,#4682B4,0
1,0.7078,0.607591,0,All,#4682B4,0
1,1.0617,0.606326,0,All,#4682B4,0
1,1.4156,0.619246,0,All,#4682B4,0
1,1.7695,0.578761,0,All,#4682B4,0
1,2.1234,0.630394,0,All,#4682B4,0
1,2.4773,0.681797,0,All,#4682B4,0
1,2.8312,0.678139,0,All,#4682B4,0
1,3.1851,0.664019,0,All,#4682B4,0
1,3.539,0.59888,0,All,#4682B4,0
1,3.8929,0.732306,0,All,#4682B4,0
1,4.2468,0.716425,0,All,#4682B4,0
1,4.6007,0.600515,0,All,#4682B4,0
1,4.9546,0.570086,0,All,#4682B4,0
1,5.3085,0.667584,0,All,#4682B4,0
1,5.6624,0.646151,0,All,#4682B4,0
1,6.0162,0.612864,0,All,#4682B4,0
1,6.3701,0.605217,0,All,#4682B4,0
1,6.724,0.607834,0,All,#4682B4,0
1,7.0779,0.730659,0,All,#4682B4,0
1,7.4318,0.563142,0,All,#4682B4,0
1,7.7857,0.679204,0,All,#4682B4,0
1,8.1396,0.700048,0,All,#4682B4,0
1,8.4935,0.653037,0,All,#4682B4,0
1,8.8474,0.645465,0,All,#4682B4,0
1,9.2013,0.666999,0,All,#4682B4,0
1,9.5552,0.622007,0,All,#4682B4,0
1,9.9091,0.653307,0,All,#4682B4,0
1,10.263,0.603547,0,All,#4682B4,0
1,10.6169,0.601553,0,All,#4682B4,0
1,10.9708,0.769421,0,All,#4682B4,0
1,11.3247,0.678441,0,All,#4682B4,0
1,11.6786,0.611981,0,All,#4682B4,0
1,12.0325,0.634984,0,All,#4682B4,0
1,12.3863,0.636876,0,All,#4682B4,0
1,12.7402,0.673095,0,All,#4682B4,0
1,13.0941,0.696709,0,All,#4682B4,0
1,13.448,0.717034,0,All,#4682B4,0
1,13.8019,0.635899,0,All,#4682B4,0
1,14.1558,0.66906,0,All,#4682B4,0
1,14.5097,0.720028,0,All,#4682B4,0
1,14.8636,0.696567,0,All,#4682B4,0
1,15.2175,0.713575,0,All,#4682B4,0
1,15.5714,0.693018,0,All,#4682B4,0
1,15.9253,0.646286,0,All,#4682B4,0
1,16.2792,0.663207,0,All,#4682B4,0
1,16.6331,0.720574,0,All,#4682B4,0
1,16.987,0.681549,0,All,#4682B4,0
1,17.3409,0.601874,0,All,#4682B4,0
1,17.6948,0.66574,0,All,#4682B4,0
1,18.0487,0.637716,0,All,#4682B4,0
1,18.4026,0.681397,0,All,#4682B4,0
1,18.7564,0.626316,0,All,#4682B4,0
1,19.1103,0.617878,0,All,#4682B4,0
1,19.4642,0.671872,0,All,#4682B4,0
1,19.8181,0.598471,0,All,#4682B4,0
1,20.172,0.588719,0,All,#4682B4,0
1,20.5259,0.477333,0,All,#4682B4,0
1,20.8798,0.659601,0,All,#4682B4,0
1,21.2337,0.617399,0,All,#4682B4,0
1,21.5876,0.60861,0,All,#4682B4,0
1,21.9415,0.658864,0,All,#4682B4,0
1,22.2954,0.680281,0,All,#4682B4,0
1,22.6493,0.689299,0,All,#4682B4,0
1,23.0032,0.645754,0,All,#4682B4,0
1,23.3571,0.642438,0,All,#4682B4,0
1,23.711,0.699023,0,All,#4682B4,0
1,24.0649,0.631912,0,All,#4682B4,0
1,24.4188,0.679203,0,All,#4682B4,0
1,24.7727,0.692438,0,All,#4682B4,0
1,25.1265,0.634616,0,All,#4682B4,0
1,25.4804,0.666139,0,All,#4682B4,0
1,25.8343,0.682253,0,All,#4682B4,0
1,26.1882,0.635581,0,All,#4682B4,0
1,26.5421,0.693447,0,All,#4682B4,0
1,26.896,0.714786,0,All,#4682B4,0
1,27.2499,0.607606,0,All,#4682B4,0
1,27.6038,0.633706,0,All,#4682B4,0
1,27.9577,0.632736,0,All,#4682B4,0
1,28.3116,0.678581,0,All,#4682B4,0
1,28.6655,0.596865,0,All,#4682B4,0
1,29.0194,0.637588,0,All,#4682B4,0
1,29.3733,0.675427,0,All,#4682B4,0
1,29.7272,0.532816,0,All,#4682B4,0
1,30.0811,0.609855,0,All,#4682B4,0
1,30.435,0.67449,0,All,#4682B4,0
1,30.7889,0.618905,0,All,#4682B4,0
1,31.1428,0.595009,0,All,#4682B4,0
1,31.4966,0.63604,0,All,#4682B4,0
2,0,0.478541,0,All,#4682B4,0
2,0.3539,0.64969,0,All,#4682B4,0
2,0.7078,0.863244,0,All,#4682B4,0
2,1.0617,0.627508,0,All,#4682B4,0
2,1.4156,0.685994,0,All,#4682B4,0
2,1.7695,0.694956,0,All,#4682B4,0
