pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
,,-0.201914,0.401602,,,All
,,-0.165592,0.414989,,,All
,,-0.129271,0.417317,,,All
,,-0.0929492,0.380067,,,All
,,-0.0566276,0.397528,,,All
,,-0.020306,0.434778,,,All
,,0.0160155,0.428375,,,All
,,0.0523371,0.36668,,,All
,,0.0886587,0.408586,,,All
,,0.12498,0.418481,,,All
,,0.161302,0.434778,,,All
,,0.197623,0.425465,,,All
,,0.233945,0.402766,,,All
,,0.270266,0.379485,,,All
,,0.306588,0.385887,,,All
,,0.34291,0.371336,,,All
,,0.379231,0.377157,,,All
,,0.415553,0.380067,,,All
,,0.451874,0.357949,,,All
,,0.488196,0.367844,,,All
,,0.524517,0.354457,,,All
,,0.560839,0.359114,,,All
,,0.597161,0.313715,,,All
,,0.633482,0.314879,,,All
,,0.669804,0.316043,,,All
,,0.706125,0.308477,,,All
,,0.742447,0.310805,,,All
,,0.778768,0.298,,,All
,,0.81509,0.275883,,,All
,,0.851412,0.263078,,,All
,,0.887733,0.276465,,,All
,,0.924055,0.249692,,,All
,,0.960376,0.238633,,,All
,,0.996698,0.216516,,,All
,,1.03302,0.231649,,,All
,,1.06934,0.21768,,,All
,,1.10566,0.200801,,,All
,,1.14198,0.19207,,,All
,,1.17831,0.18625,,,All
,,1.21463,0.192652,,,All
,,1.25095,0.159477,,,All
,,1.28727,0.17461,,,All
,,1.32359,0.167625,,,All
,,1.35991,0.150746,,,All
,,1.39624,0.164715,,,All
,,1.43256,0.128629,,,All
,,1.46888,0.118734,,,All
,,1.5052,0.107094,,,All
,,1.54152,0.11466,,,All
,,1.57784,0.104766,,,All
,,1.61416,0.110004,,,All
,,1.65049,0.10302,,,All
,,1.68681,0.0977813,,,All
,,1.72313,0.0867227,,,All
,,1.75945,0.0896329,,,All
,,1.79577,0.0814844,,,All
,,1.83209,0.0587852,,,All
,,1.86842,0.073918,,,All
,,1.90474,0.0453985,,,All
,,1.94106,0.0483086,,,All
,,1.97738,0.0518008,,,All
,,2.0137,0.0453985,,,All
,,2.05002,0.0413242,,,All
,,2.08634,0.03725,,,All
,,2.12267,0.036086,,,All
,,2.15899,0.0349219,,,All
,,2.19531,0.0494727,,,All
,,2.23163,0.0331758,,,All
,,2.26795,0.0267735,,,All
,,2.30427,0.0337578,,,All
,,2.3406,0.0296836,,,All
,,2.37692,0.0261914,,,All
,,2.41324,0.0232813,,,All
,,2.44956,0.018043,,,All
,,2.48588,0.0151328,,,All
,,2.5222,0.0197891,,,All
,,2.55853,0.0197891,,,All
,,2.59485,0.0162969,,,All
,,2.63117,0.0157149,,,All
,,2.66749,0.0145508,,,All
,,2.70381,0.0157149,,,All
,,2.74013,0.0116406,,,All
,,2.77645,0.0145508,,,All
,,2.81278,0.00814844,,,All
,,2.8491,0.00873048,,,All
,,2.88542,0.00873048,,,All
,,2.92174,0.00582032,,,All
,,2.95806,0.00349219,,,All
,,2.99438,0.00582032,,,All
,,3.03071,0.00640235,,,All
,,3.06703,0.00931251,,,All
,,3.10335,0.00407422,,,All
,,3.13967,0.00291016,,,All
,,3.17599,0.00523829,,,All
,,3.21231,0.00465625,,,All
,,3.24863,0.00989454,,,All
,,3.28496,0.00291016,,,All
,,3.32128,0.00640235,,,All
,,3.3576,0.00349219,,,All
,,3.39392,0.00523829,,,All
,,3.43024,0.00232813,,,All
,,3.46656,0.00407422,,,All
,,3.50289,0.00407422,,,All
,,3.53921,0.00349219,,,All
,,3.57553,0.0017461,,,All
,,3.61185,0.000582032,,,All
,,3.64817,0.0017461,,,All
,,3.68449,0.00116406,,,All
,,3.72082,0,,,All
,,3.75714,0.00291016,,,All
,,3.79346,0.000582032,,,All
,,3.82978,0,,,All
,,3.8661,0.0017461,,,All
,,3.90242,0.000582032,,,All
,,3.93874,0,,,All
,,3.97507,0.000582032,,,All
,,4.01139,0,,,All
,,4.04771,0.000582032,,,All
,,4.08403,0.000582032,,,All
