pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-3.62195,0.00016835,-3.81591,2.10438e-05,-3.84741,0.00016835,All
-3.49219,0.0003367,-3.76265,4.20875e-05,-3.65642,0.0003367,All
-3.31537,0.000505051,-3.69985,6.31313e-05,-3.61271,0.000505051,All
-3.26964,0.000673401,-3.66213,8.41751e-05,-3.54846,0.000673401,All
-3.25741,0.000841751,-3.66071,0.000105219,-3.53627,0.000841751,All
-3.20356,0.0010101,-3.64808,0.000126263,-3.53122,0.0010101,All
-3.17356,0.00117845,-3.63745,0.000147306,-3.53099,0.00117845,All
-3.17293,0.0013468,-3.63292,0.00016835,-3.4587,0.0013468,All
-3.15179,0.00151515,-3.61048,0.000189394,-3.45448,0.00151515,All
-3.06563,0.0016835,-3.60887,0.000210438,-3.42192,0.0016835,All
-3.0429,0.00185185,-3.60783,0.000231481,-3.40166,0.00185185,All
-3.03556,0.0020202,-3.60668,0.000252525,-3.3384,0.0020202,All
-3.03394,0.00218855,-3.59939,0.000273569,-3.33136,0.00218855,All
-2.9974,0.0023569,-3.58629,0.000294613,-3.32065,0.0023569,All
-2.99033,0.00252525,-3.58419,0.000315657,-3.29543,0.00252525,All
-2.93596,0.0026936,-3.57966,0.0003367,-3.25965,0.0026936,All
-2.91974,0.00286195,-3.55896,0.000357744,-3.2417,0.00286195,All
-2.91605,0.0030303,-3.558,0.000378788,-3.2329,0.0030303,All
-2.89636,0.00319865,-3.55457,0.000399832,-3.22774,0.00319865,All
-2.89537,0.003367,-3.55342,0.000420875,-3.19566,0.003367,All
-2.89039,0.00353535,-3.55286,0.000441919,-3.16767,0.00353535,All
-2.88629,0.0037037,-3.54857,0.000462963,-3.14527,0.0037037,All
-2.86763,0.00387205,-3.54682,0.000484007,-3.01463,0.00387205,All
-2.86621,0.0040404,-3.54607,0.000505051,-3.01161,0.0040404,All
-2.84567,0.00420875,-3.53557,0.000526094,-3.00618,0.00420875,All
-2.84176,0.0043771,-3.52138,0.000547138,-2.99885,0.0043771,All
-2.83269,0.00454545,-3.51685,0.000568182,-2.99539,0.00454545,All
-2.82311,0.0047138,-3.51002,0.000589226,-2.99056,0.0047138,All
-2.81333,0.00488215,-3.50474,0.000610269,-2.98576,0.00488215,All
