ID,time,pop,popPred,indivPredMean,indivPredMode
64,0.00128506,0.464966,0.464966,0.442804,0.442834
64,0.00176261,0.465416,0.465416,0.443254,0.443284
64,0.00241761,0.466032,0.466032,0.443869,0.443899
64,0.00331603,0.466873,0.466873,0.44471,0.444739
64,0.0045483,0.468021,0.468021,0.445856,0.445885
64,0.0062385,0.469584,0.469584,0.447416,0.447446
64,0.00855679,0.471707,0.471707,0.449534,0.449564
64,0.0117366,0.474579,0.474579,0.452396,0.452427
64,0.016098,0.478445,0.478445,0.456246,0.456279
64,0.0220803,0.483614,0.483614,0.461384,0.461422
64,0.0302855,0.490457,0.490457,0.468174,0.468222
64,0.04154,0.4994,0.4994,0.477022,0.477088
64,0.0569767,0.510879,0.510879,0.488336,0.488437
64,0.0781498,0.525256,0.525256,0.502433,0.502593
64,0.107191,0.542667,0.542667,0.519382,0.519643
64,0.147025,0.562802,0.562802,0.538791,0.539213
64,0.201661,0.584665,0.584665,0.559585,0.560246
64,0.253167,0.600486,0.600486,0.574404,0.575289
64,0.2766,0.606446,0.606446,0.579925,0.580909
64,0.3539,0.621834,0.621834,0.593984,0.595265
64,0.379388,0.625741,0.625741,0.5975,0.598868
64,0.506334,0.639272,0.639272,0.609431,0.611154
64,0.520372,0.640309,0.640309,0.610325,0.612079
64,0.7078,0.648996,0.648996,0.617634,0.619689
64,0.713749,0.64916,0.64916,0.617768,0.61983
64,0.759502,0.650274,0.650274,0.618669,0.620777
64,0.978985,0.65317,0.65317,0.620936,0.623177
64,1.01267,0.653395,0.653395,0.621106,0.623358
64,1.0617,0.653663,0.653663,0.621304,0.623571
64,1.26584,0.65428,0.65428,0.621748,0.624051
64,1.34279,0.654392,0.654392,0.621825,0.624135
64,1.4156,0.654465,0.654465,0.621874,0.624189
64,1.519,0.654531,0.654531,0.621918,0.624237
64,1.7695,0.654602,0.654602,0.621962,0.624287
64,1.77217,0.654603,0.654603,0.621962,0.624287
64,1.84178,0.654611,0.654611,0.621967,0.624292
64,2.02534,0.654623,0.654623,0.621974,0.6243
64,2.1234,0.654626,0.654626,0.621976,0.624302
64,2.2785,0.654629,0.654629,0.621977,0.624304
64,2.4773,0.65463,0.65463,0.621978,0.624305
64,2.52621,0.65463,0.65463,0.621978,0.624305
64,2.53167,0.65463,0.65463,0.621978,0.624305
64,2.78484,0.654631,0.654631,0.621978,0.624305
64,2.8312,0.654631,0.654631,0.621978,0.624305
64,3.03801,0.654631,0.654631,0.621978,0.624305
64,3.185,0.654631,0.654631,0.621978,0.624305
64,3.29117,0.654631,0.654631,0.621978,0.624305
64,3.46498,0.654631,0.654631,0.621978,0.624305
64,3.54434,0.654631,0.654631,0.621978,0.624305
64,3.6882,0.654631,0.654631,0.621978,0.624305
64,3.79751,0.654631,0.654631,0.621978,0.624305
64,4.0421,0.654631,0.654631,0.621978,0.624305
64,4.05068,0.654631,0.654631,0.621978,0.624305
64,4.30384,0.654631,0.654631,0.621978,0.624305
64,4.396,0.654631,0.654631,0.621978,0.624305
64,4.55701,0.654631,0.654631,0.621978,0.624305
64,4.7499,0.654631,0.654631,0.621978,0.624305
64,4.7526,0.654631,0.654631,0.621978,0.624305
64,4.81018,0.654631,0.654631,0.621978,0.624305
64,5.06334,0.654631,0.654631,0.621978,0.624305
64,5.1038,0.654631,0.654631,0.621978,0.624305
64,5.31651,0.654631,0.654631,0.621978,0.624305
64,5.4577,0.654631,0.654631,0.621978,0.624305
64,5.56968,0.654631,0.654631,0.621978,0.624305
64,5.8116,0.654631,0.654631,0.621978,0.624305
64,5.82285,0.654631,0.654631,0.621978,0.624305
64,6.07601,0.654631,0.654631,0.621978,0.624305
64,6.1655,0.654631,0.654631,0.621978,0.624305
64,6.32918,0.654631,0.654631,0.621978,0.624305
64,6.51872,0.654631,0.654631,0.621978,0.624305
64,6.5194,0.654631,0.654631,0.621978,0.624305
64,6.58235,0.654631,0.654631,0.621978,0.624305
64,6.83551,0.654631,0.654631,0.621978,0.624305
64,6.8733,0.654631,0.654631,0.621978,0.624305
64,7.08868,0.654631,0.654631,0.621978,0.624305
64,7.2272,0.654631,0.654631,0.621978,0.624305
64,7.34185,0.654631,0.654631,0.621978,0.624305
64,7.5811,0.654631,0.654631,0.621978,0.624305
64,7.59502,0.654631,0.654631,0.621978,0.624305
64,7.84818,0.654631,0.654631,0.621978,0.624305
64,7.935,0.654631,0.654631,0.621978,0.624305
64,8.10135,0.654631,0.654631,0.621978,0.624305
64,8.2889,0.654631,0.654631,0.621978,0.624305
64,8.35452,0.654631,0.654631,0.621978,0.624305
64,8.60768,0.654631,0.654631,0.621978,0.624305
64,8.6428,0.654631,0.654631,0.621978,0.624305
64,8.86085,0.654631,0.654631,0.621978,0.624305
