parameter,value,se_sa,rse_sa
A1_pop,0.18166388250741,0.0179006514345632,9.8537206116538
tau1_pop,4.97835889565201,0.627925561964266,12.6131035372456
I0_pop,0.319844681108826,0.0166918347540063,5.2187313842893
omega_A1,0.323206831076971,0.0753958013695092,23.3274157969619
omega_tau1,0.371001227934258,0.0978995565348502,26.3879332906677
omega_I0,0.209955573222951,0.0429175336978391,20.4412452782405
corr_tau1_A1,-0.998816658254203,0.00336392878981658,-0.33679141832659
a,0.0491198690642544,0.001064355149679,2.16685257911966
