rep,id,A1,tau1,A2,tau2,eta_A1,eta_tau1,eta_A2,eta_tau2
1,1,-0.967275844925675,10.3488112431425,-1.31324653786713,1.68674474414451,-0.00417907612667023,1.41003439011378,-0.0162809893313249,-0.0648051955968714
2,1,-0.9597347589695,9.6323514722317,-1.29713017046919,1.70401911829308,0.00336200982950541,0.693574619203018,-0.000164621933381959,-0.047530821448305
3,1,-0.973807167184252,9.3751197395253,-1.31774857460366,1.76016046912235,-0.0107103983852471,0.436342886496615,-0.0207830260678545,0.00861052938097351
1,2,-0.893423084603834,10.3506386082654,-1.17239202922688,1.44674416951747,0.0696736841951709,1.4118617552367,0.124573519308928,-0.304805770223915
2,2,-0.879845978449176,10.6630069076131,-1.1438038544844,1.38202045328525,0.0832507903498291,1.7242300545844,0.153161694051412,-0.369529486456129
3,2,-0.885508091734874,11.1025206105199,-1.16841737522494,1.38438729540641,0.0775886770641313,2.16374375749121,0.128548173310866,-0.36716264433497
1,3,-0.960377531242458,8.81105100463542,-1.29268834999493,1.75164535722852,0.00271923755654668,-0.127725848393261,0.00427719854088271,9.5417487134819e-5
2,3,-0.965336054446707,9.07290954982649,-1.30077793644902,1.75014115533125,-0.00223928564770182,0.134132696797801,-0.00381238791321326,-0.00140878441012937
3,3,-0.951946248494945,8.73136628076149,-1.27372971450338,1.72649416239591,0.0111505203040598,-0.207410572267191,0.0232358340324335,-0.0250557773454663
1,4,-1.02345941767596,7.90119397251612,-1.40779043843413,2.00681174523605,-0.0603626488769595,-1.03758288051256,-0.110824889898319,0.255261805494672
2,4,-1.04525119745059,7.01341028802345,-1.44365187561453,2.12621194770243,-0.0821544286515892,-1.92536656500523,-0.146686327078721,0.374662007961045
3,4,-1.04159278155713,6.07093801284505,-1.41575644532244,2.15534329239098,-0.078496012758124,-2.86783884018364,-0.118790896786636,0.403793352649604
1,5,-1.18209161199603,4.51230129680984,-1.69391307587238,2.71377733914427,-0.218994843197027,-4.42647555621885,-0.396947527336573,0.962227399402891
2,5,-1.19277162837167,2.60826028373717,-1.68905021164313,2.84274879476868,-0.229674859572663,-6.33051656929152,-0.392084663107325,1.09119885502729
3,5,-1.19511155152759,3.50019602452621,-1.70395943256539,2.80524817435297,-0.232014782728582,-5.43858082850247,-0.406993884029581,1.05369823461158
1,6,-0.981966446053616,7.76221331780246,-1.32603061407035,1.87788267118836,-0.0188696772546109,-1.17656353522623,-0.0290650655345364,0.126332731446984
2,6,-1.01792343152472,6.95643358655914,-1.38983905444215,2.03981378254761,-0.0548266627257199,-1.98234326646954,-0.0928735059063392,0.288263842806229
3,6,-0.985660777489393,8.38995401581616,-1.33567096184769,1.85454169287072,-0.022564008690388,-0.548822837212521,-0.0387054133118858,0.102991753129335
1,7,-0.987601858512748,8.53473675898183,-1.34284266691086,1.85479940874375,-0.0245050897137428,-0.404040094046854,-0.0458771183750464,0.103249469002371
2,7,-0.964803578670919,9.74455393103435,-1.31158660587183,1.71694395365326,-0.00170680987191352,0.805777078005669,-0.014621057336021,-0.0346059860881234
3,7,-0.981311502682772,10.0992286772072,-1.34305773756298,1.74990185045451,-0.0182147338837665,1.16045182417853,-0.0460921890271693,-0.00164808928687532
1,8,-0.938182064415431,9.09391226413786,-1.24726656780636,1.65903920022806,0.0249147043835743,0.155135411109177,0.049698980729453,-0.0925107395133191
2,8,-0.918353059769969,10.7632787833596,-1.22880576831321,1.50991048593468,0.0447437090290365,1.82450193033089,0.0681597802225962,-0.241639453806697
3,8,-0.930183176230683,9.98871752241748,-1.23936186214303,1.58550226489926,0.0329135925683219,1.0499406693888,0.0576036863927791,-0.166047674842119
1,9,-0.905217435683089,9.37791609834359,-1.19133900795893,1.54095482772739,0.057879333115916,0.439139245314907,0.105626540576882,-0.210595112013995
2,9,-0.896799877313812,9.75523464931284,-1.17395221957882,1.48965457625193,0.0662968914851932,0.816457796284155,0.123013328956992,-0.261895363489453
3,9,-0.906346739119967,10.6216785195689,-1.19708614612303,1.47227020566236,0.056750029679038,1.68290166654021,0.0998794024127792,-0.279279734079019
1,10,-0.999110478121756,7.45541407291803,-1.36134487019203,1.9542945143155,-0.0360137093227507,-1.48336278011066,-0.0643793216562212,0.202744574574121
2,10,-0.9869202356025,9.29047935159562,-1.34425195218386,1.809420898903,-0.0238234668034952,0.351702498566931,-0.0472864036480523,0.0578709591616218
3,10,-0.989443634744617,8.25864728767701,-1.34384998650337,1.87589086498554,-0.0263468659456122,-0.680129565351677,-0.0468844379675593,0.12434092524416
1,11,-0.957083120406075,9.24077700999243,-1.28799375390434,1.71568850158753,0.00601364839293028,0.302000156963745,0.00897179463146913,-0.035861438153854
2,11,-0.963778480425974,9.61449189874498,-1.30222501005487,1.71605894214281,-0.000681711626968728,0.675715045716295,-0.00525946151905998,-0.0354909975985744
3,11,-0.945131811930934,9.60826742155209,-1.26897955371984,1.65765806781265,0.017964956868071,0.669490568523408,0.0279859948159713,-0.0938918719287329
1,12,-0.974627248569524,8.71989555537603,-1.31899785749579,1.80195385326691,-0.0115304797705185,-0.21888129765266,-0.0220323089599803,0.0504039135255276
2,12,-0.956083418689278,8.40083467373059,-1.28073105952324,1.75894030907968,0.0070133501097267,-0.537942179298096,0.0162344890125705,0.00739036933830328
3,12,-0.97415845464521,8.71362287126043,-1.31331042240178,1.79721348444955,-0.011061685846205,-0.225153981768251,-0.0163448738659695,0.0456635447081719
1,13,-0.912569405769956,10.5771126345135,-1.21391222982356,1.4990524592939,0.0505273630290488,1.63833578148477,0.083053318712248,-0.252497480447477
2,13,-0.899324853692806,11.0073196994765,-1.18859511982337,1.43011162820917,0.0637719151061986,2.06854284644783,0.108370428712437,-0.321438311532212
3,13,-0.902317722706588,10.6843658472531,-1.19306545461147,1.45827182345007,0.0607790460924167,1.74558899422442,0.103900093924342,-0.293278116291307
