rep,ID,standEta_A1_simulated,standEta_tau1_simulated,standEta_A2_simulated,standEta_tau2_simulated,standEta_I0_simulated,filter
6,18,-0.132316,1.03939,-1.22668,0.887035,0.574581,0
7,18,-0.0681594,-0.135954,0.403543,-0.0905844,0.200195,0
8,18,0.256769,-0.353417,0.385689,-0.349958,-0.103781,0
9,18,1.84074,-0.801456,0.154994,-1.10154,-0.480069,0
10,18,0.897171,-0.437892,0.0656109,-0.576979,0.00375942,0
1,19,2.21699,-1.91519,1.34477,-2.1052,-0.281961,0
2,19,-0.477027,0.728868,-0.719573,0.711344,1.39234,0
3,19,2.56568,-0.637662,-0.341587,-1.13792,0.271719,0
4,19,2.19572,-1.94163,1.37819,-2.12353,-0.464363,0
5,19,0.893538,-0.614099,0.476659,-0.718618,0.424275,0
6,19,1.31699,-1.74254,1.68571,-1.74672,-0.446388,0
7,19,2.09765,-1.9602,1.56519,-2.1163,-0.44063,0
8,19,1.54399,-0.401242,-0.0995823,-0.697803,0.599877,0
9,19,1.34079,-1.72882,1.70512,-1.74252,-0.302428,0
10,19,1.80939,-1.98127,1.75565,-2.06151,-0.384298,0
1,20,-0.19845,0.0233228,0.0220303,0.0630623,0.0833806,0
2,20,-0.849214,0.0293474,0.403312,0.228531,-0.133223,0
3,20,-0.2139,-0.0714146,0.283333,-0.00568555,-0.200543,0
4,20,0.470876,-0.821414,0.793953,-0.790173,-0.828231,0
5,20,0.445435,-0.553045,0.379905,-0.563426,-0.269461,0
6,20,-0.171218,-0.489501,0.648522,-0.360099,-0.407099,0
7,20,-0.802877,-0.0845389,0.563505,0.123696,-0.0968036,0
8,20,0.998212,-1.02633,0.726633,-1.08262,-0.79069,0
9,20,-0.848218,0.353761,-0.070522,0.492477,0.0570709,0
10,20,1.33916,-0.45248,-0.0476586,-0.695732,-0.683259,0
