rep,ID,eta_A1_simulated,eta_tau1_simulated,eta_A2_simulated,eta_tau2_simulated,eta_I0_simulated,split,color,filter
1,1,1.10131,0.774348,0.318965,1.83406,0.867141,All,#4682B4,0
2,1,-0.270433,0.463862,-0.383428,-0.376743,0.0465341,All,#4682B4,0
3,1,-1.49923,-0.863203,-1.63187,0.595718,-0.202263,All,#4682B4,0
4,1,0.819586,-0.449109,0.811572,0.0368881,-0.196154,All,#4682B4,0
5,1,0.589764,-0.161516,-0.232884,-1.1686,-0.750442,All,#4682B4,0
6,1,-0.919669,1.37564,-0.0171281,-0.734874,0.247941,All,#4682B4,0
7,1,-0.924388,-1.4413,0.374886,0.533374,-0.489431,All,#4682B4,0
8,1,0.111583,0.111947,-1.83512,-0.112717,0.216078,All,#4682B4,0
9,1,-0.528452,0.389267,-0.0215649,0.503173,0.331712,All,#4682B4,0
10,1,0.428564,-0.921736,0.974084,-0.338897,-0.596628,All,#4682B4,0
1,2,1.0774,1.76382,0.0769749,-0.272913,1.69645,All,#4682B4,0
2,2,0.145856,-0.163654,-0.977393,-0.970075,1.10161,All,#4682B4,0
3,2,0.598024,-1.1769,1.00747,-0.769162,0.24542,All,#4682B4,0
4,2,0.301718,-1.33612,2.87843,-1.56117,-0.19758,All,#4682B4,0
5,2,1.01528,0.560072,0.828609,-1.55307,0.764724,All,#4682B4,0
6,2,-0.0478085,-0.847406,-0.10977,-2.58796,-0.210343,All,#4682B4,0
7,2,1.6227,-0.277707,0.17706,-2.15308,0.098873,All,#4682B4,0
8,2,1.80147,-2.02567,1.1617,-0.118322,0.300839,All,#4682B4,0
9,2,-0.234118,-1.65549,0.117573,0.66333,0.892962,All,#4682B4,0
10,2,-0.466167,-1.33262,1.16024,0.691959,0.879037,All,#4682B4,0
1,3,0.955767,-2.11931,0.588171,0.491483,-0.720539,All,#4682B4,0
2,3,-0.00315579,-0.99455,1.27788,0.0435223,-0.57569,All,#4682B4,0
3,3,-0.617265,0.0217221,-0.0178983,0.784197,0.218924,All,#4682B4,0
4,3,-0.601352,-1.78438,-0.065583,-0.0283618,-0.997416,All,#4682B4,0
5,3,-0.557517,-0.50908,-0.167098,0.308107,-0.0911886,All,#4682B4,0
6,3,-0.26581,-0.78794,-0.294613,-1.32055,-1.16278,All,#4682B4,0
7,3,-0.526852,1.13787,0.799486,-0.0932732,0.357925,All,#4682B4,0
8,3,0.504487,-0.814242,0.0153298,0.134204,-0.318999,All,#4682B4,0
9,3,0.591919,-2.92976,2.43482,0.341074,-1.95733,All,#4682B4,0
10,3,0.859077,-1.43236,0.0592836,-0.535314,-0.912714,All,#4682B4,0
1,4,-1.90963,1.1005,-1.3342,-0.744333,-0.765395,All,#4682B4,0
2,4,-0.300436,-0.128594,0.0743466,1.12324,-0.561985,All,#4682B4,0
3,4,-0.499238,1.08416,1.10979,1.35557,-0.178427,All,#4682B4,0
4,4,-0.547428,0.851845,0.184402,-1.39785,-1.30349,All,#4682B4,0
5,4,-0.69813,-0.651384,-1.01234,0.970505,-0.735842,All,#4682B4,0
6,4,0.882706,0.981849,0.920194,-0.276299,-0.871048,All,#4682B4,0
7,4,-0.663242,1.16293,0.370593,-0.7386,-0.92509,All,#4682B4,0
8,4,0.0580932,2.6517,1.05806,0.215376,-0.211278,All,#4682B4,0
9,4,-0.238669,-0.280586,-0.0369672,0.471282,-1.09697,All,#4682B4,0
10,4,1.12629,0.546885,-0.263238,0.515115,-0.637884,All,#4682B4,0
1,5,0.110142,0.74486,0.713548,1.66849,-2.63426,All,#4682B4,0
2,5,1.59222,0.320815,0.658003,1.96663,-2.6304,All,#4682B4,0
3,5,-0.18501,0.956088,-0.493118,2.48434,-2.06163,All,#4682B4,0
4,5,-1.83751,1.12023,-0.183105,1.0676,-2.65172,All,#4682B4,0
5,5,-1.8693,1.30413,0.292555,0.704256,-2.40701,All,#4682B4,0
6,5,-0.400088,0.901853,-1.05974,2.51626,-1.85114,All,#4682B4,0
7,5,-0.836832,0.979275,-0.075907,1.31065,-2.29133,All,#4682B4,0
