A1_vs_A2_abscissa,A1_vs_A2_spline,A1_vs_A2_regression,A1_vs_I0_abscissa,A1_vs_I0_spline,A1_vs_I0_regression,A1_vs_tau1_abscissa,A1_vs_tau1_spline,A1_vs_tau1_regression,A1_vs_tau2_abscissa,A1_vs_tau2_spline,A1_vs_tau2_regression,A2_vs_A1_abscissa,A2_vs_A1_spline,A2_vs_A1_regression,A2_vs_I0_abscissa,A2_vs_I0_spline,A2_vs_I0_regression,A2_vs_tau1_abscissa,A2_vs_tau1_spline,A2_vs_tau1_regression,A2_vs_tau2_abscissa,A2_vs_tau2_spline,A2_vs_tau2_regression,I0_vs_A1_abscissa,I0_vs_A1_spline,I0_vs_A1_regression,I0_vs_A2_abscissa,I0_vs_A2_spline,I0_vs_A2_regression,I0_vs_tau1_abscissa,I0_vs_tau1_spline,I0_vs_tau1_regression,I0_vs_tau2_abscissa,I0_vs_tau2_spline,I0_vs_tau2_regression,tau1_vs_A1_abscissa,tau1_vs_A1_spline,tau1_vs_A1_regression,tau1_vs_A2_abscissa,tau1_vs_A2_spline,tau1_vs_A2_regression,tau1_vs_I0_abscissa,tau1_vs_I0_spline,tau1_vs_I0_regression,tau1_vs_tau2_abscissa,tau1_vs_tau2_spline,tau1_vs_tau2_regression,tau2_vs_A1_abscissa,tau2_vs_A1_spline,tau2_vs_A1_regression,tau2_vs_A2_abscissa,tau2_vs_A2_spline,tau2_vs_A2_regression,tau2_vs_I0_abscissa,tau2_vs_I0_spline,tau2_vs_I0_regression,tau2_vs_tau1_abscissa,tau2_vs_tau1_spline,tau2_vs_tau1_regression
-0.184223,0.00110043,-0.0661885,-0.116863,0.076795,-0.0110635,-3.09037,0.140942,0.194001,-2.41908,0.191425,0.184746,-0.22323,-0.0555879,-0.102125,-0.116863,0.0462686,0.0017441,-3.09037,0.222338,0.207591,-2.41908,0.14339,0.149709,-0.22323,0.0330972,-0.00510217,-0.184223,0.0203365,0.00686388,-3.09037,-0.033489,-0.00232105,-2.41908,-0.0035211,0.000360495,-0.22323,1.48374,2.02904,-0.184223,2.07334,2.30683,-0.116863,-0.836406,0.0358759,-2.41908,-2.38412,-2.40792,-0.22323,1.79051,2.2237,-0.184223,1.64397,2.01306,-0.116863,-0.876418,0.058755,-3.09037,-2.84187,-2.98636
-0.17159,0.0145557,-0.0602824,-0.111575,0.0717616,-0.0100697,-2.93173,0.137268,0.185089,-2.26617,0.178452,0.174209,-0.209652,-0.0464835,-0.0972973,-0.111575,0.0413259,0.000825382,-2.93173,0.210104,0.196557,-2.26617,0.13516,0.139481,-0.209652,0.0298674,-0.00472904,-0.17159,0.0301047,0.00644191,-2.93173,-0.0334072,-0.0021427,-2.26617,-0.00534952,0.000419849,-0.209652,1.33964,1.92102,-0.17159,1.87217,2.14323,-0.111575,-0.754379,0.0416334,-2.26617,-2.23632,-2.25177,-0.209652,1.63901,2.10067,-0.17159,1.44712,1.86697,-0.111575,-0.797162,0.0606008,-2.93173,-2.70575,-2.83594
-0.158956,0.00545796,-0.0543764,-0.106287,0.0618905,-0.00907594,-2.77309,0.133732,0.176177,-2.11325,0.164626,0.163671,-0.196073,-0.0403677,-0.0924694,-0.106287,0.0342826,-9.3338e-05,-2.77309,0.197829,0.185524,-2.11325,0.127514,0.129253,-0.196073,0.024497,-0.00435591,-0.158956,0.0298042,0.00601994,-2.77309,-0.0331764,-0.00196435,-2.11325,-0.00741006,0.000479202,-0.196073,1.22893,1.813,-0.158956,1.75525,1.97964,-0.106287,-0.628362,0.047391,-2.11325,-2.09149,-2.09561,-0.196073,1.514,1.97763,-0.158956,1.37877,1.72088,-0.106287,-0.669625,0.0624466,-2.77309,-2.57001,-2.68551
-0.146323,-0.0174244,-0.0484703,-0.100999,0.0489299,-0.00808215,-2.61445,0.131591,0.167265,-1.96034,0.149853,0.153133,-0.182494,-0.037591,-0.0876414,-0.100999,0.0262127,-0.00101206,-2.61445,0.185119,0.17449,-1.96034,0.120556,0.119025,-0.182494,0.0186109,-0.00398279,-0.146323,0.0229712,0.00559797,-2.61445,-0.0311812,-0.001786,-1.96034,-0.00943093,0.000538556,-0.182494,1.1532,1.70498,-0.146323,1.69028,1.81604,-0.100999,-0.478132,0.0531485,-1.96034,-1.95002,-1.93946,-0.182494,1.41664,1.8546,-0.146323,1.38933,1.57478,-0.100999,-0.514347,0.0642923,-2.61445,-2.43803,-2.53509
-0.133689,-0.0448694,-0.0425642,-0.0957106,0.0352599,-0.00708836,-2.45581,0.131996,0.158354,-1.80743,0.134796,0.142596,-0.168915,-0.0379692,-0.0828135,-0.0957106,0.0186621,-0.00193078,-2.45581,0.171602,0.163457,-1.80743,0.11388,0.108796,-0.168915,0.013865,-0.00360966,-0.133689,0.0135597,0.005176,-2.45581,-0.0257743,-0.00160764,-1.80743,-0.0108592,0.00059791,-0.168915,1.1085,1.59697,-0.133689,1.64298,1.65244,-0.0957106,-0.331645,0.0589061,-1.80743,-1.80964,-1.7833,-0.168915,1.34377,1.73156,-0.133689,1.42643,1.42869,-0.0957106,-0.360114,0.0661381,-2.45581,-2.31291,-2.38466
-0.121056,-0.0650691,-0.0366582,-0.0904225,0.0232762,-0.00609456,-2.29716,0.133981,0.149442,-1.65451,0.119855,0.132058,-0.155336,-0.0409215,-0.0779855,-0.0904225,0.0131795,-0.0028495,-2.29716,0.157521,0.152423,-1.65451,0.107188,0.0985681,-0.155336,0.0106633,-0.00323653,-0.121056,0.00664492,0.00475403,-2.29716,-0.0182659,-0.00142929,-1.65451,-0.0117897,0.000657263,-0.155336,1.08842,1.48895,-0.121056,1.56946,1.48885,-0.0904225,-0.216953,0.0646636,-1.65451,-1.66894,-1.62715,-0.155336,1.29026,1.60852,-0.121056,1.42303,1.2826,-0.0904225,-0.235833,0.0679839,-2.29716,-2.19205,-2.23423
-0.108422,-0.0672293,-0.0307521,-0.0851344,0.0150774,-0.00510077,-2.13852,0.136646,0.14053,-1.5016,0.105716,0.121521,-0.141758,-0.0455254,-0.0731576,-0.0851344,0.0110967,-0.00376822,-2.13852,0.143091,0.141389,-1.5016,0.10008,0.0883398,-0.141758,0.00894319,-0.00286341,-0.108422,0.00689717,0.00433206,-2.13852,-0.0102828,-0.00125094,-1.5016,-0.0112525,0.000716617,-0.141758,1.08375,1.38093,-0.108422,1.42956,1.32525,-0.0851344,-0.158321,0.0704211,-1.5016,-1.52561,-1.471,-0.141758,1.2489,1.48549,-0.108422,1.31775,1.1365,-0.0851344,-0.166578,0.0698296,-2.13852,-2.07306,-2.08381
-0.095789,-0.0503952,-0.024846,-0.0798462,0.0129264,-0.00410698,-1.97988,0.139324,0.131618,-1.34869,0.093636,0.110983,-0.128179,-0.0508496,-0.0683297,-0.0798462,0.0139107,-0.00468694,-1.97988,0.12847,0.130356,-1.34869,0.0915131,0.0781116,-0.128179,0.00836544,-0.00249028,-0.095789,0.0143061,0.00391009,-1.97988,-0.00306086,-0.00107259,-1.34869,-0.00908377,0.000775971,-0.128179,1.08552,1.27291,-0.095789,1.21997,1.16165,-0.0798462,-0.182662,0.0761787,-1.34869,-1.37524,-1.31484,-0.128179,1.21261,1.36245,-0.095789,1.10536,0.990411,-0.0798462,-0.179984,0.0716754,-1.97988,-1.95416,-1.93338
-0.0831555,-0.0199063,-0.0189399,-0.0745581,0.0187435,-0.00311319,-1.82124,0.141195,0.122706,-1.19578,0.0850946,0.100446,-0.1146,-0.055442,-0.0635017,-0.0745581,0.022828,-0.00560566,-1.82124,0.113798,0.119322,-1.19578,0.0802789,0.0678833,-0.1146,0.00849028,-0.00211715,-0.0831555,0.0251481,0.00348812,-1.82124,0.00167801,-0.000894238,-1.19578,-0.00488349,0.000835324,-0.1146,1.07964,1.1649,-0.0831555,0.961562,0.998053,-0.0745581,-0.312023,0.0819362,-1.19578,-1.2126,-1.15869,-0.1146,1.17034,1.23942,-0.0831555,0.816972,0.844318,-0.0745581,-0.29887,0.0735212,-1.82124,-1.83317,-1.78295
-0.070522,0.0146231,-0.0130339,-0.06927,0.0314314,-0.0021194,-1.6626,0.141678,0.113794,-1.04286,0.081536,0.089908,-0.101021,-0.0584674,-0.0586738,-0.06927,0.0366153,-0.00652438,-1.6626,0.0992408,0.108289,-1.04286,0.0651954,0.057655,-0.101021,0.0088044,-0.00174403,-0.070522,0.0349249,0.00306615,-1.6626,0.00298984,-0.000715886,-1.04286,0.00172544,0.000894678,-0.101021,1.05819,1.05688,-0.070522,0.690264,0.834456,-0.06927,-0.526981,0.0876938,-1.04286,-1.03261,-1.00253,-0.101021,1.11584,1.11638,-0.070522,0.507298,0.698224,-0.06927,-0.504761,0.0753669,-1.6626,-1.70853,-1.63253
-0.0578885,0.0456146,-0.00712778,-0.0639819,0.047578,-0.00112561,-1.50395,0.139861,0.104882,-0.88995,0.0834192,0.0793704,-0.0874425,-0.0582055,-0.0538459,-0.0639819,0.0522142,-0.0074431,-1.50395,0.0850399,0.0972551,-0.88995,0.0458458,0.0474267,-0.0874425,0.00886303,-0.0013709,-0.0578885,0.0383228,0.00264417,-1.50395,-0.000306653,-0.000537534,-0.88995,0.0107135,0.000954032,-0.0874425,1.00444,0.94886,-0.0578885,0.435712,0.670859,-0.0639819,-0.776893,0.0934513,-0.88995,-0.833629,-0.846378,-0.0874425,1.03597,0.993346,-0.0578885,0.220503,0.552131,-0.0639819,-0.747968,0.0772127,-1.50395,-1.5778,-1.4821
-0.0452551,0.0664871,-0.00122171,-0.0586937,0.063926,-0.000131823,-1.34531,0.134813,0.0959699,-0.737037,0.0877478,0.0688329,-0.0738637,-0.0538375,-0.0490179,-0.0586937,0.0666509,-0.00836182,-1.34531,0.0718149,0.0862215,-0.737037,0.0244925,0.0371985,-0.0738637,0.00824583,-0.000997772,-0.0452551,0.0324789,0.0022222,-1.34531,-0.00578852,-0.000359182,-0.737037,0.0206102,0.00101339,-0.0738637,0.910566,0.840842,-0.0452551,0.222387,0.507262,-0.0586937,-1.01273,0.0992088,-0.737037,-0.626034,-0.690223,-0.0738637,0.924576,0.87031,-0.0452551,-0.00603781,0.406038,-0.0586937,-0.980515,0.0790585,-1.34531,-1.43832,-1.33168
-0.0326216,0.0751084,0.00468437,-0.0534056,0.0770073,0.000861968,-1.18667,0.125731,0.0870579,-0.584124,0.0907516,0.0582953,-0.0602849,-0.0443559,-0.04419,-0.0534056,0.0767515,-0.00928054,-1.18667,0.0602366,0.0751879,-0.584124,0.00400411,0.0269702,-0.0602849,0.00660908,-0.000624645,-0.0326216,0.0183207,0.00180023,-1.18667,-0.0100217,-0.000180831,-0.584124,0.0296358,0.00107274,-0.0602849,0.766603,0.732825,-0.0326216,0.0575033,0.343664,-0.0534056,-1.18218,0.104966,-0.584124,-0.422901,-0.534069,-0.0602849,0.773808,0.747274,-0.0326216,-0.160756,0.259945,-0.0534056,-1.15124,0.0809042,-1.18667,-1.28771,-1.18125
-0.0199881,0.0752601,0.0105904,-0.0481175,0.0835064,0.00185576,-1.02803,0.110828,0.078146,-0.431211,0.0844259,0.0477577,-0.0467061,-0.0319206,-0.0393621,-0.0481175,0.0795314,-0.0101993,-1.02803,0.051438,0.0641543,-0.431211,-0.00960397,0.0167419,-0.0467061,0.00446665,-0.000251518,-0.0199881,0.00232775,0.00137826,-1.02803,-0.00866515,-2.47908e-06,-0.431211,0.0338804,0.00113209,-0.0467061,0.592581,0.624807,-0.0199881,-0.0753945,0.180067,-0.0481175,-1.2359,0.110724,-0.431211,-0.25193,-0.377915,-0.0467061,0.59936,0.624238,-0.0199881,-0.266952,0.113851,-0.0481175,-1.21175,0.08275,-1.02803,-1.12089,-1.03082
-0.00735463,0.0709501,0.0164965,-0.0428294,0.0827296,0.00284955,-0.869387,0.0929547,0.069234,-0.278298,0.0771531,0.0372201,-0.0331273,-0.018899,-0.0345341,-0.0428294,0.0743691,-0.011118,-0.869387,0.0441247,0.0531207,-0.278298,-0.0225097,0.00651366,-0.0331273,0.00246661,0.000121609,-0.00735463,-0.0082997,0.000956291,-0.869387,-0.00375544,0.000175873,-0.278298,0.0376466,0.00119145,-0.0331273,0.41001,0.51679,-0.00735463,-0.193847,0.0164699,-0.0428294,-1.16434,0.116481,-0.278298,-0.0842262,-0.22176,-0.0331273,0.418062,0.501203,-0.00735463,-0.349395,-0.032242,-0.0428294,-1.15253,0.0845958,-0.869387,-0.945768,-0.880398
0.00527885,0.065373,0.0224026,-0.0375412,0.0770055,0.00384334,-0.710745,0.0718074,0.0603221,-0.125386,0.0541678,0.0266826,-0.0195486,-0.00789603,-0.0297062,-0.0375412,0.0632533,-0.0120367,-0.710745,0.0384505,0.0420871,-0.125386,-0.023674,-0.00371461,-0.0195486,0.0012836,0.000494736,0.00527885,-0.0105739,0.00053432,-0.710745,0.00565603,0.000354224,-0.125386,0.0335751,0.0012508,-0.0195486,0.242966,0.408772,0.00527885,-0.310788,-0.147127,-0.0375412,-1.00285,0.122239,-0.125386,0.0291681,-0.0656059,-0.0195486,0.248774,0.378167,0.00527885,-0.427039,-0.178335,-0.0375412,-1.00812,0.0864415,-0.710745,-0.761484,-0.729972
0.0179123,0.0592556,0.0283087,-0.0322531,0.0699695,0.00483713,-0.552103,0.0503008,0.0514101,0.0275273,0.0228425,0.016145,-0.00596977,-0.00161365,-0.0248783,-0.0322531,0.0500522,-0.0129554,-0.552103,0.0329491,0.0310535,0.0275273,-0.0186212,-0.0139429,-0.00596977,0.00162828,0.000867863,0.0179123,-0.00546976,0.000112349,-0.552103,0.0162477,0.000532576,0.0275273,0.0248686,0.00131015,-0.00596977,0.116202,0.300755,0.0179123,-0.428516,-0.310725,-0.0322531,-0.813144,0.127997,0.0275273,0.113735,0.0905485,-0.00596977,0.110876,0.255131,0.0179123,-0.503702,-0.324428,-0.0322531,-0.837629,0.0882873,-0.552103,-0.576186,-0.579546
0.0305458,0.053136,0.0342147,-0.026965,0.0633555,0.00583092,-0.393461,0.030531,0.0424982,0.18044,-0.00934713,0.00560743,0.00760902,-0.000357544,-0.0200503,-0.026965,0.0358697,-0.0138741,-0.393461,0.0265616,0.0200199,0.18044,-0.012999,-0.0241711,0.00760902,0.00343487,0.00124099,0.0305458,0.00383097,-0.000309622,-0.393461,0.0260825,0.000710928,0.18044,0.0144926,0.00136951,0.00760902,0.0330991,0.192737,0.0305458,-0.547794,-0.474322,-0.026965,-0.61826,0.133754,0.18044,0.195349,0.246703,0.00760902,0.00704847,0.132096,0.0305458,-0.581502,-0.470522,-0.026965,-0.664144,0.0901331,-0.393461,-0.395728,-0.42912
0.0431793,0.0475019,0.0401208,-0.0216769,0.058933,0.00682471,-0.234819,0.0146809,0.0335862,0.333353,-0.0342473,-0.00493014,0.0211878,-0.00271826,-0.0152224,-0.0216769,0.0228297,-0.0147929,-0.234819,0.0181873,0.0089863,0.333353,-0.0129743,-0.0343994,0.0211878,0.00588055,0.00161412,0.0431793,0.014156,-0.000731593,-0.234819,0.0328892,0.000889279,0.333353,0.00559609,0.00142886,0.0211878,-0.0188793,0.0847196,0.0431793,-0.669205,-0.637919,-0.0216769,-0.45228,0.139512,0.333353,0.302234,0.402857,0.0211878,-0.0724838,0.00905999,0.0431793,-0.662278,-0.616615,-0.0216769,-0.519705,0.0919788,-0.234819,-0.226211,-0.278693
0.0558128,0.043158,0.0460269,-0.0163887,0.0530973,0.0078185,-0.0761774,0.00446666,0.0246743,0.486266,-0.0451821,-0.0154677,0.0347666,-0.00553677,-0.0103944,-0.0163887,0.00938301,-0.0157116,-0.0761774,0.00698055,-0.0020473,0.486266,-0.0235788,-0.0446277,0.0347666,0.00758511,0.00198724,0.0558128,0.0216685,-0.00115356,-0.0761774,0.0348977,0.00106763,0.486266,0.000912767,0.00148821,0.0347666,-0.0677156,-0.0232979,0.0558128,-0.794228,-0.801516,-0.0163887,-0.283567,0.145269,0.486266,0.457493,0.559012,0.0347666,-0.149556,-0.113976,0.0558128,-0.749448,-0.762708,-0.0163887,-0.369465,0.0938246,-0.0761774,-0.0724245,-0.128267
0.0684462,0.0396532,0.051933,-0.0111006,0.041047,0.00881229,0.0824644,-0.00106036,0.0157623,0.639179,-0.0435733,-0.0260053,0.0483454,-0.00615626,-0.00556651,-0.0111006,-0.0068198,-0.0166303,0.0824644,-0.00650069,-0.0130809,0.639179,-0.0436333,-0.054856,0.0483454,0.00741843,0.00236037,0.0684462,0.0264259,-0.00157553,0.0824644,0.0328406,0.00124598,0.639179,0.000392865,0.00154757,0.0483454,-0.136914,-0.131315,0.0684462,-0.921258,-0.965113,-0.0111006,-0.065856,0.151027,0.639179,0.656157,0.715166,0.0483454,-0.242512,-0.237011,0.0684462,-0.840523,-0.908802,-0.0111006,-0.163692,0.0956703,0.0824644,0.0682988,0.0221588
0.0810797,0.0382479,0.057839,-0.00581249,0.0192744,0.00980608,0.241106,-0.00265342,0.00685036,0.792092,-0.0354994,-0.0365429,0.0619242,-0.00227551,-0.000738571,-0.00581249,-0.0273253,-0.017549,0.241106,-0.0217238,-0.0241145,0.792092,-0.0683953,-0.0650842,0.0619242,0.00435381,0.0027335,0.0810797,0.0233883,-0.00199751,0.241106,0.0273332,0.00142433,0.792092,0.00240617,0.00160692,0.0619242,-0.24641,-0.239333,0.0810797,-1.05301,-1.12871,-0.00581249,0.233166,0.156784,0.792092,0.877122,0.87132,0.0619242,-0.366876,-0.360047,0.0810797,-0.941147,-1.05489,-0.00581249,0.132763,0.0975161,0.241106,0.1981,0.172585
0.0937132,0.038602,0.0637451,-0.000524364,-0.00567497,0.0107999,0.399748,-0.00231724,-0.00206159,0.945004,-0.0267723,-0.0470804,0.075503,0.00372033,0.00408937,-0.000524364,-0.0477646,-0.0184677,0.399748,-0.0376299,-0.0351481,0.945004,-0.0933143,-0.0753125,0.075503,-6.04181e-05,0.00310662,0.0937132,0.0143759,-0.00241948,0.399748,0.0200948,0.00160269,0.945004,0.00543012,0.00166628,0.075503,-0.370631,-0.347351,0.0937132,-1.18926,-1.29231,-0.000524364,0.542072,0.162542,0.945004,1.1002,1.02747,0.075503,-0.502456,-0.483083,0.0937132,-1.05021,-1.20099,-0.000524364,0.445464,0.0993619,0.399748,0.322589,0.323011
0.106347,0.0400581,0.0696512,0.00476376,-0.0234897,0.0117937,0.55839,-0.000874787,-0.0109735,1.09792,-0.0234739,-0.057618,0.0890817,0.00736622,0.0089173,0.00476376,-0.0615101,-0.0193865,0.55839,-0.0536235,-0.0461817,1.09792,-0.11364,-0.0855408,0.0890817,-0.00316667,0.00347975,0.106347,0.00347176,-0.00284145,0.55839,0.0117944,0.00178104,1.09792,0.00784313,0.00172563,0.0890817,-0.463905,-0.455368,0.106347,-1.32963,-1.45591,0.00476376,0.749913,0.168299,1.09792,1.30428,1.18363,0.0890817,-0.613283,-0.606118,0.106347,-1.16558,-1.34708,0.00476376,0.658396,0.101208,0.55839,0.444108,0.473437
0.11898,0.0422317,0.0755573,0.0100519,-0.0228505,0.0127875,0.717032,0.000153643,-0.0198855,1.25083,-0.0299184,-0.0681556,0.102661,0.00448733,0.0137452,0.0100519,-0.061201,-0.0203052,0.717032,-0.0689111,-0.0572153,1.25083,-0.126034,-0.095769,0.102661,-0.00247951,0.00385288,0.11898,-0.0060577,-0.00326342,0.717032,0.00367195,0.00195939,1.25083,0.00855097,0.00178498,0.102661,-0.483605,-0.563386,0.11898,-1.47446,-1.6195,0.0100519,0.733911,0.174057,1.25083,1.47438,1.33978,0.102661,-0.665788,-0.729154,0.11898,-1.28644,-1.49317,0.0100519,0.643408,0.103053,0.717032,0.566909,0.623863
0.131614,0.0450826,0.0814633,0.01534,0.000346369,0.0137812,0.875674,-0.000176274,-0.0287975,1.40374,-0.0444683,-0.0786931,0.116239,-0.00720066,0.0185732,0.01534,-0.0447858,-0.0212239,0.875674,-0.0832392,-0.0682489,1.40374,-0.131921,-0.105997,0.116239,0.00351404,0.00422601,0.131614,-0.0137669,-0.00368539,0.875674,-0.00356723,0.00213774,1.40374,0.00821793,0.00184434,0.116239,-0.407099,-0.671403,0.131614,-1.62376,-1.7831,0.01534,0.457225,0.179814,1.40374,1.61623,1.49594,0.116239,-0.642203,-0.85219,0.131614,-1.4127,-1.63927,0.01534,0.3602,0.104899,0.875674,0.693579,0.774289
0.144247,0.048667,0.0873694,0.0206281,0.0352243,0.014775,1.03432,-0.00350708,-0.0377094,1.55666,-0.0644004,-0.0892307,0.129818,-0.0227933,0.0234011,0.0206281,-0.0211304,-0.0221426,1.03432,-0.0959808,-0.0792825,1.55666,-0.133616,-0.116226,0.129818,0.0124529,0.00459913,0.144247,-0.0199526,-0.00410736,1.03432,-0.00876892,0.00231609,1.55666,0.00800932,0.00190369,0.129818,-0.288788,-0.779421,0.144247,-1.77751,-1.9467,0.0206281,0.0605174,0.185572,1.55666,1.73934,1.65209,0.129818,-0.585651,-0.975226,0.144247,-1.5445,-1.78536,0.0206281,-0.0498825,0.106745,1.03432,0.828661,0.924715
0.156881,0.053482,0.0932755,0.0259163,0.0682942,0.0157688,1.19296,-0.00959547,-0.0466214,1.70957,-0.086058,-0.0997683,0.143397,-0.0371239,0.028229,0.0259163,-0.000785762,-0.0230613,1.19296,-0.107438,-0.0903161,1.70957,-0.134069,-0.126454,0.143397,0.0217817,0.00497226,0.156881,-0.0243302,-0.00452933,1.19296,-0.0120703,0.00249444,1.70957,0.00847557,0.00196304,0.143397,-0.185542,-0.887438,0.156881,-1.93808,-2.11029,0.0259163,-0.287632,0.191329,1.70957,1.85644,1.80825,0.143397,-0.541183,-1.09826,0.156881,-1.68512,-1.93145,0.0259163,-0.416256,0.108591,1.19296,0.97143,1.07514
0.169514,0.0592959,0.0991816,0.0312044,0.0875466,0.0167626,1.3516,-0.021319,-0.0555333,1.86248,-0.10738,-0.110306,0.156976,-0.0445369,0.033057,0.0312044,0.00666232,-0.0239801,1.3516,-0.116469,-0.10135,1.86248,-0.135135,-0.136682,0.156976,0.0288252,0.00534539,0.169514,-0.0276152,-0.0049513,1.3516,-0.0114562,0.0026728,1.86248,0.0111558,0.0020224,0.156976,-0.159751,-0.995456,0.169514,-2.10388,-2.27389,0.0312044,-0.434502,0.197087,1.86248,1.97476,1.9644,0.156976,-0.558244,-1.2213,0.169514,-1.83264,-2.07755,0.0312044,-0.584934,0.110436,1.3516,1.12986,1.22557
0.182148,0.0665957,0.105088,0.0364925,0.083257,0.0177564,1.51024,-0.0380928,-0.0644453,2.01539,-0.125341,-0.120843,0.170554,-0.0394462,0.0378849,0.0364925,-0.00633789,-0.0248988,1.51024,-0.123456,-0.112383,2.01539,-0.139298,-0.14691,0.170554,0.030861,0.00571851,0.182148,-0.0296638,-0.00537327,1.51024,-0.00730757,0.00285115,2.01539,0.0167682,0.00208175,0.170554,-0.272902,-1.10347,0.182148,-2.27711,-2.43749,0.0364925,-0.259158,0.202845,2.01539,2.10483,2.12056,0.170554,-0.685548,-1.34433,0.182148,-1.99018,-2.22364,0.0364925,-0.433414,0.112282,1.51024,1.30229,1.37599
0.194781,0.0759548,0.110994,0.0417806,0.0627757,0.0187502,1.66888,-0.0605174,-0.0733572,2.16831,-0.138301,-0.131381,0.184133,-0.0242205,0.0427129,0.0417806,-0.0327119,-0.0258175,1.66888,-0.12824,-0.123417,2.16831,-0.14791,-0.157139,0.184133,0.0286661,0.00609164,0.194781,-0.0305903,-0.00579524,1.66888,0.00120684,0.0030295,2.16831,0.0255068,0.00214111,0.184133,-0.498315,-1.21149,0.194781,-2.46015,-2.60109,0.0417806,0.129005,0.208602,2.16831,2.25238,2.27671,0.184133,-0.901904,-1.46737,0.194781,-2.16121,-2.36973,0.0417806,-0.0686976,0.114128,1.66888,1.49036,1.52642
0.207415,0.0863865,0.1169,0.0470688,0.0359751,0.019744,1.82752,-0.0842181,-0.0822692,2.32122,-0.147332,-0.141919,0.197712,-0.00160186,0.0475408,0.0470688,-0.0632274,-0.0267362,1.82752,-0.132602,-0.13445,2.32122,-0.159981,-0.167367,0.197712,0.0232457,0.00646477,0.207415,-0.031055,-0.00621722,1.82752,0.0117238,0.00320785,2.32122,0.0356598,0.00220046,0.197712,-0.805122,-1.31951,0.207415,-2.64818,-2.76468,0.0470688,0.58668,0.21436,2.32122,2.41365,2.43286,0.197712,-1.18281,-1.5904,0.207415,-2.33919,-2.51583,0.0470688,0.368402,0.115974,1.82752,1.68197,1.67685
0.220048,0.0987393,0.122806,0.0523569,0.0124449,0.0207378,1.98617,-0.105104,-0.0911811,2.47413,-0.153861,-0.152456,0.211291,0.0258033,0.0523687,0.0523569,-0.0890501,-0.0276549,1.98617,-0.138237,-0.145484,2.47413,-0.174213,-0.177595,0.211291,0.0155232,0.00683789,0.220048,-0.0309363,-0.00663919,1.98617,0.0226444,0.0033862,2.47413,0.0453289,0.00225981,0.211291,-1.16386,-1.42753,0.220048,-2.84491,-2.92828,0.0523569,0.97634,0.220117,2.47413,2.58367,2.58902,0.211291,-1.50488,-1.71344,0.220048,-2.52942,-2.66192,0.0523569,0.742445,0.11782,1.98617,1.86577,1.82727
0.232681,0.112732,0.128712,0.057645,0.00164938,0.0217316,2.14481,-0.118883,-0.100093,2.62705,-0.159237,-0.162994,0.22487,0.053468,0.0571967,0.057645,-0.10081,-0.0285737,2.14481,-0.146899,-0.156518,2.62705,-0.189376,-0.187823,0.22487,0.00715246,0.00721102,0.232681,-0.0303187,-0.00706116,2.14481,0.0318802,0.00356455,2.62705,0.0525417,0.00231917,0.22487,-1.52354,-1.53554,0.232681,-3.04886,-3.09188,0.057645,1.15426,0.225875,2.62705,2.75772,2.74517,0.22487,-1.82764,-1.83648,0.232681,-2.72994,-2.80801,0.057645,0.913384,0.119665,2.14481,2.02988,1.9777
0.245315,0.127781,0.134618,0.0629331,-0.00479031,0.0227254,2.30345,-0.12402,-0.109005,2.77996,-0.164921,-0.173531,0.238448,0.079714,0.0620246,0.0629331,-0.107678,-0.0294924,2.30345,-0.159212,-0.167551,2.77996,-0.204131,-0.198052,0.238448,-0.000961754,0.00758415,0.245315,-0.0292657,-0.00748313,2.30345,0.0383081,0.00374291,2.77996,0.0550322,0.00237852,0.238448,-1.86631,-1.64356,0.245315,-3.25706,-3.25547,0.0629331,1.25886,0.231632,2.77996,2.93069,2.90133,0.238448,-2.13694,-1.95951,0.245315,-2.93676,-2.95411,0.0629331,1.01414,0.121511,2.30345,2.17003,2.12812
0.257948,0.143276,0.140524,0.0682213,-0.00147406,0.0237191,2.46209,-0.121993,-0.117917,2.93287,-0.17123,-0.184069,0.252027,0.0993885,0.0668525,0.0682213,-0.103072,-0.0304111,2.46209,-0.174599,-0.178585,2.93287,-0.218237,-0.20828,0.252027,-0.00717976,0.00795727,0.257948,-0.0278118,-0.0079051,2.46209,0.0413778,0.00392126,2.93287,0.0539931,0.00243787,0.252027,-2.13325,-1.75158,0.257948,-3.46642,-3.41907,0.0682213,1.19317,0.23739,2.93287,3.10148,3.05748,0.252027,-2.386,-2.08255,0.257948,-3.14574,-3.1002,0.0682213,0.952885,0.123357,2.46209,2.29032,2.27855
0.270582,0.158747,0.14643,0.0735094,0.00711252,0.0247129,2.62073,-0.117553,-0.126829,3.08578,-0.178478,-0.194606,0.265606,0.111277,0.0716805,0.0735094,-0.0910697,-0.0313298,2.62073,-0.19107,-0.189618,3.08578,-0.231388,-0.218508,0.265606,-0.0109038,0.0083304,0.270582,-0.026109,-0.00832707,2.62073,0.0423041,0.00409961,3.08578,0.0484543,0.00249723,0.265606,-2.31128,-1.8596,0.270582,-3.67491,-3.58267,0.0735094,1.0215,0.243147,3.08578,3.26899,3.21364,0.265606,-2.56446,-2.20558,0.270582,-3.35396,-3.24629,0.0735094,0.792987,0.125203,2.62073,2.4039,2.42898
