rep,id,A1,tau1,I0
1,1,0.116863573490365,6.87545719808242,0.530456129815685
2,1,0.149983350571429,5.02594644767567,0.493817311942188
3,1,0.137033143808257,4.45038024364579,0.510065142108219
4,1,0.111455695274194,11.2383808955812,0.532372554740942
5,1,0.154815214864844,3.61493073270082,0.494682554778021
6,1,0.12938525269031,8.0639402135581,0.518263103797021
7,1,0.200309751012539,3.64561552344457,0.451054998229551
8,1,0.150456243596267,5.59764852558858,0.495950198627993
9,1,0.143354766304171,4.93872927899906,0.517838417234101
10,1,0.133737303136933,4.16082041232752,0.523266627975213
1,2,0.181169175221198,1.87516587306771,0.557561059223814
2,2,0.214883095492357,1.88252739032127,0.521214989642715
3,2,0.172185723455179,4.22942780411931,0.551648928646071
4,2,0.160445681402778,2.50865112945923,0.573807513867005
5,2,0.146697988549329,3.28840456953371,0.583449521560659
6,2,0.20293349486353,3.49589888105608,0.530660116530422
7,2,0.156447736534611,5.30461959886841,0.581964494374124
8,2,0.20020305233346,1.38136277258385,0.540692698820721
9,2,0.206930817677806,2.59333813234072,0.521654433315586
10,2,0.153766030512793,4.91098757455817,0.565318722451158
1,3,0.192618473180153,5.25404522034629,0.462101877448001
2,3,0.195386484399618,2.21529152921996,0.473696604433364
3,3,0.19288169470998,4.12907739230266,0.465131771933365
4,3,0.195192341783232,2.6613738676102,0.451391585131525
5,3,0.153238860879917,3.63784626294401,0.51450267916084
6,3,0.177755691104591,2.42007319640761,0.468608940045753
7,3,0.194666308711375,2.88417561440019,0.45031256127238
8,3,0.172840903069234,3.84448661160925,0.479710766759648
9,3,0.174383296980809,3.37459895366064,0.480955932905816
10,3,0.19427540201849,2.26790255058327,0.456344625821617
1,4,0.15881557973893,5.47910497781248,0.44050011735695
2,4,0.13207515816558,5.21059439124475,0.463638924396037
3,4,0.12881508578032,4.56471918575039,0.458901887667488
4,4,0.147295948070361,4.2297883914889,0.460270148255995
5,4,0.126426250090415,4.91564993733607,0.466645355615714
6,4,0.136790324352242,6.28676160767157,0.448264544512881
7,4,0.168016142451065,3.61690180430412,0.426190787000979
8,4,0.135949594119289,7.41747746662076,0.456368058948837
9,4,0.143863247062197,4.51844276025794,0.461394448548792
10,4,0.127382282743157,3.60537605872338,0.475557778159109
1,5,0.150556507258731,3.81978875839584,0.361255202207631
2,5,0.13915322546361,4.63857494944614,0.355912025983575
3,5,0.116460863010286,4.77632018893333,0.367853652051162
4,5,0.122275500562604,8.21742256248976,0.370546395637632
5,5,0.0971377527108491,9.70821894329552,0.406743152637066
6,5,0.104192558858324,12.0738886111659,0.393674783856862
7,5,0.126786091397894,4.97311875987661,0.36609010174939
8,5,0.135961601915044,9.02957094053636,0.374093268983126
9,5,0.129653032353664,6.46083563568413,0.358958164483721
10,5,0.117993780609548,9.60556808723959,0.388014332130625
1,6,0.139047513449072,6.97581272688476,0.485287912060856
2,6,0.148330316091825,5.47129056108161,0.480150504400454
3,6,0.138558254766596,5.03621678383358,0.474363421564669
4,6,0.124054653864602,9.28912845138847,0.501873723389378
5,6,0.158095480457987,2.66462753880187,0.463622742636205
6,6,0.171267352461198,3.18226489181488,0.471902979243606
7,6,0.149209069090469,7.14775488949607,0.474044162880001
8,6,0.14029645655716,5.0450144756674,0.468702317994373
9,6,0.112633968106544,13.0300807858494,0.500301254262078
10,6,0.156785493448018,3.50876567335819,0.466318948391077
1,7,0.145086118292762,2.43468862857673,0.490177402882223
2,7,0.124592169498688,5.38406474150346,0.524047400493186
3,7,0.168360884509161,3.51402921762242,0.478107376479239
4,7,0.15163588600057,3.11393867421242,0.489480012684998
5,7,0.172873965479799,2.2810587961281,0.46524191374679
6,7,0.119940943639616,5.571308467804,0.51399721551338
7,7,0.196391165242258,2.1131341574686,0.437703196508519
8,7,0.144643189428382,5.54020029149118,0.482398592150008
9,7,0.14035532363133,5.36693449495627,0.497180281083415
10,7,0.13606713665424,4.43039990500472,0.493207514738599
1,8,0.142805053337954,4.53850502815276,0.536482778575448
2,8,0.127188032780229,4.69905884043847,0.560959801301536
3,8,0.191185960065103,3.01361022006249,0.49298321479985
4,8,0.177670252803958,3.37341919518849,0.514844669129275
5,8,0.161367910893382,2.79492503100557,0.526109433551938
6,8,0.171095115021594,2.93400177740787,0.514623817601613
7,8,0.156883010094725,4.61058779820528,0.535972553245386
8,8,0.166535774969526,3.98561865061531,0.523268501230305
9,8,0.148651490686414,4.14320986540618,0.550262849450233
10,8,0.168641695473683,3.11226617670038,0.529271930494317
1,9,0.173791180382976,2.53161805650112,0.549120195359482
2,9,0.153957424792294,2.38429977345524,0.562206527172397
3,9,0.156081551134086,3.99367620054144,0.553173185901906
4,9,0.15241124068807,3.05439255941751,0.560591619402869
5,9,0.116542299147334,8.87678125582687,0.587114377540241
6,9,0.163799197713909,4.92508229732941,0.546456593307358
7,9,0.169416137045183,3.47315030915537,0.549571911212539
8,9,0.128642088043445,7.66330627376292,0.580182764482446
9,9,0.129937425908496,4.58848468401378,0.586892425197065
10,9,0.138881788688656,4.25206428513861,0.573009370102252
1,10,0.144501172180711,3.56916652310931,0.486445201420621
2,10,0.122815164267728,4.62261325518217,0.519928140186745
3,10,0.128133110741861,3.15891762110555,0.503372254863688
4,10,0.139008601246936,4.92045860021464,0.494628498766355
5,10,0.150190547609987,4.27278046476706,0.489198525981471
6,10,0.150350811513885,2.38120260189759,0.485009259851882
7,10,0.16329311038294,4.16461858006476,0.464066181857714
8,10,0.114836665841195,6.41593152723503,0.516201385088102
9,10,0.168430967491439,3.07728251314534,0.461056432449464
10,10,0.143913164891027,3.70292364313129,0.498177649028897
1,11,0.150480033806738,3.89934118602843,0.50381278756415
2,11,0.140411353694937,4.5338952586101,0.516667932867499
3,11,0.168176918575502,4.24628187974808,0.494383517622018
4,11,0.192990583917808,2.7906515043313,0.467540382729793
5,11,0.17625516121407,2.43509798882905,0.481447318518412
6,11,0.180159240843594,4.42913515761861,0.470213442505054
7,11,0.192407949818335,1.99301677504388,0.459361239831492
8,11,0.141962576101506,6.07568518008696,0.510564027313565
9,11,0.130659528547898,3.60481678118703,0.521868486086327
10,11,0.145836677458559,3.98103682407171,0.512503540304086
1,12,0.194661027870929,2.01189319379833,0.447077449845735
2,12,0.143665697388291,2.54761541158373,0.512132025986377
3,12,0.154626597958034,3.00367111279144,0.49842298178945
4,12,0.166926396575179,1.91774592457826,0.479729152268657
5,12,0.171139815952303,2.49521078382262,0.474924426690448
6,12,0.193396199091461,2.28047623821069,0.470872281527895
7,12,0.172899064954341,1.9424321634814,0.481769912701913
8,12,0.173948014084688,2.49705672755414,0.479150782007887
9,12,0.167422538360969,1.67970612129374,0.478251514596521
10,12,0.133703882937711,7.36961296569223,0.514967233028889
1,13,0.183458829470849,2.2620781944339,0.514378690552092
2,13,0.142281210890092,2.90013579906541,0.566728680234892
3,13,0.200249655271237,2.84789786860382,0.482544866536031
4,13,0.119080201927541,6.04183874121009,0.585446093580961
5,13,0.18982499837033,5.28885441475821,0.498785111228151
6,13,0.132766761479954,4.34928127068509,0.55841321554223
7,13,0.17623249505724,2.65891498692026,0.518611864717349
8,13,0.16391014254096,5.20382326706649,0.528781088301209
9,13,0.174179688210523,5.15405196093315,0.5296575850549
10,13,0.179547358801389,6.56361324941311,0.515375753126605
1,14,0.186884127028878,2.94121830967187,0.398336147410246
2,14,0.154163750171891,2.94784964510735,0.414796359112452
3,14,0.146134644955593,2.87914495272545,0.448884196609466
4,14,0.130706697413486,5.61941535632415,0.451338257093726
5,14,0.152410003685476,2.55023474031288,0.432644033110401
6,14,0.0959936887871125,11.0285682235026,0.487511379248167
7,14,0.142437679705356,2.98956163892945,0.43720098234497
8,14,0.137036054213123,3.64564758941466,0.4642585274595
9,14,0.147237654558882,2.86258019213003,0.437681219886687
10,14,0.121972458390025,4.71463442650529,0.452038679371931
1,15,0.128811034923473,6.31404415094512,0.584554339450094
2,15,0.191955750601232,2.24543913936449,0.517070617248236
3,15,0.215155381501191,2.23670788301974,0.491096067848838
4,15,0.135842216137293,3.81775404387798,0.583400532485415
5,15,0.176567192700219,1.54627443478108,0.536633555143027
6,15,0.153523396265754,2.6770618249485,0.556249742257444
7,15,0.13207154934097,5.24169820694223,0.584271842091293
8,15,0.201461556673941,3.27126306567145,0.51349673473556
9,15,0.20028320796083,2.36045574992935,0.513835096349112
10,15,0.145741748449833,3.56645106341037,0.574314815663791
1,16,0.16050667912873,2.81142652790294,0.610019920447108
2,16,0.189631189960675,4.92329381332696,0.587341091040043
3,16,0.155744088955243,2.66832058285996,0.619919105523373
4,16,0.166542999697422,2.97830332615231,0.598773412595078
5,16,0.218768561961691,2.31226401503353,0.560029425181924
6,16,0.17739268171165,3.96941483443658,0.597661524003304
7,16,0.17113265796917,2.38374564401434,0.606815405465638
8,16,0.202905836214186,1.92886115312488,0.569135412131079
9,16,0.185485755890912,2.05869134944546,0.597080169587166
10,16,0.19004465877771,3.23478136954318,0.579937529917239
1,17,0.100611862850223,8.64904373109877,0.555609454462926
2,17,0.143046316245019,6.96469326430369,0.518674494677221
3,17,0.186258059357955,5.07480756815024,0.469883241228256
4,17,0.141352133604927,5.56620642768279,0.509631290125489
5,17,0.134056948278483,7.01594163843564,0.534048482966213
6,17,0.117684074731472,12.4538138202737,0.539423700516032
7,17,0.150493729451263,3.78781455775877,0.506026047310007
8,17,0.132807311250535,5.23839281959598,0.528342577378778
9,17,0.166832370806348,4.12757037733918,0.502331667519013
10,17,0.185206462265457,7.01646952003408,0.473983163418116
1,18,0.168397102321677,3.12140666174902,0.495089335719326
2,18,0.170650885813195,3.84065360464501,0.492473649758188
3,18,0.168349590836098,3.66544370800172,0.488040589318762
4,18,0.154877172422723,3.09874214722051,0.51824181887145
5,18,0.146923752989623,3.67989496435147,0.514591468176759
6,18,0.164177288191252,2.60309376294588,0.501354680808836
7,18,0.164138213529543,4.11955987130944,0.496522975049875
8,18,0.135351895786544,2.74671767530352,0.542162285731539
9,18,0.149513439082961,3.85205543298222,0.518683614152721
10,18,0.15445723269953,5.48572744643099,0.514687421482261
1,19,0.181059419466627,2.53950219671809,0.527242888537445
2,19,0.182476791680354,2.43330054094109,0.515731730964639
3,19,0.215838579143045,1.66769955839338,0.496222588583644
4,19,0.17293129437625,2.36990049846223,0.54189808563529
5,19,0.206564416183907,1.3606001703385,0.507352739362979
6,19,0.163963456846118,3.79554776376196,0.544143672082301
7,19,0.192506306146949,2.44041074348616,0.522869227100076
8,19,0.268876708926909,1.94640368100622,0.448159403718189
9,19,0.196058823715008,2.4700417846466,0.500899246563949
10,19,0.153011829580691,2.13699647589445,0.549281114801686
1,20,0.130982631936133,7.96001513014762,0.526158043465104
2,20,0.106893201613837,7.08160515712852,0.541082866803554
3,20,0.136971294637492,5.04319419917021,0.515903537607868
