id,A1_SAEM,tau1_SAEM,I0_SAEM,A1_mean,tau1_mean,I0_mean,A1_mode,tau1_mode,I0_mode,A1_sd,tau1_sd,I0_sd
1,0.14354,5.18406,0.505826,0.145266,4.98401,0.503286,0.144477,4.47038,0.504477,0.0199966,1.96526,0.0202025
2,0.178873,3.68921,0.55446,0.181256,3.27229,0.551928,0.181244,3.0813,0.55162,0.0254613,1.21109,0.025085
3,0.173296,3.86392,0.480266,0.167667,3.61919,0.485958,0.170204,3.27571,0.483331,0.0192187,1.50727,0.0187318
4,0.141786,5.36283,0.452656,0.143356,4.98543,0.451615,0.143292,4.51234,0.450931,0.0168467,1.8718,0.0175711
5,0.113064,7.95148,0.38093,0.117377,7.2869,0.377407,0.116662,6.65593,0.377718,0.0146856,2.67432,0.0150592
6,0.148906,5.01253,0.472188,0.144678,4.98323,0.47705,0.14919,3.98769,0.472143,0.0257817,2.73126,0.0257263
7,0.149021,4.86064,0.488087,0.141444,5.10824,0.495317,0.146232,4.18117,0.490716,0.0216459,2.15084,0.0226822
8,0.161434,4.0179,0.528971,0.163179,3.86745,0.526745,0.16496,3.38173,0.524891,0.022962,1.4409,0.022798
9,0.147456,5.5345,0.567537,0.148154,5.075,0.56757,0.146856,4.66602,0.56877,0.0230859,2.14659,0.0228293
10,0.143647,5.36983,0.490012,0.142262,5.30717,0.491395,0.144791,4.47313,0.488612,0.0222592,2.21174,0.0224251
11,0.164801,3.80697,0.490974,0.162531,3.69983,0.493203,0.163024,3.20463,0.493466,0.0250612,1.65527,0.0255026
12,0.16656,2.96003,0.483876,0.167704,2.72591,0.481928,0.173646,2.23136,0.476313,0.0199818,1.1266,0.019826
13,0.179027,3.63477,0.519772,0.165692,3.88677,0.533131,0.175974,3.1148,0.523208,0.026358,1.53371,0.0265057
14,0.133509,6.1201,0.450547,0.135566,5.23168,0.449229,0.137491,4.54632,0.447057,0.0196399,2.31002,0.02105
15,0.172149,3.11698,0.540819,0.163857,3.33608,0.549344,0.171533,2.7035,0.541752,0.0232479,1.67953,0.0229501
16,0.177227,3.31065,0.597229,0.179107,3.05836,0.595443,0.184554,2.67925,0.589795,0.0204138,1.02756,0.0201154
17,0.139066,5.8987,0.518262,0.138196,5.98312,0.519625,0.142041,5.08409,0.51527,0.0205809,2.11926,0.0213468
18,0.159324,4.41538,0.506693,0.156648,4.40624,0.509487,0.154221,4.05986,0.512051,0.0187868,2.06923,0.0194076
19,0.188614,2.62938,0.520555,0.19742,2.37011,0.511757,0.20238,2.00443,0.507685,0.0265928,1.02873,0.0254603
20,0.147224,5.63235,0.50011,0.147051,5.10513,0.500645,0.148637,4.48,0.498883,0.020833,2.02921,0.0216234
