id,eta_A1_SAEM,eta_tau1_SAEM,eta_I0_SAEM,eta_A1_mean,eta_tau1_mean,eta_I0_mean,eta_A1_mode,eta_tau1_mode,eta_I0_mode,eta_A1_sd,eta_tau1_sd,eta_I0_sd
1,-0.0823,0.156389,0.0111576,-0.0625772,0.15925,0.00461805,-0.0588743,0.12819,0.00779917,0.134451,0.402744,0.0406492
2,0.142577,-0.188692,0.103216,0.158205,-0.245702,0.0966489,0.167851,-0.243933,0.0971367,0.139049,0.349915,0.0459209
3,0.108537,-0.146714,-0.0408449,0.0832885,-0.156955,-0.0303458,0.105009,-0.182749,-0.0350206,0.116563,0.376614,0.0386389
4,-0.091083,0.190499,-0.099703,-0.0736055,0.172719,-0.103652,-0.0671052,0.137532,-0.104408,0.118194,0.358983,0.0389936
5,-0.316354,0.585691,-0.272134,-0.274366,0.554398,-0.2832,-0.272709,0.526225,-0.281575,0.124567,0.353864,0.0401188
6,-0.0457805,0.0888577,-0.0578296,-0.0741582,0.11062,-0.0495517,-0.0267692,0.0139287,-0.0584404,0.185551,0.48956,0.0538567
7,-0.040252,0.0863941,-0.024243,-0.0915594,0.181583,-0.0115911,-0.0467939,0.0613066,-0.0198574,0.151123,0.394748,0.046396
8,0.0368764,-0.0965188,0.0560035,0.0530269,-0.084173,0.0500427,0.0737136,-0.150895,0.047468,0.140245,0.370035,0.0437897
9,-0.0554385,0.229079,0.126513,-0.0458681,0.178991,0.124826,-0.0425359,0.171022,0.127753,0.156193,0.384581,0.0405002
10,-0.0781546,0.187056,-0.0203421,-0.0871517,0.21938,-0.0195101,-0.0566982,0.128805,-0.024153,0.162386,0.399691,0.0454506
11,0.0546409,-0.16362,-0.0190574,0.04698,-0.1518,-0.0161512,0.0619087,-0.204685,-0.0142676,0.154612,0.422919,0.0520832
12,0.068658,-0.449259,-0.0332789,0.0830854,-0.438338,-0.0387882,0.125029,-0.566674,-0.0496465,0.119727,0.368955,0.0416339
13,0.142389,-0.193785,0.0384433,0.0646867,-0.0829378,0.0618142,0.138343,-0.233119,0.0442567,0.166903,0.374166,0.0495712
14,-0.151958,0.291612,-0.104343,-0.133093,0.197372,-0.109295,-0.10843,0.145034,-0.113036,0.145869,0.419134,0.0471111
15,0.103787,-0.332584,0.0783017,0.0564475,-0.262635,0.092134,0.112783,-0.374735,0.0790866,0.147274,0.422575,0.0416593
16,0.129766,-0.278342,0.177416,0.149538,-0.305445,0.173008,0.185951,-0.383747,0.164052,0.113636,0.329726,0.0339937
17,-0.112468,0.285271,0.0357366,-0.114341,0.35908,0.0365333,-0.0758754,0.256832,0.0289687,0.148559,0.349768,0.0414049
18,0.0242957,0.00556927,0.0128763,0.0148672,0.0341748,0.0169468,0.00639429,0.0318644,0.0227023,0.119516,0.376515,0.0384514
19,0.197016,-0.509924,0.0401367,0.24375,-0.576709,0.0208971,0.278154,-0.673922,0.0141389,0.140837,0.360789,0.0495536
20,-0.0548547,0.241804,-4.08117e-5,-0.0512829,0.188787,-0.000766336,-0.0304825,0.130339,-0.00335061,0.142297,0.378048,0.0435112
