parameter,value,se_sa,rse_sa
A1_pop,0.191980858085251,0.0137554609457103,7.16501690996818
tau1_pop,3.15746655193123,0.857837767321095,27.1685464663563
A2_pop,0.316306292483876,0.0116725729571062,3.69027529153604
tau2_pop,44.7532493346426,11.8148938142325,26.4000804184888
omega_A1,0.298523808558592,0.0467680414728945,15.6664360201994
omega_tau1,0.903499921353722,0.139666128752428,15.4583443176359
omega_A2,0.13976526612368,0.0217010488294272,15.5267824626926
omega_tau2,1.05386469845808,0.162200636828823,15.3910304677764
corr_A2_A1,0.614917221566648,nan,nan
corr_tau1_A1,-0.39630829414256,nan,nan
corr_tau2_A1,-0.994734071001287,nan,nan
corr_tau1_A2,-0.965034913618569,nan,nan
corr_tau2_A2,-0.552913731908454,5.46321183158583e-6,0.000988076713654559
corr_tau2_tau1,0.320504751430319,nan,nan
a,0.0710396252439446,0.00154231284588307,2.17105994096518
