rep,id,A1,tau1,A2,tau2
1,63,0.267795866689318,177106717150477,0.165281620099797,1110494.29262304
2,63,0.269508054730297,2.68795909088831e+18,0.170622015216702,1044064.95657148
3,63,0.270260998182059,2.85306480680074e+17,0.167901936101828,1041088.91105771
4,63,0.256895270216564,4388855939.34078,0.187641302717372,4493939.07977248
5,63,0.288035404752582,3.73094054898319e+25,0.147045410449995,24085.7777234658
6,63,0.26964933352385,1.92371352740534e+17,0.176282020203841,633834.223597842
7,63,0.26240977395925,57131428930.117,0.168568911119179,1434293.58818274
8,63,0.254738968265331,11290.8780069768,0.170658958799936,6754784.0735803
9,63,0.26313864008578,442422171570.971,0.175765227891205,1442178.23652698
10,63,0.277232356743395,1.6075307329608e+23,0.163763387482873,430361.066564707
1,72,0.284921784355351,76624188.1688713,0.0898477236572346,33575.6893724364
2,72,0.297731050991457,3268425456.73449,0.0730746248808704,2734.51895229448
3,72,0.303084859245931,5589815019976.65,0.0678893769102619,1343.28016744171
4,72,0.293471133715162,4898.12379511574,0.0695731350834331,2137.34107215879
5,72,0.31717876729022,5251517315600.97,0.0545849285468393,84.2903294559691
6,72,0.309600513177434,7.04636196867906e+21,0.0737854967750064,1350.60993419328
7,72,0.317904205987631,117249208.033536,0.0459645712399295,51.1513216319309
8,72,0.297478781251242,71271380146.1414,0.0757708014903569,1886.40344203177
9,72,0.322546769938303,105124.088629961,0.0385657598782906,24.7491631684341
10,72,0.29561490800528,473576954740558,0.0809567001257151,10743.4588288929
1,64,0.249859524707408,5904440130848.94,0.241111972889223,33051226.2690773
2,64,0.236182735978762,12723.8588394749,0.272592271356675,237016981.831617
3,64,0.258565977565087,1.70699693973967e+20,0.237229964651569,5466777.55574356
4,64,0.259544650203749,6.01998391822556e+22,0.261358555056742,8430412.62792837
5,64,0.253113874532927,645117878049724,0.230238689309695,37574244.9609872
6,64,0.272684197181173,9.56594727595557e+27,0.219240932793551,1304723.72642499
7,64,0.258854493163071,2.03736812952443e+21,0.251044555114079,9509046.73542782
8,64,0.244549786265465,9754947458.51997,0.270851894477116,141656505.552352
9,64,0.253238896078489,1.05319950166519e+16,0.24276905543918,23193874.8600063
10,64,0.245592164378891,36926499620575.9,0.272443111283115,105798439.919216
1,65,0.281626185204667,191861465.202713,0.106205120330396,54255.8934978261
2,65,0.311594632846789,8.60242121810896e+17,0.0670786493743034,479.958146730739
3,65,0.319968562003237,5.22354765050753e+15,0.0569599901502022,37.9897777527852
4,65,0.305251648452553,1116613932.78181,0.0611322577510398,771.52513994112
5,65,0.30664293526134,1934647342945.29,0.068610549121664,540.75288555286
6,65,0.276195029404274,7321556.0323403,0.112844183214954,61313.0062933843
7,65,0.301383006035529,35497670352462.2,0.0786444531254766,1609.92688467303
8,65,0.29286389258602,3.04164652816176e+17,0.102868752259953,9267.42894936881
9,65,0.277461692052813,275806585638419,0.135086815320102,76557.9310378386
10,65,0.294451934887095,149861640971137,0.0867316635955746,12183.6876275415
1,66,0.293752310035543,24832916.1921799,0.0760154309921013,2989.97599601564
2,66,0.294494847166885,96253903.1763324,0.0732466990044427,4096.28342406021
3,66,0.307447131605789,6.01062240368033e+16,0.0732144130109444,901.560134772931
4,66,0.284522500648858,596.54612127211,0.0832492416537546,10720.1723113897
5,66,0.285895221679238,39648.540407968,0.0853916415842357,9774.30051857577
6,66,0.325943597922954,17532.4844808658,0.0364417703612596,15.106856174152
7,66,0.301718839075943,3489.64381694421,0.0579791294522175,928.55039884229
8,66,0.281213398580567,4130623.22904092,0.099123029064514,39455.3145684528
9,66,0.31478862666141,3.11257086624194e+21,0.0714249156567969,315.749548091815
10,66,0.281636060532088,372309043011.635,0.108855790937837,74422.956326221
1,67,0.258102196380647,6.50312652935746e+15,0.218108375442978,5603983.21115241
2,67,0.256655546618924,165007699652365,0.200571733371333,21602891.8166043
3,67,0.258482381547696,4857555780897.78,0.192564921539076,11224113.1418701
4,67,0.258112089089455,316970590850.8,0.18526809067347,7690518.22546182
5,67,0.27027674891568,7.94314539615677e+19,0.172437020425949,1770025.31757873
6,67,0.26032491226489,9.23350537031485e+15,0.211455546570235,2298865.61641996
7,67,0.269005059592548,2.26496010198384e+22,0.200351095755163,1215972.0572841
8,67,0.271148599527442,2.937993273151e+18,0.171691561444715,588672.407231013
9,67,0.258080606905855,1.14918601325296e+15,0.215119184303759,6246384.95009896
10,67,0.264869757097788,3.14446098657758e+20,0.198185414978988,4093536.83025772
1,68,0.292868889996909,6008630.42793006,0.0764065733137601,2359.68803783531
2,68,0.332893019996786,266516.042731402,0.034242390653129,2.47875761009182
3,68,0.303537612395863,162374000338308,0.0724414506563423,1196.33758837576
4,68,0.306548389479866,8362739.44969473,0.0576775008042177,368.858156444698
5,68,0.295707550809769,817349344.078538,0.075241725010073,3392.71542042574
6,68,0.300011147818654,9525859415.90287,0.0695024641895731,1891.33871555823
7,68,0.297910672445411,1.53763242302382e+15,0.0908835001288877,1717.61853406701
8,68,0.314365569665691,6746895.66601124,0.0508380934018825,66.5318848527858
9,68,0.307813889039584,30798495903266.4,0.0690620562237779,419.844844753764
10,68,0.284428963867596,1974461.79293766,0.0892673821533719,37623.1408082328
1,69,0.292636272866848,6491665496674.93,0.0879545071881578,8812.36966598764
2,69,0.284286580917034,8935334975.52955,0.092066625235892,55562.9988994316
3,69,0.326494465769223,1.82600871153774e+17,0.0495043536605815,25.1986094083142
4,69,0.321397906801447,87720396.6341586,0.0422478599457154,48.8024914975296
5,69,0.328678584929998,1614744.70077365,0.0356946378874176,9.97577709107639
6,69,0.301939785312695,82595820538388.9,0.0818881443399712,862.95485507004
7,69,0.304274014061476,18616161.5204206,0.060305957431682,493.488374013879
8,69,0.311764446598699,6312.65468508875,0.0486607909353945,83.9790581511924
9,69,0.313956938800152,1157346654.98796,0.0550110482340045,57.3636545050969
10,69,0.292416748409316,3957678.59422573,0.0726534923928811,8818.81641641611
1,70,0.303754727737931,478164894438.608,0.0663226648374627,642.129743143341
2,70,0.307094253690584,21545315464220.1,0.068115854339624,479.40042586351
3,70,0.32728436749665,1.1217873138076e+16,0.0500181201350629,20.792908127819
4,70,0.30327287180357,3.82067711138197e+17,0.0776885552857832,2172.65476917281
5,70,0.296241633204649,21849179006181.1,0.0833615724294733,4293.14012193286
6,70,0.304246489747369,1143671506.59219,0.0607882234107351,1169.93307625623
7,70,0.286969369401423,2518496.98654887,0.0896997867848847,6775.38126288452
8,70,0.304419689951784,7843545.56358787,0.0601277184121405,424.982172149089
9,70,0.292351548201333,56437077703658.6,0.0953126554957929,6157.93688870098
10,70,0.315528972794706,5087073118245.49,0.0560573033591377,128.070624650833
1,71,0.291371540071984,1.95568586779932e+18,0.108529619721108,15063.9995906273
2,71,0.267165979810383,7523454937.92624,0.148180298981525,553711.797243049
3,71,0.272361644008765,25807416595.0352,0.130211948867323,331738.702911427
4,71,0.281811865601335,6.40845161678627e+17,0.130669849040503,84054.2593732887
5,71,0.290610253657323,5.78412111326902e+19,0.114752633273921,22693.9660445313
6,71,0.278960112827436,2.28662164949364e+16,0.136225527707567,84323.358273847
7,71,0.276716635928012,1.93171617913555e+15,0.132295400210643,286729.657802064
8,71,0.289756047480359,142491770568074,0.0992799349164527,11315.1923503449
9,71,0.288837511502583,2.69719237525554e+20,0.118187208106765,27198.4334946952
10,71,0.29702580758292,8.13783974521073e+21,0.107880563659663,4860.53526827934
