id,A1_SAEM,tau1_SAEM,A2_SAEM,tau2_SAEM,A1_mean,tau1_mean,A2_mean,tau2_mean,A1_mode,tau1_mode,A2_mode,tau2_mode,A1_sd,tau1_sd,A2_sd,tau2_sd
63,0.270387,5.65694e+27,0.169622,2.25153e+6,0.26937,2.13061e+28,0.169042,2.37125e+6,0.267916,1.37189e+16,0.172224,1.05674e+6,0.00864469,9.67306e+29,0.0209832,5.06793e+6
72,0.304813,1.01903e+22,0.0706195,12256.4,0.304576,4.4298e+23,0.0708799,19323.7,0.296783,2.5055e+11,0.0791836,2937.34,0.0173021,2.83592e+25,0.0232129,112463
64,0.255109,5.41189e+29,0.24644,4.19857e+7,0.255976,1.72002e+31,0.242808,3.43046e+7,0.255532,8.22587e+17,0.243733,1.56516e+7,0.00720336,8.02255e+32,0.0192503,6.25968e+7
65,0.297587,4.38445e+23,0.0874928,48457.3,0.296348,2.93859e+25,0.0882118,59445.6,0.28839,1.07156e+13,0.09933,15593.3,0.0166899,1.69987e+27,0.0257084,275102
66,0.30667,1.187e+25,0.0681959,10232.6,0.304127,6.24034e+21,0.0711168,16890.2,0.297031,2.19542e+11,0.0786399,2796.19,0.0168975,4.3298e+23,0.0227392,77649.6
67,0.268279,3.31626e+28,0.177451,4.05611e+6,0.266861,1.34481e+30,0.180682,3.87011e+6,0.265677,2.87266e+16,0.183195,1.70504e+6,0.00806966,7.16127e+31,0.0200414,7.14705e+6
68,0.30535,6.39072e+21,0.0687523,15205.5,0.304805,1.77596e+23,0.069557,14407.8,0.298172,1.16553e+11,0.0761672,2229.12,0.0163727,9.06336e+24,0.0216552,81356.1
69,0.308567,1.34666e+17,0.0594726,5561.61,0.309157,9.96172e+18,0.058766,4572.57,0.305499,1.77639e+8,0.060289,495.103,0.0148967,7.62129e+20,0.0172846,27871.9
70,0.303228,2.54712e+22,0.0730174,19257.8,0.303259,5.1525e+24,0.0731147,18403.3,0.295848,4.05967e+11,0.0812548,3536.37,0.0168765,3.71402e+26,0.023166,85521.9
71,0.282185,5.98213e+26,0.124257,385912,0.282634,6.97045e+30,0.122764,361591,0.277913,4.81239e+14,0.131322,130487,0.0132637,5.91603e+32,0.025827,1.31526e+6
