id,eta_A1_SAEM,eta_tau1_SAEM,eta_A1_mean,eta_tau1_mean,eta_A1_mode,eta_tau1_mode,eta_A1_sd,eta_tau1_sd
1,-0.0111835,0.0203667,-0.0105348,0.0202651,-0.0113229,0.0213606,0.0130855,0.0274205
10,0.111927,-0.209522,0.109569,-0.204231,0.110898,-0.207236,0.0126202,0.0270061
11,-0.00340141,0.006723,-0.00322437,0.0058581,-0.00269094,0.00499924,0.0132477,0.0280711
12,-0.0987447,0.184227,-0.0993886,0.187042,-0.0975659,0.182565,0.0136895,0.0279649
13,-0.27531,0.513665,-0.275444,0.5148,-0.27897,0.521969,0.0134968,0.0271574
14,-0.0562413,0.10711,-0.0553688,0.103037,-0.0539155,0.100865,0.0141467,0.0308046
15,-0.0304168,0.0560569,-0.030398,0.0580446,-0.0295423,0.0551944,0.0131637,0.0284838
16,0.047781,-0.0896258,0.0474943,-0.0885834,0.0502214,-0.0939986,0.0114107,0.0251681
17,0.0847727,-0.157757,0.0869722,-0.1627,0.0855492,-0.159493,0.0117766,0.0247301
18,-0.0365286,0.0694605,-0.0357199,0.0668933,-0.0349008,0.0653653,0.0139591,0.0285318
19,0.00249641,-0.00576786,-0.000583536,0.0017547,0.000909736,-0.0020354,0.0130851,0.0276583
2,-0.0130159,0.0237958,-0.0112991,0.020474,-0.0114086,0.0209815,0.0140667,0.0293174
20,0.0638566,-0.118854,0.0643068,-0.119459,0.0640319,-0.119739,0.0125102,0.0274037
3,-0.116066,0.217913,-0.116104,0.216094,-0.114801,0.214739,0.0153494,0.0316796
4,0.0793545,-0.148166,0.0816169,-0.152929,0.082265,-0.154103,0.0116926,0.0250403
5,0.166277,-0.311443,0.165077,-0.309208,0.165352,-0.309539,0.010852,0.0245455
6,-7.21578e-5,8.32605e-5,0.000438302,0.000406899,0.001487,-0.00234118,0.012845,0.0276875
7,0.0152737,-0.0291637,0.0157452,-0.0298792,0.0154887,-0.0287656,0.0124361,0.0264404
8,0.0769074,-0.143291,0.0772411,-0.145156,0.0779849,-0.146104,0.0126421,0.0272242
9,-0.0126039,0.0235998,-0.0121736,0.0224551,-0.0127447,0.0240719,0.0126419,0.0268192
