rep,id,A1,tau1
1,63,0.426538531014881,62.2183392326761
2,63,0.418140622851612,57.3915507478274
3,63,0.458656146999576,107.702510678974
4,63,0.424787944040192,60.146342868806
5,63,0.4222293140052,55.06855328824
6,63,0.443962877143299,87.6992156494753
7,63,0.431475273124542,76.0493647526407
8,63,0.407507534337706,42.784584131093
9,63,0.430741464659959,71.0412342149284
10,63,0.430925772697581,64.8067850110728
1,64,0.380698379098574,25.7515190840069
2,64,0.361283611160066,17.393094130356
3,64,0.379732254990331,25.3812470945474
4,64,0.377050656228785,23.6444078319274
5,64,0.38668467158533,28.7986201611552
6,64,0.384300320983433,27.0114698878429
7,64,0.368605609953189,20.016560741451
8,64,0.381561134875496,26.3696567930953
9,64,0.378032616191002,23.3271063295823
10,64,0.385837223891944,27.5605871685732
1,65,0.536608124275646,373.972438815546
2,65,0.495403430771581,201.170780144013
3,65,0.489849693362744,195.066519731746
4,65,0.49636392340302,208.947321562739
5,65,0.501593879350813,227.308074252014
6,65,0.518722906412252,305.059310717679
7,65,0.498344945046459,212.065374478911
8,65,0.478688465863301,146.781662852947
9,65,0.494482015186274,200.626974761329
10,65,0.480535470287054,157.115014041701
1,66,0.401777503163621,39.0636941232152
2,66,0.373603124362888,22.5085501973892
3,66,0.375260470782413,23.2074423872721
4,66,0.386583668531614,29.3806268436875
5,66,0.418023525941033,55.6234328453941
6,66,0.38899201838532,29.3928847072178
7,66,0.390137240924607,30.6494013478646
8,66,0.378906665232216,24.1199415031002
9,66,0.373811646446245,21.9659699913707
10,66,0.406833446045188,45.0929045750423
1,67,0.364347984820506,18.8389972222822
2,67,0.384571167433831,29.0876775695548
3,67,0.366111736265644,19.6103102132187
4,67,0.384134177268919,27.4677417299768
5,67,0.36639038450658,18.8708527116006
6,67,0.384635360218147,27.4666392340293
7,67,0.374258048172283,22.4908423607754
8,67,0.352625712537198,14.1843760991428
9,67,0.395461332735168,33.9143297709402
10,67,0.3738442662325,21.4969457146385
1,68,0.453134819319189,97.2353343615818
2,68,0.440484667248939,84.7548099861353
3,68,0.461600488584943,111.719797137442
4,68,0.4300377923626,64.3443017711268
5,68,0.446095170756537,94.4093062800383
6,68,0.463911443418635,111.820082090083
7,68,0.473817390838418,141.43530014367
8,68,0.459555379926096,111.182155039704
9,68,0.42633358901398,63.8691149162607
10,68,0.465022527641208,117.230006956762
1,69,0.382482037377856,27.411015321883
2,69,0.364232090394107,17.9923360111173
3,69,0.378006427460345,24.2770245166847
4,69,0.389287833461926,29.2241074379451
5,69,0.387062888684435,31.0497880866028
6,69,0.364483158467266,18.5229258876367
7,69,0.379032515495952,25.6334928919854
8,69,0.353092737197773,15.4380559543005
9,69,0.366530608451005,17.9451078968888
10,69,0.364069001731751,17.6452423471292
1,70,0.344900722612255,11.4936199471494
2,70,0.353928333881088,15.2822853672463
3,70,0.373566348143565,23.1315881253151
4,70,0.340298191092173,10.6377982933824
5,70,0.352038698752313,13.2309123161221
6,70,0.360548586475935,16.8698331967717
7,70,0.367126886273463,20.3588700742828
8,70,0.364204557091188,18.1542679531666
9,70,0.351373525986643,13.5312463371912
10,70,0.359131823771268,16.5649487709069
1,71,0.386116519991796,27.7171976608149
2,71,0.367972035430284,18.0046231057311
3,71,0.388357430745219,30.6488403660461
4,71,0.404427167664253,41.9606772557369
5,71,0.361742278105366,17.3840496322869
6,71,0.351479071923475,13.2518107395448
7,71,0.380862864021621,25.9004997325059
8,71,0.379073426192267,22.6896009459355
9,71,0.377277571741242,22.3108432151837
10,71,0.369265759758483,20.9500261545499
1,72,0.409230420059007,46.3876565763562
2,72,0.428751784999255,62.6355656610232
3,72,0.405875923162064,41.6781715574357
4,72,0.405570478187516,41.1716217410729
5,72,0.397170519011256,34.9952361527173
6,72,0.401873985133897,37.1911076329576
7,72,0.400256014766159,40.0955227123173
8,72,0.415317003756638,53.0016497621565
9,72,0.39748946953511,35.0438662369147
10,72,0.396700776714212,37.5621945729647
