id,eta_A1_SAEM,eta_tau1_SAEM,eta_A1_mean,eta_tau1_mean,eta_A1_mode,eta_tau1_mode,eta_A1_sd,eta_tau1_sd
63,0.0893799,0.704758,0.0848578,0.663948,0.0883562,0.693915,0.0334131,0.26094
64,-0.0651556,-0.514035,-0.0700157,-0.550842,-0.0656657,-0.515717,0.0347751,0.272781
65,0.205894,1.62404,0.210979,1.65683,0.206094,1.61858,0.0263196,0.211941
66,-0.0293315,-0.231436,-0.0326931,-0.255117,-0.0305355,-0.239814,0.0337843,0.264719
67,-0.0665287,-0.524248,-0.070692,-0.556014,-0.0666885,-0.523744,0.0336166,0.268065
68,0.106476,0.836346,0.106183,0.831467,0.106509,0.836476,0.0325716,0.259741
69,-0.0748945,-0.593779,-0.0737933,-0.579966,-0.0716639,-0.562812,0.036741,0.289258
70,-0.121805,-0.957717,-0.123303,-0.966283,-0.120226,-0.944226,0.0338196,0.271124
71,-0.0597763,-0.471366,-0.0619963,-0.485514,-0.0616439,-0.484125,0.0347684,0.274787
72,0.0206969,0.161498,0.0174747,0.138584,0.02123,0.166732,0.0340409,0.265796
