rep,id,A1,tau1,eta_A1,eta_tau1
1,1,-0.447855640802994,1.96448415281974,-0.0263879097436144,0.0506060063196889
2,1,-0.424965377022584,1.907562202889,-0.00349764596320357,-0.00631594361105159
3,1,-0.423448563822191,1.91756742247447,-0.00198083276281136,0.00368927597441937
1,2,-0.295316136379389,1.6716114175626,0.126151594679991,-0.242266728937452
2,2,-0.310656477893497,1.71832530364134,0.110811253165882,-0.195552842858713
3,2,-0.330285151623204,1.75827223872421,0.091182579436176,-0.155605907775846
1,3,-0.411182538323839,1.88628061274527,0.0102851927355413,-0.0275975337547865
2,3,-0.425724628191064,1.9097154597769,-0.00425689713168376,-0.00416268672315034
3,3,-0.420887084711841,1.90148603975082,0.000580646347538627,-0.0123921067492336
1,4,-0.513972422045581,2.06385435943353,-0.0925046909862006,0.149976212933479
2,4,-0.505020185431781,2.09063586957103,-0.0835524543724014,0.176757723070974
3,4,-0.512398480891746,2.06831346880743,-0.0909307498323663,0.154435322307376
1,5,-0.687169756503617,2.40927290114466,-0.265702025444237,0.49539475464461
2,5,-0.696925417372078,2.41960603142237,-0.275457686312699,0.505727884922312
3,5,-0.73426444006349,2.50929877195175,-0.31279670900411,0.595420625451698
1,6,-0.449658215085043,1.97356508752304,-0.0281904840256628,0.0596869410229861
2,6,-0.484506803396162,2.0432879107645,-0.0630390723367817,0.129409764264443
3,6,-0.482534204369885,2.02150882375941,-0.0610664733105055,0.10763067725936
1,7,-0.44385058620413,1.95376192412255,-0.0223828551447497,0.0398837776224974
2,7,-0.467726827401037,2.02049207817367,-0.0462590963416571,0.106613931673617
3,7,-0.454250711328177,1.94852098469329,-0.032782980268797,0.0346428381932402
1,8,-0.369319185085856,1.82357523696163,0.0521485459735239,-0.09030290953842
2,8,-0.375014460011141,1.84154269889024,0.0464532710482389,-0.0723354476098119
3,8,-0.385383057699824,1.84212418593226,0.0360846733595563,-0.0717539605677917
1,9,-0.34227615769172,1.77741569186161,0.0791915733676603,-0.136462454638446
2,9,-0.332056530798448,1.7586865411071,0.0894112002609321,-0.15519160539295
3,9,-0.345993029004179,1.77355183863447,0.0754747020552008,-0.140326307865584
1,10,-0.466996490929359,2.0078847161794,-0.0455287598699793,0.094006569679348
2,10,-0.438223346413067,1.95463630621147,-0.016755615353687,0.0407581597114128
3,10,-0.44342771093234,1.94624116865904,-0.0219599798729604,0.0323630221589852
1,11,-0.398011164464146,1.8798809563366,0.0234565665952343,-0.0339971901634537
2,11,-0.429833364336245,1.9300539905308,-0.0083656332768649,0.0161758440307451
3,11,-0.430830253597821,1.92581254189662,-0.00936252253844072,0.0119343953965676
1,12,-0.409866348613113,1.89787512646419,0.0116013824462665,-0.0160030200358645
2,12,-0.431591708307478,1.93140113224361,-0.0101239772480978,0.0175229857435595
3,12,-0.428897707820776,1.89262670211283,-0.00742997676139612,-0.0212514443872247
1,13,-0.368335071846863,1.81221704756736,0.0531326592125174,-0.101661098932693
2,13,-0.357290690505357,1.7832067976054,0.0641770405540228,-0.130671348894658
3,13,-0.357685817476775,1.80071399336128,0.0637819135826045,-0.113164153138772
1,14,-0.525320252160789,2.10553287834207,-0.103852521101409,0.191654731842021
2,14,-0.537673167035075,2.11892347759501,-0.116205435975695,0.205045331094961
3,14,-0.517858787964132,2.11128402150648,-0.0963910569047516,0.197405875006425
1,15,-0.347361527599183,1.769977855625,0.0741062034601967,-0.143900290875058
2,15,-0.339639959037846,1.7697693259244,0.0818277720215341,-0.144108820575657
3,15,-0.332217908700861,1.75307953428387,0.0892498223585185,-0.160798612216187
1,16,-0.232357580844254,1.55159994999588,0.189110150215126,-0.362278196504177
2,16,-0.254940669893899,1.60444136809753,0.166527061165481,-0.309436778402528
3,16,-0.258421449077608,1.61287498273807,0.163046281981772,-0.301003163761987
1,17,-0.426223732961144,1.90585613832341,-0.00475600190176406,-0.00802200817664156
2,17,-0.417536609879936,1.91243631192651,0.00393112117944427,-0.00144183457354452
3,17,-0.432016544255731,1.9357199843075,-0.0105488131963515,0.021841837807447
1,18,-0.424283910910711,1.93227076810475,-0.00281617985133109,0.0183926216046921
2,18,-0.409191405606418,1.88990626420436,0.0122763254529624,-0.0239718822956967
3,18,-0.411044239479378,1.89755644567759,0.0104234915800018,-0.0163217008224641
1,19,-0.35424782066183,1.80622139359838,0.0672199103975496,-0.10765675290167
2,19,-0.324947369623714,1.7315227298196,0.0965203614356662,-0.182355416680448
3,19,-0.350629495149988,1.78085371127534,0.0708382359093917,-0.133024435224718
1,20,-0.453582010045866,1.98343524877789,-0.0321142789864865,0.0695571022778334
2,20,-0.429823782842524,1.91624749265798,-0.0083560517831438,0.00236934615792217
3,20,-0.435983579244564,1.94997435467433,-0.0145158481851844,0.0360962081742771
