A1_abscissa,A1_pdf,A1_cdf,tau1_abscissa,tau1_pdf,tau1_cdf,A2_abscissa,A2_pdf,A2_cdf,tau2_abscissa,tau2_pdf,tau2_cdf,I0_abscissa,I0_pdf,I0_cdf,split
0.130961,0.0586218,0.999428,3.08626e+07,2.83256e-10,0.989779,0.231939,0.0181401,0.999745,4.10086e+07,1.43603e-10,0.993728,0.826578,4.92276e-05,0.999999,All
0.132293,0.0511531,0.999501,3.12344e+07,2.77392e-10,0.989883,0.23423,0.015423,0.999784,4.15026e+07,1.40487e-10,0.993798,0.833459,3.39558e-05,0.999999,All
0.133624,0.0446314,0.999564,3.16063e+07,2.71714e-10,0.989985,0.236522,0.0131091,0.999816,4.19967e+07,1.37472e-10,0.993867,0.84034,2.33617e-05,1,All
0.134956,0.0389379,0.99962,3.19781e+07,2.66212e-10,0.990085,0.238814,0.0111394,0.999844,4.24908e+07,1.34553e-10,0.993934,0.847222,1.60331e-05,1,All
0.136287,0.0339685,0.999668,3.235e+07,2.60879e-10,0.990183,0.241105,0.0094633,0.999868,4.29849e+07,1.31728e-10,0.994,0.854103,1.09771e-05,1,All
0.137619,0.0296316,0.999711,3.27218e+07,2.55709e-10,0.990279,0.243397,0.00803759,0.999888,4.3479e+07,1.28991e-10,0.994064,0.860984,7.49817e-06,1,All
0.13895,0.0258475,0.999747,3.30936e+07,2.50695e-10,0.990373,0.245688,0.00682529,0.999905,4.3973e+07,1.26339e-10,0.994127,0.867866,5.11035e-06,1,All
0.140282,0.0225461,0.99978,3.34655e+07,2.4583e-10,0.990465,0.24798,0.00579478,0.999919,4.44671e+07,1.23768e-10,0.994189,0.874747,3.47543e-06,1,All
0.141613,0.019666,0.999808,3.38373e+07,2.41109e-10,0.990556,0.250272,0.00491905,0.999931,4.49612e+07,1.21276e-10,0.994249,0.881628,2.35864e-06,1,All
0.142944,0.0171539,0.999832,3.42091e+07,2.36526e-10,0.990645,0.252563,0.00417505,0.999942,4.54553e+07,1.18859e-10,0.994309,0.888509,1.5975e-06,1,All
0.144276,0.0149629,0.999854,3.4581e+07,2.32075e-10,0.990732,0.254855,0.00354312,0.999951,4.59493e+07,1.16514e-10,0.994367,0.895391,1.07988e-06,1,All
0.145607,0.013052,0.999872,3.49528e+07,2.27752e-10,0.990817,0.257146,0.0030065,0.999958,4.64434e+07,1.14238e-10,0.994424,0.902272,7.28611e-07,1,All
0.146939,0.0113855,0.999888,3.53247e+07,2.23551e-10,0.990901,0.259438,0.00255091,0.999964,4.69375e+07,1.12028e-10,0.99448,0.909153,4.90716e-07,1,All
0.14827,0.00993229,0.999903,3.56965e+07,2.19467e-10,0.990984,0.26173,0.00216418,0.99997,4.74316e+07,1.09882e-10,0.994535,0.916035,3.29918e-07,1,All
0.149602,0.008665,0.999915,3.60683e+07,2.15497e-10,0.991064,0.264021,0.00183596,0.999974,4.79257e+07,1.07798e-10,0.994588,0.922916,2.21437e-07,1,All
0.150933,0.00755988,0.999926,3.64402e+07,2.11637e-10,0.991144,0.266313,0.00155744,0.999978,4.84197e+07,1.05773e-10,0.994641,0.929797,1.48384e-07,1,All
0.152265,0.00659619,0.999935,3.6812e+07,2.07881e-10,0.991222,0.268604,0.00132111,0.999982,4.89138e+07,1.03804e-10,0.994693,0.936678,9.92763e-08,1,All
