pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-2.6468,0.0250962,-3.31042,0.00216253,-3.5515,0.00380079,All
-2.51089,0.0167308,-3.25866,0.00108127,-3.40193,0.00760158,All
-2.37498,0.0292789,-3.2069,0.00108127,-3.25236,0.00380079,All
-2.23907,0.0501924,-3.15513,0.0032438,-3.10279,0,All
-2.10316,0.0292789,-3.10337,0.0032438,-2.95323,0.00760158,All
-1.96725,0.0501924,-3.05161,0.00108127,-2.80366,0.0228047,All
-1.83133,0.0627406,-2.99985,0,-2.65409,0.0152032,All
-1.69542,0.0878368,-2.94809,0.00432506,-2.50452,0.0228047,All
-1.55951,0.121298,-2.89633,0.00540633,-2.35496,0.0304063,All
-1.4236,0.104568,-2.84457,0.0118939,-2.20539,0.0228047,All
-1.28769,0.158943,-2.79281,0.00432506,-2.05582,0.0342071,All
-1.15178,0.192404,-2.74105,0.0151377,-1.90625,0.072215,All
-1.01587,0.238414,-2.68929,0.00865013,-1.75668,0.0836173,All
-0.879957,0.238414,-2.63753,0.00756886,-1.60712,0.0874181,All
-0.744046,0.342982,-2.58577,0.00756886,-1.45755,0.106422,All
-0.608135,0.376443,-2.53401,0.00973139,-1.30798,0.140629,All
-0.472224,0.414088,-2.48225,0.0281129,-1.15841,0.182438,All
-0.336313,0.460097,-2.43048,0.0237878,-1.00885,0.231848,All
-0.200402,0.397357,-2.37872,0.0237878,-0.859278,0.266055,All
-0.0644915,0.380626,-2.32696,0.032438,-0.70971,0.364876,All
0.0714195,0.380626,-2.2752,0.0389256,-0.560142,0.345872,All
0.207331,0.451732,-2.22344,0.0313567,-0.410574,0.437091,All
0.343242,0.372261,-2.17168,0.0346005,-0.261006,0.406684,All
0.479153,0.397357,-2.11992,0.0281129,-0.111439,0.421887,All
0.615063,0.317886,-2.06816,0.0313567,0.0381291,0.345872,All
0.750974,0.288607,-2.0164,0.0346005,0.187697,0.418087,All
0.886885,0.288607,-1.96464,0.052982,0.337265,0.402884,All
1.0228,0.296972,-1.91288,0.0573071,0.486832,0.406684,All
1.15871,0.20077,-1.86112,0.0648759,0.6364,0.334469,All
1.29462,0.192404,-1.80936,0.0724448,0.785968,0.269856,All
1.43053,0.138029,-1.7576,0.0843387,0.935536,0.334469,All
1.56644,0.112933,-1.70583,0.0746073,1.0851,0.23945,All
1.70235,0.0669233,-1.65407,0.0886638,1.23467,0.209043,All
1.83826,0.0543752,-1.60231,0.0962326,1.38424,0.163434,All
1.97417,0.0585579,-1.55055,0.127589,1.53381,0.121625,All
2.11008,0.0209135,-1.49879,0.122183,1.68337,0.0798166,All
2.246,0.0460097,-1.44703,0.132996,1.83294,0.072215,All
2.38191,0.0250962,-1.39527,0.148133,1.98251,0.0228047,All
2.51782,0.0041827,-1.34351,0.176246,2.13208,0.0380079,All
2.65373,0.0167308,-1.29175,0.193547,2.28165,0.0228047,All
2.78964,0.0041827,-1.23999,0.210847,2.43121,0.0152032,All
2.92555,0.00836541,-1.18823,0.19679,2.58078,0.0190039,All
3.06146,0.00836541,-1.13647,0.235716,2.73035,0.00760158,All
,,-1.08471,0.234635,,,All
,,-1.03295,0.209766,,,All
,,-0.981185,0.218416,,,All
,,-0.929424,0.246529,,,All
