id,eta_A1_SAEM,eta_tau1_SAEM,eta_A2_SAEM,eta_tau2_SAEM
21,0.0263247,-0.734028,0.215919,-0.843142
30,-0.0268085,-0.559648,0.158782,-0.520359
31,-0.461153,1.07871,-0.371167,2.35249
32,0.0198798,0.0667042,-0.0168617,0.0185473
33,0.0773221,-0.312951,0.0999741,-0.529801
34,-0.243539,0.519134,-0.181616,1.19096
35,0.126159,-0.285822,0.0987134,-0.632721
36,0.0109214,-0.246327,0.072561,-0.287126
37,0.329796,-0.402019,0.157705,-1.2871
38,-0.0519676,-0.173506,0.0446766,-0.0541326
39,-0.138456,0.17449,-0.0683424,0.550091
22,0.476867,0.0961184,0.0313903,-1.14331
40,0.228004,-0.0546393,0.0448308,-0.658047
41,0.0566152,-0.136454,0.0467843,-0.293463
42,-0.050733,-0.0394031,0.00498144,0.0918172
23,0.21538,-0.192581,0.0820796,-0.761755
24,-0.136809,0.178584,-0.0682512,0.541805
25,0.0842693,-0.109844,0.0431155,-0.342265
26,-0.416407,1.04054,-0.353718,2.18894
27,0.129473,-0.356852,0.1197,-0.716343
28,-0.276295,0.836929,-0.277966,1.61341
29,0.0856533,-0.138784,0.0512656,-0.373251
