rep,id,eta_A1,eta_tau1,eta_A2,eta_tau2
1,21,0.0329057263249821,-0.78720067921654,0.231169517548298,-0.908356710014937
2,21,0.128634911272847,-0.516084174672561,0.165239832363818,-0.878062579191428
3,21,-0.465129674023057,-1.66706250510487,0.428057536075537,-0.567552776145336
1,30,-0.0655322177181521,-0.712397999068424,0.203583715313801,-0.621561859503096
2,30,-0.293817134207661,-1.10955023924026,0.286707347142787,-0.418192086904517
3,30,-0.256534568470055,-1.00062320718469,0.249480007535966,-0.318177156273594
1,31,-0.660290087864008,0.696952686021411,-0.283418046326581,2.45401655878103
2,31,-0.648067090628566,0.682006429129407,-0.279239265544867,2.42077305536471
3,31,-0.609600318489274,0.712607988777578,-0.284452833067275,2.36031229062625
1,32,0.120161837188783,0.382133608458443,-0.0999421972564549,0.121006112879296
2,32,-0.0241076602967321,-0.112671735745857,0.0258010581871344,-0.0255743642351396
3,32,0.224684840592727,0.8881095751205,-0.236163754105965,0.401849786171483
1,33,0.0208836004745632,-0.439686699517819,0.13164886159671,-0.531991326806811
2,33,-0.135883412221789,-0.838604194584799,0.222232310939645,-0.500815466995692
3,33,-0.392683927205016,-1.27071027920748,0.319100262677103,-0.314310689391803
1,34,-0.067400967009037,1.02615174291203,-0.305020233413728,1.25496008004229
2,34,-0.21673184019538,0.603150586185782,-0.198545109430964,1.17702555479536
3,34,-0.433709241390767,0.00392020785542779,-0.05780706842927,1.15776386380557
1,35,0.130899290658462,-0.215427396481418,0.0782415426060974,-0.566870461877461
2,35,0.162286164223421,-0.307793041390741,0.115158046396089,-0.794476324982336
3,35,0.0341750167819646,-0.467913660869658,0.131149900930226,-0.515381503417222
1,36,0.0535411175100138,-0.101518490291258,0.0307651863008807,-0.206464843437778
2,36,0.0141993681378421,-0.313710133104438,0.0937222015846482,-0.375651708685656
3,36,-0.182046410485535,-0.953519351158358,0.250970346562635,-0.509981063635593
1,37,0.494034658006807,0.304580625944292,-0.0147782415715283,-1.06245051930843
2,37,0.15673958523325,-1.21972490685126,0.37543214421742,-1.71634390708639
3,37,0.290266391254705,-0.535697756930971,0.18437320832738,-1.26959969523422
1,38,-0.120095895525952,-0.390767047667792,0.0976657611928899,-0.0939967405307698
2,38,0.0323309682972555,0.101085055080297,-0.0242278480975922,0.0140826897472284
3,38,-0.11482861696356,-0.232417291760928,0.0538196008512928,0.0491440697137744
1,39,0.0350053046913834,0.554469499706736,-0.156141812525562,0.493545533137545
2,39,0.117636799402961,1.14169369854027,-0.316288516626706,0.898060925481175
3,39,0.0168011859823936,0.474784062306621,-0.132710125192991,0.435424367408155
1,22,0.40865067182862,-0.196983049170336,0.103863139011867,-1.24394955683454
2,22,0.433475056171576,-0.0937335928334661,0.0823159162828826,-1.24067296145897
3,22,0.542113590089546,0.297273851511254,-0.0175644655035267,-1.1102539343419
1,40,0.0313978484827067,-0.861815875192506,0.262622833439063,-1.06011433426868
2,40,0.370869248414626,0.383998540943358,-0.0642342611112368,-0.570443640407338
3,40,0.237810720910415,-0.118560093485706,0.0626492690601632,-0.736036845030059
1,41,0.0121296077970474,-0.224536267041783,0.0564465072033227,-0.190292057025769
2,41,-0.0566670800636606,-0.411660487430648,0.107944452256037,-0.25313973947263
3,41,-0.0604732041119223,-0.629700491402119,0.173452921445441,-0.494433940796455
1,42,-0.025866266634589,0.138627799393654,-0.0423895077772529,0.205646522946752
2,42,-0.170317181863706,-0.310126684608336,0.0667910790595339,0.130891321624603
3,42,-0.039876693427763,-0.0439319190406563,0.00329551170938847,0.0927956585777281
1,23,0.073325100787498,-0.639566062866391,0.200115801823742,-0.911529339946106
2,23,0.237219442838625,-0.261775652485708,0.100069679962934,-0.855269284390925
3,23,0.120437104367913,-0.481387957637104,0.151933058772802,-0.802720522688011
1,24,-0.371313414471096,-0.386131937786907,0.0720959248264894,0.512943418074134
2,24,-0.369921464149355,-0.377019627498169,0.0644969728907971,0.559633339296639
3,24,-0.0674821901191751,0.197228710716041,-0.0640240649974173,0.371753570836214
1,25,0.00653869937863005,-0.428898836403093,0.121787662720339,-0.443059896206313
2,25,0.179455771849602,0.39607466757979,-0.0969857439140203,-0.0142439473784641
3,25,0.245811050951265,0.358870078907659,-0.0731912477294856,-0.265918505004126
1,26,-0.513759544133206,1.04539100140286,-0.367242888697434,2.4477014197607
2,26,-0.509610163500124,0.677115209339439,-0.256909567624156,2.02514750998925
3,26,-0.587544149760183,0.53020779436097,-0.224179446999199,2.07360701816414
1,27,0.179650217170524,-0.387378652855663,0.132664592313459,-0.864191172426243
2,27,0.219481506310669,-0.0858607460189214,0.0485231947732936,-0.63588768201592
3,27,0.303465079892639,0.152061797296713,-0.0119052009686702,-0.588311752107792
1,28,-0.317769366662896,0.597873316198942,-0.216705897865104,1.49148019159095
2,28,-0.370044222557872,0.673442749864061,-0.244324542814865,1.70224965614091
3,28,-0.212727507446542,1.18283868323741,-0.368241790689206,1.79639688077875
1,29,0.36901055204943,0.952262253017584,-0.231678267987753,0.0548162536446233
2,29,0.492279189644229,1.11077618331872,-0.255735377889799,-0.151175142871265
3,29,0.178084145397104,0.232757611739265,-0.044082913279164,-0.229107635968612
