A1_vs_I0_abscissa,A1_vs_I0_spline,A1_vs_I0_regression,A1_vs_tau1_abscissa,A1_vs_tau1_spline,A1_vs_tau1_regression,I0_vs_A1_abscissa,I0_vs_A1_spline,I0_vs_A1_regression,I0_vs_tau1_abscissa,I0_vs_tau1_spline,I0_vs_tau1_regression,tau1_vs_A1_abscissa,tau1_vs_A1_spline,tau1_vs_A1_regression,tau1_vs_I0_abscissa,tau1_vs_I0_spline,tau1_vs_I0_regression
0.0112841,0.0171284,-0.00603387,0.0798228,-0.0783319,-0.0798837,0.216637,0.00389189,0.0119253,0.0798228,-0.00970523,0.000341248,0.216637,-0.215489,-0.213845,0.0112841,-0.0135975,0.00638739
0.0170778,-0.00630251,-0.00489577,0.0936617,-0.0932285,-0.0938099,0.230431,-0.0108966,0.0124596,0.0936617,-0.0043197,-0.00021735,0.230431,-0.227003,-0.227491,0.0170778,0.00843676,0.00522131
0.0228715,0.0174561,-0.00375767,0.107501,-0.107178,-0.107736,0.244224,-0.0160365,0.0129938,0.107501,-0.00182942,-0.000775948,0.244224,-0.2395,-0.241137,0.0228715,-0.0163114,0.00405523
0.0286652,0.0363319,-0.00261956,0.121339,-0.120846,-0.121662,0.258018,-0.011076,0.013528,0.121339,0.0228859,-0.00133455,0.258018,-0.253336,-0.254783,0.0286652,-0.0353685,0.00288916
0.0344589,-0.00492997,-0.00148146,0.135178,-0.136313,-0.135589,0.271812,-0.00173852,0.0140622,0.135178,0.0187973,-0.00189315,0.271812,-0.267771,-0.268429,0.0344589,0.000733354,0.00172308
0.0402526,0.0325543,-0.000343359,0.149017,-0.152053,-0.149515,0.285605,0.00606432,0.0145965,0.149017,0.00324172,-0.00245174,0.285605,-0.282039,-0.282075,0.0402526,-0.0337453,0.000557004
0.0460463,0.0839787,0.000794744,0.162856,-0.16611,-0.163441,0.299399,0.0105292,0.0151307,0.162856,0.00753405,-0.00301034,0.299399,-0.295903,-0.295721,0.0460463,-0.0802633,-0.000609072
0.05184,0.0541814,0.00193285,0.176695,-0.179122,-0.177367,0.313193,0.0113579,0.0156649,0.176695,0.0196464,-0.00356894,0.313193,-0.309351,-0.309367,0.05184,-0.0525771,-0.00177515
0.0576337,2.02605e-05,0.00307095,0.190534,-0.19216,-0.191293,0.326986,0.0104818,0.0161992,0.190534,0.0193505,-0.00412754,0.326986,-0.322627,-0.323013,0.0576337,-0.00119553,-0.00294122
0.0634274,-0.0194294,0.00420905,0.204373,-0.205278,-0.20522,0.34078,0.00818393,0.0167334,0.204373,0.0155042,-0.00468614,0.34078,-0.3358,-0.336659,0.0634274,0.0193836,-0.0041073
0.0692211,-0.00640706,0.00534715,0.218212,-0.218769,-0.219146,0.354574,0.00566018,0.0172676,0.218212,0.00316088,-0.00524474,0.354574,-0.349033,-0.350305,0.0692211,0.00670189,-0.00527338
0.0750148,0.0130449,0.00648526,0.232051,-0.232586,-0.233072,0.368367,0.00374155,0.0178018,0.232051,-0.00856621,-0.00580333,0.368367,-0.362448,-0.363951,0.0750148,-0.0145381,-0.00643945
0.0808085,0.0100921,0.00762336,0.24589,-0.246719,-0.246998,0.382161,0.00254077,0.0183361,0.24589,-0.0151568,-0.00636193,0.382161,-0.376051,-0.377597,0.0808085,-0.0127764,-0.00760553
0.0866022,-0.00747165,0.00876146,0.259728,-0.261074,-0.260925,0.395955,0.00208959,0.0188703,0.259728,-0.0168388,-0.00692053,0.395955,-0.389847,-0.391243,0.0866022,0.00474728,-0.00877161
0.0923959,-0.0257988,0.00989956,0.273567,-0.275421,-0.274851,0.409748,0.00211714,0.0194045,0.273567,-0.0184136,-0.00747913,0.409748,-0.403766,-0.404889,0.0923959,0.024234,-0.00993768
0.0981896,-0.0258478,0.0110377,0.287406,-0.289548,-0.288777,0.423542,0.00247067,0.0199388,0.287406,-0.024447,-0.00803773,0.423542,-0.417767,-0.418535,0.0981896,0.0259844,-0.0111038
0.103983,-0.00192327,0.0121758,0.301245,-0.303412,-0.302703,0.437336,0.00350577,0.020473,0.301245,-0.0350095,-0.00859633,0.437336,-0.431937,-0.432181,0.103983,0.0036093,-0.0122698
