time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
0.00049631,0.171133,0.00049631,0.225085,0.00049631,0.166255,0.54521,0.0524607,0.500802,-0.0261885,0.54521,0.0483278,All
0.00109343,0.170831,0.00109343,0.224667,0.00109343,0.165953,0.547345,0.0515168,0.506322,-0.0228712,0.547345,0.0473131,All
0.00240894,0.170167,0.00240894,0.223747,0.00240894,0.165289,0.548333,0.05108,0.508809,-0.0213765,0.548333,0.0468435,All
0.00530716,0.168704,0.00530716,0.22172,0.00530716,0.163826,0.550579,0.0500872,0.513764,-0.018263,0.550579,0.0457761,All
0.0116923,0.165481,0.0116923,0.217254,0.0116923,0.160603,0.551474,0.0496914,0.516816,-0.0163427,0.551474,0.0453506,All
0.0257594,0.15838,0.0257594,0.207415,0.0257594,0.153502,0.553812,0.0486577,0.521315,-0.0136225,0.553812,0.0442392,All
0.0567508,0.142735,0.0567508,0.185738,0.0567508,0.137857,0.554633,0.0482949,0.524823,-0.0115228,0.554633,0.0438492,All
0.125028,0.108268,0.125028,0.137983,0.125028,0.10339,0.557046,0.0472281,0.528978,-0.00903522,0.557046,0.0427023,All
0.275451,0.0323342,0.275451,0.0327711,0.275451,0.0274554,0.55781,0.0468904,0.53283,-0.00693417,0.55781,0.0423392,All
0.60685,0.102134,0.60685,0.132656,0.60685,0.0998329,0.56028,0.0457985,0.536753,-0.00519731,0.56028,0.0411653,All
0.629932,0.112117,0.629932,0.146778,0.629932,0.110051,0.561005,0.0454778,0.540837,-0.00338972,0.561005,0.0408206,All
1.25986,0.159536,1.25986,0.218914,1.25986,0.154165,0.563513,0.0443689,0.544643,-0.00170484,0.563513,0.0396284,All
1.33696,0.155748,1.33696,0.213809,1.33696,0.150878,0.564219,0.0440572,0.548844,0.000100186,0.564219,0.0392932,All
1.8898,0.156279,1.8898,0.214214,1.8898,0.155462,0.566747,0.0429394,0.552648,0.00102314,0.566747,0.0380915,All
2.51973,0.199869,2.51973,0.273727,2.51973,0.195662,0.567451,0.0426284,0.556851,0.000665958,0.567451,0.0377571,All
2.94547,0.174822,2.94547,0.235185,2.94547,0.172006,0.569981,0.0415098,0.560771,-0.000385323,0.569981,0.0365545,All
3.14966,0.159839,3.14966,0.214864,3.14966,0.156201,0.570701,0.0411914,0.564858,-0.00148091,0.570701,0.0362122,All
3.77959,0.16434,3.77959,0.225114,3.77959,0.157732,0.573214,0.0400802,0.569014,-0.00259536,0.573214,0.0350176,All
4.40952,0.17375,4.40952,0.237851,4.40952,0.168636,0.57397,0.0397462,0.572864,-0.00362778,0.57397,0.0346584,All
5.03946,0.138548,5.03946,0.18766,5.03946,0.133644,0.576448,0.0386507,0.577378,-0.00483788,0.576448,0.0334807,All
5.66939,0.132519,5.66939,0.178592,5.66939,0.123684,0.577258,0.0382927,0.580871,-0.00577465,0.577258,0.0330958,All
6.29932,0.0978337,6.29932,0.130591,6.29932,0.0882231,0.579682,0.0372211,0.585864,-0.00824045,0.579682,0.0319437,All
6.48919,0.094874,6.48919,0.125705,6.48919,0.0869541,0.580564,0.0368309,0.588878,-0.0106432,0.580564,0.0315242,All
6.92925,0.111428,6.92925,0.14854,6.92925,0.105921,0.582915,0.0357915,0.594476,-0.0139276,0.582915,0.0304068,All
7.55918,0.122732,7.55918,0.16425,7.55918,0.116078,0.58389,0.0353607,0.596885,-0.0131829,0.58389,0.0299436,All
8.18912,0.097278,8.18912,0.125937,8.18912,0.0865719,0.586149,0.034362,0.603214,-0.011227,0.586149,0.0288699,All
8.81905,0.148736,8.81905,0.201326,8.81905,0.135879,0.587235,0.0338821,0.604892,-0.0107082,0.587235,0.0283539,All
9.44898,0.109034,9.44898,0.144514,9.44898,0.103924,0.589383,0.0329324,0.61208,-0.0084867,0.589383,0.0273329,All
