rep,id,eta_A1,eta_tau1
1,43,0.191097883577147,0.167800832438037
2,43,0.155075524464148,0.159247185768777
3,43,0.166107321539389,0.149732260952987
4,43,0.178690980499698,0.16811415781098
5,43,0.186084624697661,0.176658818311669
6,43,0.171005978815923,0.161913140837999
7,43,0.16820724993029,0.155330601776106
8,43,0.179340128339475,0.165939792870831
9,43,0.171050943519289,0.174900866036826
10,43,0.181289126082029,0.165844405691798
1,52,0.0608952977902383,0.0644732457427661
2,52,0.0687122269236058,0.0638750774291353
3,52,0.0541241953992648,0.0399900589661971
4,52,0.0476887110030709,0.0399115422932036
5,52,0.0743841586480718,0.0778660654428839
6,52,0.0600415737562308,0.0576476368189508
7,52,0.0709997443857555,0.0487928116443232
8,52,0.0423792003988484,0.0411957959852802
9,52,0.0692524285073144,0.0678462548869373
10,52,0.080575934953502,0.0715770292986927
1,53,0.119620720911535,0.145829122035031
2,53,0.129362429701478,0.112107695656817
3,53,0.115723346056331,0.0933193990712736
4,53,0.116474974725496,0.105964531330534
5,53,0.116689939257995,0.128107107622546
6,53,0.125346191408317,0.114685174643547
7,53,0.119394248224437,0.126323070845457
8,53,0.114610619136494,0.110281823625588
9,53,0.126948605873991,0.109782418783951
10,53,0.12787363469928,0.122235143304532
1,54,-0.0691916705451312,-0.079403228702353
2,54,-0.0483952353247578,-0.0378831896916771
3,54,-0.0550416796652136,-0.0455961958947333
4,54,-0.0273451210564437,-0.0471759124878139
5,54,-0.0516174186907428,-0.0414394720243737
6,54,-0.017320818935182,-0.0104822796988842
7,54,-0.0455555511649025,-0.0621516397924546
8,54,-0.0271768944478705,-0.0190634728527602
9,54,-0.0229115996931672,-0.0217636564715186
10,54,-0.0432611678574686,-0.0373077805223863
1,55,-0.183765698406309,-0.168124159706721
2,55,-0.168530731897831,-0.167338966357599
3,55,-0.194885346754508,-0.180987419617548
4,55,-0.193330358819064,-0.164758747054492
5,55,-0.181644626733568,-0.180713098894487
6,55,-0.210207549472811,-0.220659317804786
7,55,-0.196361205280005,-0.198470367656182
8,55,-0.205958596221221,-0.198770746729096
9,55,-0.201283649320761,-0.206195687606596
10,55,-0.191760632981114,-0.182690670822577
1,56,-0.175596075779456,-0.192979859586301
2,56,-0.138884208164002,-0.133379665468227
3,56,-0.174885469332659,-0.182698642399461
4,56,-0.138632424672671,-0.149022588315053
5,56,-0.140218970432646,-0.125248572287055
6,56,-0.151169145049346,-0.138834698859837
7,56,-0.163729957502027,-0.162910990690677
8,56,-0.143497045558818,-0.119374659286717
9,56,-0.161487837044354,-0.164192007643408
10,56,-0.132552168136338,-0.143335012129876
1,57,-0.0840722681085441,-0.069851391805891
2,57,-0.0994217315999182,-0.0857824183123541
3,57,-0.0745187079929921,-0.0662259822371984
4,57,-0.104277008844054,-0.110495047834723
