parameter,value
A1_pop,0.19891553574276
tau1_pop,2.54344292231712
A2_pop,0.308571628701289
tau2_pop,236.23547292504
omega_A1,0.267936806666762
omega_tau1,0.63009458653366
omega_A2,0.188086203230289
omega_tau2,0.999434690821718
corr_A2_A1,0.240705808966195
corr_tau1_A1,-0.0638991595856033
corr_tau2_A1,-0.74480946320152
corr_tau1_A2,-0.983721500983531
corr_tau2_A2,-0.826706965804655
corr_tau2_tau1,0.712657776570278
a,0.0710865616399184
