standEta_A1_abscissa,standEta_A1_cdf,standEta_tau1_abscissa,standEta_tau1_cdf,standEta_I0_abscissa,standEta_I0_cdf,split
-1.32577,0.119318,-1.05251,0.119318,-1.02884,0.119318,All
-1.31319,0.121212,-1.05155,0.121212,-1.01124,0.121212,All
-1.30135,0.123106,-1.05142,0.123106,-1.00226,0.123106,All
-1.29277,0.125,-1.04797,0.125,-1.00069,0.125,All
-1.2641,0.126894,-1.04406,0.126894,-0.996793,0.126894,All
-1.25087,0.128788,-1.0378,0.128788,-0.994909,0.128788,All
-1.23428,0.130682,-1.03333,0.130682,-0.993289,0.130682,All
-1.19998,0.132576,-1.02215,0.132576,-0.989237,0.132576,All
-1.19389,0.13447,-1.02163,0.13447,-0.983726,0.13447,All
-1.19217,0.136364,-1.01693,0.136364,-0.973538,0.136364,All
-1.17892,0.138258,-1.0057,0.138258,-0.969435,0.138258,All
-1.16966,0.140152,-0.991027,0.140152,-0.962246,0.140152,All
-1.16805,0.142045,-0.98873,0.142045,-0.96145,0.142045,All
-1.16687,0.143939,-0.975271,0.143939,-0.954843,0.143939,All
-1.14916,0.145833,-0.939132,0.145833,-0.949076,0.145833,All
-1.12032,0.147727,-0.936535,0.147727,-0.948637,0.147727,All
-1.11064,0.149621,-0.934717,0.149621,-0.917714,0.149621,All
-1.10804,0.151515,-0.930208,0.151515,-0.909817,0.151515,All
-1.10276,0.153409,-0.925143,0.153409,-0.901648,0.153409,All
-1.09972,0.155303,-0.923791,0.155303,-0.898052,0.155303,All
-1.07523,0.157197,-0.905242,0.157197,-0.897397,0.157197,All
-1.06359,0.159091,-0.894497,0.159091,-0.888495,0.159091,All
-1.05808,0.160985,-0.868898,0.160985,-0.883209,0.160985,All
-1.05068,0.162879,-0.867656,0.162879,-0.882884,0.162879,All
-1.02739,0.164773,-0.86261,0.164773,-0.872928,0.164773,All
-1.02462,0.166667,-0.850896,0.166667,-0.867581,0.166667,All
-1.02299,0.168561,-0.837177,0.168561,-0.829813,0.168561,All
-1.02195,0.170455,-0.825853,0.170455,-0.82751,0.170455,All
-1.01222,0.172348,-0.821716,0.172348,-0.812091,0.172348,All
-1.00273,0.174242,-0.807685,0.174242,-0.804319,0.174242,All
-1.00258,0.176136,-0.803154,0.176136,-0.798494,0.176136,All
-1.00018,0.17803,-0.801744,0.17803,-0.796008,0.17803,All
-0.98469,0.179924,-0.79985,0.179924,-0.779505,0.179924,All
-0.963294,0.181818,-0.765168,0.181818,-0.778299,0.181818,All
