standEta_A1_abscissa,standEta_A1_cdf,standEta_tau1_abscissa,standEta_tau1_cdf,standEta_I0_abscissa,standEta_I0_cdf,split
0.552221,0.738636,0.591308,0.738636,0.590339,0.738636,All
0.553659,0.74053,0.592006,0.74053,0.60614,0.74053,All
0.557367,0.742424,0.593431,0.742424,0.620563,0.742424,All
0.557585,0.744318,0.599737,0.744318,0.622332,0.744318,All
0.562432,0.746212,0.605859,0.746212,0.623687,0.746212,All
0.593015,0.748106,0.614137,0.748106,0.625219,0.748106,All
0.595313,0.75,0.615256,0.75,0.639684,0.75,All
0.59608,0.751894,0.62747,0.751894,0.640407,0.751894,All
0.605193,0.753788,0.627996,0.753788,0.641026,0.753788,All
0.609341,0.755682,0.633229,0.755682,0.643852,0.755682,All
0.613004,0.757576,0.639171,0.757576,0.648301,0.757576,All
0.615157,0.75947,0.644838,0.75947,0.64834,0.75947,All
0.615557,0.761364,0.649069,0.761364,0.655846,0.761364,All
0.61698,0.763258,0.666382,0.763258,0.66146,0.763258,All
0.625392,0.765152,0.675011,0.765152,0.662347,0.765152,All
0.633539,0.767045,0.675183,0.767045,0.669047,0.767045,All
0.648084,0.768939,0.682857,0.768939,0.671485,0.768939,All
0.64838,0.770833,0.686552,0.770833,0.678049,0.770833,All
0.648762,0.772727,0.688477,0.772727,0.678335,0.772727,All
0.652782,0.774621,0.690825,0.774621,0.678914,0.774621,All
0.653865,0.776515,0.706605,0.776515,0.680211,0.776515,All
0.657993,0.778409,0.710378,0.778409,0.68181,0.778409,All
0.659844,0.780303,0.710608,0.780303,0.687064,0.780303,All
0.664152,0.782197,0.722786,0.782197,0.69287,0.782197,All
0.670533,0.784091,0.734403,0.784091,0.702759,0.784091,All
0.673772,0.785985,0.73525,0.785985,0.713003,0.785985,All
0.686653,0.787879,0.739232,0.787879,0.71383,0.787879,All
0.691996,0.789773,0.744717,0.789773,0.715144,0.789773,All
0.704483,0.791667,0.749407,0.791667,0.716316,0.791667,All
0.710954,0.793561,0.773864,0.793561,0.717588,0.793561,All
0.711211,0.795455,0.774572,0.795455,0.726726,0.795455,All
0.720126,0.797348,0.787978,0.797348,0.729011,0.797348,All
0.72148,0.799242,0.789564,0.799242,0.744388,0.799242,All
0.727944,0.801136,0.804092,0.801136,0.756154,0.801136,All
0.728572,0.80303,0.806269,0.80303,0.761239,0.80303,All
0.739986,0.804924,0.806866,0.804924,0.764866,0.804924,All
0.748408,0.806818,0.81486,0.806818,0.772399,0.806818,All
0.753132,0.808712,0.830346,0.808712,0.786803,0.808712,All
0.762373,0.810606,0.843266,0.810606,0.790031,0.810606,All
0.765405,0.8125,0.844356,0.8125,0.791469,0.8125,All
0.767903,0.814394,0.864508,0.814394,0.793166,0.814394,All
0.772603,0.816288,0.865044,0.816288,0.79586,0.816288,All
0.776664,0.818182,0.868684,0.818182,0.796602,0.818182,All
0.783927,0.820076,0.979671,0.820076,0.799101,0.820076,All
0.784752,0.82197,0.983621,0.82197,0.803583,0.82197,All
0.795317,0.823864,0.989001,0.823864,0.809787,0.823864,All
0.799441,0.825758,0.99877,0.825758,0.818655,0.825758,All
0.80151,0.827652,1.01054,0.827652,0.819743,0.827652,All
0.804238,0.829545,1.01236,0.829545,0.822084,0.829545,All
0.809624,0.831439,1.02158,0.831439,0.841952,0.831439,All
0.810895,0.833333,1.02425,0.833333,0.851096,0.833333,All
0.816075,0.835227,1.0444,0.835227,0.853953,0.835227,All
0.818738,0.837121,1.05022,0.837121,0.860192,0.837121,All
0.839069,0.839015,1.05029,0.839015,0.863852,0.839015,All
0.84056,0.840909,1.05153,0.840909,0.86461,0.840909,All
0.847438,0.842803,1.05356,0.842803,0.866889,0.842803,All
0.8733,0.844697,1.06346,0.844697,0.881842,0.844697,All
0.910161,0.846591,1.07181,0.846591,0.883437,0.846591,All
0.935922,0.848485,1.08884,0.848485,0.883505,0.848485,All
0.948302,0.850379,1.11043,0.850379,0.889459,0.850379,All
0.949189,0.852273,1.14493,0.852273,0.900074,0.852273,All
0.958725,0.854167,1.15851,0.854167,0.908946,0.854167,All
0.970096,0.856061,1.16327,0.856061,0.90916,0.856061,All
0.978804,0.857955,1.16934,0.857955,0.910507,0.857955,All
0.981107,0.859848,1.18324,0.859848,0.912834,0.859848,All
0.984377,0.861742,1.1975,0.861742,0.913601,0.861742,All
1.00474,0.863636,1.2059,0.863636,0.915962,0.863636,All
1.00585,0.86553,1.21443,0.86553,0.932167,0.86553,All
1.01437,0.867424,1.21812,0.867424,0.939785,0.867424,All
1.01536,0.869318,1.23321,0.869318,0.94203,0.869318,All
1.02775,0.871212,1.24446,0.871212,0.954332,0.871212,All
1.04965,0.873106,1.25577,0.873106,0.957976,0.873106,All
1.05621,0.875,1.26727,0.875,0.970751,0.875,All
1.05998,0.876894,1.27608,0.876894,0.976936,0.876894,All
1.07523,0.878788,1.30016,0.878788,0.994797,0.878788,All
1.07528,0.880682,1.31105,0.880682,0.999711,0.880682,All
1.07653,0.882576,1.31179,0.882576,1.00513,0.882576,All
1.09978,0.88447,1.32161,0.88447,1.00838,0.88447,All
1.1104,0.886364,1.33624,0.886364,1.00928,0.886364,All
1.11544,0.888258,1.34615,0.888258,1.01373,0.888258,All
1.12596,0.890152,1.35053,0.890152,1.01559,0.890152,All
1.14032,0.892045,1.38903,0.892045,1.01568,0.892045,All
1.15574,0.893939,1.39097,0.893939,1.02725,0.893939,All
1.16,0.895833,1.39736,0.895833,1.03887,0.895833,All
1.16751,0.897727,1.41217,0.897727,1.06108,0.897727,All
1.17267,0.899621,1.4162,0.899621,1.06565,0.899621,All
1.18899,0.901515,1.44092,0.901515,1.06761,0.901515,All
1.19222,0.903409,1.44173,0.903409,1.08085,0.903409,All
1.20553,0.905303,1.46033,0.905303,1.10591,0.905303,All
1.21399,0.907197,1.48787,0.907197,1.109,0.907197,All
1.23644,0.909091,1.51583,0.909091,1.12349,0.909091,All
1.26684,0.910985,1.52471,0.910985,1.12578,0.910985,All
1.27176,0.912879,1.53595,0.912879,1.12714,0.912879,All
1.29644,0.914773,1.5378,0.914773,1.1449,0.914773,All
1.30075,0.916667,1.54231,0.916667,1.15243,0.916667,All
1.31358,0.918561,1.54932,0.918561,1.17137,0.918561,All
1.31745,0.920455,1.5614,0.920455,1.18568,0.920455,All
1.31777,0.922348,1.59178,0.922348,1.20028,0.922348,All
1.33191,0.924242,1.60389,0.924242,1.22877,0.924242,All
1.33721,0.926136,1.63484,0.926136,1.25487,0.926136,All
1.38732,0.92803,1.64317,0.92803,1.26462,0.92803,All
1.39894,0.929924,1.68313,0.929924,1.30579,0.929924,All
1.40374,0.931818,1.68785,0.931818,1.30752,0.931818,All
1.43353,0.933712,1.71427,0.933712,1.31503,0.933712,All
1.46866,0.935606,1.71787,0.935606,1.32354,0.935606,All
1.52995,0.9375,1.72289,0.9375,1.32656,0.9375,All
1.53311,0.939394,1.72512,0.939394,1.33229,0.939394,All
1.54557,0.941288,1.74768,0.941288,1.33294,0.941288,All
1.54601,0.943182,1.7594,0.943182,1.33958,0.943182,All
1.55125,0.945076,1.76578,0.945076,1.34837,0.945076,All
1.5682,0.94697,1.78469,0.94697,1.37281,0.94697,All
1.63268,0.948864,1.79366,0.948864,1.38462,0.948864,All
1.64728,0.950758,1.80901,0.950758,1.4514,0.950758,All
1.6533,0.952652,1.84582,0.952652,1.4533,0.952652,All
1.65965,0.954545,1.85188,0.954545,1.49943,0.954545,All
1.691,0.956439,1.85609,0.956439,1.50617,0.956439,All
1.69437,0.958333,1.90762,0.958333,1.5112,0.958333,All
1.69789,0.960227,1.92815,0.960227,1.53331,0.960227,All
1.69813,0.962121,1.97794,0.962121,1.56717,0.962121,All
1.70034,0.964015,1.99652,0.964015,1.57268,0.964015,All
1.74458,0.965909,2.05417,0.965909,1.6003,0.965909,All
1.78017,0.967803,2.09329,0.967803,1.65234,0.967803,All
1.78168,0.969697,2.09636,0.969697,1.67256,0.969697,All
1.84396,0.971591,2.09945,0.971591,1.6794,0.971591,All
1.84638,0.973485,2.12285,0.973485,1.69588,0.973485,All
1.86773,0.975379,2.13511,0.975379,1.73104,0.975379,All
1.99446,0.977273,2.1353,0.977273,1.74279,0.977273,All
2.02361,0.979167,2.15418,0.979167,1.76696,0.979167,All
2.08493,0.981061,2.15749,0.981061,1.77393,0.981061,All
2.24789,0.982955,2.17642,0.982955,1.7747,0.982955,All
2.36555,0.984848,2.19168,0.984848,1.83707,0.984848,All
3.10174,0.986742,2.246,0.986742,1.89438,0.986742,All
3.12656,0.988636,2.38068,0.988636,2.05821,0.988636,All
3.1909,0.99053,2.38543,0.99053,2.09845,0.99053,All
3.25066,0.992424,2.4077,0.992424,2.11001,0.992424,All
3.26827,0.994318,2.633,0.994318,2.11976,0.994318,All
3.43891,0.996212,2.80748,0.996212,2.15537,0.996212,All
3.44017,0.998106,2.88074,0.998106,2.19941,0.998106,All
3.61211,1,2.9915,1,2.20143,1,All
4,1,4,1,4,1,All
