rep,ID,standEta_A1_simulated,standEta_tau1_simulated,standEta_I0_simulated,filter
2,87,1.65965,-1.62137,0.0728382,0
3,87,1.43353,-1.54982,0.220053,0
4,87,1.39894,-1.36381,0.167635,0
5,87,0.324278,-0.353738,1.26462,0
6,87,1.27176,-1.26957,0.517788,0
7,87,1.5682,-1.70715,0.179641,0
8,87,1.78017,-1.6648,-0.100071,0
1,88,-0.0838815,0.110175,0.0896082,0
2,88,-0.634076,0.593431,0.300699,0
3,88,0.0513104,-0.176721,-0.196729,0
4,88,0.348024,-0.29785,-0.250996,0
5,88,-1.93941,1.90762,0.881842,0
6,88,-1.75266,1.76578,0.970751,0
7,88,-2.22187,2.17642,1.30579,0
8,88,-1.02462,1.05029,0.399805,0
1,89,-0.756818,0.682857,0.939785,0
2,89,-0.609093,0.605859,0.913601,0
3,89,-0.547368,0.649069,0.764866,0
4,89,-0.728947,0.773864,1.12714,0
5,89,-0.60849,0.591308,0.90916,0
6,89,-0.302553,0.200985,0.761239,0
7,89,-0.172366,0.0824945,0.678335,0
8,89,-0.180523,0.125949,0.716316,0
1,90,-1.31319,1.21443,-1.07868,0
2,90,-1.46502,1.53595,-0.962246,0
3,90,-1.84973,1.72512,-0.74221,0
4,90,-1.5971,1.60389,-0.96145,0
5,90,-2.18086,2.12285,-0.471427,0
6,90,-2.19303,2.15418,-0.57456,0
7,90,-2.19053,2.13511,-0.778299,0
8,90,-1.00273,0.868684,-1.38071,0
1,91,-0.115551,0.198508,1.56717,0
2,91,0.748408,-0.682684,0.772399,0
3,91,1.54557,-1.52047,0.42774,0
4,91,1.69437,-1.62959,0.115383,0
5,91,0.491055,-0.482464,1.15243,0
6,91,0.795317,-0.685338,0.994797,0
7,91,0.935922,-0.930208,0.822084,0
8,91,1.16751,-1.14735,0.687064,0
1,92,-1.35232,1.31179,-0.299531,0
2,92,-1.30135,1.41217,-0.502737,0
3,92,-1.39267,1.34615,-0.396712,0
4,92,-1.36896,1.26727,-0.274962,0
5,92,-1.78141,1.79366,-0.140127,0
6,92,-0.864728,0.706605,-0.703629,0
7,92,-0.558089,0.615256,-0.917714,0
8,92,-0.54164,0.577527,-0.721,0
1,185,0.286725,-0.381567,-0.0754692,0
2,185,0.0477543,0.0184897,0.124196,0
3,185,0.474844,-0.425924,-0.0960432,0
4,185,-0.397734,0.41286,0.190779,0
5,185,-0.267669,0.129427,0.346107,0
6,185,-0.265436,0.327331,0.26343,0
7,185,-0.528131,0.62747,0.585874,0
8,185,0.652782,-0.635288,-0.581012,0
1,186,2.02361,-2.01855,-0.193381,0
2,186,0.72148,-0.609859,1.00928,0
3,186,0.633539,-0.732515,1.17137,0
4,186,1.55125,-1.47496,-0.00276907,0
5,186,0.553659,-0.631469,1.50617,0
6,186,1.54601,-1.36029,0.430088,0
7,186,1.38732,-1.43812,0.590339,0
8,186,1.70034,-1.725,0.0522489,0
