id,eta_A1_SAEM,eta_tau1_SAEM,eta_A1_mean,eta_tau1_mean,eta_A1_mode,eta_tau1_mode,eta_A1_sd,eta_tau1_sd
21,0.138241,-0.478528,0.135784,-0.473653,0.139159,-0.485188,0.0180768,0.0722751
22,0.0858406,-0.300917,0.0840943,-0.294553,0.0899051,-0.31548,0.0200778,0.0756364
23,-0.404372,1.39854,-0.424127,1.4791,-0.411706,1.43058,0.0255373,0.0923579
24,0.00126036,-0.00867492,-0.00255292,0.00678423,-0.00217643,0.00687076,0.018442,0.0667346
25,0.0867251,-0.299733,0.096902,-0.336383,0.0902747,-0.31409,0.0187512,0.0706679
26,-0.206919,0.720185,-0.202992,0.702818,-0.204749,0.711421,0.0248338,0.0939746
27,0.104935,-0.3664,0.103429,-0.357913,0.105091,-0.366832,0.017364,0.0658499
28,0.0481131,-0.169121,0.0457927,-0.160039,0.0465958,-0.163232,0.0161968,0.0592695
29,0.22877,-0.791345,0.229864,-0.797927,0.230813,-0.801994,0.011661,0.0446645
30,0.00590432,-0.0193812,0.00496951,-0.014846,0.00619619,-0.0224386,0.0223477,0.0844415
31,-0.0953313,0.331889,-0.0894965,0.309332,-0.0944533,0.328173,0.0213194,0.0773486
32,0.228785,-0.78704,0.230845,-0.802092,0.229986,-0.796938,0.014106,0.0538884
33,0.12236,-0.419249,0.120128,-0.414679,0.123104,-0.425871,0.016601,0.0604832
34,0.0520118,-0.179432,0.0520994,-0.182644,0.0517196,-0.180255,0.016431,0.062228
35,-0.0219222,0.077217,-0.0212246,0.0734682,-0.021776,0.0755951,0.0228616,0.0818001
36,0.135319,-0.467172,0.13606,-0.473945,0.134496,-0.467288,0.0172164,0.0639544
37,-0.0888126,0.304963,-0.0945941,0.328863,-0.0903841,0.31366,0.02211,0.0836839
38,0.0611171,-0.216785,0.0575694,-0.199152,0.058579,-0.203545,0.0157021,0.0617001
39,-0.378042,1.31038,-0.3732,1.29245,-0.379744,1.31952,0.0314724,0.112558
40,0.118845,-0.414745,0.122273,-0.428434,0.120231,-0.419001,0.0176122,0.0660591
41,-0.277003,0.961207,-0.271089,0.941432,-0.274123,0.952503,0.0236575,0.0876794
42,0.0607898,-0.208431,0.0587298,-0.201413,0.0644356,-0.223755,0.0190185,0.0707036
